Date,hashrate30var
2011/07/08,4.2214005786541E+24
2011/07/09,3.8464449071249E+24
2011/07/10,3.3640699875612E+24
2011/07/11,2.9020530923065E+24
2011/07/12,2.4704451072066E+24
2011/07/13,2.0692855437131E+24
2011/07/14,1.5634776572549E+24
2011/07/15,1.5108275271191E+24
2011/07/16,1.5547393061114E+24
2011/07/17,1.2383212395869E+24
2011/07/18,9.5869682289466E+23
2011/07/19,8.5895359511444E+23
2011/07/20,7.6651574681442E+23
2011/07/21,7.4712623921734E+23
2011/07/22,7.6132230570744E+23
2011/07/23,7.243544143228E+23
2011/07/24,7.474182751657E+23
2011/07/25,8.4312650183636E+23
2011/07/26,8.7041235149617E+23
2011/07/27,1.1397268961637E+24
2011/07/28,1.1646223070424E+24
2011/07/29,1.1765447972917E+24
2011/07/30,1.1814248834569E+24
2011/07/31,1.262078328967E+24
2011/08/01,1.6059945839853E+24
2011/08/02,1.6727695068483E+24
2011/08/03,1.6922356171632E+24
2011/08/04,1.5538870560929E+24
2011/08/05,1.384020000314E+24
2011/08/06,1.2884468041814E+24
2011/08/07,1.2048277547658E+24
2011/08/08,1.2178670982625E+24
2011/08/09,1.1079801123686E+24
2011/08/10,1.1498235752103E+24
2011/08/11,1.0249410644373E+24
2011/08/12,1.0464068625791E+24
2011/08/13,1.0440784219231E+24
2011/08/14,1.1002154174883E+24
2011/08/15,1.0990776614372E+24
2011/08/16,1.1320010262294E+24
2011/08/17,1.1393038944824E+24
2011/08/18,1.1390709469888E+24
2011/08/19,1.0893308746581E+24
2011/08/20,1.0970998332561E+24
2011/08/21,1.0826973375617E+24
2011/08/22,1.2458010619791E+24
2011/08/23,1.3342023648436E+24
2011/08/24,1.3379397442816E+24
2011/08/25,1.3937002912079E+24
2011/08/26,1.2467212392038E+24
2011/08/27,1.2960126393077E+24
2011/08/28,1.5042982274965E+24
2011/08/29,1.5985700812384E+24
2011/08/30,1.5608403635237E+24
2011/08/31,1.2977752307591E+24
2011/09/01,1.2210518395004E+24
2011/09/02,1.1208867134651E+24
2011/09/03,1.1073032240307E+24
2011/09/04,1.1272168096634E+24
2011/09/05,1.1236295793147E+24
2011/09/06,1.0983696948752E+24
2011/09/07,1.0935184018647E+24
2011/09/08,1.1598983935812E+24
2011/09/09,1.0023730443707E+24
2011/09/10,1.0018645385202E+24
2011/09/11,1.012009478478E+24
2011/09/12,1.099342181207E+24
2011/09/13,1.0661286831876E+24
2011/09/14,1.0618430963102E+24
2011/09/15,1.0408059849758E+24
2011/09/16,1.0644633626418E+24
2011/09/17,1.1618445108092E+24
2011/09/18,1.201236023262E+24
2011/09/19,1.2037469410126E+24
2011/09/20,1.2354812854788E+24
2011/09/21,9.0527370562709E+23
2011/09/22,6.86102919177E+23
2011/09/23,6.7836459656037E+23
2011/09/24,7.3041576501661E+23
2011/09/25,7.0606056324506E+23
2011/09/26,7.1978027030877E+23
2011/09/27,6.2667592229883E+23
2011/09/28,6.1215451301325E+23
2011/09/29,6.2184435697246E+23
2011/09/30,6.2491367690267E+23
2011/10/01,7.2104874221035E+23
2011/10/02,7.0672712647923E+23
2011/10/03,6.9522190859872E+23
