Date,size90var
2012/05/31,711749107
2012/06/01,726168782
2012/06/02,722743882
2012/06/03,755079674
2012/06/04,840527230
2012/06/05,917161976
2012/06/06,911644641
2012/06/07,946323702
2012/06/08,951825357
2012/06/09,962402075
2012/06/10,989797067
2012/06/11,1016897550
2012/06/12,1013430908
2012/06/13,1149186285
2012/06/14,1325923726
2012/06/15,1430921111
2012/06/16,1474529568
2012/06/17,1502713361
2012/06/18,1510790361
2012/06/19,1532241481
2012/06/20,1542474607
2012/06/21,1541334750
2012/06/22,1525538648
2012/06/23,1507062889
2012/06/24,1494322063
2012/06/25,1481499347
2012/06/26,1473099384
2012/06/27,1461976487
2012/06/28,1448110213
2012/06/29,1423668920
2012/06/30,1401768987
2012/07/01,1386581544
2012/07/02,1371304360
2012/07/03,1352370079
2012/07/04,1338413089
2012/07/05,1320279666
2012/07/06,1297598026
2012/07/07,1271051230
2012/07/08,1247061812
2012/07/09,1227022090
2012/07/10,1219598855
2012/07/11,1214796213
2012/07/12,1193654739
2012/07/13,1171069388
2012/07/14,1153122795
2012/07/15,1132874064
2012/07/16,1117894165
2012/07/17,1104220630
2012/07/18,1083101566
2012/07/19,1071617659
2012/07/20,1054743443
2012/07/21,1030623734
2012/07/22,1002818912
2012/07/23,976284775
2012/07/24,947265880
2012/07/25,918273416
2012/07/26,885255051
2012/07/27,850958268
2012/07/28,810579152
2012/07/29,773588605
2012/07/30,741747054
2012/07/31,744852012
2012/08/01,724712782
2012/08/02,701713279
2012/08/03,674454290
2012/08/04,645836216
2012/08/05,631023053
2012/08/06,613578963
2012/08/07,599166085
2012/08/08,577282321
2012/08/09,569641325
2012/08/10,564219609
2012/08/11,545335693
2012/08/12,545326950
2012/08/13,560404120
2012/08/14,556886570
2012/08/15,584178354
2012/08/16,597135755
2012/08/17,608750880
2012/08/18,609012550
2012/08/19,605834260
2012/08/20,605837329
2012/08/21,606449382
2012/08/22,607265990
2012/08/23,607437708
2012/08/24,603140867
2012/08/25,600023424
2012/08/26,605804677
2012/08/27,603645544
2012/08/28,604155495
2012/08/29,599671646
2012/08/30,598185411
2012/08/31,572020209
2012/09/01,573446564
2012/09/02,557466426
2012/09/03,544241826
2012/09/04,529307792
2012/09/05,528165937
2012/09/06,527597332
2012/09/07,527877476
2012/09/08,526683963
2012/09/09,527226067
2012/09/10,514935030
2012/09/11,466231846
2012/09/12,382050485
2012/09/13,337902691
2012/09/14,325149968
2012/09/15,319332452
2012/09/16,318880734
2012/09/17,319239949
2012/09/18,316310107
2012/09/19,317476909
2012/09/20,316905750
2012/09/21,310789481
2012/09/22,312531413
2012/09/23,312875047
2012/09/24,312980419
2012/09/25,316092896
2012/09/26,318308578
2012/09/27,313682913
2012/09/28,310686179
2012/09/29,304129900
2012/09/30,306719271
2012/10/01,297716969
2012/10/02,294558882
2012/10/03,290482020
2012/10/04,294124011
2012/10/05,293254401
2012/10/06,282140073
2012/10/07,290910061
2012/10/08,290213544
2012/10/09,294542299
2012/10/10,289403384
2012/10/11,283856422
2012/10/12,272654115
2012/10/13,271979220
2012/10/14,272747433
2012/10/15,273328615
2012/10/16,274452058
2012/10/17,276006348
2012/10/18,272734025
2012/10/19,271220261
2012/10/20,271189695
2012/10/21,275944259
2012/10/22,279979049
2012/10/23,281995219
2012/10/24,279166916
2012/10/25,267594650
2012/10/26,277271423
2012/10/27,303128269
2012/10/28,322034952
2012/10/29,306161226
2012/10/30,305975900
2012/10/31,305529731
2012/11/01,302586566
2012/11/02,300954846
2012/11/03,304563791
2012/11/04,307849699
2012/11/05,302527758
2012/11/06,304751468
2012/11/07,303405377
2012/11/08,299097837
2012/11/09,299361464
2012/11/10,299317594
2012/11/11,292377725
2012/11/12,293459202
2012/11/13,264947589
2012/11/14,251133910
2012/11/15,247333038
2012/11/16,257451964
2012/11/17,264601198
2012/11/18,266465065
2012/11/19,270915109
2012/11/20,274462579
2012/11/21,280231566
2012/11/22,280163602
2012/11/23,280329048
2012/11/24,273099161
2012/11/25,279543085
2012/11/26,280187441
2012/11/27,278680631
2012/11/28,278803706
2012/11/29,273745053
2012/11/30,274343438
2012/12/01,273696516
2012/12/02,280553935
2012/12/03,281487486
2012/12/04,301920431
2012/12/05,318965524
2012/12/06,331720526
2012/12/07,334558755
2012/12/08,333403157
2012/12/09,338293327
2012/12/10,341788393
2012/12/11,343506562
2012/12/12,356497110
2012/12/13,388552597
2012/12/14,440512501
2012/12/15,444471151
2012/12/16,452593375
2012/12/17,461545982
2012/12/18,536884536
2012/12/19,547932566
2012/12/20,574383204
2012/12/21,592369185
2012/12/22,600733160
2012/12/23,606754493
2012/12/24,604255273
2012/12/25,604410163
2012/12/26,597426433
2012/12/27,602789768
2012/12/28,590424686
2012/12/29,572863384
2012/12/30,571735645
2012/12/31,575680181
2013/01/01,579099946
2013/01/02,577930775
2013/01/03,576869324
2013/01/04,589320220
2013/01/05,584959612
2013/01/06,584245883
2013/01/07,583668061
2013/01/08,601121129
2013/01/09,615571581
2013/01/10,644456589
2013/01/11,710084538
2013/01/12,739652071
2013/01/13,761181856
2013/01/14,763048243
2013/01/15,786353601
2013/01/16,831990914
2013/01/17,908844889
2013/01/18,957188031
2013/01/19,978141395
2013/01/20,984424189
2013/01/21,989944192
2013/01/22,992881533
2013/01/23,1021195847
2013/01/24,1001200937
2013/01/25,962412105
2013/01/26,921220677
2013/01/27,911299651
2013/01/28,926509575
2013/01/29,927931816
2013/01/30,906927572
2013/01/31,895373858
2013/02/01,898473742
2013/02/02,878850778
2013/02/03,873441682
2013/02/04,876525734
2013/02/05,873013422
2013/02/06,863031789
2013/02/07,858386835
2013/02/08,866362446
2013/02/09,850891140
2013/02/10,828955662
2013/02/11,816152569
2013/02/12,834469084
2013/02/13,837945988
2013/02/14,841797352
2013/02/15,839690401
2013/02/16,830853177
2013/02/17,826404467
2013/02/18,820432365
2013/02/19,823824545
2013/02/20,809268184
2013/02/21,793437599
2013/02/22,776295734
2013/02/23,777587120
2013/02/24,770350205
2013/02/25,741782688
2013/02/26,734685932
2013/02/27,719477439
2013/02/28,715747335
2013/03/01,717098597
2013/03/02,665916596
2013/03/03,603985366
2013/03/04,606720327
2013/03/05,630179668
2013/03/06,651382785
2013/03/07,667794648
2013/03/08,648225641
2013/03/09,636582623
2013/03/10,639430294
2013/03/11,631545582
2013/03/12,635645952
2013/03/13,638296124
2013/03/14,635590051
2013/03/15,631415193
2013/03/16,659768346
2013/03/17,711131568
2013/03/18,720870091
2013/03/19,722435339
2013/03/20,745978643
2013/03/21,751646666
2013/03/22,754507030
2013/03/23,758462625
2013/03/24,760522624
2013/03/25,737874330
2013/03/26,727160245
2013/03/27,740272652
2013/03/28,739501720
2013/03/29,738577529
2013/03/30,736116771
2013/03/31,689299227
2013/04/01,644540075
2013/04/02,630754328
2013/04/03,614641815
2013/04/04,659287348
2013/04/05,654198460
2013/04/06,617523242
2013/04/07,609668881
2013/04/08,622354878
2013/04/09,624788508
2013/04/10,625390165
2013/04/11,652279796
2013/04/12,652320582
2013/04/13,654939242
2013/04/14,644611706
2013/04/15,644531554
2013/04/16,644731362
2013/04/17,627870734
2013/04/18,623957901
2013/04/19,652890003
2013/04/20,648423523
2013/04/21,659266466
2013/04/22,658514223
2013/04/23,658559719
2013/04/24,683339648
2013/04/25,685458239
2013/04/26,684622428
2013/04/27,686953849
2013/04/28,703609827
2013/04/29,705482927
2013/04/30,697273581
2013/05/01,682624505
2013/05/02,692834283
2013/05/03,697136454
2013/05/04,695403991
2013/05/05,695594955
2013/05/06,690660698
2013/05/07,678682575
2013/05/08,676820724
2013/05/09,681006762
2013/05/10,686443622
2013/05/11,693580120
2013/05/12,697297024
2013/05/13,688408791
2013/05/14,704105437
2013/05/15,735409099
2013/05/16,745706954
2013/05/17,728006513
2013/05/18,710130325
2013/05/19,711417634
2013/05/20,713327497
2013/05/21,710556133
2013/05/22,704493036
2013/05/23,704750595
2013/05/24,705301338
2013/05/25,708254327
2013/05/26,717446998
2013/05/27,720294360
2013/05/28,715625093
2013/05/29,715548417
2013/05/30,706454352
2013/05/31,707931343
2013/06/01,725536816
2013/06/02,746834374
2013/06/03,752844625
2013/06/04,755104704
2013/06/05,740969734
2013/06/06,745040437
2013/06/07,745347192
2013/06/08,756537015
2013/06/09,764150570
2013/06/10,780182686
2013/06/11,795137590
2013/06/12,827072714
2013/06/13,854338374
2013/06/14,825769086
2013/06/15,801208320
2013/06/16,802518777
2013/06/17,797360179
2013/06/18,763977487
2013/06/19,751707023
2013/06/20,741799334
2013/06/21,736878489
2013/06/22,747014204
2013/06/23,778162795
2013/06/24,784786585
2013/06/25,784853927
2013/06/26,797877422
2013/06/27,804061457
2013/06/28,799423478
2013/06/29,827744581
2013/06/30,869863341
2013/07/01,885839248
2013/07/02,892483643
2013/07/03,893421738
2013/07/04,912345138
2013/07/05,954172180
2013/07/06,970417721
2013/07/07,1007316427
2013/07/08,1029161493
2013/07/09,1046137403
2013/07/10,1023633808
2013/07/11,1030203235
2013/07/12,1030687792
2013/07/13,1030321433
2013/07/14,1051477636
2013/07/15,1052364078
2013/07/16,1058845160
2013/07/17,1077924224
2013/07/18,1030092402
2013/07/19,1048326054
2013/07/20,1081371646
2013/07/21,1116308741
2013/07/22,1111548953
2013/07/23,1056779298
2013/07/24,1042092338
2013/07/25,1037443955
2013/07/26,1046824233
2013/07/27,1063675042
2013/07/28,1073386958
2013/07/29,1056205981
2013/07/30,1054984870
2013/07/31,1011291550
2013/08/01,984143107
2013/08/02,978758562
2013/08/03,974593152
2013/08/04,967322361
2013/08/05,950631571
2013/08/06,943449634
2013/08/07,905219709
2013/08/08,863922427
2013/08/09,824522529
2013/08/10,794498622
2013/08/11,798869106
2013/08/12,735936502
2013/08/13,642719475
2013/08/14,582593855
2013/08/15,571942132
2013/08/16,588840085
2013/08/17,585872242
2013/08/18,550300436
2013/08/19,554881968
2013/08/20,549688582
2013/08/21,535393065
2013/08/22,522210726
2013/08/23,515836969
2013/08/24,515382199
2013/08/25,512521196
2013/08/26,496915015
2013/08/27,513048743
2013/08/28,515884304
2013/08/29,510362972
2013/08/30,513225021
2013/08/31,519930491
2013/09/01,528048717
2013/09/02,530234379
2013/09/03,523666985
2013/09/04,525488185
2013/09/05,518151944
2013/09/06,525176533
2013/09/07,536938400
2013/09/08,537722451
2013/09/09,537730941
2013/09/10,534913409
2013/09/11,535209472
2013/09/12,535194570
2013/09/13,532921805
2013/09/14,541716461
2013/09/15,540269986
2013/09/16,549178612
2013/09/17,554011182
2013/09/18,558917336
2013/09/19,560176813
2013/09/20,560708641
2013/09/21,557914561
2013/09/22,557229018
2013/09/23,559627751
2013/09/24,560526640
2013/09/25,560596406
2013/09/26,574880924
2013/09/27,571537380
2013/09/28,562139003
2013/09/29,561808656
2013/09/30,562493279
2013/10/01,549255092
2013/10/02,556467678
2013/10/03,547304064
2013/10/04,528371380
2013/10/05,510425309
2013/10/06,501160507
2013/10/07,499005594
2013/10/08,486041162
2013/10/09,484725551
2013/10/10,479202312
2013/10/11,477619435
2013/10/12,471975526
2013/10/13,467189399
2013/10/14,466340360
2013/10/15,466386984
2013/10/16,466290056
2013/10/17,455859746
2013/10/18,435199579
2013/10/19,411566332
2013/10/20,407986363
2013/10/21,408816604
2013/10/22,408811422
2013/10/23,407876180
2013/10/24,410540839
2013/10/25,396437099
2013/10/26,388614470
2013/10/27,386382714
2013/10/28,375766751
2013/10/29,377511512
2013/10/30,377886279
2013/10/31,376452743
2013/11/01,383140030
2013/11/02,386907259
2013/11/03,394179540
2013/11/04,395233779
2013/11/05,402230290
2013/11/06,433638328
2013/11/07,512629863
2013/11/08,609763888
2013/11/09,623109869
2013/11/10,639092406
2013/11/11,641310521
2013/11/12,640681655
2013/11/13,659003567
2013/11/14,660146427
2013/11/15,676269804
2013/11/16,680097483
2013/11/17,661432717
2013/11/18,813941701
2013/11/19,1149439770
2013/11/20,1244893337
2013/11/21,1438939195
2013/11/22,1515948897
2013/11/23,1563793825
2013/11/24,1580292858
2013/11/25,1592459895
2013/11/26,1715284914
2013/11/27,1869555596
2013/11/28,1981636981
2013/11/29,2065448860
2013/11/30,2058498349
2013/12/01,2050642174
2013/12/02,2113462690
2013/12/03,2124304758
2013/12/04,2191587658
2013/12/05,2267379434
2013/12/06,2269293938
2013/12/07,2263397009
2013/12/08,2265695460
2013/12/09,2257954825
2013/12/10,2243450775
2013/12/11,2238044610
2013/12/12,2202126635
2013/12/13,2151388103
2013/12/14,2147175418
2013/12/15,2148588448
2013/12/16,2152307263
2013/12/17,2152903019
2013/12/18,2166553868
2013/12/19,2158075055
2013/12/20,2147123332
2013/12/21,2120553082
2013/12/22,2113603285
2013/12/23,2102721290
2013/12/24,2078649015
2013/12/25,2080042847
2013/12/26,2061025804
2013/12/27,2035316492
2013/12/28,2008179587
2013/12/29,1997005723
2013/12/30,1989554814
2013/12/31,1994858303
2014/01/01,2031733236
2014/01/02,2040513664
2014/01/03,1992920927
2014/01/04,1961114415
2014/01/05,1954970734
2014/01/06,1947239676
