Date,confirmationtime3rsi
2013/11/22,38.485
2013/11/23,41.88
2013/11/24,46.42
2013/11/25,36.044
2013/11/26,67.893
2013/11/27,38.863
2013/11/28,29.398
2013/11/29,48.289
2013/11/30,41.817
2013/12/01,19.635
2013/12/02,69.887
2013/12/03,34.233
2013/12/04,56.251
2013/12/05,57.125
2013/12/06,29.512
2013/12/07,42.045
2013/12/08,42.045
2013/12/09,65.727
2013/12/10,43.122
2013/12/11,70.508
2013/12/12,72.256
2013/12/13,49.363
2013/12/14,26.631
2013/12/15,53.977
2013/12/16,33.127
2013/12/17,31.788
2013/12/18,39.228
2013/12/19,19.694
2013/12/20,67.678
2013/12/21,77.641
2013/12/22,63.165
2013/12/23,59.264
2013/12/24,62.718
2013/12/25,74.636
2013/12/26,34.591
2013/12/27,29.886
2013/12/28,77.246
2013/12/29,48.659
2013/12/30,42.921
2013/12/31,31.668
2014/01/01,19.386
2014/01/02,78.217
2014/01/03,51.121
