Date,size7roc
2012/03/14,35.986
2012/03/15,25.849
2012/03/16,8.048
2012/03/17,-1.053
2012/03/18,-15.688
2012/03/19,18.186
2012/03/20,-23.396
2012/03/21,-24.962
2012/03/22,-23.373
2012/03/23,5.979
2012/03/24,-18.451
2012/03/25,10.366
2012/03/26,-0.202
2012/03/27,2.734
2012/03/28,13.612
2012/03/29,24.053
2012/03/30,-4.872
2012/03/31,9.284
2012/04/01,2.575
2012/04/02,25.488
2012/04/03,39.798
2012/04/04,5.397
2012/04/05,25.554
2012/04/06,24.904
2012/04/07,30.928
2012/04/08,-3.264
2012/04/09,-23.741
2012/04/10,-7.144
2012/04/11,12.131
2012/04/12,-1.452
2012/04/13,3.469
2012/04/14,19.993
2012/04/15,65.525
2012/04/16,35.952
2012/04/17,14.637
2012/04/18,25.396
2012/04/19,-19.888
2012/04/20,7.318
2012/04/21,-12.513
2012/04/22,-28.56
2012/04/23,-9.326
2012/04/24,-13.802
2012/04/25,-17.131
2012/04/26,15.982
2012/04/27,-11.328
2012/04/28,-1.221
2012/04/29,-10.529
2012/04/30,-5.967
2012/05/01,12.568
2012/05/02,15.349
2012/05/03,42.264
2012/05/04,56.323
2012/05/05,55.896
2012/05/06,83.402
2012/05/07,104.036
2012/05/08,57.105
2012/05/09,51.762
2012/05/10,7.255
2012/05/11,52.593
2012/05/12,81.316
2012/05/13,32.483
2012/05/14,88.112
2012/05/15,75.047
2012/05/16,47.953
2012/05/17,62.79
2012/05/18,26.976
2012/05/19,69.233
2012/05/20,116.398
2012/05/21,23.162
2012/05/22,17.32
2012/05/23,32.804
2012/05/24,39.179
2012/05/25,37.998
2012/05/26,-32.128
2012/05/27,-26.748
2012/05/28,-15.375
2012/05/29,16.367
2012/05/30,-6.116
2012/05/31,-27.138
2012/06/01,-23.823
2012/06/02,-49.048
2012/06/03,31.855
2012/06/04,39.559
2012/06/05,21.426
2012/06/06,-45.762
2012/06/07,51.74
2012/06/08,-1.463
2012/06/09,134.865
2012/06/10,7.04
2012/06/11,-22.723
2012/06/12,-54.088
2012/06/13,237.213
2012/06/14,71.702
2012/06/15,96.887
2012/06/16,47.536
2012/06/17,11.083
2012/06/18,-0.824
2012/06/19,91.826
2012/06/20,-34.691
2012/06/21,-48.356
2012/06/22,-47.727
2012/06/23,-48.794
2012/06/24,-31.373
2012/06/25,-16.772
2012/06/26,-21.569
2012/06/27,-21.345
2012/06/28,-7.799
2012/06/29,-18.654
2012/06/30,12.353
2012/07/01,-27.658
2012/07/02,-17.468
2012/07/03,-31.754
2012/07/04,-18.389
2012/07/05,-20.675
2012/07/06,3.844
2012/07/07,-11.241
2012/07/08,4.563
2012/07/09,-2.049
2012/07/10,68.381
2012/07/11,52.782
2012/07/12,5.204
2012/07/13,3.876
2012/07/14,-3.938
2012/07/15,37.998
2012/07/16,40.505
2012/07/17,-10.213
2012/07/18,-5.52
2012/07/19,50.468
2012/07/20,57.13
2012/07/21,71.486
2012/07/22,12.309
2012/07/23,3.543
2012/07/24,-16.159
2012/07/25,-26.53
2012/07/26,-26.322
2012/07/27,-43.451
2012/07/28,-10.689
2012/07/29,-3.701
2012/07/30,-8.376
2012/07/31,79.406
2012/08/01,38.1
2012/08/02,10.176
2012/08/03,16.06
2012/08/04,-13.406
2012/08/05,11.303
2012/08/06,14.209
2012/08/07,-48.175
2012/08/08,0.408
2012/08/09,-11.616
2012/08/10,1.074
2012/08/11,-4.37
2012/08/12,-10.088
2012/08/13,24.748
2012/08/14,33.284
2012/08/15,45.069
2012/08/16,66.158
2012/08/17,70.965
2012/08/18,29.093
2012/08/19,13.236
2012/08/20,-28.143
2012/08/21,4.32
2012/08/22,-30.371
2012/08/23,-39.743
2012/08/24,-30.525
2012/08/25,-1.809
2012/08/26,-31.839
2012/08/27,3.787
2012/08/28,-15.577
2012/08/29,-18.49
2012/08/30,18.718
2012/08/31,35.147
2012/09/01,5.307
2012/09/02,26.794
2012/09/03,9.049
2012/09/04,38.899
2012/09/05,21.28
2012/09/06,13.857
2012/09/07,-29.546
2012/09/08,-11.48
2012/09/09,-6.247
2012/09/10,-8.246
2012/09/11,-4.05
2012/09/12,-21.273
2012/09/13,-3.935
2012/09/14,19.761
2012/09/15,-11.701
2012/09/16,0.061
2012/09/17,-32.176
2012/09/18,-23.342
2012/09/19,27.566
2012/09/20,-14.981
2012/09/21,-18.492
2012/09/22,-10.932
2012/09/23,-0.469
2012/09/24,32.722
2012/09/25,-16.93
2012/09/26,3.614
2012/09/27,-8.694
2012/09/28,14.581
2012/09/29,-6.845
2012/09/30,-21.375
2012/10/01,10.979
2012/10/02,47.205
2012/10/03,-1.227
2012/10/04,54.064
2012/10/05,25.537
2012/10/06,47.614
2012/10/07,104.839
2012/10/08,2.02
2012/10/09,10.24
2012/10/10,-6.45
2012/10/11,-23.764
2012/10/12,-23.401
2012/10/13,3.277
2012/10/14,-21.452
2012/10/15,-11.1
2012/10/16,-9.112
2012/10/17,17.2
2012/10/18,0.977
2012/10/19,4.653
2012/10/20,-9.878
2012/10/21,12.339
2012/10/22,39.199
2012/10/23,15.951
2012/10/24,-15.141
2012/10/25,0.67
2012/10/26,-30
2012/10/27,-50.212
2012/10/28,-53.966
2012/10/29,-39.716
2012/10/30,-19.958
2012/10/31,-2.575
2012/11/01,-12.731
2012/11/02,41.061
2012/11/03,62.41
2012/11/04,39.913
2012/11/05,33.408
2012/11/06,12.089
2012/11/07,15.114
2012/11/08,22.194
2012/11/09,-16.665
2012/11/10,18.419
2012/11/11,-3.614
2012/11/12,-13.488
2012/11/13,-19.68
2012/11/14,-12.359
2012/11/15,21.898
2012/11/16,60.199
2012/11/17,34.188
2012/11/18,48.548
2012/11/19,36.429
2012/11/20,28.658
2012/11/21,30.468
2012/11/22,-17.411
2012/11/23,-19.063
2012/11/24,-24.119
2012/11/25,11.792
2012/11/26,-5.277
2012/11/27,-20.772
2012/11/28,-18.177
2012/11/29,5.302
2012/11/30,6.439
2012/12/01,1.451
2012/12/02,-42.465
2012/12/03,-34.791
2012/12/04,54.117
2012/12/05,35.488
2012/12/06,24.688
2012/12/07,4.671
2012/12/08,15.219
2012/12/09,71.448
2012/12/10,69.747
2012/12/11,-13.905
2012/12/12,-2.853
2012/12/13,15.427
2012/12/14,50.746
2012/12/15,17.538
2012/12/16,22.637
2012/12/17,10.366
2012/12/18,54.841
2012/12/19,4.529
2012/12/20,2.808
2012/12/21,-8.765
2012/12/22,12.306
2012/12/23,-6.315
2012/12/24,2.787
2012/12/25,-44.807
2012/12/26,-14.107
2012/12/27,-15.342
2012/12/28,-17.465
2012/12/29,-10.337
2012/12/30,-14.236
2012/12/31,-34.687
2013/01/01,-11.829
2013/01/02,-2.962
2013/01/03,-17.702
2013/01/04,12.009
2013/01/05,-5.425
2013/01/06,-12.532
2013/01/07,19.14
2013/01/08,67.695
2013/01/09,30.033
2013/01/10,51.525
2013/01/11,31.99
2013/01/12,37.938
2013/01/13,61.386
2013/01/14,20.596
2013/01/15,6.023
2013/01/16,21.843
2013/01/17,22.176
2013/01/18,-1.055
2013/01/19,-2.12
2013/01/20,-13.419
2013/01/21,9.75
2013/01/22,-8.536
2013/01/23,-3.562
2013/01/24,-24.597
2013/01/25,-11.371
2013/01/26,-4.727
2013/01/27,15.324
2013/01/28,20.672
2013/01/29,8.642
2013/01/30,-26.926
2013/01/31,-17.446
2013/02/01,9.079
2013/02/02,4.292
2013/02/03,-7.96
2013/02/04,-8.839
2013/02/05,-9.963
2013/02/06,1.502
2013/02/07,42.767
2013/02/08,0.71
2013/02/09,13.032
2013/02/10,3.166
2013/02/11,7.413
2013/02/12,35.891
2013/02/13,22.476
2013/02/14,-11.197
2013/02/15,-19.11
2013/02/16,-30.35
2013/02/17,-18.142
2013/02/18,-12.678
2013/02/19,-16.637
2013/02/20,-5.678
2013/02/21,-9.893
2013/02/22,14.478
2013/02/23,30.598
2013/02/24,26.486
2013/02/25,4.019
2013/02/26,8.883
2013/02/27,-2.407
2013/02/28,22.061
2013/03/01,17.705
2013/03/02,10.587
2013/03/03,-1.447
2013/03/04,9.99
2013/03/05,11.339
2013/03/06,33.457
2013/03/07,16.273
2013/03/08,-17.861
2013/03/09,-13.044
2013/03/10,17.999
2013/03/11,3.511
2013/03/12,-7.499
2013/03/13,-13.884
2013/03/14,-22.728
2013/03/15,6.902
2013/03/16,-35.632
2013/03/17,-56.355
2013/03/18,-36.908
2013/03/19,-26.379
2013/03/20,-37.893
2013/03/21,-18.552
2013/03/22,-24.296
2013/03/23,24.011
2013/03/24,60.62
2013/03/25,56.74
2013/03/26,21.839
2013/03/27,83.289
2013/03/28,37.973
2013/03/29,36.107
2013/03/30,49.971
2013/03/31,13.769
2013/04/01,-17.391
2013/04/02,8.715
2013/04/03,-3.398
2013/04/04,26.423
2013/04/05,6.887
2013/04/06,-15.541
2013/04/07,38.952
2013/04/08,40.115
2013/04/09,2.1
2013/04/10,-8.559
2013/04/11,-2.29
2013/04/12,-13.832
2013/04/13,-8.437
2013/04/14,-14.723
2013/04/15,-17.031
2013/04/16,1.151
2013/04/17,-2.754
2013/04/18,-33.292
2013/04/19,29.196
2013/04/20,8.416
2013/04/21,-29.752
2013/04/22,-9.165
2013/04/23,-3.72
2013/04/24,27.934
2013/04/25,21.614
2013/04/26,-25.521
2013/04/27,-6.524
2013/04/28,-0.906
2013/04/29,0.295
2013/04/30,3.989
2013/05/01,-18.735
2013/05/02,12.077
2013/05/03,15.739
2013/05/04,7.303
2013/05/05,25.116
2013/05/06,10.59
2013/05/07,-5.761
2013/05/08,-8.095
2013/05/09,-3.963
2013/05/10,4.477
2013/05/11,20.69
2013/05/12,19.356
2013/05/13,3.441
2013/05/14,18.06
2013/05/15,39.229
2013/05/16,6.356
2013/05/17,-8.729
2013/05/18,-12.115
2013/05/19,-22.299
2013/05/20,7.218
2013/05/21,-13.826
2013/05/22,-27.118
2013/05/23,-19.331
2013/05/24,-8.625
2013/05/25,-11.065
2013/05/26,-5.778
2013/05/27,-17.904
2013/05/28,-2.542
2013/05/29,0.74
2013/05/30,-3.67
2013/05/31,-7.329
2013/06/01,-16.216
2013/06/02,-9.042
2013/06/03,-14.881
2013/06/04,-23.478
2013/06/05,-7.659
2013/06/06,-8.188
2013/06/07,5.09
2013/06/08,-1.557
2013/06/09,10.48
2013/06/10,-6.132
2013/06/11,-5.084
2013/06/12,-28.122
2013/06/13,-24.687
2013/06/14,-15.611
2013/06/15,-21.41
2013/06/16,-20.56
2013/06/17,20.642
2013/06/18,21.405
2013/06/19,50.899
2013/06/20,46.56
2013/06/21,1.119
2013/06/22,21.82
2013/06/23,0.317
2013/06/24,-5.417
2013/06/25,-14.404
2013/06/26,-24.684
2013/06/27,-19.539
2013/06/28,2.468
2013/06/29,-10.112
2013/06/30,-13.274
2013/07/01,-16.325
2013/07/02,-8.326
2013/07/03,-28.746
2013/07/04,-23.678
2013/07/05,-33.339
2013/07/06,-20.286
2013/07/07,-17.845
2013/07/08,-16.616
2013/07/09,-11.954
2013/07/10,8.096
2013/07/11,18.474
2013/07/12,68.426
2013/07/13,37.03
2013/07/14,27.951
2013/07/15,11.053
2013/07/16,7.375
2013/07/17,8.469
2013/07/18,1.6
2013/07/19,-36.25
2013/07/20,-28.136
2013/07/21,-14.745
2013/07/22,4.715
2013/07/23,11.994
2013/07/24,23.908
2013/07/25,19.784
2013/07/26,9.032
2013/07/27,14.121
2013/07/28,25.292
2013/07/29,0.799
2013/07/30,-19.504
2013/07/31,0.082
2013/08/01,-3.396
2013/08/02,13.276
2013/08/03,32.332
2013/08/04,8.987
2013/08/05,9.91
2013/08/06,25.893
2013/08/07,8.133
2013/08/08,-6.672
2013/08/09,-6.314
2013/08/10,-10.171
2013/08/11,-28.636
2013/08/12,10.162
2013/08/13,10.228
2013/08/14,7.586
2013/08/15,29.04
2013/08/16,62.792
2013/08/17,15.21
2013/08/18,61.45
2013/08/19,32.673
2013/08/20,9.133
2013/08/21,-5.089
2013/08/22,-18.637
2013/08/23,-27.095
2013/08/24,1.104
2013/08/25,9.443
2013/08/26,-15.245
2013/08/27,16.262
2013/08/28,15.79
2013/08/29,0.248
2013/08/30,4.414
2013/08/31,-25.222
2013/09/01,-33.492
2013/09/02,-29.642
2013/09/03,-25.69
2013/09/04,-8.079
2013/09/05,7.132
2013/09/06,5.79
2013/09/07,59.794
2013/09/08,38.229
2013/09/09,16.428
2013/09/10,-4.063
2013/09/11,-27.086
2013/09/12,-19.803
2013/09/13,-31.353
2013/09/14,-42.569
2013/09/15,6.41
2013/09/16,30.788
2013/09/17,31.975
2013/09/18,53.091
2013/09/19,19.684
2013/09/20,29.904
2013/09/21,38.224
2013/09/22,-19.382
2013/09/23,-14.412
2013/09/24,-20.316
2013/09/25,-28.397
2013/09/26,17.546
2013/09/27,-5.832
2013/09/28,-8.76
2013/09/29,1.956
2013/09/30,-3.42
2013/10/01,5.742
2013/10/02,37.848
2013/10/03,-9.694
2013/10/04,5.414
2013/10/05,-15.167
2013/10/06,-1.791
2013/10/07,8.993
2013/10/08,-8.729
2013/10/09,-17.888
2013/10/10,-5.219
2013/10/11,-1.894
2013/10/12,11.582
2013/10/13,4.875
2013/10/14,-22.123
2013/10/15,-20.889
2013/10/16,-11.648
2013/10/17,-3.106
2013/10/18,12.153
2013/10/19,20.945
2013/10/20,2.777
2013/10/21,23.339
2013/10/22,33.463
2013/10/23,14.723
2013/10/24,19.16
2013/10/25,-11.169
2013/10/26,-2.387
2013/10/27,-4.183
2013/10/28,-3.002
2013/10/29,8.278
2013/10/30,-7.557
2013/10/31,-14.884
2013/11/01,-16.427
2013/11/02,-16.744
2013/11/03,-10.79
2013/11/04,-11.452
2013/11/05,7.58
2013/11/06,48.595
2013/11/07,62.184
2013/11/08,116.223
2013/11/09,88.991
2013/11/10,67.386
2013/11/11,25.486
2013/11/12,-9.672
2013/11/13,-0.037
2013/11/14,-16.318
2013/11/15,-23.556
2013/11/16,-41.183
