Date,difficulty14mom
2013/01/07,-390545
2013/01/08,-252545
2013/01/09,67032
2013/01/10,269913
2013/01/11,269913
2013/01/12,269913
2013/01/13,269913
2013/01/14,269913
2013/01/15,269913
2013/01/16,269913
2013/01/17,269913
2013/01/18,269913
2013/01/19,269913
2013/01/20,269913
2013/01/21,269913
2013/01/22,131912
2013/01/23,-62394
2013/01/24,-280774
2013/01/25,-280774
2013/01/26,-280774
2013/01/27,-280774
2013/01/28,-280774
2013/01/29,-280774
2013/01/30,-280774
2013/01/31,-280774
2013/02/01,-280774
2013/02/02,-280774
2013/02/03,-280774
2013/02/04,-280774
2013/02/05,-133857
2013/02/06,88309
2013/02/07,306689
2013/02/08,306689
2013/02/09,306689
2013/02/10,306689
2013/02/11,306689
2013/02/12,306689
2013/02/13,306689
2013/02/14,306689
2013/02/15,306689
2013/02/16,306689
2013/02/17,306689
2013/02/18,670573
2013/02/19,535319
2013/02/20,375547
2013/02/21,375547
2013/02/22,375547
2013/02/23,375547
2013/02/24,375547
2013/02/25,375547
2013/02/26,375547
2013/02/27,375547
2013/02/28,375547
2013/03/01,568912
2013/03/02,1092411
2013/03/03,1092411
2013/03/04,728527
2013/03/05,716864
2013/03/06,716864
2013/03/07,716864
2013/03/08,716864
2013/03/09,716864
2013/03/10,716864
2013/03/11,716864
2013/03/12,716864
2013/03/13,716864
2013/03/14,1014376
2013/03/15,1003271
2013/03/16,479771
2013/03/17,479771
2013/03/18,479771
2013/03/19,479771
2013/03/20,479771
2013/03/21,479771
2013/03/22,479771
2013/03/23,479771
2013/03/24,1213176
2013/03/25,2327950
2013/03/26,2327950
2013/03/27,2327950
2013/03/28,2030439
2013/03/29,1848179
2013/03/30,1848179
2013/03/31,1848179
2013/04/01,1848179
2013/04/02,1848179
2013/04/03,1848179
2013/04/04,1848179
2013/04/05,2157411
2013/04/06,2825353
2013/04/07,2091948
2013/04/08,977174
2013/04/09,977174
2013/04/10,977174
2013/04/11,977174
2013/04/12,977174
2013/04/13,977174
2013/04/14,977174
2013/04/15,977174
2013/04/16,977174
2013/04/17,1342450
2013/04/18,2278470
2013/04/19,1969238
2013/04/20,1301296
2013/04/21,1301296
2013/04/22,1301296
2013/04/23,1301296
2013/04/24,1301296
2013/04/25,1301296
2013/04/26,1301296
2013/04/27,1301296
2013/04/28,1301296
2013/04/29,1301296
2013/04/30,2181414
2013/05/01,2038017
2013/05/02,1101997
2013/05/03,1101997
2013/05/04,1101997
2013/05/05,1101997
2013/05/06,1101997
2013/05/07,1101997
2013/05/08,1101997
2013/05/09,1101997
2013/05/10,1101997
2013/05/11,1101997
2013/05/12,1326835
2013/05/13,2212961
2013/05/14,1332843
2013/05/15,1110965
2013/05/16,1110965
2013/05/17,1110965
2013/05/18,1110965
2013/05/19,1110965
2013/05/20,1110965
2013/05/21,1110965
2013/05/22,1110965
2013/05/23,1110965
2013/05/24,1110965
2013/05/25,1374461
2013/05/26,1852281
2013/05/27,966154
2013/05/28,966154
2013/05/29,966154
2013/05/30,966154
2013/05/31,966154
2013/06/01,966154
2013/06/02,966154
2013/06/03,966154
2013/06/04,966154
2013/06/05,2279499
2013/06/06,4418375
2013/06/07,4418375
2013/06/08,4154879
2013/06/09,3452221
2013/06/10,3452221
2013/06/11,3452221
2013/06/12,3452221
2013/06/13,3452221
2013/06/14,3452221
2013/06/15,3452221
2013/06/16,3795311
2013/06/17,7185847
2013/06/18,7185847
2013/06/19,5872502
2013/06/20,3733626
2013/06/21,3733626
2013/06/22,3733626
2013/06/23,3733626
2013/06/24,3733626
2013/06/25,3733626
2013/06/26,3733626
2013/06/27,3733626
2013/06/28,3733626
2013/06/29,4572212
2013/06/30,5386607
2013/07/01,1996071
2013/07/02,1996071
2013/07/03,1996071
2013/07/04,1996071
2013/07/05,1996071
2013/07/06,1996071
2013/07/07,1996071
2013/07/08,1996071
2013/07/09,1996071
2013/07/10,1996071
2013/07/11,6768128
2013/07/12,6823617
2013/07/13,5985031
2013/07/14,4827547
2013/07/15,4827547
2013/07/16,4827547
2013/07/17,4827547
2013/07/18,4827547
2013/07/19,4827547
2013/07/20,4827547
2013/07/21,4827547
2013/07/22,5846364
2013/07/23,9921632
2013/07/24,9921632
2013/07/25,5149574
2013/07/26,5094085
2013/07/27,5094085
2013/07/28,5094085
2013/07/29,5094085
2013/07/30,5094085
2013/07/31,5094085
2013/08/01,5094085
2013/08/02,5094085
2013/08/03,7981523
2013/08/04,11229890
2013/08/05,10211073
2013/08/06,6135805
2013/08/07,6135805
2013/08/08,6135805
2013/08/09,6135805
2013/08/10,6135805
2013/08/11,6135805
2013/08/12,6135805
2013/08/13,8555368
2013/08/14,19553378
2013/08/15,19553378
2013/08/16,19553378
2013/08/17,16665940
2013/08/18,13417573
2013/08/19,13417573
2013/08/20,13417573
2013/08/21,13417573
2013/08/22,13417573
2013/08/23,13417573
2013/08/24,18724031
2013/08/25,28357294
2013/08/26,28357294
2013/08/27,25937732
2013/08/28,14939721
2013/08/29,14939721
2013/08/30,14939721
2013/08/31,14939721
2013/09/01,14939721
2013/09/02,14939721
2013/09/03,14939721
2013/09/04,30924407
2013/09/05,36122679
2013/09/06,36122679
2013/09/07,30816220
2013/09/08,21182958
2013/09/09,21182958
2013/09/10,21182958
2013/09/11,21182958
2013/09/12,21182958
2013/09/13,21182958
2013/09/14,21418696
2013/09/15,46878489
2013/09/16,46878489
2013/09/17,46878489
2013/09/18,30893803
2013/09/19,25695531
2013/09/20,25695531
2013/09/21,25695531
2013/09/22,25695531
2013/09/23,25695531
2013/09/24,25695531
2013/09/25,38871739
2013/09/26,61886182
2013/09/27,61886182
2013/09/28,61650443
2013/09/29,36190651
2013/09/30,36190651
2013/10/01,36190651
2013/10/02,36190651
2013/10/03,36190651
2013/10/04,36190651
2013/10/05,36190651
2013/10/06,51500616
2013/10/07,76652701
2013/10/08,76652701
2013/10/09,63476493
2013/10/10,40462049
2013/10/11,40462049
2013/10/12,40462049
2013/10/13,40462049
2013/10/14,40462049
2013/10/15,40462049
2013/10/16,71094907
2013/10/17,118912050
2013/10/18,118912050
2013/10/19,118912050
2013/10/20,103602085
2013/10/21,78450000
2013/10/22,78450000
2013/10/23,78450000
2013/10/24,78450000
2013/10/25,78450000
2013/10/26,184047890
2013/10/27,201647538
2013/10/28,201647538
2013/10/29,201647538
2013/10/30,171014681
2013/10/31,123197538
2013/11/01,123197538
2013/11/02,123197538
2013/11/03,123197538
2013/11/04,123197538
2013/11/05,144577018
2013/11/06,243198489
2013/11/07,243198489
2013/11/08,243198489
2013/11/09,137600599
2013/11/10,120000950
2013/11/11,120000950
2013/11/12,120000950
2013/11/13,120000950
2013/11/14,120000950
2013/11/15,120000950
2013/11/16,120000950
2013/11/17,151792222
2013/11/18,218553892
2013/11/19,197174413
2013/11/20,98552942
2013/11/21,98552942
2013/11/22,98552942
2013/11/23,98552942
2013/11/24,98552942
2013/11/25,98552942
2013/11/26,98552942
2013/11/27,98552942
2013/11/28,98552942
2013/11/29,123458876
2013/11/30,196478545
2013/12/01,164687273
2013/12/02,97925603
2013/12/03,97925603
