Date,top100cap90var
2012/05/23,0.622
2012/05/24,0.655
2012/05/25,0.697
2012/05/26,0.737
2012/05/27,0.774
2012/05/28,0.81
2012/05/29,0.844
2012/05/30,0.879
2012/05/31,0.902
2012/06/01,0.904
2012/06/02,0.905
2012/06/03,0.904
2012/06/04,0.901
2012/06/05,0.896
2012/06/06,0.89
2012/06/07,0.882
2012/06/08,0.872
2012/06/09,0.87
2012/06/10,0.861
2012/06/11,0.848
2012/06/12,0.835
2012/06/13,0.829
2012/06/14,0.82
2012/06/15,0.807
2012/06/16,0.794
2012/06/17,0.777
2012/06/18,0.761
2012/06/19,0.742
2012/06/20,0.719
2012/06/21,0.697
2012/06/22,0.673
2012/06/23,0.66
2012/06/24,0.647
2012/06/25,0.63
2012/06/26,0.614
2012/06/27,0.599
2012/06/28,0.584
2012/06/29,0.565
2012/06/30,0.546
2012/07/01,0.53
2012/07/02,0.507
2012/07/03,0.492
2012/07/04,0.479
2012/07/05,0.473
2012/07/06,0.466
2012/07/07,0.459
2012/07/08,0.439
2012/07/09,0.418
2012/07/10,0.396
2012/07/11,0.375
2012/07/12,0.353
2012/07/13,0.327
2012/07/14,0.303
2012/07/15,0.287
2012/07/16,0.276
2012/07/17,0.264
2012/07/18,0.253
2012/07/19,0.246
2012/07/20,0.239
2012/07/21,0.233
2012/07/22,0.227
2012/07/23,0.221
2012/07/24,0.212
2012/07/25,0.205
2012/07/26,0.197
2012/07/27,0.189
2012/07/28,0.177
2012/07/29,0.163
2012/07/30,0.15
2012/07/31,0.135
2012/08/01,0.12
2012/08/02,0.103
2012/08/03,0.088
2012/08/04,0.084
2012/08/05,0.082
2012/08/06,0.079
2012/08/07,0.077
2012/08/08,0.076
2012/08/09,0.079
2012/08/10,0.081
2012/08/11,0.084
2012/08/12,0.087
2012/08/13,0.093
2012/08/14,0.097
2012/08/15,0.1
2012/08/16,0.102
2012/08/17,0.105
2012/08/18,0.108
2012/08/19,0.119
2012/08/20,0.139
2012/08/21,0.163
2012/08/22,0.195
2012/08/23,0.226
2012/08/24,0.264
2012/08/25,0.306
2012/08/26,0.344
2012/08/27,0.39
2012/08/28,0.435
2012/08/29,0.491
2012/08/30,0.57
2012/08/31,0.648
2012/09/01,0.735
2012/09/02,0.828
2012/09/03,0.918
2012/09/04,1.01
2012/09/05,1.116
2012/09/06,1.228
2012/09/07,1.343
2012/09/08,1.46
2012/09/09,1.579
2012/09/10,1.703
2012/09/11,1.838
2012/09/12,1.984
2012/09/13,2.143
2012/09/14,2.311
2012/09/15,2.487
2012/09/16,2.67
2012/09/17,2.857
2012/09/18,3.043
2012/09/19,3.25
2012/09/20,3.455
2012/09/21,3.621
2012/09/22,3.788
2012/09/23,3.964
2012/09/24,4.136
2012/09/25,4.303
2012/09/26,4.454
2012/09/27,4.6
2012/09/28,4.739
2012/09/29,4.865
2012/09/30,4.991
2012/10/01,5.109
2012/10/02,5.208
2012/10/03,5.3
2012/10/04,5.38
2012/10/05,5.449
2012/10/06,5.513
2012/10/07,5.572
2012/10/08,5.635
2012/10/09,5.685
2012/10/10,5.692
2012/10/11,5.696
2012/10/12,5.698
2012/10/13,5.69
2012/10/14,5.686
2012/10/15,5.68
2012/10/16,5.657
2012/10/17,5.635
2012/10/18,5.607
2012/10/19,5.572
2012/10/20,5.532
2012/10/21,5.469
2012/10/22,5.394
2012/10/23,5.309
2012/10/24,5.212
2012/10/25,5.113
2012/10/26,5.006
2012/10/27,4.888
2012/10/28,4.768
2012/10/29,4.646
2012/10/30,4.501
2012/10/31,4.364
2012/11/01,4.222
2012/11/02,4.076
2012/11/03,3.924
2012/11/04,3.763
2012/11/05,3.597
2012/11/06,3.428
2012/11/07,3.268
2012/11/08,3.101
2012/11/09,2.936
2012/11/10,2.767
2012/11/11,2.603
2012/11/12,2.427
2012/11/13,2.243
2012/11/14,2.049
2012/11/15,1.856
2012/11/16,1.658
2012/11/17,1.497
2012/11/18,1.366
2012/11/19,1.246
2012/11/20,1.141
2012/11/21,1.037
2012/11/22,0.945
2012/11/23,0.858
2012/11/24,0.768
2012/11/25,0.688
2012/11/26,0.611
2012/11/27,0.541
2012/11/28,0.487
2012/11/29,0.435
2012/11/30,0.39
2012/12/01,0.35
2012/12/02,0.31
2012/12/03,0.273
2012/12/04,0.244
2012/12/05,0.22
2012/12/06,0.199
2012/12/07,0.182
2012/12/08,0.165
2012/12/09,0.15
2012/12/10,0.142
2012/12/11,0.137
2012/12/12,0.135
2012/12/13,0.133
2012/12/14,0.133
2012/12/15,0.133
2012/12/16,0.133
2012/12/17,0.133
2012/12/18,0.131
2012/12/19,0.129
2012/12/20,0.129
2012/12/21,0.129
2012/12/22,0.127
2012/12/23,0.126
2012/12/24,0.124
2012/12/25,0.121
2012/12/26,0.119
2012/12/27,0.116
2012/12/28,0.114
2012/12/29,0.111
2012/12/30,0.108
2012/12/31,0.105
2013/01/01,0.102
2013/01/02,0.1
2013/01/03,0.098
2013/01/04,0.095
2013/01/05,0.092
2013/01/06,0.087
2013/01/07,0.082
2013/01/08,0.078
2013/01/09,0.075
2013/01/10,0.072
2013/01/11,0.068
2013/01/12,0.064
2013/01/13,0.06
2013/01/14,0.058
2013/01/15,0.057
2013/01/16,0.055
2013/01/17,0.053
2013/01/18,0.052
2013/01/19,0.052
2013/01/20,0.054
2013/01/21,0.056
2013/01/22,0.057
2013/01/23,0.058
2013/01/24,0.06
2013/01/25,0.062
2013/01/26,0.062
2013/01/27,0.062
2013/01/28,0.062
2013/01/29,0.063
2013/01/30,0.063
2013/01/31,0.063
2013/02/01,0.063
2013/02/02,0.063
2013/02/03,0.063
2013/02/04,0.064
2013/02/05,0.064
2013/02/06,0.064
2013/02/07,0.064
2013/02/08,0.065
2013/02/09,0.065
2013/02/10,0.066
2013/02/11,0.066
2013/02/12,0.066
2013/02/13,0.066
2013/02/14,0.066
2013/02/15,0.066
