Date,transactionvalue30emaUSD
2012/08/27,1204
2012/08/28,1287
2012/08/29,1506
2012/08/30,1647
2012/08/31,1690
2012/09/01,1720
2012/09/02,1724
2012/09/03,1678
2012/09/04,1679
2012/09/05,1726
2012/09/06,1981
2012/09/07,2246
2012/09/08,2275
2012/09/09,2216
2012/09/10,2475
2012/09/11,2699
2012/09/12,2807
2012/09/13,3193
2012/09/14,3360
2012/09/15,3335
2012/09/16,3496
2012/09/17,3679
2012/09/18,3750
2012/09/19,4286
2012/09/20,4417
2012/09/21,4814
2012/09/22,5037
2012/09/23,4932
2012/09/24,4831
2012/09/25,4577
2012/09/26,4324
2012/09/27,4083
2012/09/28,3883
2012/09/29,3675
2012/09/30,3494
2012/10/01,3321
2012/10/02,3156
2012/10/03,2991
2012/10/04,2829
2012/10/05,2706
2012/10/06,2580
2012/10/07,2454
2012/10/08,2331
2012/10/09,2210
2012/10/10,2089
2012/10/11,1989
2012/10/12,1931
2012/10/13,1870
2012/10/14,1787
2012/10/15,1693
2012/10/16,1644
2012/10/17,1618
2012/10/18,1605
2012/10/19,1583
2012/10/20,1548
2012/10/21,1491
2012/10/22,1434
2012/10/23,1403
2012/10/24,1357
2012/10/25,1308
2012/10/26,1256
2012/10/27,1243
2012/10/28,1198
2012/10/29,1153
2012/10/30,1172
2012/10/31,1193
2012/11/01,1194
2012/11/02,1137
2012/11/03,1118
2012/11/04,1110
2012/11/05,1088
2012/11/06,1059
2012/11/07,1026
2012/11/08,988.6
2012/11/09,948.919
2012/11/10,898.841
2012/11/11,853.251
2012/11/12,812.325
2012/11/13,782.041
2012/11/14,762.198
2012/11/15,763.539
2012/11/16,783.671
2012/11/17,794.755
2012/11/18,789.038
2012/11/19,766.51
2012/11/20,749.153
2012/11/21,718.632
2012/11/22,708.486
2012/11/23,690.675
2012/11/24,677.647
2012/11/25,651.484
2012/11/26,634.493
2012/11/27,634.187
2012/11/28,633.319
2012/11/29,618.252
2012/11/30,599.769
2012/12/01,576.184
2012/12/02,578.594
2012/12/03,606.093
2012/12/04,631.589
2012/12/05,663
2012/12/06,695.398
2012/12/07,706.471
2012/12/08,687.195
2012/12/09,680.72
2012/12/10,661.498
2012/12/11,657.038
2012/12/12,700.228
2012/12/13,734.793
2012/12/14,753.444
2012/12/15,749.506
2012/12/16,744.506
2012/12/17,733.984
2012/12/18,727.376
2012/12/19,702.423
2012/12/20,679.86
2012/12/21,668.56
2012/12/22,649.087
2012/12/23,627.586
2012/12/24,612.492
2012/12/25,591.054
2012/12/26,567.784
2012/12/27,547.208
2012/12/28,531.631
2012/12/29,519.885
2012/12/30,500.843
2012/12/31,507.961
2013/01/01,515.539
2013/01/02,524.254
2013/01/03,525.446
2013/01/04,532.348
2013/01/05,543.007
2013/01/06,536.11
2013/01/07,532.893
2013/01/08,546.537
2013/01/09,546.163
2013/01/10,533.409
2013/01/11,521.739
2013/01/12,507.382
2013/01/13,490.685
2013/01/14,481.615
2013/01/15,492.367
2013/01/16,498.722
2013/01/17,502.934
2013/01/18,503.677
2013/01/19,498.222
2013/01/20,494.689
2013/01/21,491.788
2013/01/22,495.891
2013/01/23,520.605
2013/01/24,525.153
2013/01/25,526.197
2013/01/26,520.594
2013/01/27,516.549
2013/01/28,520.163
2013/01/29,542.65
2013/01/30,587.479
2013/01/31,588.617
2013/02/01,590.401
2013/02/02,584.338
2013/02/03,575.875
2013/02/04,586.108
2013/02/05,596.929
2013/02/06,616.059
2013/02/07,614.871
2013/02/08,626.114
2013/02/09,631.883
2013/02/10,627.45
2013/02/11,622.134
2013/02/12,615.741
2013/02/13,608.234
2013/02/14,616.765
2013/02/15,616.127
2013/02/16,618.445
2013/02/17,617.906
2013/02/18,619.922
2013/02/19,627.525
2013/02/20,624.415
2013/02/21,619.457
2013/02/22,627.291
2013/02/23,628.192
2013/02/24,642.982
2013/02/25,653.1
2013/02/26,659.242
2013/02/27,665.126
2013/02/28,669.79
2013/03/01,681.203
2013/03/02,694.382
2013/03/03,685.347
2013/03/04,673.875
2013/03/05,710.818
2013/03/06,757.948
2013/03/07,773.018
2013/03/08,780.619
2013/03/09,781.386
2013/03/10,778.985
2013/03/11,777.993
2013/03/12,815.168
2013/03/13,835.715
2013/03/14,838.785
2013/03/15,1024
2013/03/16,1150
2013/03/17,1148
2013/03/18,1332
2013/03/19,1386
2013/03/20,1448
2013/03/21,1506
2013/03/22,1515
2013/03/23,1528
2013/03/24,1510
2013/03/25,1553
2013/03/26,1627
2013/03/27,1785
2013/03/28,1835
2013/03/29,1847
2013/03/30,1901
2013/03/31,1979
2013/04/01,2019
2013/04/02,2172
