Date,price3trxUSD
2012/03/03,-0.536
2012/03/04,-0.652
2012/03/05,-0.096
2012/03/06,0.508
2012/03/07,0.682
2012/03/08,0.55
2012/03/09,0.281
2012/03/10,-0.029
2012/03/11,-0.123
2012/03/12,-0.057
2012/03/13,0.465
2012/03/14,1.36
2012/03/15,1.735
2012/03/16,1.591
2012/03/17,1.092
2012/03/18,0.589
2012/03/19,-0.387
2012/03/20,-1.415
2012/03/21,-1.611
2012/03/22,-1.601
2012/03/23,-1.474
2012/03/24,-1.294
2012/03/25,-1.214
2012/03/26,-1.114
2012/03/27,-0.573
2012/03/28,0.064
2012/03/29,0.329
2012/03/30,0.504
2012/03/31,0.631
2012/04/01,0.533
2012/04/02,0.463
2012/04/03,0.593
2012/04/04,0.521
2012/04/05,0.374
2012/04/06,0.277
2012/04/07,-0.095
2012/04/08,-0.505
2012/04/09,-0.421
2012/04/10,-0.204
2012/04/11,0.02
2012/04/12,0.237
2012/04/13,0.293
2012/04/14,0.352
2012/04/15,0.374
2012/04/16,0.298
2012/04/17,0.254
2012/04/18,0.405
2012/04/19,0.656
2012/04/20,1
2012/04/21,1.262
2012/04/22,0.977
2012/04/23,0.284
2012/04/24,-0.273
2012/04/25,-0.292
2012/04/26,-0.201
2012/04/27,-0.143
2012/04/28,-0.257
2012/04/29,-0.544
2012/04/30,-0.669
2012/05/01,-0.523
2012/05/02,-0.195
2012/05/03,0.185
2012/05/04,0.318
2012/05/05,0.273
2012/05/06,0.174
2012/05/07,0.074
2012/05/08,0.049
2012/05/09,-0.015
2012/05/10,-0.276
2012/05/11,-0.523
2012/05/12,-0.473
2012/05/13,-0.373
2012/05/14,-0.173
2012/05/15,0.089
2012/05/16,0.303
2012/05/17,0.442
2012/05/18,0.482
2012/05/19,0.437
2012/05/20,0.329
2012/05/21,0.215
2012/05/22,0.13
2012/05/23,0.123
2012/05/24,0.139
2012/05/25,0.14
2012/05/26,0.065
2012/05/27,0.038
2012/05/28,0.055
2012/05/29,0.092
2012/05/30,0.095
2012/05/31,0.117
2012/06/01,0.31
2012/06/02,0.448
2012/06/03,0.367
2012/06/04,0.293
2012/06/05,0.484
2012/06/06,0.782
2012/06/07,1.03
2012/06/08,1.205
2012/06/09,1.09
2012/06/10,0.67
2012/06/11,0.358
2012/06/12,0.457
2012/06/13,0.91
2012/06/14,1.309
2012/06/15,1.957
2012/06/16,2.521
2012/06/17,2.135
2012/06/18,1.453
2012/06/19,1.204
2012/06/20,1.341
2012/06/21,1.459
2012/06/22,1.204
2012/06/23,0.636
2012/06/24,0.048
2012/06/25,-0.374
2012/06/26,-0.428
2012/06/27,-0.011
2012/06/28,0.402
2012/06/29,0.558
2012/06/30,0.613
2012/07/01,0.53
2012/07/02,0.444
2012/07/03,0.203
2012/07/04,-0.198
2012/07/05,-0.186
2012/07/06,0.026
2012/07/07,0.29
2012/07/08,0.484
2012/07/09,0.747
2012/07/10,1.171
2012/07/11,1.363
2012/07/12,1.783
2012/07/13,2.151
2012/07/14,1.85
2012/07/15,1.402
2012/07/16,1.849
2012/07/17,2.855
2012/07/18,3.497
2012/07/19,3.325
2012/07/20,2.253
2012/07/21,1.355
2012/07/22,0.664
2012/07/23,-0.02
2012/07/24,-0.237
2012/07/25,-0.038
2012/07/26,0.374
2012/07/27,0.63
2012/07/28,0.648
2012/07/29,0.41
2012/07/30,0.358
2012/07/31,0.75
2012/08/01,1.234
2012/08/02,2.145
2012/08/03,3.373
2012/08/04,3.759
2012/08/05,3.25
2012/08/06,2.392
2012/08/07,1.798
2012/08/08,1.391
2012/08/09,1.037
2012/08/10,0.983
2012/08/11,1.106
2012/08/12,1.116
2012/08/13,1.257
2012/08/14,1.49
2012/08/15,2.078
2012/08/16,2.821
2012/08/17,1.912
2012/08/18,0.224
2012/08/19,-2.678
2012/08/20,-4.829
2012/08/21,-4.387
2012/08/22,-3.425
2012/08/23,-2.386
2012/08/24,-1.015
2012/08/25,0.114
2012/08/26,0.684
2012/08/27,1.007
2012/08/28,1.222
2012/08/29,1.124
2012/08/30,0.727
2012/08/31,0.037
2012/09/01,-0.827
2012/09/02,-1.136
2012/09/03,-0.767
2012/09/04,-0.293
2012/09/05,0.279
2012/09/06,1.018
2012/09/07,1.278
2012/09/08,1.144
2012/09/09,0.847
2012/09/10,0.642
2012/09/11,0.637
2012/09/12,0.699
2012/09/13,0.61
2012/09/14,0.757
2012/09/15,0.962
2012/09/16,1.011
2012/09/17,0.963
2012/09/18,1.032
2012/09/19,1.279
2012/09/20,1.29
2012/09/21,1.046
2012/09/22,0.629
2012/09/23,0.282
2012/09/24,-0.01
2012/09/25,-0.124
2012/09/26,-0.057
2012/09/27,0.115
2012/09/28,0.191
2012/09/29,0.27
2012/09/30,0.25
2012/10/01,0.19
2012/10/02,0.395
2012/10/03,0.711
2012/10/04,0.792
2012/10/05,0.585
2012/10/06,0.273
2012/10/07,-0.418
2012/10/08,-1.073
2012/10/09,-1.296
2012/10/10,-1.005
2012/10/11,-0.593
2012/10/12,-0.317
2012/10/13,-0.289
2012/10/14,-0.406
2012/10/15,-0.53
2012/10/16,-0.385
2012/10/17,-0.258
2012/10/18,-0.104
2012/10/19,-0.05
2012/10/20,-0.132
2012/10/21,-0.231
2012/10/22,-0.27
2012/10/23,-0.221
2012/10/24,-0.208
2012/10/25,-0.6
2012/10/26,-1.574
2012/10/27,-2.288
2012/10/28,-2.069
2012/10/29,-1.391
2012/10/30,-0.71
2012/10/31,0.075
2012/11/01,0.278
2012/11/02,-0.142
2012/11/03,-0.369
2012/11/04,-0.217
2012/11/05,-0.008
2012/11/06,0.151
2012/11/07,0.316
2012/11/08,0.374
2012/11/09,0.285
2012/11/10,0.163
2012/11/11,0.109
2012/11/12,0.128
2012/11/13,0.195
2012/11/14,0.204
2012/11/15,0.311
2012/11/16,0.774
2012/11/17,1.279
2012/11/18,1.309
2012/11/19,1.11
2012/11/20,0.821
2012/11/21,0.588
2012/11/22,0.782
2012/11/23,1.12
2012/11/24,1.201
2012/11/25,1.104
2012/11/26,0.808
2012/11/27,0.39
2012/11/28,0.172
2012/11/29,0.193
2012/11/30,0.365
2012/12/01,0.434
2012/12/02,0.373
2012/12/03,0.335
2012/12/04,0.716
2012/12/05,1.222
2012/12/06,1.237
2012/12/07,1.121
2012/12/08,0.963
2012/12/09,0.703
2012/12/10,0.48
2012/12/11,0.424
2012/12/12,0.508
2012/12/13,0.517
2012/12/14,0.404
2012/12/15,0.182
2012/12/16,-0.103
2012/12/17,-0.352
2012/12/18,-0.429
2012/12/19,-0.232
2012/12/20,0.051
2012/12/21,0.162
2012/12/22,0.078
2012/12/23,-0.038
2012/12/24,-0.11
2012/12/25,-0.119
2012/12/26,-0.078
2012/12/27,-0.011
2012/12/28,0.017
2012/12/29,0.041
2012/12/30,0.03
2012/12/31,0.035
2013/01/01,-0.006
2013/01/02,-0.223
2013/01/03,-0.316
2013/01/04,-0.302
2013/01/05,-0.287
2013/01/06,-0.292
2013/01/07,-0.223
2013/01/08,0.08
2013/01/09,0.436
2013/01/10,0.704
2013/01/11,0.956
2013/01/12,0.948
2013/01/13,0.737
2013/01/14,0.569
2013/01/15,0.405
2013/01/16,0.483
2013/01/17,1.079
2013/01/18,1.691
2013/01/19,1.762
2013/01/20,1.532
2013/01/21,1.598
2013/01/22,2.136
2013/01/23,2.474
2013/01/24,2.211
2013/01/25,1.634
2013/01/26,1.368
2013/01/27,1.186
2013/01/28,1.274
2013/01/29,1.791
2013/01/30,2.17
2013/01/31,2.572
2013/02/01,2.763
2013/02/02,2.325
2013/02/03,1.732
2013/02/04,1.264
2013/02/05,0.885
2013/02/06,0.825
2013/02/07,1.194
2013/02/08,1.75
2013/02/09,2.298
2013/02/10,2.527
2013/02/11,2.517
2013/02/12,2.373
2013/02/13,2.053
2013/02/14,2.101
2013/02/15,2.524
2013/02/16,2.52
2013/02/17,2.132
2013/02/18,1.61
2013/02/19,1.7
2013/02/20,2.188
2013/02/21,2.334
2013/02/22,2.04
2013/02/23,1.47
2013/02/24,0.864
2013/02/25,0.465
2013/02/26,0.382
2013/02/27,0.639
2013/02/28,1.38
2013/03/01,2.415
2013/03/02,2.567
2013/03/03,1.925
2013/03/04,1.629
2013/03/05,2.593
2013/03/06,3.746
2013/03/07,4.145
2013/03/08,4.121
2013/03/09,4.12
2013/03/10,3.952
2013/03/11,3.525
2013/03/12,2.507
2013/03/13,1.235
2013/03/14,0.579
2013/03/15,0.339
2013/03/16,0.39
2013/03/17,0.336
2013/03/18,0.921
2013/03/19,2.624
2013/03/20,4.971
2013/03/21,7.027
2013/03/22,7.246
2013/03/23,5.571
2013/03/24,4.091
2013/03/25,3.777
2013/03/26,3.744
2013/03/27,4.702
2013/03/28,5.778
2013/03/29,5.563
2013/03/30,4.671
2013/03/31,3.788
2013/04/01,3.723
2013/04/02,5.184
2013/04/03,6.968
2013/04/04,7.181
2013/04/05,6.652
2013/04/06,5.982
2013/04/07,5.654
2013/04/08,6.915
2013/04/09,9.62
2013/04/10,7.834
2013/04/11,0.335
2013/04/12,-5.735
2013/04/13,-7.92
2013/04/14,-8.509
2013/04/15,-8.286
2013/04/16,-8.563
2013/04/17,-7.698
2013/04/18,-4.014
2013/04/19,0.567
2013/04/20,3.943
2013/04/21,4.759
2013/04/22,4.068
2013/04/23,3.894
2013/04/24,4.945
2013/04/25,5.382
2013/04/26,4.02
2013/04/27,1.987
2013/04/28,0.458
2013/04/29,0.34
2013/04/30,0.79
2013/05/01,0.03
2013/05/02,-1.819
2013/05/03,-3.528
2013/05/04,-3.8
2013/05/05,-2.429
2013/05/06,-1.234
2013/05/07,-0.787
2013/05/08,-0.649
2013/05/09,-0.671
2013/05/10,-0.382
2013/05/11,0.073
2013/05/12,0.226
2013/05/13,0.292
2013/05/14,-0.128
2013/05/15,-0.84
2013/05/16,-0.862
2013/05/17,-0.279
2013/05/18,0.394
2013/05/19,0.699
2013/05/20,0.748
2013/05/21,0.88
2013/05/22,0.999
2013/05/23,1.149
2013/05/24,1.725
2013/05/25,2.161
2013/05/26,2.173
2013/05/27,1.8
2013/05/28,1.073
2013/05/29,0.609
2013/05/30,0.416
2013/05/31,0.219
2013/06/01,0.14
2013/06/02,-0.175
2013/06/03,-0.718
2013/06/04,-0.999
2013/06/05,-0.947
2013/06/06,-0.834
2013/06/07,-1.115
2013/06/08,-1.635
2013/06/09,-2.231
2013/06/10,-2.497
2013/06/11,-2.028
2013/06/12,-1.274
2013/06/13,-0.821
2013/06/14,-1.001
2013/06/15,-1.357
2013/06/16,-1.389
2013/06/17,-1.137
2013/06/18,-0.492
2013/06/19,0.121
2013/06/20,0.496
2013/06/21,0.618
2013/06/22,0.28
2013/06/23,-0.218
2013/06/24,-0.846
2013/06/25,-1.228
2013/06/26,-1.152
2013/06/27,-1.088
2013/06/28,-1.472
2013/06/29,-1.93
2013/06/30,-1.88
2013/07/01,-2.123
2013/07/02,-2.366
2013/07/03,-2.466
2013/07/04,-2.634
2013/07/05,-3.223
2013/07/06,-4.291
2013/07/07,-3.891
2013/07/08,-2.404
2013/07/09,-1.358
2013/07/10,-0.124
2013/07/11,1.474
2013/07/12,2.688
2013/07/13,3.357
2013/07/14,3.153
2013/07/15,2.705
2013/07/16,2.196
2013/07/17,1.486
2013/07/18,0.596
2013/07/19,-0.318
2013/07/20,-0.739
2013/07/21,-0.797
2013/07/22,-0.651
2013/07/23,-0.304
2013/07/24,0.108
2013/07/25,0.522
2013/07/26,0.853
2013/07/27,0.796
2013/07/28,0.597
2013/07/29,0.819
2013/07/30,1.131
2013/07/31,1.561
2013/08/01,1.562
2013/08/02,1.255
2013/08/03,0.891
2013/08/04,0.482
2013/08/05,0.333
2013/08/06,0.439
2013/08/07,0.532
2013/08/08,0.318
2013/08/09,-0.094
2013/08/10,-0.417
2013/08/11,-0.563
2013/08/12,-0.42
2013/08/13,-0.133
2013/08/14,0.225
2013/08/15,0.471
2013/08/16,0.465
2013/08/17,0.405
2013/08/18,0.335
2013/08/19,0.395
2013/08/20,0.793
2013/08/21,1.444
2013/08/22,1.878
2013/08/23,1.665
2013/08/24,1.231
2013/08/25,1.059
2013/08/26,0.993
2013/08/27,1.222
2013/08/28,1.608
2013/08/29,1.661
2013/08/30,1.719
2013/08/31,1.935
2013/09/01,2.083
2013/09/02,1.97
2013/09/03,1.548
2013/09/04,0.682
2013/09/05,-0.233
2013/09/06,-0.905
2013/09/07,-1.111
2013/09/08,-0.855
2013/09/09,-0.43
2013/09/10,0.084
2013/09/11,0.53
2013/09/12,0.879
2013/09/13,0.967
2013/09/14,0.842
2013/09/15,0.62
2013/09/16,0.432
