Date,confirmationtime3std
2013/03/22,0.44
2013/03/23,0.314
2013/03/24,1.127
2013/03/25,2.825
2013/03/26,2.061
2013/03/27,1.215
2013/03/28,2.552
2013/03/29,2.773
2013/03/30,0.408
2013/03/31,0.212
2013/04/01,1.096
2013/04/02,1.02
2013/04/03,0.804
2013/04/04,1.207
2013/04/05,0.966
2013/04/06,0.422
2013/04/07,0.292
2013/04/08,0.457
2013/04/09,0.906
2013/04/10,1.447
2013/04/11,1.196
2013/04/12,1.194
2013/04/13,0.553
2013/04/14,0.918
2013/04/15,0.682
2013/04/16,1.042
2013/04/17,0.528
2013/04/18,1.45
2013/04/19,1.735
2013/04/20,0.956
2013/04/21,1.902
2013/04/22,1.132
2013/04/23,1.026
2013/04/24,0.693
2013/04/25,0.426
2013/04/26,0.466
2013/04/27,1.32
2013/04/28,1.45
2013/04/29,1.504
2013/04/30,1.38
2013/05/01,1.253
2013/05/02,1.085
2013/05/03,1.047
2013/05/04,1.495
2013/05/05,1.55
2013/05/06,0.338
2013/05/07,0.129
2013/05/08,0.129
2013/05/09,0.177
2013/05/10,0.363
2013/05/11,0.709
2013/05/12,0.552
2013/05/13,0.539
2013/05/14,0.907
2013/05/15,1.585
2013/05/16,0.706
2013/05/17,1.046
2013/05/18,0.712
2013/05/19,0.592
2013/05/20,1.655
2013/05/21,1.696
2013/05/22,1.696
2013/05/23,1.074
2013/05/24,0.81
2013/05/25,0.369
2013/05/26,0.26
2013/05/27,0.571
2013/05/28,0.781
2013/05/29,0.764
2013/05/30,0.873
2013/05/31,0.437
2013/06/01,1.306
2013/06/02,1.223
2013/06/03,0.448
2013/06/04,0.448
2013/06/05,1.005
2013/06/06,1.071
2013/06/07,0.999
2013/06/08,0.932
2013/06/09,0.989
2013/06/10,0.925
2013/06/11,0.895
2013/06/12,1.01
2013/06/13,0.763
2013/06/14,0.763
2013/06/15,0.476
2013/06/16,0.444
2013/06/17,1.824
2013/06/18,2.211
2013/06/19,0.537
2013/06/20,1.054
2013/06/21,1.661
2013/06/22,0.972
2013/06/23,0.459
2013/06/24,1.168
2013/06/25,0.713
2013/06/26,1.103
2013/06/27,0.738
2013/06/28,0.291
2013/06/29,0.096
2013/06/30,0.84
2013/07/01,0.753
2013/07/02,0.226
2013/07/03,1.396
2013/07/04,1.299
2013/07/05,0.892
2013/07/06,0.949
2013/07/07,0.039
2013/07/08,0.211
2013/07/09,0.25
2013/07/10,0.335
2013/07/11,0.729
2013/07/12,1.608
2013/07/13,0.94
2013/07/14,0.851
2013/07/15,0.653
2013/07/16,0.385
2013/07/17,0.9
2013/07/18,0.986
2013/07/19,0.913
2013/07/20,0.984
2013/07/21,0.971
2013/07/22,1.238
2013/07/23,2.43
2013/07/24,1.274
2013/07/25,0.968
2013/07/26,0.919
2013/07/27,1.562
2013/07/28,0.7
2013/07/29,0.529
2013/07/30,1.04
2013/07/31,0.647
2013/08/01,0.688
2013/08/02,0.566
2013/08/03,0.805
2013/08/04,0.794
2013/08/05,0.695
2013/08/06,0.421
2013/08/07,0.139
2013/08/08,0.614
2013/08/09,0.586
2013/08/10,0.44
2013/08/11,0.607
2013/08/12,0.18
2013/08/13,1.133
2013/08/14,1.573
2013/08/15,0.62
2013/08/16,0.095
2013/08/17,0.892
2013/08/18,1.017
2013/08/19,0.612
2013/08/20,0.612
2013/08/21,0.662
2013/08/22,0.774
2013/08/23,0.641
2013/08/24,0.984
2013/08/25,1.868
2013/08/26,1.362
2013/08/27,0.894
2013/08/28,0.495
2013/08/29,0.736
2013/08/30,0.872
2013/08/31,0.949
2013/09/01,0.509
2013/09/02,0.205
2013/09/03,0.783
2013/09/04,1.774
2013/09/05,1.155
2013/09/06,0.893
2013/09/07,1.913
2013/09/08,1.778
2013/09/09,2.399
2013/09/10,1.787
2013/09/11,0.38
2013/09/12,0.638
2013/09/13,0.366
2013/09/14,0.376
2013/09/15,1.122
2013/09/16,2.241
2013/09/17,1.275
2013/09/18,1.067
2013/09/19,0.943
2013/09/20,1.299
2013/09/21,0.378
2013/09/22,0.454
2013/09/23,0.637
2013/09/24,0.259
2013/09/25,0.165
2013/09/26,1.89
2013/09/27,1.557
2013/09/28,0.733
2013/09/29,0.339
2013/09/30,0.571
2013/10/01,0.945
2013/10/02,1.153
2013/10/03,0.385
2013/10/04,0.628
2013/10/05,1.164
2013/10/06,1.254
2013/10/07,2.171
2013/10/08,1.251
2013/10/09,1.011
2013/10/10,1.191
2013/10/11,0.445
2013/10/12,0.891
2013/10/13,1.109
2013/10/14,0.831
2013/10/15,0.837
2013/10/16,1.153
2013/10/17,2.527
2013/10/18,1.459
2013/10/19,1.768
2013/10/20,0.885
2013/10/21,0.636
2013/10/22,1.138
2013/10/23,0.789
2013/10/24,0.703
2013/10/25,0.475
2013/10/26,1.488
2013/10/27,1.748
2013/10/28,0.26
2013/10/29,0.828
2013/10/30,1.319
2013/10/31,1.845
2013/11/01,0.488
2013/11/02,0.253
2013/11/03,0.477
2013/11/04,0.31
2013/11/05,0.792
2013/11/06,1.194
2013/11/07,1.437
2013/11/08,1.574
2013/11/09,0.86
2013/11/10,1.904
2013/11/11,1.68
2013/11/12,1.03
2013/11/13,1.16
2013/11/14,1.149
2013/11/15,0.716
2013/11/16,1.036
2013/11/17,1.062
2013/11/18,1.576
2013/11/19,1.29
2013/11/20,0.372
2013/11/21,0.708
2013/11/22,1.021
2013/11/23,1.114
2013/11/24,0.163
2013/11/25,0.203
2013/11/26,0.609
2013/11/27,0.691
2013/11/28,0.915
2013/11/29,0.347
2013/11/30,0.303
2013/12/01,0.827
2013/12/02,1.366
2013/12/03,1.67
2013/12/04,1.541
2013/12/05,1.175
2013/12/06,1.436
2013/12/07,1.297
2013/12/08,0.435
2013/12/09,0.752
2013/12/10,0.704
2013/12/11,1.004
2013/12/12,1.211
2013/12/13,0.484
2013/12/14,1.292
2013/12/15,0.887
2013/12/16,0.869
2013/12/17,0.951
2013/12/18,0.116
2013/12/19,0.757
2013/12/20,1.403
2013/12/21,2.139
2013/12/22,0.697
2013/12/23,0.454
2013/12/24,0.094
2013/12/25,0.402
2013/12/26,0.729
2013/12/27,0.931
2013/12/28,1.597
2013/12/29,1.455
2013/12/30,1.105
