Date,hashrate3roc
2012/05/30,-18.904
2012/05/31,-1.197
2012/06/01,2.74
2012/06/02,24.887
2012/06/03,11.565
2012/06/04,11.373
2012/06/05,-10.603
2012/06/06,-1.327
2012/06/07,-9.329
2012/06/08,1.197
2012/06/09,0.788
2012/06/10,17.461
2012/06/11,14.751
2012/06/12,-13.443
2012/06/13,-2.347
2012/06/14,-10.904
2012/06/15,15.975
2012/06/16,-3.467
2012/06/17,11.379
2012/06/18,-2.298
2012/06/19,20.235
2012/06/20,-15.288
2012/06/21,-6.093
2012/06/22,-23.189
2012/06/23,26.383
2012/06/24,12.746
2012/06/25,11.111
2012/06/26,-7.637
2012/06/27,3.366
2012/06/28,-1.54
2012/06/29,-4.511
2012/06/30,-12.522
2012/07/01,-3.72
2012/07/02,6.935
2012/07/03,8.505
2012/07/04,15.651
2012/07/05,-2.161
2012/07/06,0.596
2012/07/07,3.203
2012/07/08,11.466
2012/07/09,8.536
2012/07/10,-6.83
2012/07/11,-10.886
2012/07/12,-13.241
2012/07/13,3.052
2012/07/14,11.317
2012/07/15,9.708
2012/07/16,-6.423
2012/07/17,3.784
2012/07/18,10.132
2012/07/19,9.538
2012/07/20,-11.005
2012/07/21,-9.529
2012/07/22,-2.086
2012/07/23,5.74
2012/07/24,7.051
2012/07/25,8.224
2012/07/26,15.507
2012/07/27,7.138
2012/07/28,9.923
2012/07/29,-14.138
2012/07/30,17.253
2012/07/31,-8.894
2012/08/01,-0.738
2012/08/02,-14.768
2012/08/03,15.118
2012/08/04,17.508
2012/08/05,-0.937
2012/08/06,-15.426
2012/08/07,-5.217
2012/08/08,7.522
2012/08/09,17.549
2012/08/10,10.269
2012/08/11,2.839
2012/08/12,1.789
2012/08/13,2.612
2012/08/14,4.845
2012/08/15,3.527
2012/08/16,3.468
2012/08/17,-10.032
2012/08/18,-12.611
2012/08/19,-3.064
2012/08/20,29.272
2012/08/21,28.612
2012/08/22,-3.423
2012/08/23,-12.672
2012/08/24,-10.918
2012/08/25,0.625
2012/08/26,11.156
2012/08/27,7.641
2012/08/28,7.363
2012/08/29,-0.43
2012/08/30,1.62
2012/08/31,-1
2012/09/01,-3.017
2012/09/02,-4.485
2012/09/03,17.051
2012/09/04,-11.287
2012/09/05,14.948
2012/09/06,8.06
2012/09/07,33.69
2012/09/08,-3.145
2012/09/09,-12.069
2012/09/10,-10.09
2012/09/11,1.16
2012/09/12,-3.06
2012/09/13,-5.805
2012/09/14,0.167
2012/09/15,2
2012/09/16,5.684
2012/09/17,5.682
2012/09/18,19.92
2012/09/19,2.54
2012/09/20,-9.117
2012/09/21,-1.501
2012/09/22,17.662
2012/09/23,6.529
2012/09/24,-4.754
2012/09/25,-9.85
2012/09/26,-9.671
2012/09/27,-6.058
2012/09/28,7.126
2012/09/29,17.161
2012/09/30,12.484
2012/10/01,-11.8
2012/10/02,-12.929
2012/10/03,-6.685
2012/10/04,-3.993
2012/10/05,3.807
2012/10/06,-1.403
2012/10/07,6.367
2012/10/08,14.042
2012/10/09,9.271
