Date,activeaddresses30rsi
2012/07/07,50.185
2012/07/08,48.693
2012/07/09,50.873
2012/07/10,53.114
2012/07/11,52.243
2012/07/12,51.658
2012/07/13,50.169
2012/07/14,49.417
2012/07/15,49.675
2012/07/16,52.965
2012/07/17,54.621
2012/07/18,51.39
2012/07/19,52.376
2012/07/20,52.272
2012/07/21,51.972
2012/07/22,53.694
2012/07/23,55.211
2012/07/24,53.097
2012/07/25,49.393
2012/07/26,49.023
2012/07/27,49.81
2012/07/28,53.081
2012/07/29,51.625
2012/07/30,51.735
2012/07/31,61.376
2012/08/01,52.675
2012/08/02,53.209
2012/08/03,50.777
2012/08/04,50.579
2012/08/05,51.383
2012/08/06,53.198
2012/08/07,51.788
2012/08/08,56.578
2012/08/09,51.762
2012/08/10,51.073
2012/08/11,50.993
2012/08/12,51.25
2012/08/13,54.803
2012/08/14,52.43
2012/08/15,55.081
2012/08/16,58.656
2012/08/17,56.616
2012/08/18,54.57
2012/08/19,56.621
2012/08/20,52.585
2012/08/21,54.759
2012/08/22,53.004
2012/08/23,51
2012/08/24,51.422
2012/08/25,48.582
2012/08/26,47.961
2012/08/27,49.277
2012/08/28,49.792
2012/08/29,49.6
2012/08/30,47.745
2012/08/31,53.028
2012/09/01,51.468
2012/09/02,48.148
2012/09/03,47.539
2012/09/04,51.8
2012/09/05,50.343
2012/09/06,51.991
2012/09/07,51.084
2012/09/08,47.809
2012/09/09,49.883
2012/09/10,49.004
2012/09/11,51.466
2012/09/12,48.106
2012/09/13,48.378
2012/09/14,49.398
2012/09/15,46.924
2012/09/16,47.434
2012/09/17,47.933
2012/09/18,49.827
2012/09/19,51.143
2012/09/20,52.524
2012/09/21,49.844
2012/09/22,46.252
2012/09/23,46.695
2012/09/24,48.292
2012/09/25,51.38
2012/09/26,52.86
2012/09/27,50.877
2012/09/28,53.209
2012/09/29,49.654
2012/09/30,48.56
2012/10/01,49.566
2012/10/02,53.86
2012/10/03,52.917
2012/10/04,53.386
2012/10/05,51.142
2012/10/06,49.493
2012/10/07,50.8
2012/10/08,52.028
2012/10/09,53.344
2012/10/10,51.784
2012/10/11,49.906
2012/10/12,50.922
2012/10/13,49.335
2012/10/14,49.076
2012/10/15,51.47
2012/10/16,50.442
2012/10/17,50.994
2012/10/18,52.916
2012/10/19,50.972
2012/10/20,50.329
2012/10/21,48.897
2012/10/22,49.793
2012/10/23,49.782
2012/10/24,49.925
2012/10/25,49.115
2012/10/26,48.485
2012/10/27,45.72
2012/10/28,45.028
2012/10/29,48.14
2012/10/30,47.711
2012/10/31,46.911
2012/11/01,46.756
2012/11/02,47.335
2012/11/03,47.175
2012/11/04,46.388
2012/11/05,49.332
2012/11/06,50.774
2012/11/07,51.713
2012/11/08,49.305
2012/11/09,48.924
2012/11/10,48.108
2012/11/11,46.284
2012/11/12,46.919
2012/11/13,47.442
2012/11/14,49.735
2012/11/15,53.281
2012/11/16,54.066
2012/11/17,55.837
2012/11/18,51.403
2012/11/19,51.18
