Date,top100cap30rsi
2012/03/10,39.869
2012/03/11,39.932
2012/03/12,38.786
2012/03/13,38.133
2012/03/14,39.855
2012/03/15,42.173
2012/03/16,42.096
2012/03/17,41.533
2012/03/18,41.699
2012/03/19,41.443
2012/03/20,41.463
2012/03/21,40.85
2012/03/22,38.987
2012/03/23,40.888
2012/03/24,40.111
2012/03/25,49.816
2012/03/26,49.69
2012/03/27,48.449
2012/03/28,50.903
2012/03/29,50.507
2012/03/30,49.462
2012/03/31,48.792
2012/04/01,48.716
2012/04/02,51.043
2012/04/03,48.26
2012/04/04,53.329
2012/04/05,54.853
2012/04/06,60.197
2012/04/07,59.804
2012/04/08,59.6
2012/04/09,50.491
2012/04/10,50.209
2012/04/11,50.564
2012/04/12,51.001
2012/04/13,48.576
2012/04/14,48.329
2012/04/15,50.095
2012/04/16,55.196
2012/04/17,58.669
2012/04/18,58.622
2012/04/19,59.843
2012/04/20,62.534
2012/04/21,62.118
2012/04/22,63.559
2012/04/23,63
2012/04/24,62.714
2012/04/25,59.834
2012/04/26,61.228
2012/04/27,60.954
2012/04/28,60.466
2012/04/29,56.518
2012/04/30,55.977
2012/05/01,55.941
2012/05/02,55.096
2012/05/03,54.641
2012/05/04,53.225
2012/05/05,54.507
2012/05/06,63.438
2012/05/07,64.202
2012/05/08,63.1
2012/05/09,64.491
2012/05/10,65.293
2012/05/11,69.169
2012/05/12,66.785
2012/05/13,66.91
2012/05/14,66.406
2012/05/15,67.503
2012/05/16,69.059
2012/05/17,71.338
2012/05/18,71.496
2012/05/19,70.37
2012/05/20,70.624
2012/05/21,70.844
2012/05/22,73.196
2012/05/23,73.848
2012/05/24,74.424
2012/05/25,74.726
2012/05/26,74.582
2012/05/27,74.102
2012/05/28,73.92
2012/05/29,74.122
2012/05/30,74.611
2012/05/31,66.816
2012/06/01,55.595
2012/06/02,54.954
2012/06/03,55.559
2012/06/04,53.634
2012/06/05,52.922
2012/06/06,53.089
2012/06/07,52.63
2012/06/08,52.279
2012/06/09,58.241
2012/06/10,56.452
2012/06/11,53.961
2012/06/12,53.406
2012/06/13,57.225
2012/06/14,55.637
2012/06/15,53.941
2012/06/16,54.694
2012/06/17,52.358
2012/06/18,53.625
2012/06/19,53.853
2012/06/20,53.39
2012/06/21,53.992
2012/06/22,53.419
2012/06/23,52.72
2012/06/24,54.872
2012/06/25,51.027
2012/06/26,49.198
2012/06/27,51.547
2012/06/28,54.949
2012/06/29,53.271
2012/06/30,53.451
2012/07/01,54.36
2012/07/02,51.269
2012/07/03,51.873
2012/07/04,54.454
2012/07/05,53.96
2012/07/06,54.137
2012/07/07,53.779
2012/07/08,53.798
2012/07/09,52.584
2012/07/10,52.084
2012/07/11,53.16
2012/07/12,59.803
2012/07/13,57.096
2012/07/14,55.955
2012/07/15,56.329
2012/07/16,52.721
2012/07/17,50.771
2012/07/18,50.626
2012/07/19,48.533
2012/07/20,48.442
2012/07/21,47.885
2012/07/22,47.224
2012/07/23,47.41
2012/07/24,45.5
2012/07/25,47.202
2012/07/26,48.79
2012/07/27,48.391
2012/07/28,47.999
2012/07/29,49.527
2012/07/30,48.734
2012/07/31,47.603
2012/08/01,49.34
2012/08/02,46.49
2012/08/03,46.26
2012/08/04,46.376
2012/08/05,45.598
2012/08/06,46.587
2012/08/07,46.531
2012/08/08,45.183
2012/08/09,42.326
2012/08/10,42.734
2012/08/11,40.962
2012/08/12,40.618
2012/08/13,38.122
2012/08/14,40.488
2012/08/15,41.222
2012/08/16,42.238
2012/08/17,40.943
2012/08/18,40.347
2012/08/19,32.392
2012/08/20,27.527
2012/08/21,25.689
2012/08/22,23.483
2012/08/23,23.09
2012/08/24,21.55
2012/08/25,20.732
2012/08/26,21.438
2012/08/27,20.003
2012/08/28,19.631
2012/08/29,18.673
2012/08/30,16.861
2012/08/31,16.687
2012/09/01,15.848
2012/09/02,15.243
2012/09/03,15.35
2012/09/04,15.004
2012/09/05,13.924
2012/09/06,13.326
2012/09/07,12.764
2012/09/08,12.457
2012/09/09,12.311
2012/09/10,11.864
2012/09/11,10.95
2012/09/12,10.401
2012/09/13,9.86
2012/09/14,9.341
2012/09/15,9.011
2012/09/16,8.622
2012/09/17,8.325
2012/09/18,8.199
2012/09/19,7.541
2012/09/20,7.426
2012/09/21,15.289
2012/09/22,14.751
2012/09/23,14.319
2012/09/24,14.294
2012/09/25,14.04
2012/09/26,13.973
2012/09/27,13.962
2012/09/28,13.901
2012/09/29,14.457
2012/09/30,14.353
2012/10/01,14.268
2012/10/02,15.211
2012/10/03,15.134
2012/10/04,16.379
2012/10/05,17.201
2012/10/06,17.001
2012/10/07,16.892
2012/10/08,15.996
2012/10/09,16.604
2012/10/10,19.559
2012/10/11,20.187
2012/10/12,19.861
2012/10/13,19.608
2012/10/14,19.75
2012/10/15,19.793
2012/10/16,24.138
2012/10/17,23.986
2012/10/18,23.674
2012/10/19,24.201
2012/10/20,24.324
2012/10/21,32.567
2012/10/22,40.272
2012/10/23,39.146
2012/10/24,39.31
2012/10/25,38.244
2012/10/26,39.131
2012/10/27,38.674
2012/10/28,37.943
2012/10/29,37.507
2012/10/30,45.943
2012/10/31,43.41
2012/11/01,43.649
2012/11/02,42.138
2012/11/03,43.628
2012/11/04,44.029
2012/11/05,43.24
2012/11/06,44.107
2012/11/07,42.558
2012/11/08,41.873
2012/11/09,41.853
2012/11/10,41.695
2012/11/11,42.771
2012/11/12,41.653
2012/11/13,41.376
