Date,hashrate7std
2015/11/13,68137488339565000
2015/11/14,68590874785229736
2015/11/15,62732793014645160
2015/11/16,55975096624041648
2015/11/17,53917605925933664
2015/11/18,77586777423031424
2015/11/19,78875791489037824
2015/11/20,77966080573938544
2015/11/21,84387262041474896
2015/11/22,93270865469011504
2015/11/23,89620145069796672
2015/11/24,88821380307068112
2015/11/25,62711940703874368
2015/11/26,49702429169906928
2015/11/27,25059793200350012
2015/11/28,38352669730712848
2015/11/29,31768195633277360
2015/11/30,34983231970495272
2015/12/01,82485737624213184
2015/12/02,82631566251210128
2015/12/03,83552455286122240
2015/12/04,86196922930462432
2015/12/05,80536228003951424
2015/12/06,86968786789486720
2015/12/07,82601528391536688
2015/12/08,63933982710643152
2015/12/09,99245000397402928
2015/12/10,123902020287924752
2015/12/11,124616280038970304
2015/12/12,108889908818809536
2015/12/13,109248094874064816
2015/12/14,101445269770880096
2015/12/15,100711207467965792
2015/12/16,100692820198624096
2015/12/17,107415634495409328
2015/12/18,88492412355508128
2015/12/19,97808427643731488
2015/12/20,99647361032352192
2015/12/21,101814707967903440
2015/12/22,100189547099694352
2015/12/23,106530728669907792
2015/12/24,79192232584809168
2015/12/25,85068622532395936
2015/12/26,107601102115860320
2015/12/27,158162404391709696
2015/12/28,167316028709814560
2015/12/29,153692109066884480
2015/12/30,153263790446877856
2015/12/31,146993247880962432
2016/01/01,118208086263386304
2016/01/02,126364048424832160
2016/01/03,77382263914596784
2016/01/04,93326208900408864
2016/01/05,107454566249646160
2016/01/06,108812711601177728
2016/01/07,107155187435782368
2016/01/08,108250260360561056
2016/01/09,83927017224111488
2016/01/10,83949072751253584
2016/01/11,100979597177387456
2016/01/12,109399386416999024
2016/01/13,90613098489037152
2016/01/14,92964775255304512
2016/01/15,133403429691802624
2016/01/16,141589711509078384
2016/01/17,142719678819183056
2016/01/18,181020555600608640
2016/01/19,175115816448791456
2016/01/20,165672747308917312
2016/01/21,164412136436420640
2016/01/22,151311709744586176
2016/01/23,166100627115177728
2016/01/24,157461454024313664
2016/01/25,164564050351153408
2016/01/26,160535374542516352
2016/01/27,147680798591486976
2016/01/28,75173456320867152
2016/01/29,66014364645884944
2016/01/30,90092063663050240
2016/01/31,112639302364659760
2016/02/01,125106621231853792
2016/02/02,119305096393444848
2016/02/03,110593705572147296
2016/02/04,88841914125231808
2016/02/05,71844179936277864
2016/02/06,82495810099571200
2016/02/07,196266003520927392
2016/02/08,207078964506263104
2016/02/09,176196137846519552
2016/02/10,173501193195750592
2016/02/11,175711158122103808
2016/02/12,135029757080277216
2016/02/13,127019640907025184
2016/02/14,109734752540327056
2016/02/15,123694732053870000
2016/02/16,147413152665721120
2016/02/17,179249247750523040
2016/02/18,162223923104662880
2016/02/19,124345021658004576
2016/02/20,131403953750307744
2016/02/21,129266394696471120
2016/02/22,144312362413507488
2016/02/23,142118549871558592
2016/02/24,131425590012664752
2016/02/25,117135778437567904
2016/02/26,145222685414414016
2016/02/27,132343722814322992
2016/02/28,148652630766189984
2016/02/29,133495388261923856
2016/03/01,139686289772817056
2016/03/02,131939206804357552
2016/03/03,126598298501923616
2016/03/04,116230735611465712
2016/03/05,120539165004068864
2016/03/06,119942287747084800
2016/03/07,114387459728410192
2016/03/08,127865855478447552
2016/03/09,156560350605946560
2016/03/10,157872288520163616
2016/03/11,167663415716649024
2016/03/12,166319159066385888
2016/03/13,187028722903097312
2016/03/14,193366809641561120
2016/03/15,162598288526698336
2016/03/16,153409811533831488
2016/03/17,152143061320141568
2016/03/18,130206423055389056
2016/03/19,134359587627547952
2016/03/20,113279727593233968
2016/03/21,110245790684758464
2016/03/22,100421918234194304
2016/03/23,63811500477491896
2016/03/24,82935021952330624
2016/03/25,83394594480069744
2016/03/26,71389107449144944
2016/03/27,72927103626034080
2016/03/28,34173552097614652
2016/03/29,113040696892965024
2016/03/30,109551100962718320
2016/03/31,156677633711842336
2016/04/01,171093487579679264
2016/04/02,174094486566681664
2016/04/03,183602671156641408
2016/04/04,202992933894875776
2016/04/05,178042438349333184
2016/04/06,177999346502838944
2016/04/07,146412083798993120
2016/04/08,128044407500459024
2016/04/09,129755636830683376
2016/04/10,150823259236959392
2016/04/11,146329228392964352
2016/04/12,146098501548308032
2016/04/13,148830362307448864
2016/04/14,145871968725071104
2016/04/15,109861407338313776
2016/04/16,120335557557602992
2016/04/17,87060238490159824
2016/04/18,92669791073630368
2016/04/19,85283840864062544
2016/04/20,85744289518715248
2016/04/21,119965196715988384
2016/04/22,124172668815683856
2016/04/23,113887283811746208
2016/04/24,129081423173265072
2016/04/25,175377427029628480
2016/04/26,176667788493746240
2016/04/27,172668530576224480
2016/04/28,115835910652002208
2016/04/29,121623088810593056
2016/04/30,129871107710089120
2016/05/01,152423821791251424
2016/05/02,126681982793391120
2016/05/03,137230209730776144
2016/05/04,153721340872655424
2016/05/05,80489353876466432
2016/05/06,59285409814050920
2016/05/07,57221487758567040
2016/05/08,63512984225135176
2016/05/09,121767259309103728
2016/05/10,117679979763832064
2016/05/11,120766398226413424
2016/05/12,146417550358175200
2016/05/13,147005809779871616
2016/05/14,139256181765245488
2016/05/15,138561811290168592
2016/05/16,94834811108404048
2016/05/17,94078440127838624
2016/05/18,94516338927649328
2016/05/19,112682343014601184
2016/05/20,104963971215004496
2016/05/21,108918419446677984
2016/05/22,234771457639281312
2016/05/23,359508126788965120
2016/05/24,359093496660271872
2016/05/25,359905177987232832
2016/05/26,333126596157893952
2016/05/27,351921917800911104
2016/05/28,333176754846136384
2016/05/29,304582650446759168
2016/05/30,129788553787443664
2016/05/31,103974561649418880
2016/06/01,139074418571634896
2016/06/02,155274326804815680
2016/06/03,143295229194749904
2016/06/04,144906050291907712
2016/06/05,131363943762740240
2016/06/06,240349480683590624
2016/06/07,242541510343560352
2016/06/08,195124234607300672
2016/06/09,202463170637106624
2016/06/10,193449410629968320
2016/06/11,161050692251736480
2016/06/12,150161512187004480
2016/06/13,58146208132376408
2016/06/14,57952198085504568
2016/06/15,100018127243051856
2016/06/16,90672357472807072
2016/06/17,90601427610958288
2016/06/18,94608661020006464
2016/06/19,222801809208787424
2016/06/20,256694702061113280
2016/06/21,255932444805537120
2016/06/22,224977804866911328
2016/06/23,238396892709846720
2016/06/24,267547352510847072
2016/06/25,254583865130949440
2016/06/26,200164826478180352
2016/06/27,158022058490527296
2016/06/28,152618812526702208
2016/06/29,150674022078607904
2016/06/30,150661434380188384
2016/07/01,142162510744422400
2016/07/02,151131013432266944
2016/07/03,151373967255268000
2016/07/04,151786055904048672
2016/07/05,173106528699358784
2016/07/06,160593891340590720
2016/07/07,168025391963816640
2016/07/08,100512301252816432
2016/07/09,99523795710717280
2016/07/10,122619105822550288
2016/07/11,117735516494979648
2016/07/12,93069474459867856
2016/07/13,101593285676712144
2016/07/14,138264718182887856
2016/07/15,167584008735508160
2016/07/16,183972301646090784
2016/07/17,180670231268869760
