Date,mining_profitability14rsi
2012/05/17,46.738
2012/05/18,50.824
2012/05/19,49.896
2012/05/20,47.396
2012/05/21,45.203
2012/05/22,47.466
2012/05/23,51.698
2012/05/24,48.504
2012/05/25,52.7
2012/05/26,55.158
2012/05/27,52.93
2012/05/28,50.735
2012/05/29,49.249
2012/05/30,53.865
2012/05/31,49.905
2012/06/01,56.998
2012/06/02,52.75
2012/06/03,49.538
2012/06/04,52.425
2012/06/05,54.82
2012/06/06,51.473
2012/06/07,53.953
2012/06/08,54.107
2012/06/09,57.937
2012/06/10,53.765
2012/06/11,45.48
2012/06/12,58.275
2012/06/13,51.427
2012/06/14,56.979
2012/06/15,55.447
2012/06/16,57.722
2012/06/17,56.298
2012/06/18,60.127
2012/06/19,46.482
2012/06/20,56.824
2012/06/21,52.306
2012/06/22,53.585
2012/06/23,51.752
2012/06/24,45.752
2012/06/25,52.003
2012/06/26,50.609
2012/06/27,52.283
2012/06/28,49.978
2012/06/29,52.728
2012/06/30,49.927
2012/07/01,52.644
2012/07/02,51.867
2012/07/03,53.701
2012/07/04,47.738
2012/07/05,49.83
2012/07/06,52.412
2012/07/07,52.216
2012/07/08,48.647
2012/07/09,52.552
2012/07/10,53.175
2012/07/11,50.091
2012/07/12,58.529
2012/07/13,58.743
2012/07/14,55.056
2012/07/15,50.168
2012/07/16,58.666
2012/07/17,61.517
2012/07/18,56.431
2012/07/19,52.403
2012/07/20,58.136
2012/07/21,53.821
2012/07/22,56.668
2012/07/23,50.585
2012/07/24,54.784
2012/07/25,53.75
2012/07/26,53.944
2012/07/27,58.213
2012/07/28,47.842
2012/07/29,57.651
2012/07/30,49.108
2012/07/31,46.846
2012/08/01,51.834
2012/08/02,56.762
2012/08/03,54.529
2012/08/04,56.292
2012/08/05,52.944
2012/08/06,55.021
2012/08/07,59.902
2012/08/08,56.717
2012/08/09,55.841
2012/08/10,53.592
2012/08/11,56.998
2012/08/12,52.912
2012/08/13,54.797
2012/08/14,53.197
2012/08/15,57.874
2012/08/16,56.665
2012/08/17,52.518
2012/08/18,54.433
2012/08/19,49.704
2012/08/20,38.798
2012/08/21,43.319
2012/08/22,46.587
2012/08/23,45.854
2012/08/24,43.55
2012/08/25,44.669
2012/08/26,48.589
2012/08/27,42.548
2012/08/28,48.187
2012/08/29,48.155
2012/08/30,44.754
2012/08/31,43.943
2012/09/01,44.706
2012/09/02,47.248
2012/09/03,42.451
2012/09/04,50.691
2012/09/05,48.534
2012/09/06,46.238
2012/09/07,44.739
2012/09/08,42.526
2012/09/09,49.574
2012/09/10,45.588
2012/09/11,43.84
2012/09/12,51.787
2012/09/13,44.409
2012/09/14,50.389
2012/09/15,49.548
2012/09/16,52.368
2012/09/17,50.552
2012/09/18,49.128
2012/09/19,47.581
2012/09/20,52.707
2012/09/21,51.555
2012/09/22,44.813
2012/09/23,50.781
2012/09/24,48.542
2012/09/25,44.362
2012/09/26,50.476
2012/09/27,54.471
2012/09/28,47.711
2012/09/29,51.7
2012/09/30,48.934
2012/10/01,45.568
2012/10/02,52.597
2012/10/03,46.935
2012/10/04,49.447
2012/10/05,48.996
2012/10/06,52.598
2012/10/07,43.88
2012/10/08,51.45
2012/10/09,45.314
2012/10/10,47.882
2012/10/11,46.317
2012/10/12,48.704
2012/10/13,48.645
2012/10/14,44.9
2012/10/15,51.526
2012/10/16,47.856
2012/10/17,46.623
2012/10/18,50.409
2012/10/19,44.203
2012/10/20,51.723
2012/10/21,48.033
2012/10/22,48.795
2012/10/23,44.719
2012/10/24,51.418
2012/10/25,47.527
2012/10/26,48.075
2012/10/27,44.812
2012/10/28,47.066
2012/10/29,45.509
2012/10/30,43.81
2012/10/31,46.868
2012/11/01,45.914
2012/11/02,45.156
2012/11/03,45.682
2012/11/04,45.688
2012/11/05,47.655
2012/11/06,44.037
2012/11/07,49.802
2012/11/08,45.655
2012/11/09,48.333
2012/11/10,44.687
2012/11/11,49.057
2012/11/12,45.205
2012/11/13,50.167
2012/11/14,47.249
2012/11/15,47.462
2012/11/16,51.983
2012/11/17,49.471
2012/11/18,48.482
2012/11/19,55.219
2012/11/20,49.149
2012/11/21,51.679
2012/11/22,48.916
2012/11/23,57.38
2012/11/24,49.728
2012/11/25,51.397
2012/11/26,51.449
2012/11/27,50.084
2012/11/28,46.142
2012/11/29,34.455
2012/11/30,33.731
2012/12/01,38.643
2012/12/02,36.08
2012/12/03,37.737
2012/12/04,36.468
2012/12/05,41.485
2012/12/06,41.287
2012/12/07,40.609
2012/12/08,40.402
2012/12/09,39.861
2012/12/10,43.325
2012/12/11,42.891
2012/12/12,40.349
2012/12/13,43.835
2012/12/14,41.016
2012/12/15,46.666
2012/12/16,42.894
2012/12/17,48.291
2012/12/18,44.323
2012/12/19,46.391
2012/12/20,43.434
2012/12/21,47.692
