Date,difficulty90var
2012/09/04,72329903107
2012/09/05,73946698712
2012/09/06,75920464867
2012/09/07,80564648633
2012/09/08,84904133042
2012/09/09,88938918096
2012/09/10,92669003794
2012/09/11,96094390137
2012/09/12,99215077123
2012/09/13,102031064753
2012/09/14,104542353028
2012/09/15,106748941947
2012/09/16,108650831509
2012/09/17,110248021716
2012/09/18,111991150464
2012/09/19,114628666160
2012/09/20,119334277540
2012/09/21,123720364355
2012/09/22,127786926605
2012/09/23,131533964289
2012/09/24,134961477409
2012/09/25,138069465964
2012/09/26,140857929953
2012/09/27,143326869378
2012/09/28,145476284237
2012/09/29,147306174531
2012/09/30,148816540260
2012/10/01,150007381425
2012/10/02,151036190277
2012/10/03,154472482171
2012/10/04,157787000396
2012/10/05,160682195202
2012/10/06,163158066589
2012/10/07,165214614557
2012/10/08,166851839107
2012/10/09,168069740238
2012/10/10,168868317950
2012/10/11,169247572243
2012/10/12,169207503118
2012/10/13,168748110574
2012/10/14,167869394611
2012/10/15,167229343796
2012/10/16,167220946948
2012/10/17,167082249012
2012/10/18,166584472508
2012/10/19,165727617438
2012/10/20,164511683801
2012/10/21,162936671598
2012/10/22,161002580828
2012/10/23,158709411491
2012/10/24,156057163588
2012/10/25,153045837118
2012/10/26,149675432081
2012/10/27,145945948478
2012/10/28,143203542479
2012/10/29,141386661917
2012/10/30,142070531398
2012/10/31,142357604327
2012/11/01,142247880706
2012/11/02,141741360534
2012/11/03,140838043811
2012/11/04,139537930538
2012/11/05,137841020713
2012/11/06,135747314338
2012/11/07,133256811412
2012/11/08,130369511935
2012/11/09,127085415907
2012/11/10,124667092387
2012/11/11,123035636862
2012/11/12,121280479822
2012/11/13,119735617434
2012/11/14,117848174511
2012/11/15,115618151053
2012/11/16,113045547060
2012/11/17,110130362532
2012/11/18,106872597469
2012/11/19,103272251870
2012/11/20,99329325736
2012/11/21,95043819067
2012/11/22,90415731864
2012/11/23,88863343950
2012/11/24,87333900427
2012/11/25,85591761804
2012/11/26,83920394574
2012/11/27,82350156455
2012/11/28,80533860135
2012/11/29,78471505615
2012/11/30,76163092894
2012/12/01,73608621973
2012/12/02,70808092851
2012/12/03,67761505529
2012/12/04,64468860006
2012/12/05,61645311020
2012/12/06,60951104637
2012/12/07,60119906175
2012/12/08,59151715633
2012/12/09,58046533013
2012/12/10,56700806016
2012/12/11,54941038161
2012/12/12,53068392041
2012/12/13,51082867654
2012/12/14,48984465001
2012/12/15,46773184082
2012/12/16,44449024897
2012/12/17,42011987445
2012/12/18,39637575488
2012/12/19,38613613049
2012/12/20,37526421527
2012/12/21,36376000921
2012/12/22,35162351231
2012/12/23,33885472458
2012/12/24,32545364601
2012/12/25,31142027660
2012/12/26,29562844494
2012/12/27,28723430054
2012/12/28,27880721947
2012/12/29,27034720173
2012/12/30,26185424732
2012/12/31,25332835624
2013/01/01,25648650526
2013/01/02,26042816108
2013/01/03,26435593138
2013/01/04,26826981616
2013/01/05,27216981541
2013/01/06,27605592915
2013/01/07,27992815736
2013/01/08,27764167539
2013/01/09,27336327644
2013/01/10,26899106364
2013/01/11,26452503699
2013/01/12,25996519650
2013/01/13,25531154215
2013/01/14,25060096378
2013/01/15,24655180814
2013/01/16,24242509766
2013/01/17,23822083233
2013/01/18,23393901216
2013/01/19,22957963715
2013/01/20,22514270729
2013/01/21,22062822259
2013/01/22,21603618305
