Date,hashrate3sma
2018/09/07,4.7811474933191E+19
2018/09/08,5.1524530333291E+19
2018/09/09,5.2621325823146E+19
2018/09/10,5.3287424485458E+19
2018/09/11,5.2311404122392E+19
2018/09/12,5.1916847576164E+19
2018/09/13,5.2213215759343E+19
2018/09/14,5.1820873687104E+19
2018/09/15,5.0203466713492E+19
2018/09/16,4.8669115026015E+19
2018/09/17,4.7776059377753E+19
2018/09/18,4.9184016054303E+19
2018/09/19,4.998622685648E+19
2018/09/20,5.2492232578557E+19
2018/09/21,5.2104851858197E+19
2018/09/22,5.3256078291338E+19
2018/09/23,5.3023078233892E+19
2018/09/24,5.4444796687271E+19
2018/09/25,5.4955745717302E+19
2018/09/26,5.5858203318384E+19
2018/09/27,5.3883275496298E+19
2018/09/28,5.2897290805868E+19
2018/09/29,5.2531377252238E+19
2018/09/30,5.4775313787657E+19
2018/10/01,5.5765017891112E+19
2018/10/02,5.5233990734653E+19
2018/10/03,5.4084896909097E+19
2018/10/04,5.2047235371212E+19
2018/10/05,5.1836694799144E+19
2018/10/06,5.0182770379474E+19
2018/10/07,5.1044899244662E+19
2018/10/08,4.9721656457454E+19
2018/10/09,4.9685945504256E+19
2018/10/10,4.9612440046599E+19
2018/10/11,5.1872710610687E+19
2018/10/12,5.4600096451447E+19
2018/10/13,5.3932274003061E+19
2018/10/14,5.0486742724403E+19
2018/10/15,4.9951846425161E+19
2018/10/16,5.0862829203958E+19
2018/10/17,5.2721835060821E+19
2018/10/18,5.2598964424284E+19
2018/10/19,5.0494710670881E+19
2018/10/20,5.0831992806435E+19
2018/10/21,5.0040824194552E+19
2018/10/22,5.1905180644636E+19
2018/10/23,5.3602049735912E+19
2018/10/24,5.1146743488177E+19
2018/10/25,4.795972986901E+19
2018/10/26,4.6383292060696E+19
2018/10/27,4.948550863772E+19
2018/10/28,5.0405747443957E+19
2018/10/29,5.0925924322933E+19
2018/10/30,5.0330861296005E+19
2018/10/31,5.3929934207631E+19
2018/11/01,5.6204321896929E+19
2018/11/02,5.6387311024334E+19
2018/11/03,5.5228871718255E+19
2018/11/04,5.1873929322081E+19
2018/11/05,5.0775100875169E+19
2018/11/06,4.9495578330043E+19
2018/11/07,4.8355118293244E+19
2018/11/08,4.7348744422709E+19
2018/11/09,4.5351519192804E+19
2018/11/10,4.4223172266769E+19
2018/11/11,4.6620257968651E+19
2018/11/12,4.8454515247742E+19
2018/11/13,4.9433976910267E+19
2018/11/14,4.78852513762E+19
2018/11/15,4.6697737100374E+19
2018/11/16,4.5464988911042E+19
2018/11/17,4.5254394180561E+19
2018/11/18,4.5386294480944E+19
2018/11/19,4.48069352576E+19
2018/11/20,4.3022206239778E+19
2018/11/21,4.0950786045726E+19
2018/11/22,4.0132953942748E+19
2018/11/23,3.9304031737498E+19
2018/11/24,4.0883687281806E+19
2018/11/25,4.2977700812063E+19
2018/11/26,4.2293583923077E+19
2018/11/27,4.1428799210455E+19
2018/11/28,4.0666446469893E+19
2018/11/29,3.9602620916627E+19
2018/11/30,3.7133180789045E+19
2018/12/01,3.5668742900488E+19
2018/12/02,3.7428424590941E+19
2018/12/03,3.7972866302942E+19
2018/12/04,3.6480125154448E+19
2018/12/05,3.6532579033833E+19
2018/12/06,3.6413481628692E+19
2018/12/07,3.6874497162286E+19
2018/12/08,3.5540837146849E+19
2018/12/09,3.4476194211125E+19
2018/12/10,3.5074543061394E+19
2018/12/11,3.5511975977164E+19
2018/12/12,3.6087223333484E+19
2018/12/13,3.5190759478988E+19
2018/12/14,3.6375193911172E+19
2018/12/15,3.8757863902169E+19
2018/12/16,3.951370994466E+19
2018/12/17,3.8575237389902E+19
2018/12/18,3.9045857212577E+19
2018/12/19,3.8429164496764E+19
2018/12/20,3.8093211073512E+19
2018/12/21,3.5024489460289E+19
2018/12/22,3.6723110071529E+19
2018/12/23,3.9577045767885E+19
2018/12/24,4.2500642394384E+19
2018/12/25,4.2344481007199E+19
2018/12/26,4.0670892612532E+19
2018/12/27,4.0472762043612E+19
2018/12/28,4.15611948146E+19
2018/12/29,4.1983393399796E+19
2018/12/30,4.0687340752784E+19
2018/12/31,4.1454761317122E+19
2019/01/01,4.132097496256E+19
2019/01/02,4.2956747346831E+19
2019/01/03,4.1838875122602E+19
