Date,transactionvalueUSD
2013/03/06,1441
2013/03/07,991.525
2013/03/08,890.844
2013/03/09,792.51
2013/03/10,744.165
2013/03/11,763.601
2013/03/12,1354
2013/03/13,1134
2013/03/14,883.308
2013/03/15,3710
2013/03/16,2975
2013/03/17,1114
2013/03/18,4006
2013/03/19,2162
2013/03/20,2350
2013/03/21,2345
2013/03/22,1643
2013/03/23,1723
2013/03/24,1250
2013/03/25,2175
2013/03/26,2697
2013/03/27,4073
2013/03/28,2562
2013/03/29,2025
2013/03/30,2687
2013/03/31,3111
2013/04/01,2592
2013/04/02,4400
2013/04/03,4478
2013/04/04,4249
2013/04/05,4348
2013/04/06,3458
2013/04/07,2445
2013/04/08,4044
2013/04/09,6073
2013/04/10,8125
2013/04/11,4028
2013/04/12,2789
2013/04/13,2395
2013/04/14,1393
2013/04/15,1672
2013/04/16,1984
2013/04/17,2375
2013/04/18,11864
2013/04/19,3353
2013/04/20,2602
2013/04/21,2530
2013/04/22,3960
2013/04/23,3176
2013/04/24,4566
2013/04/25,3672
2013/04/26,2893
2013/04/27,2291
2013/04/28,1703
2013/04/29,4764
2013/04/30,2824
2013/05/01,3054
2013/05/02,1811
2013/05/03,1610
2013/05/04,1047
2013/05/05,1435
2013/05/06,1810
2013/05/07,1910
2013/05/08,1799
2013/05/09,1135
2013/05/10,1487
2013/05/11,1054
2013/05/12,958.657
2013/05/13,2074
2013/05/14,1303
2013/05/15,1228
2013/05/16,1259
2013/05/17,1620
2013/05/18,1618
2013/05/19,1003
2013/05/20,1263
2013/05/21,1439
2013/05/22,1669
2013/05/23,1406
2013/05/24,1707
2013/05/25,1822
2013/05/26,1216
2013/05/27,1611
2013/05/28,1559
2013/05/29,1857
2013/05/30,1385
2013/05/31,1568
2013/06/01,1135
2013/06/02,1065
2013/06/03,1676
2013/06/04,1364
2013/06/05,1439
2013/06/06,1649
2013/06/07,1486
2013/06/08,909.799
2013/06/09,1599
2013/06/10,1124
2013/06/11,1274
2013/06/12,1335
2013/06/13,1499
2013/06/14,1489
2013/06/15,1155
2013/06/16,1205
2013/06/17,1263
2013/06/18,1441
2013/06/19,1294
2013/06/20,1506
2013/06/21,1617
2013/06/22,1011
2013/06/23,889.345
2013/06/24,1349
2013/06/25,1554
2013/06/26,1348
2013/06/27,1178
2013/06/28,1228
2013/06/29,1295
2013/06/30,1191
2013/07/01,1893
2013/07/02,1541
2013/07/03,1863
2013/07/04,1908
2013/07/05,2109
2013/07/06,1376
2013/07/07,1469
2013/07/08,1546
2013/07/09,2053
2013/07/10,2109
2013/07/11,2003
2013/07/12,1792
2013/07/13,2026
2013/07/14,1459
2013/07/15,1698
2013/07/16,2162
2013/07/17,2351
2013/07/18,2105
2013/07/19,1859
2013/07/20,1222
2013/07/21,1164
2013/07/22,1892
2013/07/23,2245
2013/07/24,1844
2013/07/25,1680
2013/07/26,1872
2013/07/27,1101
2013/07/28,1456
2013/07/29,1626
2013/07/30,2213
2013/07/31,1665
2013/08/01,2153
2013/08/02,1679
2013/08/03,1402
2013/08/04,1114
2013/08/05,1585
2013/08/06,1347
2013/08/07,1376
2013/08/08,1191
2013/08/09,1170
2013/08/10,924.516
2013/08/11,1027
2013/08/12,1576
2013/08/13,2320
2013/08/14,2493
2013/08/15,1363
2013/08/16,1462
2013/08/17,1714
2013/08/18,1345
2013/08/19,1526
2013/08/20,1547
2013/08/21,2207
2013/08/22,1319
2013/08/23,1579
2013/08/24,1150
2013/08/25,1337
2013/08/26,1378
2013/08/27,1630
2013/08/28,1395
2013/08/29,5171
2013/08/30,1573
2013/08/31,2244
2013/09/01,2191
2013/09/02,1985
2013/09/03,2262
2013/09/04,2100
2013/09/05,1706
2013/09/06,1318
2013/09/07,1397
2013/09/08,995.609
2013/09/09,2096
2013/09/10,1462
2013/09/11,2049
2013/09/12,1659
2013/09/13,1807
2013/09/14,1645
2013/09/15,925.232
2013/09/16,1657
2013/09/17,1167
2013/09/18,1731
2013/09/19,1701
2013/09/20,1516
2013/09/21,1032
2013/09/22,1171
2013/09/23,1856
2013/09/24,1853
2013/09/25,1900
2013/09/26,1605
2013/09/27,1798
2013/09/28,1592
2013/09/29,1658
2013/09/30,2194
2013/10/01,2338
2013/10/02,2193
2013/10/03,1689
2013/10/04,1817
2013/10/05,1170
2013/10/06,1163
2013/10/07,1870
2013/10/08,1953
2013/10/09,2188
2013/10/10,1644
2013/10/11,1967
2013/10/12,1738
2013/10/13,1779
2013/10/14,2071
2013/10/15,2255
2013/10/16,2746
2013/10/17,2525
2013/10/18,2298
2013/10/19,2796
2013/10/20,2291
2013/10/21,2902
2013/10/22,3365
2013/10/23,3783
2013/10/24,3058
2013/10/25,8324
2013/10/26,2482
2013/10/27,2072
2013/10/28,2393
2013/10/29,6529
2013/10/30,2983
2013/10/31,2327
2013/11/01,2810
2013/11/02,3299
2013/11/03,3347
2013/11/04,4799
2013/11/05,5047
2013/11/06,4168
2013/11/07,5723
2013/11/08,5587
2013/11/09,5511
2013/11/10,4079
2013/11/11,4120
2013/11/12,6506
2013/11/13,7256
2013/11/14,6681
2013/11/15,17476
2013/11/16,13645
2013/11/17,10533
2013/11/18,14798
2013/11/19,14722
2013/11/20,11123
2013/11/21,18483
2013/11/22,21053
2013/11/23,15780
2013/11/24,17533
2013/11/25,14733
2013/11/26,39147
2013/11/27,31175
2013/11/28,32612
2013/11/29,28801
2013/11/30,26764
2013/12/01,19215
2013/12/02,17596
2013/12/03,15099
2013/12/04,17608
2013/12/05,18551
2013/12/06,15084
2013/12/07,25248
2013/12/08,18916
2013/12/09,16773
2013/12/10,11437
2013/12/11,14723
2013/12/12,13529
2013/12/13,13575
2013/12/14,10111
2013/12/15,7399
2013/12/16,23729
2013/12/17,15805
2013/12/18,13767
2013/12/19,12038
2013/12/20,10109
2013/12/21,10561
2013/12/22,10907
2013/12/23,8425
2013/12/24,10261
2013/12/25,10419
2013/12/26,8586
2013/12/27,8281
2013/12/28,9336
2013/12/29,11616
2013/12/30,10796
2013/12/31,7588
2014/01/01,9219
2014/01/02,9824
2014/01/03,11723
2014/01/04,9826
