Date,sentinusd3stdUSD
2012/06/22,6617764
2012/06/23,10478530
2012/06/24,6124195
2012/06/25,7311985
2012/06/26,940607
2012/06/27,1672919
2012/06/28,10534143
2012/06/29,8289838
2012/06/30,11238370
2012/07/01,7177451
2012/07/02,1333721
2012/07/03,1459475
2012/07/04,5993301
2012/07/05,4475452
2012/07/06,4753257
2012/07/07,15951713
2012/07/08,19462057
2012/07/09,18227679
2012/07/10,8956610
2012/07/11,6399667
2012/07/12,6053278
2012/07/13,9022482
2012/07/14,8079093
2012/07/15,8006117
2012/07/16,7349040
2012/07/17,9478305
2012/07/18,6232404
2012/07/19,9272142
2012/07/20,3338669
2012/07/21,8307141
2012/07/22,5950993
2012/07/23,5013388
2012/07/24,3340328
2012/07/25,7800632
2012/07/26,9278146
2012/07/27,10310571
2012/07/28,4144061
2012/07/29,7870984
2012/07/30,6066821
2012/07/31,17342061
2012/08/01,15809518
2012/08/02,8093597
2012/08/03,4976824
2012/08/04,2500269
2012/08/05,5815652
2012/08/06,5942947
2012/08/07,49719
2012/08/08,3107015
2012/08/09,4605629
2012/08/10,2542277
2012/08/11,2447907
2012/08/12,853216
2012/08/13,3668582
2012/08/14,3464363
2012/08/15,3698934
2012/08/16,7448909
2012/08/17,9686767
2012/08/18,7511682
2012/08/19,27837592
2012/08/20,50353358
2012/08/21,28887996
2012/08/22,26865582
2012/08/23,20135385
2012/08/24,36402039
2012/08/25,55787226
2012/08/26,70172153
2012/08/27,27104668
2012/08/28,34285898
2012/08/29,84411781
2012/08/30,70658643
2012/08/31,54258509
2012/09/01,32253541
2012/09/02,29375216
2012/09/03,40407014
2012/09/04,24736767
2012/09/05,49199790
2012/09/06,152241108
2012/09/07,121517807
2012/09/08,135113044
2012/09/09,136908745
2012/09/10,141648830
2012/09/11,165991839
2012/09/12,91045743
2012/09/13,113734234
2012/09/14,109425500
2012/09/15,146858967
2012/09/16,105525663
2012/09/17,74702948
2012/09/18,8980686
2012/09/19,219179079
2012/09/20,201898585
2012/09/21,157775066
2012/09/22,123766614
2012/09/23,185494329
2012/09/24,80333558
2012/09/25,71008001
2012/09/26,72586237
2012/09/27,4027105
2012/09/28,12754557
2012/09/29,14585978
2012/09/30,14252362
2012/10/01,3219552
2012/10/02,6186446
2012/10/03,7255550
2012/10/04,8756416
2012/10/05,16853826
2012/10/06,14918908
2012/10/07,10089065
2012/10/08,3646421
2012/10/09,4964519
2012/10/10,8356361
2012/10/11,4841768
2012/10/12,18185131
2012/10/13,16087523
2012/10/14,14785311
2012/10/15,18941088
2012/10/16,18954409
2012/10/17,25122726
2012/10/18,6877199
2012/10/19,7553749
2012/10/20,7981407
2012/10/21,4138073
2012/10/22,4539720
2012/10/23,3198416
2012/10/24,6529828
2012/10/25,11327909
2012/10/26,9092388
2012/10/27,5515883
2012/10/28,6488445
2012/10/29,6554017
2012/10/30,32292731
2012/10/31,30555032
2012/11/01,14028553
2012/11/02,26584192
2012/11/03,15737213
2012/11/04,12625636
2012/11/05,3904679
2012/11/06,3790954
2012/11/07,4214130
2012/11/08,5431411
2012/11/09,8594379
2012/11/10,7931586
2012/11/11,4580539
2012/11/12,742064
2012/11/13,3999783
