Date,sentinusd7momUSD
2012/09/04,-6717847
2012/09/05,-61718795
2012/09/06,117636420
2012/09/07,110195951
2012/09/08,-3993787
2012/09/09,-17285269
2012/09/10,170949896
2012/09/11,159682199
2012/09/12,24310898
2012/09/13,12792621
2012/09/14,4252205
2012/09/15,-2457395
2012/09/16,122267497
2012/09/17,-54389542
2012/09/18,-70696514
2012/09/19,265249682
2012/09/20,-57540651
2012/09/21,111692276
2012/09/22,100268962
2012/09/23,-70253321
2012/09/24,-57021180
2012/09/25,-135355572
2012/09/26,-367461790
2012/09/27,-180855162
2012/09/28,-288330738
2012/09/29,-165631881
2012/09/30,-77420607
2012/10/01,-78066101
2012/10/02,3755798
2012/10/03,-4691079
2012/10/04,-1446381
2012/10/05,1728338
2012/10/06,8833853
2012/10/07,4078792
2012/10/08,632608
2012/10/09,-9057886
2012/10/10,-5768906
2012/10/11,-414474
2012/10/12,-2072469
2012/10/13,7524243
2012/10/14,-5355204
2012/10/15,-10700052
2012/10/16,16479045
2012/10/17,28934484
2012/10/18,25143480
2012/10/19,172144
2012/10/20,-905671
2012/10/21,10911330
2012/10/22,16396867
2012/10/23,-2371863
2012/10/24,-17250715
2012/10/25,-23832553
2012/10/26,-20776144
2012/10/27,-14302637
2012/10/28,-17378170
2012/10/29,-15544913
2012/10/30,14484507
2012/10/31,19513931
2012/11/01,12163535
2012/11/02,-1726855
2012/11/03,3083029
2012/11/04,14240811
2012/11/05,13952289
2012/11/06,-24130941
2012/11/07,-21499042
2012/11/08,-13912163
2012/11/09,354512
2012/11/10,-15511515
2012/11/11,-19456051
2012/11/12,-19225418
2012/11/13,-11177843
2012/11/14,-5863780
2012/11/15,14823709
2012/11/16,32633446
2012/11/17,26297106
2012/11/18,19548236
2012/11/19,10576341
2012/11/20,9013494
2012/11/21,-3335902
2012/11/22,-11965613
2012/11/23,-28214612
2012/11/24,-16700333
2012/11/25,-14556677
2012/11/26,-2304982
2012/11/27,-1068197
2012/11/28,11639043
2012/11/29,-2594528
2012/11/30,-3991398
2012/12/01,-6534600
2012/12/02,3263244
2012/12/03,7827140
2012/12/04,15162086
2012/12/05,15284840
2012/12/06,28350681
2012/12/07,17865393
2012/12/08,5997785
2012/12/09,6128804
2012/12/10,-7792882
2012/12/11,-10955339
2012/12/12,10614284
2012/12/13,9361603
2012/12/14,11963591
2012/12/15,8669841
2012/12/16,5085014
2012/12/17,9739342
2012/12/18,9795403
2012/12/19,-33471010
2012/12/20,-40053419
2012/12/21,-17371664
2012/12/22,-4098019
2012/12/23,-12289806
2012/12/24,-9541086
2012/12/25,-22987595
2012/12/26,-6510915
2012/12/27,-1825010
2012/12/28,-8349320
2012/12/29,-4976315
2012/12/30,-1303407
2012/12/31,2389776
2013/01/01,11453789
2013/01/02,16223013
2013/01/03,11139607
2013/01/04,16238939
2013/01/05,14225655
2013/01/06,3850602
2013/01/07,2881146
2013/01/08,8723193
2013/01/09,-1830212
2013/01/10,-3684063
2013/01/11,-12067886
2013/01/12,-14784820
2013/01/13,-2085883
2013/01/14,-3660583
2013/01/15,34718
2013/01/16,8766486
2013/01/17,8534539
2013/01/18,6657490
2013/01/19,9842411
2013/01/20,5088267
2013/01/21,1953571
2013/01/22,-5459712
2013/01/23,8264566
2013/01/24,-1964953
2013/01/25,242804
2013/01/26,-604188
2013/01/27,7539296
2013/01/28,10997933
2013/01/29,19952682
2013/01/30,-6870653
2013/01/31,5326426
2013/02/01,10347602
2013/02/02,2520889
2013/02/03,559634
2013/02/04,2121562
2013/02/05,-3771240
2013/02/06,4015917
2013/02/07,5436215
2013/02/08,10449770
2013/02/09,12253002
2013/02/10,5208127
2013/02/11,-617069
2013/02/12,-11048446
2013/02/13,-10989873
2013/02/14,691087
2013/02/15,-13396637
2013/02/16,-4034080
2013/02/17,-2860245
2013/02/18,704802
2013/02/19,8179013
2013/02/20,5814144
2013/02/21,-6952387
2013/02/22,11568489
2013/02/23,-1731820
2013/02/24,18885303
2013/02/25,21040415
2013/02/26,3599169
2013/02/27,11845597
2013/02/28,15519391
2013/03/01,3974663
2013/03/02,15546047
2013/03/03,-19924335
2013/03/04,-21156973
2013/03/05,28399297
2013/03/06,37502320
2013/03/07,12653037
2013/03/08,-589393
2013/03/09,-6418093
2013/03/10,25071173
2013/03/11,11532769
2013/03/12,-5523893
2013/03/13,-20466374
2013/03/14,-12999367
2013/03/15,181153514
2013/03/16,58938607
2013/03/17,-15662417
2013/03/18,129064279
2013/03/19,31698246
2013/03/20,42430209
2013/03/21,74274865
2013/03/22,-142767630
2013/03/23,-21561540
2013/03/24,20712725
2013/03/25,-75006960
2013/03/26,18115392
2013/03/27,96652754
2013/03/28,23954968
2013/03/29,30086470
2013/03/30,74609684
2013/03/31,75045702
2013/04/01,32404870
2013/04/02,145568645
2013/04/03,53207720
2013/04/04,84758973
2013/04/05,112189551
2013/04/06,6190584
2013/04/07,-3899112
2013/04/08,82133024
2013/04/09,66935120
2013/04/10,180404114
2013/04/11,-34006644
2013/04/12,-88915283
2013/04/13,-58637439
2013/04/14,-66400783
2013/04/15,-133063307
2013/04/16,-200082530
2013/04/17,-307268675
2013/04/18,356226491
2013/04/19,52885988
2013/04/20,7417490
2013/04/21,42580538
2013/04/22,98333723
2013/04/23,58321785
2013/04/24,116512424
2013/04/25,-329891527
2013/04/26,-43476106
2013/04/27,-10864433
2013/04/28,-40068459
2013/04/29,-64669350
2013/04/30,-103753088
2013/05/01,-133459221
2013/05/02,-129520333
2013/05/03,-77538274
2013/05/04,-53661855
2013/05/05,-5879786
2013/05/06,-26515301
2013/05/07,16623918
2013/05/08,-28393232
2013/05/09,-27392030
2013/05/10,7018976
2013/05/11,22541609
