Date,hashrate3wma
2016/10/21,1756784182396621568
2016/10/22,1968370734936670208
2016/10/23,1937390336862660608
2016/10/24,1893132136375894016
2016/10/25,1828095511848058880
2016/10/26,1763813365997083904
2016/10/27,1793978241546305280
2016/10/28,1891122156367091968
2016/10/29,1917906154827472896
2016/10/30,1946083292857404672
2016/10/31,2027947770308831232
2016/11/01,1950398608138145792
2016/11/02,1780996175190960896
2016/11/03,1806085941313731840
2016/11/04,1746970706576013056
2016/11/05,1721597831749687552
2016/11/06,1797140714685485824
2016/11/07,1874337762151359744
2016/11/08,1956635726965646592
2016/11/09,1911994966951083264
2016/11/10,1985104032401833216
2016/11/11,2067491215740613376
2016/11/12,2093406199883788032
2016/11/13,2037338225508189440
2016/11/14,2013312016120889344
2016/11/15,2009397086007803904
2016/11/16,2083796582059242240
2016/11/17,2132047709273886720
2016/11/18,2094607621518015744
2016/11/19,2046630732080819456
2016/11/20,1966568737170527488
2016/11/21,1894161975919407104
2016/11/22,1888829398564924672
2016/11/23,1982784299387287552
2016/11/24,2040960275909533696
2016/11/25,2144344237358996224
2016/11/26,2160163259447209216
2016/11/27,2159812730846096128
2016/11/28,2140617533011985664
2016/11/29,2141501516245757952
2016/11/30,2101612380333579520
2016/12/01,2126989055184342016
2016/12/02,2046113398705065984
2016/12/03,2150891627497438464
2016/12/04,2257532739991642368
2016/12/05,2238077094365934336
2016/12/06,2135019017316741120
2016/12/07,2212784861267391232
2016/12/08,2331667547916561920
2016/12/09,2215831908461520128
2016/12/10,2030173775568742400
2016/12/11,2126948971191160064
2016/12/12,2308694482114793984
2016/12/13,2420997972088496128
2016/12/14,2329280472977860608
2016/12/15,2151446214523469056
2016/12/16,2057010022835164160
2016/12/17,2004896256168001280
2016/12/18,2202884979127686400
2016/12/19,2256974885119135744
2016/12/20,2239754880937852672
2016/12/21,2259168005909938176
2016/12/22,2372150132552673280
2016/12/23,2391644271588513280
2016/12/24,2289027398553481984
2016/12/25,2313022378956256768
2016/12/26,2383872999615051776
2016/12/27,2339124852324339712
2016/12/28,2428347322725227008
2016/12/29,2430270788282228224
2016/12/30,2451384323610920960
2016/12/31,2485833619642483712
2017/01/01,2454872222502398976
2017/01/02,2367433954431173120
2017/01/03,2492769110440904192
2017/01/04,2480296149067901440
2017/01/05,2502270080014452224
2017/01/06,2407086539369989632
2017/01/07,2381009498890129408
2017/01/08,2348848253346569728
2017/01/09,2436651407575865856
2017/01/10,2351244956162215936
2017/01/11,2542698651395799040
2017/01/12,2641283933390955008
2017/01/13,2796847783077016576
2017/01/14,2718803700887354880
2017/01/15,2762261085808281600
2017/01/16,2807192524956227584
2017/01/17,2757855042022298112
2017/01/18,2717760293576869376
2017/01/19,2679023576172822528
2017/01/20,2819194596498083328
2017/01/21,3021099540322685440
2017/01/22,3040148320734133760
2017/01/23,3107479945133561344
2017/01/24,2908048641699067904
2017/01/25,2877902462093811712
2017/01/26,2955889107912580608
2017/01/27,3124452173813420032
2017/01/28,3152846767553427968
2017/01/29,3096430362204854784
2017/01/30,3067348205317841920
2017/01/31,2978773510483223552
2017/02/01,3185360415092518912
2017/02/02,3395358862933471232
2017/02/03,3071394272438002176
2017/02/04,3039076868485084672
2017/02/05,3058732534841781248
2017/02/06,3075149626912283136
2017/02/07,2914261005564141056
2017/02/08,3047616148428900352
2017/02/09,3207253053203222528
2017/02/10,3274589667826645504
2017/02/11,3157926279119382016
2017/02/12,3014503150679332352
2017/02/13,3088869766895228928
2017/02/14,3401125782527921664
2017/02/15,3296865411440915968
2017/02/16,3192547991868459008
2017/02/17,3103956822941098496
2017/02/18,3215056638419120640
2017/02/19,3223474081115354624
2017/02/20,3114977409818957824
2017/02/21,3090059266785923072
2017/02/22,3072457800761866752
2017/02/23,3054880211381430272
2017/02/24,3281812694546079744
2017/02/25,3489140455232279040
2017/02/26,3711728685165895680
2017/02/27,3677883199772535296
2017/02/28,3463334482346599936
2017/03/01,3334831288049427968
2017/03/02,3335027442925329920
2017/03/03,3276067070168285696
2017/03/04,3352412449533859840
2017/03/05,3274811053190956544
2017/03/06,3279140610161991680
2017/03/07,3311176746192038400
2017/03/08,3428755599312021504
2017/03/09,3399388115953954816
2017/03/10,3428012152878543360
2017/03/11,3385587915493051904
2017/03/12,3509125465098055680
2017/03/13,3530388468926364160
2017/03/14,3479599842437326336
2017/03/15,3407192336255401472
2017/03/16,3367100033212444672
2017/03/17,3553208390151395840
2017/03/18,3746030215102410240
2017/03/19,3676469734879459840
2017/03/20,3563299539478337536
2017/03/21,3423389977268951552
2017/03/22,3457197065851473920
2017/03/23,3511531979319352832
2017/03/24,3735500422216359936
2017/03/25,3762060115068576256
2017/03/26,3631583287936320000
2017/03/27,3599903887166779392
2017/03/28,3548348668821813248
2017/03/29,3459879604544853504
2017/03/30,3562041901346392576
2017/03/31,3631382371138627072
2017/04/01,3513163324262921728
2017/04/02,3568623643039640064
2017/04/03,3858986641626719744
2017/04/04,3814565766054543360
2017/04/05,3708766715364341760
2017/04/06,3673535262492493312
2017/04/07,3723108368317525504
2017/04/08,3859445117263564288
2017/04/09,3819996476032856576
2017/04/10,3738889569104951808
2017/04/11,3862627142092058624
2017/04/12,3850681717845950976
2017/04/13,3724209518350935552
2017/04/14,3473499698591382016
2017/04/15,3626369007290406400
2017/04/16,3744158666295681024
2017/04/17,3797802716323500544
2017/04/18,3674769793725903360
2017/04/19,3701519279350796800
2017/04/20,3678193521078557184
2017/04/21,3834198098314538496
2017/04/22,3915696373983897088
2017/04/23,3942305093669850624
2017/04/24,3900901734782813696
2017/04/25,3610350892036900352
2017/04/26,3732067440430477824
2017/04/27,3802165569603130880
2017/04/28,3747918229301090816
2017/04/29,3903795592977660416
2017/04/30,4063885280461797888
2017/05/01,4095983127476992512
2017/05/02,4026245326763728896
2017/05/03,3885096749243295232
2017/05/04,3850208384116429312
2017/05/05,3857640287115673600
2017/05/06,3985656731724981760
2017/05/07,4142347166813935104
2017/05/08,4296430970627010560
2017/05/09,4356967896981465600
2017/05/10,4236753142031329792
2017/05/11,4209523994344269312
2017/05/12,4056029129440508416
2017/05/13,4160999067782307328
2017/05/14,4353139385458160128
2017/05/15,4621580903680558080
2017/05/16,4461178897900738048
2017/05/17,4166735824472284672
2017/05/18,4125152287081682432
2017/05/19,4114277284584724480
2017/05/20,4425680743487799808
2017/05/21,4406852598919284224
2017/05/22,4254640984321194496
2017/05/23,4403039665137446912
2017/05/24,4546636248964986368
2017/05/25,4742738301388618752
2017/05/26,4735045155445149696
2017/05/27,4651959564773195776
2017/05/28,4868530941255332864
2017/05/29,4737836094021971968
2017/05/30,4897984652607265792
2017/05/31,5031981705459774464
2017/06/01,5032104940280855552
2017/06/02,4861719601782165504
2017/06/03,4976486717646552064
2017/06/04,5115479509674928128
2017/06/05,5350053958032908288
2017/06/06,5514656281133441024
2017/06/07,5390823246644159488
2017/06/08,5483822055472108544
2017/06/09,5328907614404135936
2017/06/10,5144452518033101824
2017/06/11,4901536937796764672
2017/06/12,5031747388687810560
2017/06/13,4859722425004797952
2017/06/14,4848739066792166400
2017/06/15,4915441300865811456
2017/06/16,5070261359834088448
2017/06/17,5046652234263077888
2017/06/18,4992997988973040640
2017/06/19,5086632856943289344
2017/06/20,5271300153741831168
2017/06/21,5071040427231771648
2017/06/22,4889222583573984256
2017/06/23,5209513961626400768
2017/06/24,5217227444403457024
2017/06/25,5194296406313948160
2017/06/26,4794129909931828224
2017/06/27,4808941059995499520
2017/06/28,4934982831576235008
2017/06/29,5017507968266593280
2017/06/30,4884454852647932928
2017/07/01,5295829538921180160
2017/07/02,5845115070938647552
2017/07/03,6175647323460763648
2017/07/04,5924208007132171264
2017/07/05,5704633226822852608
2017/07/06,5441955706534794240
2017/07/07,5139880587851726848
2017/07/08,5237146728633218048
2017/07/09,5444642596505757696
2017/07/10,5737117830409978880
2017/07/11,6150810386897585152
2017/07/12,6137430045112605696
2017/07/13,6115421650624474112
2017/07/14,5889820640353406976
2017/07/15,5416136021501808640
2017/07/16,5657349499919674368
2017/07/17,5869731640302197760
2017/07/18,6146897009069752320
2017/07/19,6199968671940985856
2017/07/20,6437994016571300864
2017/07/21,6347967324619207680
2017/07/22,6251582878825241600
2017/07/23,6485333549824134144
2017/07/24,6813934905541697536
2017/07/25,6656233873981837312
2017/07/26,6237888400883892224
2017/07/27,6151943926249382912
2017/07/28,6422790470555979776
2017/07/29,6639651518902410240
2017/07/30,6514242053721976832
2017/07/31,6375863388202537984
2017/08/01,6370793073527542784
2017/08/02,6346889753482406912
2017/08/03,6276778548323152896
