Date,sentbyaddress7mom
2013/03/04,-3882
2013/03/05,-2030
2013/03/06,7965
2013/03/07,3900
2013/03/08,-5019
2013/03/09,1751
2013/03/10,8350
2013/03/11,-1209
2013/03/12,-1057
2013/03/13,-2231
2013/03/14,-3091
2013/03/15,5891
2013/03/16,-1530
2013/03/17,-5321
2013/03/18,5138
2013/03/19,7167
2013/03/20,-1730
2013/03/21,3474
2013/03/22,5133
2013/03/23,9530
2013/03/24,15146
2013/03/25,4498
2013/03/26,2245
2013/03/27,8047
2013/03/28,11252
2013/03/29,6751
2013/03/30,8765
2013/03/31,-9888
2013/04/01,3542
2013/04/02,13634
2013/04/03,18469
2013/04/04,15482
2013/04/05,11853
2013/04/06,338
2013/04/07,11999
2013/04/08,17984
2013/04/09,12364
2013/04/10,14602
2013/04/11,4567
2013/04/12,-3842
2013/04/13,2770
2013/04/14,-6565
2013/04/15,-7795
2013/04/16,-7520
2013/04/17,-22392
2013/04/18,-21824
2013/04/19,1868
2013/04/20,-5517
2013/04/21,1055
2013/04/22,-4975
2013/04/23,-3721
2013/04/24,1984
2013/04/25,8170
2013/04/26,-8928
2013/04/27,-3123
2013/04/28,-678
2013/04/29,407
2013/04/30,-19090
2013/05/01,-9260
2013/05/02,-10338
2013/05/03,-9233
2013/05/04,-4637
2013/05/05,-1360
2013/05/06,-4398
2013/05/07,13631
2013/05/08,1594
2013/05/09,4537
2013/05/10,6969
2013/05/11,12499
2013/05/12,2387
2013/05/13,2182
2013/05/14,-2033
2013/05/15,392
2013/05/16,-1699
2013/05/17,-5481
2013/05/18,-9445
2013/05/19,-4582
2013/05/20,-5549
2013/05/21,-1108
2013/05/22,-6360
2013/05/23,2209
2013/05/24,4399
2013/05/25,-1338
2013/05/26,-1218
2013/05/27,-765
2013/05/28,-4175
2013/05/29,4274
2013/05/30,-5514
2013/05/31,-3814
2013/06/01,1757
2013/06/02,787
2013/06/03,4185
2013/06/04,1570
2013/06/05,-5130
2013/06/06,-1239
2013/06/07,120
2013/06/08,-6137
2013/06/09,-4194
2013/06/10,-7912
2013/06/11,-6772
2013/06/12,-5525
2013/06/13,-4384
2013/06/14,4449
2013/06/15,-1526
2013/06/16,-3078
2013/06/17,-1072
2013/06/18,-527
2013/06/19,5317
2013/06/20,786
2013/06/21,-6690
2013/06/22,2645
2013/06/23,333
2013/06/24,3598
2013/06/25,-1218
2013/06/26,-3492
2013/06/27,-3564
2013/06/28,667
2013/06/29,-1045
2013/06/30,-74
2013/07/01,3504
2013/07/02,1325
2013/07/03,1485
2013/07/04,-1384
2013/07/05,-7158
2013/07/06,-3972
2013/07/07,-3466
2013/07/08,-2992
2013/07/09,2655
2013/07/10,-181
2013/07/11,12868
2013/07/12,17607
2013/07/13,7906
2013/07/14,1137
2013/07/15,-3653
2013/07/16,678
2013/07/17,-779
2013/07/18,-9838
2013/07/19,-16725
2013/07/20,-9917
2013/07/21,3833
2013/07/22,1722
2013/07/23,-2306
2013/07/24,661
2013/07/25,2081
2013/07/26,1211
2013/07/27,2896
2013/07/28,-1085
2013/07/29,4911
2013/07/30,5739
2013/07/31,12994
2013/08/01,15610
2013/08/02,13785
2013/08/03,8157
2013/08/04,6096
2013/08/05,6925
2013/08/06,2730
2013/08/07,-3588
2013/08/08,-9080
2013/08/09,-10722
2013/08/10,1480
2013/08/11,-3251
2013/08/12,25181
2013/08/13,-2808
2013/08/14,-374
2013/08/15,684
2013/08/16,13801
2013/08/17,-782
2013/08/18,2977
2013/08/19,-19121
2013/08/20,6188
2013/08/21,3067
2013/08/22,7720
2013/08/23,-8297
2013/08/24,-812
2013/08/25,-747
2013/08/26,-8683
2013/08/27,1992
2013/08/28,1963
2013/08/29,-8507
2013/08/30,10111
2013/08/31,14446
2013/09/01,-4719
2013/09/02,-12983
2013/09/03,-15210
2013/09/04,-11413
2013/09/05,-6039
2013/09/06,-16960
2013/09/07,-18268
2013/09/08,-812
2013/09/09,4965
2013/09/10,-1474
2013/09/11,-205
2013/09/12,2222
2013/09/13,-1252
2013/09/14,-5675
2013/09/15,-996
2013/09/16,902
2013/09/17,5162
2013/09/18,2017
2013/09/19,2400
2013/09/20,3863
2013/09/21,6509
2013/09/22,3406
2013/09/23,5285
2013/09/24,2810
2013/09/25,-3275
2013/09/26,-1304
2013/09/27,284
2013/09/28,715
2013/09/29,4062
2013/09/30,299
2013/10/01,5877
2013/10/02,12189
2013/10/03,-1692
2013/10/04,-3478
2013/10/05,-4913
2013/10/06,-5063
2013/10/07,-5360
2013/10/08,-8977
2013/10/09,-8974
2013/10/10,2177
2013/10/11,3261
2013/10/12,4721
2013/10/13,6005
2013/10/14,4865
2013/10/15,5260
2013/10/16,5592
2013/10/17,-3059
2013/10/18,3284
2013/10/19,11602
2013/10/20,-750
2013/10/21,3123
2013/10/22,4309
2013/10/23,3395
2013/10/24,20894
2013/10/25,9328
2013/10/26,-9064
2013/10/27,-697
2013/10/28,-1397
2013/10/29,-4283
2013/10/30,-980
2013/10/31,-10136
2013/11/01,-6994
2013/11/02,4503
2013/11/03,9092
2013/11/04,12261
2013/11/05,22969
2013/11/06,16942
2013/11/07,27960
2013/11/08,27953
2013/11/09,30031
2013/11/10,20150
2013/11/11,-642
2013/11/12,-3818
2013/11/13,1738
2013/11/14,-888
2013/11/15,-4543
2013/11/16,-13050
2013/11/17,-1675
2013/11/18,47390
2013/11/19,60697
2013/11/20,28890
2013/11/21,12241
2013/11/22,26032
2013/11/23,34296
2013/11/24,9548
2013/11/25,-18270
2013/11/26,-14309
2013/11/27,27477
2013/11/28,34106
2013/11/29,17897
2013/11/30,958
2013/12/01,24800
2013/12/02,12533
2013/12/03,-7170
2013/12/04,-17522
2013/12/05,-11287
2013/12/06,-18333
2013/12/07,-6099
2013/12/08,-34173
2013/12/09,-11565
2013/12/10,-17710
2013/12/11,-22173
2013/12/12,-38731
2013/12/13,-14910
2013/12/14,-11177
2013/12/15,10397
2013/12/16,6656
2013/12/17,5763
2013/12/18,22075
2013/12/19,16583
2013/12/20,-718
2013/12/21,-5542
2013/12/22,-6784
2013/12/23,-22512
2013/12/24,-15990
2013/12/25,-30753
2013/12/26,-20848
2013/12/27,-8343
2013/12/28,-8047
2013/12/29,-4643
2013/12/30,7540
2013/12/31,-9969
2014/01/01,-24322
2014/01/02,6467
2014/01/03,11588
2014/01/04,3944
2014/01/05,17842
2014/01/06,13570
2014/01/07,11443
2014/01/08,22573
2014/01/09,-832
2014/01/10,-12495
2014/01/11,4874
2014/01/12,-15072
2014/01/13,-21358
2014/01/14,-6981
2014/01/15,-625
2014/01/16,-8207
2014/01/17,-1061
2014/01/18,-11449
2014/01/19,-787
2014/01/20,18465
2014/01/21,24885
2014/01/22,12301
2014/01/23,11857
2014/01/24,11243
2014/01/25,8308
2014/01/26,10069
2014/01/27,-2316
2014/01/28,-4100
2014/01/29,-7676
2014/01/30,7114
2014/01/31,7287
2014/02/01,13130
2014/02/02,5779
2014/02/03,3131
2014/02/04,11687
2014/02/05,12645
2014/02/06,12090
2014/02/07,14018
2014/02/08,7024
2014/02/09,-5328
2014/02/10,-1177
2014/02/11,-14633
2014/02/12,-10210
2014/02/13,-9341
2014/02/14,-3334
2014/02/15,1437
2014/02/16,-2272
2014/02/17,-5766
2014/02/18,2136
2014/02/19,29569
2014/02/20,26883
2014/02/21,17360
2014/02/22,5533
2014/02/23,35713
2014/02/24,46299
2014/02/25,48788
2014/02/26,14311
2014/02/27,-6840
2014/02/28,-11077
2014/03/01,17314
2014/03/02,-11789
2014/03/03,11017
2014/03/04,9710
2014/03/05,2292
2014/03/06,13062
2014/03/07,10908
2014/03/08,-1156
2014/03/09,11854
2014/03/10,-32786
2014/03/11,-37783
2014/03/12,-5482
2014/03/13,-5117
2014/03/14,-20152
2014/03/15,-31729
2014/03/16,-28972
2014/03/17,-7333
2014/03/18,-33950
2014/03/19,-32459
2014/03/20,-25583
2014/03/21,18077
2014/03/22,11743
2014/03/23,4250
2014/03/24,2060
2014/03/25,25129
2014/03/26,13953
2014/03/27,28308
2014/03/28,-1791
2014/03/29,-8088
2014/03/30,-4030
2014/03/31,5263
2014/04/01,8960
2014/04/02,7779
2014/04/03,-37794
2014/04/04,967
2014/04/05,10913
2014/04/06,18169
2014/04/07,-7606
2014/04/08,-6872
2014/04/09,2306
2014/04/10,34018
2014/04/11,-3390
2014/04/12,-13837
2014/04/13,-7535
2014/04/14,20923
2014/04/15,10881
2014/04/16,-8089
2014/04/17,-21702
2014/04/18,-17293
2014/04/19,5331
2014/04/20,-6115
2014/04/21,-34074
2014/04/22,2415
2014/04/23,-10487
2014/04/24,1043
2014/04/25,16292
2014/04/26,-5874
