Date,sentinusd3rsiUSD
2013/01/30,52.613
2013/01/31,44.574
2013/02/01,60.942
2013/02/02,32.681
2013/02/03,36.05
2013/02/04,56.632
2013/02/05,75.687
2013/02/06,64.953
2013/02/07,55.833
2013/02/08,81.358
2013/02/09,46.669
2013/02/10,32.448
2013/02/11,31.046
2013/02/12,25.7
2013/02/13,20.236
2013/02/14,68.775
2013/02/15,52.189
2013/02/16,53.553
2013/02/17,30.425
2013/02/18,49.535
2013/02/19,71.461
2013/02/20,46.876
2013/02/21,35.61
2013/02/22,78.502
2013/02/23,42.073
2013/02/24,68.392
2013/02/25,74.165
2013/02/26,45.203
2013/02/27,53.85
2013/02/28,56.44
2013/03/01,66.622
2013/03/02,58.148
2013/03/03,16.029
2013/03/04,30.685
2013/03/05,80.436
2013/03/06,85.718
2013/03/07,49.018
2013/03/08,38.825
2013/03/09,31.506
2013/03/10,52.78
2013/03/11,38.01
2013/03/12,67.251
2013/03/13,62.879
2013/03/14,35.076
2013/03/15,92.314
2013/03/16,47.863
2013/03/17,35.416
2013/03/18,64.826
2013/03/19,46.69
2013/03/20,49.112
2013/03/21,54.591
2013/03/22,40.68
2013/03/23,37.085
2013/03/24,27.843
2013/03/25,57.782
2013/03/26,66.443
2013/03/27,87.316
2013/03/28,54.15
2013/03/29,42.845
2013/03/30,59.972
2013/03/31,47.909
2013/04/01,45.669
2013/04/02,85.518
2013/04/03,81.958
2013/04/04,62.363
2013/04/05,62.832
2013/04/06,25.745
2013/04/07,18.578
2013/04/08,61.893
2013/04/09,81.873
2013/04/10,89.616
2013/04/11,37.032
2013/04/12,30.913
2013/04/13,26.171
2013/04/14,21.41
2013/04/15,29.511
2013/04/16,51.546
2013/04/17,52.103
2013/04/18,93.373
2013/04/19,44.656
2013/04/20,37.651
2013/04/21,37.342
2013/04/22,51.651
2013/04/23,53.267
2013/04/24,66.868
2013/04/25,57.178
2013/04/26,34.259
2013/04/27,23.73
2013/04/28,18.488
2013/04/29,45.149
2013/04/30,33.928
2013/05/01,50.959
2013/05/02,40.797
2013/05/03,31.464
2013/05/04,20.761
2013/05/05,38.067
2013/05/06,60.269
2013/05/07,67.664
2013/05/08,49.056
2013/05/09,33.009
2013/05/10,52.796
2013/05/11,38.519
2013/05/12,27.298
2013/05/13,59.047
2013/05/14,56.103
2013/05/15,43.599
2013/05/16,41.505
2013/05/17,65.998
2013/05/18,44.346
2013/05/19,18.698
2013/05/20,44.081
2013/05/21,63.282
2013/05/22,71.332
2013/05/23,64.043
2013/05/24,79.496
2013/05/25,62.839
2013/05/26,19.766
2013/05/27,56.749
2013/05/28,60.332
2013/05/29,66.088
2013/05/30,44.546
2013/05/31,49.563
2013/06/01,23.255
2013/06/02,17.592
2013/06/03,68.848
2013/06/04,51.056
2013/06/05,56.016
2013/06/06,67.204
2013/06/07,43.873
2013/06/08,19.049
2013/06/09,54.315
2013/06/10,37.339
2013/06/11,49.722
2013/06/12,46.164
2013/06/13,55.102
2013/06/14,69.709
2013/06/15,26.915
2013/06/16,41.561
2013/06/17,54.084
2013/06/18,64.25
2013/06/19,50.707
2013/06/20,73.66
2013/06/21,62.91
2013/06/22,24.242
2013/06/23,18.197
2013/06/24,58.024
2013/06/25,67.486
2013/06/26,51.068
2013/06/27,40.15
2013/06/28,55.092
2013/06/29,32.114
2013/06/30,23.123
2013/07/01,71.763
2013/07/02,54.24
2013/07/03,61.401
2013/07/04,63.001
2013/07/05,68.571
2013/07/06,25.614
2013/07/07,24.906
2013/07/08,60.433
2013/07/09,79.624
2013/07/10,75.336
2013/07/11,79.259
2013/07/12,81.01
2013/07/13,43.865
2013/07/14,15.325
2013/07/15,40.916
2013/07/16,67.402
2013/07/17,73.686
2013/07/18,58.53
2013/07/19,33.683
2013/07/20,16.658
2013/07/21,17.634
2013/07/22,65.583
2013/07/23,70.804
2013/07/24,59.559
2013/07/25,47.896
2013/07/26,43.668
2013/07/27,14.968
2013/07/28,42.387
2013/07/29,62.199
2013/07/30,80.219
2013/07/31,58.313
2013/08/01,78.387
2013/08/02,48.563
2013/08/03,32.43
2013/08/04,24.406
2013/08/05,57.697
2013/08/06,50.424
2013/08/07,55.455
2013/08/08,41.947
2013/08/09,29.389
2013/08/10,20.292
2013/08/11,14.835
2013/08/12,70.943
2013/08/13,86.58
2013/08/14,87.834
2013/08/15,38.824
2013/08/16,57.464
2013/08/17,48.422
2013/08/18,35.858
2013/08/19,61.683
2013/08/20,51.714
2013/08/21,75.932
2013/08/22,39.256
2013/08/23,39.737
2013/08/24,23.916
2013/08/25,23.648
2013/08/26,49.048
2013/08/27,70.704
2013/08/28,52.485
2013/08/29,44.237
2013/08/30,66.833
2013/08/31,43.587
2013/09/01,33.115
2013/09/02,51.561
2013/09/03,75.338
2013/09/04,64.651
2013/09/05,43.42
2013/09/06,31.577
2013/09/07,24.151
2013/09/08,10.391
2013/09/09,47.983
2013/09/10,50.852
2013/09/11,62.142
2013/09/12,66.805
2013/09/13,56.221
2013/09/14,27.954
2013/09/15,14.591
2013/09/16,65.503
2013/09/17,57.183
2013/09/18,71.296
2013/09/19,79.346
2013/09/20,51.946
2013/09/21,23.418
2013/09/22,29.465
2013/09/23,77.162
2013/09/24,68.933
2013/09/25,49.978
2013/09/26,42.971
2013/09/27,37.388
2013/09/28,21.762
2013/09/29,21.538
2013/09/30,72.744
2013/10/01,85.953
2013/10/02,79.143
2013/10/03,39.207
2013/10/04,35.185
2013/10/05,16.095
2013/10/06,15.601
2013/10/07,57.966
2013/10/08,56.519
2013/10/09,74.142
2013/10/10,49.822
2013/10/11,57.969
2013/10/12,39.552
2013/10/13,46.383
2013/10/14,78.067
2013/10/15,81.079
2013/10/16,89.128
2013/10/17,50.573
2013/10/18,67.572
2013/10/19,79.748
2013/10/20,38.054
2013/10/21,70.619
2013/10/22,80.531
2013/10/23,76.992
2013/10/24,57.267
2013/10/25,94.362
2013/10/26,36.162
2013/10/27,33.732
2013/10/28,39.764
2013/10/29,70.233
2013/10/30,41.59
2013/10/31,40.116
2013/11/01,38.233
2013/11/02,35.759
2013/11/03,36.072
2013/11/04,70.78
2013/11/05,78.26
2013/11/06,64.821
2013/11/07,84.124
2013/11/08,77.77
2013/11/09,64.549
2013/11/10,31.577
2013/11/11,28.164
2013/11/12,76.157
2013/11/13,84.847
2013/11/14,77.539
2013/11/15,96.782
2013/11/16,52.493
2013/11/17,44.144
2013/11/18,74.137
2013/11/19,80.627
2013/11/20,46.303
2013/11/21,66.919
2013/11/22,77.387
2013/11/23,46.232
2013/11/24,43.155
2013/11/25,42.324
2013/11/26,91.118
2013/11/27,78.236
2013/11/28,80.805
2013/11/29,51.061
2013/11/30,33.134
2013/12/01,21.451
2013/12/02,20.414
2013/12/03,17.401
2013/12/04,38.627
2013/12/05,47.071
2013/12/06,24.033
2013/12/07,65.33
2013/12/08,32.657
2013/12/09,39.67
2013/12/10,29.591
2013/12/11,45.855
2013/12/12,35.377
2013/12/13,36.555
2013/12/14,21.26
2013/12/15,15.596
2013/12/16,80.311
2013/12/17,53.11
2013/12/18,54.17
2013/12/19,40.306
2013/12/20,30.215
2013/12/21,29.646
2013/12/22,28.506
2013/12/23,19.967
2013/12/24,44.829
2013/12/25,44.698
2013/12/26,24.376
2013/12/27,25.713
2013/12/28,25.753
2013/12/29,73.034
2013/12/30,65.385
2013/12/31,22.753
2014/01/01,37.519
2014/01/02,60.436
2014/01/03,78.252
