Date,transactions30roc
2011/12/30,-26.677
2011/12/31,-19.19
2012/01/01,-21.452
2012/01/02,-4.015
2012/01/03,6.954
2012/01/04,-8.176
2012/01/05,-12.297
2012/01/06,7.937
2012/01/07,1.149
2012/01/08,14.703
2012/01/09,7.481
2012/01/10,27.931
2012/01/11,47.54
2012/01/12,24.024
2012/01/13,21.087
2012/01/14,40.502
2012/01/15,22.335
2012/01/16,40.388
2012/01/17,46.947
2012/01/18,14.67
2012/01/19,9.593
2012/01/20,22.237
2012/01/21,8.597
2012/01/22,-6.336
2012/01/23,31.398
2012/01/24,39.456
2012/01/25,42.99
2012/01/26,27.517
2012/01/27,27.884
2012/01/28,13.618
2012/01/29,27.501
2012/01/30,19.956
2012/01/31,39.748
2012/02/01,20.955
2012/02/02,24.777
2012/02/03,23.468
2012/02/04,3.403
2012/02/05,2.456
2012/02/06,4.702
2012/02/07,10.159
2012/02/08,15.652
2012/02/09,12.347
2012/02/10,19.067
2012/02/11,15.105
2012/02/12,2.46
2012/02/13,17.996
2012/02/14,51.482
2012/02/15,35.358
2012/02/16,42.517
2012/02/17,1.641
2012/02/18,-6.028
2012/02/19,-12.585
2012/02/20,-0.048
2012/02/21,21.237
2012/02/22,18.634
2012/02/23,10.086
2012/02/24,-13.209
2012/02/25,-4.938
2012/02/26,-8.473
2012/02/27,14.154
2012/02/28,4.889
2012/02/29,9.346
2012/03/01,-1.697
2012/03/02,18.079
2012/03/03,-27.566
2012/03/04,-6.355
2012/03/05,-3.475
2012/03/06,-6.046
2012/03/07,8.197
2012/03/08,-5.731
2012/03/09,-7.923
2012/03/10,-29.116
2012/03/11,-38.819
2012/03/12,-20.64
2012/03/13,5.282
2012/03/14,-13.966
2012/03/15,-34.093
2012/03/16,-26.307
2012/03/17,-28.652
2012/03/18,-11.274
2012/03/19,2.585
2012/03/20,15.069
2012/03/21,10.373
2012/03/22,2.194
2012/03/23,-14.286
2012/03/24,-21.114
2012/03/25,-10.706
2012/03/26,5.325
2012/03/27,14.795
2012/03/28,7.719
2012/03/29,12.369
2012/03/30,2.049
2012/03/31,-9.58
2012/04/01,-27.826
2012/04/02,25.266
2012/04/03,17.849
2012/04/04,2.517
2012/04/05,10.913
2012/04/06,1.265
2012/04/07,-8.178
2012/04/08,-8.983
2012/04/09,24.323
2012/04/10,63.51
2012/04/11,29.155
2012/04/12,12.827
2012/04/13,2.368
2012/04/14,27.99
2012/04/15,7.107
2012/04/16,25.664
2012/04/17,30.464
2012/04/18,29.82
2012/04/19,16.017
2012/04/20,18.84
2012/04/21,9.613
2012/04/22,3.051
2012/04/23,12.567
2012/04/24,24.228
2012/04/25,14.873
2012/04/26,52.75
