Date,sentinusd30emaUSD
2012/01/25,2077334
2012/01/26,2069397
2012/01/27,2037490
2012/01/28,1972084
2012/01/29,1941338
2012/01/30,1903204
2012/01/31,1872143
2012/02/01,1888550
2012/02/02,1886686
2012/02/03,1884899
2012/02/04,1875519
2012/02/05,1863669
2012/02/06,1837961
2012/02/07,1812129
2012/02/08,1780919
2012/02/09,1740416
2012/02/10,1727794
2012/02/11,1762205
2012/02/12,1741623
2012/02/13,1756270
2012/02/14,2048455
2012/02/15,2281958
2012/02/16,2562389
2012/02/17,2651452
2012/02/18,2657115
2012/02/19,2576407
2012/02/20,2517790
2012/02/21,2448848
2012/02/22,2494489
2012/02/23,2524292
2012/02/24,2528126
2012/02/25,2473402
2012/02/26,2398143
2012/02/27,2342203
2012/02/28,2288128
2012/02/29,2225410
2012/03/01,2277697
2012/03/02,2289860
2012/03/03,2245286
2012/03/04,2290548
2012/03/05,2245704
2012/03/06,2197508
2012/03/07,2156229
2012/03/08,2164878
2012/03/09,2190996
2012/03/10,2152048
2012/03/11,2120824
2012/03/12,2145857
2012/03/13,2156556
2012/03/14,2197015
2012/03/15,2202545
2012/03/16,2214969
2012/03/17,2211659
2012/03/18,2175448
2012/03/19,2162497
2012/03/20,2158210
2012/03/21,2158112
2012/03/22,2231614
2012/03/23,2346600
2012/03/24,2425315
2012/03/25,2375557
2012/03/26,2366765
2012/03/27,2373640
2012/03/28,2420549
2012/03/29,2621073
2012/03/30,2742919
2012/03/31,2824426
2012/04/01,2820526
2012/04/02,2845866
2012/04/03,2911846
2012/04/04,2942985
2012/04/05,3033648
2012/04/06,3007234
2012/04/07,2904338
2012/04/08,3087101
2012/04/09,3385088
2012/04/10,3410291
2012/04/11,3647462
2012/04/12,3802043
2012/04/13,3808544
2012/04/14,3864285
2012/04/15,4009274
2012/04/16,4250161
2012/04/17,4321779
2012/04/18,4361541
2012/04/19,4290562
2012/04/20,4963050
2012/04/21,5047834
2012/04/22,5028406
2012/04/23,4945862
2012/04/24,4856506
2012/04/25,4863693
2012/04/26,5146896
2012/04/27,5281874
2012/04/28,5213355
2012/04/29,5173238
2012/04/30,5169738
2012/05/01,5165514
2012/05/02,5165789
2012/05/03,5211611
2012/05/04,5226151
2012/05/05,5263654
2012/05/06,5119614
2012/05/07,5483131
2012/05/08,6379741
2012/05/09,6710685
2012/05/10,6640715
2012/05/11,6679109
2012/05/12,7252365
2012/05/13,7246626
2012/05/14,7501845
2012/05/15,8213748
2012/05/16,8788997
2012/05/17,9333191
2012/05/18,9331329
2012/05/19,9118159
2012/05/20,9178196
2012/05/21,9824366
2012/05/22,10513631
2012/05/23,10418932
2012/05/24,10103754
2012/05/25,10242333
2012/05/26,11155061
2012/05/27,11084776
2012/05/28,11058913
2012/05/29,11378830
2012/05/30,11419062
2012/05/31,12257689
2012/06/01,12450084
2012/06/02,12300705
2012/06/03,12068948
2012/06/04,12844870
2012/06/05,13565484
