Date,size30rsi
2012/01/31,51.669
2012/02/01,50.944
2012/02/02,51.498
2012/02/03,50.838
2012/02/04,51.071
2012/02/05,51.191
2012/02/06,49.307
2012/02/07,51.776
2012/02/08,51.018
2012/02/09,52.513
2012/02/10,55.432
2012/02/11,52.078
2012/02/12,49.559
2012/02/13,53.961
2012/02/14,57.102
2012/02/15,55.775
2012/02/16,57.172
2012/02/17,48.506
2012/02/18,47.175
2012/02/19,47.275
2012/02/20,48.859
2012/02/21,51.097
2012/02/22,49.144
2012/02/23,50.862
2012/02/24,50.683
2012/02/25,48.293
2012/02/26,48.207
2012/02/27,49.176
2012/02/28,49.037
2012/02/29,47.631
2012/03/01,51.189
2012/03/02,54.237
2012/03/03,49.571
2012/03/04,50.302
2012/03/05,51.904
2012/03/06,51.303
2012/03/07,48.883
2012/03/08,49.308
2012/03/09,48.585
2012/03/10,48.36
2012/03/11,49.052
2012/03/12,48.117
2012/03/13,52.419
2012/03/14,53.188
2012/03/15,52.496
2012/03/16,49.388
2012/03/17,48.136
2012/03/18,47.082
2012/03/19,50.131
2012/03/20,48.835
2012/03/21,49.222
2012/03/22,48.978
2012/03/23,50.414
2012/03/24,46.318
2012/03/25,48.453
2012/03/26,50.357
2012/03/27,49.386
2012/03/28,51.102
2012/03/29,52.058
2012/03/30,49.818
2012/03/31,47.274
2012/04/01,48.789
2012/04/02,53.455
2012/04/03,53.906
2012/04/04,51.524
2012/04/05,55.011
2012/04/06,52.296
2012/04/07,49.872
2012/04/08,48.129
2012/04/09,49.415
2012/04/10,52.192
2012/04/11,52.706
2012/04/12,54.339
2012/04/13,52.457
2012/04/14,51.906
2012/04/15,54.155
2012/04/16,52.837
2012/04/17,53.692
2012/04/18,55.733
2012/04/19,50.309
2012/04/20,52.649
2012/04/21,49.484
2012/04/22,48.968
2012/04/23,50.885
2012/04/24,50.969
2012/04/25,52.17
2012/04/26,52.198
2012/04/27,50.836
2012/04/28,49.094
2012/04/29,47.483
2012/04/30,50.015
2012/05/01,52.563
2012/05/02,54.259
2012/05/03,57.712
2012/05/04,57.776
2012/05/05,54.825
2012/05/06,55.093
2012/05/07,60.681
2012/05/08,58.677
2012/05/09,60.105
2012/05/10,56.701
2012/05/11,63.086
2012/05/12,63.777
2012/05/13,56.046
2012/05/14,67.299
2012/05/15,62.647
2012/05/16,60.307
2012/05/17,59.355
2012/05/18,61.135
2012/05/19,66.773
2012/05/20,65
2012/05/21,66.893
2012/05/22,60.809
2012/05/23,61.394
2012/05/24,61.519
2012/05/25,63.345
2012/05/26,54.322
2012/05/27,54.677
2012/05/28,58.539
2012/05/29,60.601
2012/05/30,56.455
2012/05/31,52.364
2012/06/01,54.261
2012/06/02,46.467
2012/06/03,55.57
2012/06/04,59.645
2012/06/05,59.302
2012/06/06,48.268
2012/06/07,54.455
2012/06/08,51.516
2012/06/09,52.19
2012/06/10,53.968
2012/06/11,53.73
2012/06/12,49.14
2012/06/13,58.183
2012/06/14,59.513
2012/06/15,56.934
2012/06/16,54.143
2012/06/17,53.095
2012/06/18,51.782
2012/06/19,52.885
2012/06/20,52.164
2012/06/21,50.977
2012/06/22,49.856
2012/06/23,48.349
2012/06/24,49.697
2012/06/25,50.154
2012/06/26,50.68
2012/06/27,50.103
2012/06/28,50.373
2012/06/29,48.348
2012/06/30,49.043
2012/07/01,47.471
2012/07/02,48.781
2012/07/03,47.936
2012/07/04,48.741
2012/07/05,48.765
2012/07/06,48.807
2012/07/07,48.33
2012/07/08,47.771
2012/07/09,48.79
2012/07/10,52.925
2012/07/11,53.093
2012/07/12,49.183
2012/07/13,49.12
2012/07/14,48.021
2012/07/15,50.519
2012/07/16,52.01
2012/07/17,51.624
2012/07/18,52.369
2012/07/19,53.539
2012/07/20,54.005
2012/07/21,53.19
2012/07/22,51.29
2012/07/23,52.06
2012/07/24,49.194
2012/07/25,48.549
2012/07/26,49.576
2012/07/27,47.436
2012/07/28,51.615
2012/07/29,50.843
2012/07/30,50.993
2012/07/31,56.715
2012/08/01,51.699
2012/08/02,50.281
