Date,activeaddresses90roc
2012/08/11,85.51
2012/08/12,20.516
2012/08/13,78.883
2012/08/14,67.86
2012/08/15,123.342
2012/08/16,135.87
2012/08/17,79.601
2012/08/18,74.705
2012/08/19,91.487
2012/08/20,72.307
2012/08/21,83.664
2012/08/22,76.442
2012/08/23,45.278
2012/08/24,75.552
2012/08/25,39.228
2012/08/26,17.26
2012/08/27,12.192
2012/08/28,39.814
2012/08/29,38.58
2012/08/30,17.368
2012/08/31,140.288
2012/09/01,47.999
2012/09/02,-15.989
2012/09/03,-19.46
2012/09/04,90.535
2012/09/05,17.403
2012/09/06,65.722
2012/09/07,39.836
2012/09/08,-0.396
2012/09/09,23.252
2012/09/10,59.018
2012/09/11,-3.195
2012/09/12,-31.08
2012/09/13,-28.543
2012/09/14,-2.724
2012/09/15,-23.707
2012/09/16,-16.038
2012/09/17,-6.996
2012/09/18,20.197
2012/09/19,44.322
2012/09/20,61.728
2012/09/21,29.549
2012/09/22,-4.168
2012/09/23,-15.714
2012/09/24,-7.111
2012/09/25,10.668
2012/09/26,47.478
2012/09/27,27.078
2012/09/28,56.682
2012/09/29,21.284
2012/09/30,-5.242
2012/10/01,9.444
2012/10/02,68.083
2012/10/03,79.415
2012/10/04,76.514
2012/10/05,43.933
2012/10/06,39.577
2012/10/07,34.431
2012/10/08,28.652
2012/10/09,47.871
2012/10/10,38.338
2012/10/11,31.47
2012/10/12,49.216
2012/10/13,29.786
2012/10/14,4.848
2012/10/15,14.951
2012/10/16,25.587
2012/10/17,23.44
2012/10/18,41.352
2012/10/19,27.025
2012/10/20,10.956
2012/10/21,-7.695
2012/10/22,7.986
2012/10/23,31.349
2012/10/24,35.721
2012/10/25,22.55
2012/10/26,-2.123
2012/10/27,-17.319
2012/10/28,-23.604
2012/10/29,-39.273
2012/10/30,-15.38
2012/10/31,-23.624
2012/11/01,-12.725
2012/11/02,-7.642
2012/11/03,-13.536
2012/11/04,-27.595
2012/11/05,-4.057
2012/11/06,-20.806
2012/11/07,7.734
2012/11/08,-2.427
2012/11/09,-4.369
2012/11/10,-11.095
2012/11/11,-37.932
2012/11/12,-26.404
2012/11/13,-35.153
2012/11/14,-38.8
2012/11/15,-18.428
2012/11/16,-6.414
2012/11/17,-8.972
2012/11/18,-9.441
2012/11/19,-22.036
2012/11/20,-11.643
2012/11/21,0.864
2012/11/22,-8.11
2012/11/23,-3.835
2012/11/24,6.913
2012/11/25,-5.652
2012/11/26,3.563
2012/11/27,-2.057
2012/11/28,28.573
2012/11/29,-15.101
2012/11/30,-17.497
2012/12/01,-0.558
2012/12/02,-15.751
2012/12/03,-34.52
2012/12/04,2.094
2012/12/05,-5.03
2012/12/06,-6.981
2012/12/07,21.354
2012/12/08,-4.665
2012/12/09,4.122
2012/12/10,-20.57
2012/12/11,8.259
2012/12/12,21.778
2012/12/13,20.637
2012/12/14,38.79
2012/12/15,9.581
2012/12/16,8.125
2012/12/17,5.698
2012/12/18,12.26
2012/12/19,-7.436
2012/12/20,0.875
2012/12/21,68.871
2012/12/22,92.548
2012/12/23,19.411
2012/12/24,-7.502
2012/12/25,-37.254
2012/12/26,-9.443
2012/12/27,-26.905
2012/12/28,10.3
2012/12/29,15.362
2012/12/30,20.547
2012/12/31,-34.672
2013/01/01,-24.456
2013/01/02,-16.796
2013/01/03,15.124
2013/01/04,21.512
2013/01/05,23.089
2013/01/06,-11.398
2013/01/07,3.403
2013/01/08,18.3
2013/01/09,36.204
2013/01/10,37.143
2013/01/11,54.83
2013/01/12,31.492
2013/01/13,19.913
2013/01/14,2.908
2013/01/15,28.574
2013/01/16,14.438
2013/01/17,30.37
2013/01/18,32.004
2013/01/19,27.199
2013/01/20,11.099
2013/01/21,10.822
2013/01/22,27.769
2013/01/23,19.639
2013/01/24,60.547
2013/01/25,66.598
2013/01/26,97.66
2013/01/27,38.901
2013/01/28,57.561
2013/01/29,72.86
2013/01/30,40.334
2013/01/31,44.365
2013/02/01,96.864
2013/02/02,84.525
2013/02/03,53.013
2013/02/04,39.423
2013/02/05,37.77
2013/02/06,42.435
2013/02/07,58.75
2013/02/08,73.349
2013/02/09,86.84
2013/02/10,82.499
2013/02/11,59.969
2013/02/12,37.324
2013/02/13,14.816
2013/02/14,6.578
2013/02/15,-5.233
2013/02/16,9.726
2013/02/17,7.468
2013/02/18,7.953
2013/02/19,11.957
2013/02/20,22.732
2013/02/21,43.819
2013/02/22,46.408
2013/02/23,41.634
2013/02/24,25.919
2013/02/25,46.849
2013/02/26,34.111
2013/02/27,31.208
2013/02/28,61.156
2013/03/01,81.596
2013/03/02,77.102
2013/03/03,52.795
2013/03/04,26.23
2013/03/05,29.013
2013/03/06,68.562
2013/03/07,62.286
2013/03/08,47.71
2013/03/09,39.138
2013/03/10,58.603
2013/03/11,44.504
2013/03/12,39.86
2013/03/13,36.534
2013/03/14,46.654
2013/03/15,83.528
2013/03/16,42.444
2013/03/17,26.711
2013/03/18,22.286
2013/03/19,57.098
2013/03/20,58.94
2013/03/21,51.163
2013/03/22,35.962
2013/03/23,67.761
2013/03/24,72.464
2013/03/25,118.5
2013/03/26,91.595
2013/03/27,98.969
2013/03/28,122.753
2013/03/29,108.206
2013/03/30,70.489
2013/03/31,84.993
2013/04/01,100.169
2013/04/02,113.147
2013/04/03,108.984
2013/04/04,130.012
2013/04/05,87.27
2013/04/06,96.835
2013/04/07,61.124
2013/04/08,103.302
2013/04/09,99.56
2013/04/10,118.114
2013/04/11,104.1
2013/04/12,102.939
2013/04/13,49.248
2013/04/14,61.123
2013/04/15,73.96
2013/04/16,71.79
2013/04/17,78.645
2013/04/18,43.918
2013/04/19,112.766
2013/04/20,61.653
2013/04/21,52.11
2013/04/22,71.488
2013/04/23,96.796
2013/04/24,68.931
2013/04/25,83.159
2013/04/26,57.749
2013/04/27,57.85
2013/04/28,117.446
2013/04/29,56.367
2013/04/30,72.711
2013/05/01,74.766
2013/05/02,27.26
2013/05/03,46.44
2013/05/04,21.718
2013/05/05,25.759
2013/05/06,42.166
2013/05/07,103.362
2013/05/08,75.683
2013/05/09,36.104
2013/05/10,49.676
2013/05/11,40.523
2013/05/12,33.12
