Date,confirmationtime
2012/08/15,8.623
2012/08/16,9.351
2012/08/17,10.435
2012/08/18,9.536
2012/08/19,7.912
2012/08/20,8.276
2012/08/21,8.324
2012/08/22,9.231
2012/08/23,8.727
2012/08/24,9.73
2012/08/25,10.435
2012/08/26,8.045
2012/08/27,9.931
2012/08/28,9.536
2012/08/29,8.571
2012/08/30,9.351
2012/08/31,10.286
2012/09/01,8.944
2012/09/02,8.78
2012/09/03,9.172
2012/09/04,9.412
2012/09/05,8
2012/09/06,8.421
2012/09/07,8.571
2012/09/08,9.931
2012/09/09,9.057
2012/09/10,9.6
2012/09/11,9.931
2012/09/12,9.29
2012/09/13,11.077
2012/09/14,8.889
2012/09/15,10
2012/09/16,8.944
2012/09/17,8.571
2012/09/18,8.623
2012/09/19,10.213
2012/09/20,9.474
2012/09/21,8.521
2012/09/22,9.172
2012/09/23,9.114
2012/09/24,9.412
2012/09/25,10.36
2012/09/26,10.286
2012/09/27,8.944
2012/09/28,9.114
2012/09/29,8.571
2012/09/30,9.057
2012/10/01,10.992
2012/10/02,9.863
2012/10/03,10.827
2012/10/04,10.992
2012/10/05,10.588
2012/10/06,9.29
2012/10/07,11.52
2012/10/08,8.09
2012/10/09,10.141
2012/10/10,9.664
2012/10/11,10.435
2012/10/12,9.664
2012/10/13,9.73
2012/10/14,11.339
2012/10/15,8.521
2012/10/16,9.29
2012/10/17,10.141
2012/10/18,9.172
2012/10/19,10.667
2012/10/20,9.114
2012/10/21,8.944
2012/10/22,9.172
2012/10/23,11.077
2012/10/24,8.889
2012/10/25,10.07
2012/10/26,8.727
2012/10/27,8.229
2012/10/28,8.675
2012/10/29,9.114
2012/10/30,10.07
2012/10/31,10
2012/11/01,10.511
2012/11/02,10.07
2012/11/03,9.863
2012/11/04,9.172
2012/11/05,9
2012/11/06,10.667
2012/11/07,9.172
2012/11/08,9.351
2012/11/09,9.474
2012/11/10,10
2012/11/11,9.796
2012/11/12,10.909
2012/11/13,10.286
2012/11/14,10.07
2012/11/15,10.588
2012/11/16,9.931
2012/11/17,10.286
2012/11/18,9.863
2012/11/19,9.863
2012/11/20,9.796
2012/11/21,9.474
2012/11/22,10
2012/11/23,8.834
2012/11/24,9.536
2012/11/25,9.863
2012/11/26,9.172
2012/11/27,9.73
2012/11/28,8.372
2012/11/29,8.675
2012/11/30,11.52
2012/12/01,8.623
2012/12/02,10.07
2012/12/03,9.796
2012/12/04,12.857
2012/12/05,11.803
2012/12/06,10.511
2012/12/07,11.163
