Date,top100cap90mom
2012/04/22,0.615
2012/04/23,0.603
2012/04/24,0.517
2012/04/25,0.429
2012/04/26,0.533
2012/04/27,0.519
2012/04/28,0.436
2012/04/29,0.252
2012/04/30,0.207
2012/05/01,0.237
2012/05/02,0.156
2012/05/03,0.168
2012/05/04,0.023
2012/05/05,0.108
2012/05/06,0.724
2012/05/07,0.815
2012/05/08,0.781
2012/05/09,0.9
2012/05/10,0.973
2012/05/11,1.444
2012/05/12,1.351
2012/05/13,1.125
2012/05/14,0.559
2012/05/15,1.813
2012/05/16,2.201
2012/05/17,2.512
2012/05/18,2.619
2012/05/19,2.585
2012/05/20,2.647
2012/05/21,2.596
2012/05/22,2.873
2012/05/23,2.981
2012/05/24,3.083
2012/05/25,2.596
2012/05/26,2.599
2012/05/27,2.605
2012/05/28,2.489
2012/05/29,2.644
2012/05/30,2.662
2012/05/31,2.351
2012/06/01,1.967
2012/06/02,1.972
2012/06/03,2.033
2012/06/04,1.941
2012/06/05,1.875
2012/06/06,1.911
2012/06/07,1.909
2012/06/08,1.897
2012/06/09,2.272
2012/06/10,2.256
2012/06/11,2.165
2012/06/12,2.062
2012/06/13,2.219
2012/06/14,2.137
2012/06/15,2.075
2012/06/16,2.118
2012/06/17,2
2012/06/18,2.081
2012/06/19,2.129
2012/06/20,2.206
2012/06/21,2.173
2012/06/22,2.185
2012/06/23,1.737
2012/06/24,1.869
2012/06/25,1.729
2012/06/26,1.508
2012/06/27,1.661
2012/06/28,1.923
2012/06/29,1.863
2012/06/30,1.878
2012/07/01,1.83
2012/07/02,1.789
2012/07/03,1.579
2012/07/04,1.656
2012/07/05,1.303
2012/07/06,1.332
2012/07/07,1.323
2012/07/08,1.777
2012/07/09,1.734
2012/07/10,1.69
2012/07/11,1.722
2012/07/12,2.257
2012/07/13,2.141
2012/07/14,1.992
2012/07/15,1.718
2012/07/16,1.298
2012/07/17,1.195
2012/07/18,1.1
2012/07/19,0.78
2012/07/20,0.795
2012/07/21,0.651
2012/07/22,0.641
2012/07/23,0.662
2012/07/24,0.691
2012/07/25,0.671
2012/07/26,0.76
2012/07/27,0.761
2012/07/28,0.925
2012/07/29,1.021
2012/07/30,0.985
2012/07/31,0.97
2012/08/01,1.068
2012/08/02,0.996
2012/08/03,0.916
2012/08/04,0.332
2012/08/05,0.233
2012/08/06,0.322
2012/08/07,0.209
2012/08/08,0.083
2012/08/09,-0.405
2012/08/10,-0.281
2012/08/11,-0.381
2012/08/12,-0.376
2012/08/13,-0.604
2012/08/14,-0.667
2012/08/15,-0.873
2012/08/16,-0.855
2012/08/17,-0.87
2012/08/18,-0.925
2012/08/19,-1.424
2012/08/20,-2.081
2012/08/21,-2.344
2012/08/22,-2.669
2012/08/23,-2.752
2012/08/24,-2.952
2012/08/25,-3.052
2012/08/26,-3.019
2012/08/27,-3.248
2012/08/28,-3.352
2012/08/29,-3.22
2012/08/30,-3.013
2012/08/31,-3.011
2012/09/01,-3.219
2012/09/02,-3.241
2012/09/03,-3.198
2012/09/04,-3.28
2012/09/05,-3.496
2012/09/06,-3.622
2012/09/07,-4.144
2012/09/08,-4.132
2012/09/09,-4.036
2012/09/10,-4.125
2012/09/11,-4.649
2012/09/12,-4.739
2012/09/13,-4.831
2012/09/14,-5.074
2012/09/15,-5.071
2012/09/16,-5.313
2012/09/17,-5.455
2012/09/18,-5.486
2012/09/19,-5.83
2012/09/20,-5.858
2012/09/21,-5.485
2012/09/22,-5.75
2012/09/23,-5.665
2012/09/24,-5.569
2012/09/25,-5.771
2012/09/26,-6.001
2012/09/27,-5.912
2012/09/28,-5.938
2012/09/29,-5.973
2012/09/30,-5.828
2012/10/01,-5.882
2012/10/02,-6.007
2012/10/03,-5.996
2012/10/04,-5.964
2012/10/05,-5.917
2012/10/06,-5.951
2012/10/07,-5.91
2012/10/08,-6.035
2012/10/09,-6.071
2012/10/10,-6.377
2012/10/11,-6.226
2012/10/12,-6.211
2012/10/13,-6.268
2012/10/14,-6.08
2012/10/15,-5.973
2012/10/16,-5.832
2012/10/17,-5.732
2012/10/18,-5.757
2012/10/19,-5.711
2012/10/20,-5.671
2012/10/21,-5.42
2012/10/22,-5.019
2012/10/23,-5.171
2012/10/24,-5.24
2012/10/25,-5.288
2012/10/26,-5.233
2012/10/27,-5.331
2012/10/28,-5.338
2012/10/29,-5.311
2012/10/30,-5.039
2012/10/31,-5.047
2012/11/01,-5.025
2012/11/02,-5.119
2012/11/03,-5.016
2012/11/04,-5.038
2012/11/05,-5.079
2012/11/06,-4.982
2012/11/07,-4.93
2012/11/08,-4.983
2012/11/09,-4.896
2012/11/10,-4.887
2012/11/11,-4.716
2012/11/12,-4.855
2012/11/13,-4.894
2012/11/14,-4.943
2012/11/15,-4.832
2012/11/16,-4.731
2012/11/17,-4.122
2012/11/18,-3.71
2012/11/19,-3.492
2012/11/20,-3.201
2012/11/21,-3.016
2012/11/22,-2.77
2012/11/23,-2.666
2012/11/24,-2.77
2012/11/25,-2.564
2012/11/26,-2.803
2012/11/27,-2.267
2012/11/28,-1.847
2012/11/29,-1.819
2012/11/30,-1.605
2012/12/01,-1.468
2012/12/02,-1.485
2012/12/03,-1.335
2012/12/04,-1.197
2012/12/05,-1.093
2012/12/06,-0.962
2012/12/07,-0.875
2012/12/08,-0.833
2012/12/09,-0.805
2012/12/10,-0.522
2012/12/11,-0.381
2012/12/12,-0.226
2012/12/13,-0.216
2012/12/14,-0.167
2012/12/15,0.003
2012/12/16,0.09
2012/12/17,0.178
2012/12/18,0.361
2012/12/19,0.514
2012/12/20,0.135
2012/12/21,0.174
2012/12/22,0.288
2012/12/23,0.296
2012/12/24,0.317
2012/12/25,0.323
2012/12/26,0.395
2012/12/27,0.418
2012/12/28,0.429
2012/12/29,0.49
2012/12/30,0.551
2012/12/31,0.494
2013/01/01,0.535
2013/01/02,0.553
2013/01/03,0.549
2013/01/04,0.501
2013/01/05,0.521
2013/01/06,0.731
2013/01/07,0.733
2013/01/08,0.406
2013/01/09,0.375
2013/01/10,0.382
2013/01/11,0.446
2013/01/12,0.436
2013/01/13,0.342
2013/01/14,0.162
2013/01/15,0.16
2013/01/16,0.189
2013/01/17,0.147
2013/01/18,0.149
2013/01/19,-0.105
2013/01/20,-0.389
2013/01/21,-0.355
2013/01/22,-0.323
2013/01/23,-0.205
2013/01/24,-0.35
2013/01/25,-0.275
2013/01/26,-0.083
2013/01/27,-0.036
2013/01/28,-0.387
2013/01/29,-0.21
2013/01/30,-0.134
2013/01/31,-0.084
2013/02/01,-0.135
2013/02/02,-0.207
2013/02/03,-0.168
2013/02/04,-0.222
2013/02/05,-0.119
2013/02/06,-0.11
2013/02/07,-0.091
2013/02/08,-0.103
2013/02/09,-0.19
2013/02/10,-0.12
2013/02/11,-0.09
2013/02/12,-0.005
2013/02/13,-0.048
2013/02/14,-0.136
2013/02/15,-0.303
2013/02/16,-0.301
2013/02/17,-0.52
2013/02/18,-0.555
2013/02/19,-0.677
2013/02/20,-0.571
2013/02/21,-0.558
2013/02/22,-0.422
2013/02/23,-0.464
2013/02/24,-0.283
2013/02/25,-0.695
2013/02/26,-0.76
2013/02/27,-0.766
2013/02/28,-0.801
2013/03/01,-0.825
2013/03/02,-0.776
2013/03/03,-0.776
2013/03/04,-0.625
2013/03/05,-0.649
2013/03/06,-0.578
2013/03/07,-0.585
2013/03/08,-0.472
2013/03/09,-0.37
2013/03/10,-0.488
2013/03/11,-0.423
2013/03/12,-0.375
2013/03/13,-0.171
2013/03/14,-0.08
2013/03/15,-0.172
2013/03/16,-0.134
2013/03/17,-0.18
2013/03/18,-0.093
2013/03/19,-0.202
2013/03/20,-0.091
2013/03/21,-0.02
2013/03/22,-0.039
2013/03/23,-0.057
2013/03/24,0.028
2013/03/25,0.102
2013/03/26,0.179
2013/03/27,0.249
2013/03/28,0.256
2013/03/29,0.371
2013/03/30,0.424
2013/03/31,0.336
2013/04/01,0.426
2013/04/02,0.427
2013/04/03,0.366
2013/04/04,0.45
2013/04/05,0.29
2013/04/06,0.23
2013/04/07,0.141
2013/04/08,0.294
2013/04/09,0.329
2013/04/10,0.413
2013/04/11,0.808
2013/04/12,0.76
2013/04/13,0.854
2013/04/14,0.912
2013/04/15,1.166
2013/04/16,1.3
2013/04/17,1.197
2013/04/18,1.23
2013/04/19,1.22
2013/04/20,1.329
2013/04/21,1.341
2013/04/22,1.3
2013/04/23,1.252
2013/04/24,1.152
2013/04/25,1.177
2013/04/26,1.067
2013/04/27,0.794
2013/04/28,0.813
2013/04/29,0.654
2013/04/30,0.599
2013/05/01,0.705
2013/05/02,0.751
2013/05/03,0.819
2013/05/04,0.797
2013/05/05,0.787
2013/05/06,0.689
2013/05/07,0.719
2013/05/08,0.731
2013/05/09,0.762
2013/05/10,0.734
2013/05/11,0.686
2013/05/12,0.651
2013/05/13,0.571
2013/05/14,0.587
2013/05/15,0.627
2013/05/16,0.759
2013/05/17,0.728
2013/05/18,0.922
2013/05/19,0.91
2013/05/20,0.909
2013/05/21,0.737
2013/05/22,0.785
2013/05/23,0.706
2013/05/24,0.783
2013/05/25,0.655
2013/05/26,0.69
2013/05/27,0.728
2013/05/28,0.742
2013/05/29,0.68
2013/05/30,0.713
2013/05/31,0.609
2013/06/01,0.534
2013/06/02,0.488
2013/06/03,0.466
2013/06/04,0.394
2013/06/05,0.481
2013/06/06,0.312
2013/06/07,0.301
2013/06/08,0.438
2013/06/09,0.472
2013/06/10,0.449
2013/06/11,0.4
2013/06/12,0.485
2013/06/13,0.563
2013/06/14,0.592
2013/06/15,0.611
2013/06/16,0.677
2013/06/17,0.701
2013/06/18,0.631
2013/06/19,0.695
2013/06/20,0.71
2013/06/21,0.739
2013/06/22,0.666
2013/06/23,0.635
2013/06/24,0.49
2013/06/25,0.36
2013/06/26,0.343
2013/06/27,0.222
2013/06/28,0.146
2013/06/29,0.299
2013/06/30,0.185
2013/07/01,0.187
2013/07/02,0.264
2013/07/03,0.272
2013/07/04,0.514
2013/07/05,0.596
2013/07/06,0.777
2013/07/07,0.846
2013/07/08,0.877
2013/07/09,0.838
2013/07/10,0.385
2013/07/11,0.458
2013/07/12,0.368
2013/07/13,0.268
2013/07/14,-0.026
2013/07/15,-0.196
2013/07/16,-0.105
2013/07/17,-0.077
2013/07/18,0.24
2013/07/19,0.004
2013/07/20,-0.002
2013/07/21,0.01
2013/07/22,0.019
2013/07/23,0.169
2013/07/24,0.121
2013/07/25,0.086
2013/07/26,0.309
2013/07/27,0.31
2013/07/28,0.445
2013/07/29,0.505
2013/07/30,0.469
2013/07/31,0.528
2013/08/01,0.436
2013/08/02,0.472
2013/08/03,0.422
2013/08/04,0.493
2013/08/05,0.431
2013/08/06,0.431
2013/08/07,0.458
2013/08/08,0.556
2013/08/09,0.555
2013/08/10,0.507
2013/08/11,0.634
2013/08/12,0.849
2013/08/13,0.907
2013/08/14,0.737
2013/08/15,0.682
2013/08/16,0.599
2013/08/17,0.466
2013/08/18,0.449
2013/08/19,0.487
2013/08/20,0.306
2013/08/21,0.272
2013/08/22,0.246
2013/08/23,0.343
2013/08/24,0.327
2013/08/25,0.276
2013/08/26,0.239
2013/08/27,0.236
2013/08/28,0.242
2013/08/29,0.151
2013/08/30,0.145
2013/08/31,0.118
2013/09/01,0.142
2013/09/02,0.119
2013/09/03,0.024
2013/09/04,0.138
2013/09/05,0.018
2013/09/06,-0.021
2013/09/07,-0.11
2013/09/08,-0.101
2013/09/09,-0.227
2013/09/10,-0.311
2013/09/11,-0.355
2013/09/12,-0.416
2013/09/13,-0.455
2013/09/14,-0.496
2013/09/15,-0.53
2013/09/16,-0.592
2013/09/17,-0.627
2013/09/18,-0.649
2013/09/19,-0.529
2013/09/20,-0.494
2013/09/21,-0.532
2013/09/22,-0.697
2013/09/23,-0.608
2013/09/24,-0.672
2013/09/25,-0.734
2013/09/26,-0.721
2013/09/27,-0.728
2013/09/28,-0.738
2013/09/29,-0.757
2013/09/30,-0.797
2013/10/01,-0.775
2013/10/02,-0.673
2013/10/03,-0.56
2013/10/04,-0.693
2013/10/05,-0.671
2013/10/06,-0.764
2013/10/07,-0.782
2013/10/08,-0.756
2013/10/09,-0.823
2013/10/10,-0.74
2013/10/11,-0.552
2013/10/12,-0.478
2013/10/13,-0.429
2013/10/14,-0.43
2013/10/15,-0.511
2013/10/16,-0.876
2013/10/17,-0.777
2013/10/18,-0.65
2013/10/19,-0.629
2013/10/20,-0.657
2013/10/21,-0.705
2013/10/22,-0.81
2013/10/23,-0.815
2013/10/24,-0.831
2013/10/25,0.2
2013/10/26,0.241
2013/10/27,0.151
2013/10/28,0.095
2013/10/29,-0.025
2013/10/30,0.088
2013/10/31,0.097
2013/11/01,0.21
2013/11/02,0.197
2013/11/03,0.306
2013/11/04,0.752
2013/11/05,0.787
2013/11/06,0.811
2013/11/07,0.87
2013/11/08,0.937
2013/11/09,0.808
2013/11/10,0.593
2013/11/11,0.478
2013/11/12,0.533
2013/11/13,0.557
2013/11/14,0.649
2013/11/15,0.764
2013/11/16,0.791
2013/11/17,0.802
2013/11/18,0.937
