Date,size3mom
2013/06/20,15186
2013/06/21,-17396
2013/06/22,-42634
2013/06/23,-51572
2013/06/24,3319
2013/06/25,10335
2013/06/26,13924
2013/06/27,-7995
2013/06/28,7393
2013/06/29,-14973
2013/06/30,-34808
2013/07/01,-22043
2013/07/02,11575
2013/07/03,-6597
2013/07/04,-16057
2013/07/05,-27074
2013/07/06,-1724
2013/07/07,-21166
2013/07/08,4252
2013/07/09,18999
2013/07/10,16887
2013/07/11,20730
2013/07/12,48677
2013/07/13,22519
2013/07/14,-17867
2013/07/15,-47037
2013/07/16,-4590
2013/07/17,3498
2013/07/18,12131
2013/07/19,-14019
2013/07/20,-17843
2013/07/21,-34061
2013/07/22,12988
2013/07/23,41200
2013/07/24,41955
2013/07/25,30341
2013/07/26,-18569
2013/07/27,-30232
2013/07/28,-36229
2013/07/29,5117
2013/07/30,5261
2013/07/31,21070
2013/08/01,24701
2013/08/02,19673
2013/08/03,285.156
2013/08/04,-22125
2013/08/05,2069
2013/08/06,525.586
2013/08/07,21896
2013/08/08,4692
2013/08/09,-13764
2013/08/10,-22630
2013/08/11,-45536
2013/08/12,21990
2013/08/13,26144
2013/08/14,64599
2013/08/15,29030
2013/08/16,43743
2013/08/17,-15764
2013/08/18,-32552
2013/08/19,-4583
2013/08/20,21691
2013/08/21,7507
2013/08/22,-45172
2013/08/23,-18365
2013/08/24,-6929
2013/08/25,10173
2013/08/26,17738
2013/08/27,44877
2013/08/28,16978
2013/08/29,-17726
2013/08/30,-37112
2013/08/31,-61801
2013/09/01,-38008
2013/09/02,-32823
2013/09/03,32735
2013/09/04,51916
2013/09/05,36451
2013/09/06,16146
2013/09/07,9744
2013/09/08,-11168
2013/09/09,-23440
2013/09/10,-31210
2013/09/11,-24212
2013/09/12,-9197
2013/09/13,-24609
2013/09/14,-17155
2013/09/15,25474
2013/09/16,60651
2013/09/17,75610
2013/09/18,24251
2013/09/19,-24721
2013/09/20,-34566
2013/09/21,-39641
2013/09/22,-24114
2013/09/23,7211
2013/09/24,7572
2013/09/25,4764
2013/09/26,22558
2013/09/27,-8565
2013/09/28,-3960
2013/09/29,-45912
2013/09/30,10124
2013/10/01,26045
2013/10/02,47011
2013/10/03,11699
2013/10/04,-9463
2013/10/05,-65624
2013/10/06,-32382
