Date,mediantransactionvalue90stdUSD
2012/01/30,34.887
2012/01/31,35.273
2012/02/01,35.483
2012/02/02,35.513
2012/02/03,36.267
2012/02/04,36.339
2012/02/05,36.352
2012/02/06,36.375
2012/02/07,36.251
2012/02/08,36.029
2012/02/09,36.048
2012/02/10,36.415
2012/02/11,36.299
2012/02/12,36.23
2012/02/13,36.098
2012/02/14,36.283
2012/02/15,37.294
2012/02/16,38.086
2012/02/17,37.911
2012/02/18,37.652
2012/02/19,37.576
2012/02/20,37.513
2012/02/21,37.083
2012/02/22,36.744
2012/02/23,36.692
2012/02/24,36.628
2012/02/25,36.459
2012/02/26,36.076
2012/02/27,35.371
2012/02/28,35.116
2012/02/29,34.872
2012/03/01,34.753
2012/03/02,34.553
2012/03/03,34.051
2012/03/04,33.237
2012/03/05,31.758
2012/03/06,31.48
2012/03/07,31.3
2012/03/08,31.233
2012/03/09,31.235
2012/03/10,31.203
2012/03/11,31.208
2012/03/12,31.172
2012/03/13,31.166
2012/03/14,31.339
2012/03/15,31.323
2012/03/16,31.275
2012/03/17,31.172
2012/03/18,31.178
2012/03/19,31.173
2012/03/20,31.159
2012/03/21,31.173
2012/03/22,30.834
2012/03/23,30.61
2012/03/24,30.464
2012/03/25,30.466
2012/03/26,30.374
2012/03/27,30.417
2012/03/28,30.363
2012/03/29,30.354
2012/03/30,30.671
2012/03/31,30.753
2012/04/01,30.713
2012/04/02,30.779
2012/04/03,30.748
2012/04/04,30.531
2012/04/05,28.993
2012/04/06,28.195
2012/04/07,27.637
2012/04/08,27.303
2012/04/09,27.304
2012/04/10,28.078
2012/04/11,28.115
2012/04/12,28.135
2012/04/13,28.447
2012/04/14,28.514
2012/04/15,28.866
2012/04/16,28.83
2012/04/17,28.843
2012/04/18,28.505
2012/04/19,28.316
2012/04/20,28.9
2012/04/21,28.213
2012/04/22,27.873
2012/04/23,27.871
2012/04/24,27.909
2012/04/25,28.238
2012/04/26,28.974
2012/04/27,28.975
2012/04/28,29.177
2012/04/29,29.477
2012/04/30,29.998
2012/05/01,31.067
2012/05/02,31.807
2012/05/03,32.725
2012/05/04,34.544
2012/05/05,36.255
2012/05/06,37.584
2012/05/07,39.153
2012/05/08,40.587
2012/05/09,41.862
2012/05/10,42.761
2012/05/11,44.199
2012/05/12,45.62
2012/05/13,46.885
2012/05/14,48.032
2012/05/15,48.694
2012/05/16,49.281
2012/05/17,50.36
2012/05/18,51.585
2012/05/19,52.813
2012/05/20,53.909
2012/05/21,54.991
2012/05/22,55.868
2012/05/23,56.809
