Date,size14std
2012/06/05,46941
2012/06/06,51662
2012/06/07,52334
2012/06/08,51662
2012/06/09,51021
2012/06/10,51009
2012/06/11,51330
2012/06/12,52747
2012/06/13,65433
2012/06/14,78146
2012/06/15,82152
2012/06/16,73334
2012/06/17,72873
2012/06/18,72401
2012/06/19,71731
2012/06/20,63371
2012/06/21,64113
2012/06/22,63779
2012/06/23,67132
2012/06/24,69124
2012/06/25,70319
2012/06/26,65938
2012/06/27,60714
2012/06/28,44730
2012/06/29,34917
2012/06/30,30607
2012/07/01,30669
2012/07/02,30114
2012/07/03,26219
2012/07/04,21581
2012/07/05,19375
2012/07/06,19030
2012/07/07,19051
2012/07/08,19788
2012/07/09,18607
2012/07/10,23136
2012/07/11,28090
2012/07/12,27080
2012/07/13,26918
2012/07/14,27382
2012/07/15,26778
2012/07/16,28942
2012/07/17,29115
2012/07/18,30564
2012/07/19,33239
2012/07/20,35645
2012/07/21,35240
2012/07/22,31606
2012/07/23,29201
2012/07/24,29656
2012/07/25,30127
2012/07/26,29160
2012/07/27,30761
2012/07/28,27154
2012/07/29,26775
2012/07/30,26700
2012/07/31,36077
2012/08/01,36128
2012/08/02,35452
2012/08/03,35089
2012/08/04,34143
2012/08/05,34527
2012/08/06,34956
2012/08/07,35589
2012/08/08,34750
2012/08/09,34956
2012/08/10,32930
2012/08/11,33514
2012/08/12,33514
2012/08/13,38763
2012/08/14,29840
2012/08/15,40962
2012/08/16,44617
2012/08/17,45330
2012/08/18,44245
2012/08/19,44228
2012/08/20,44465
2012/08/21,41523
2012/08/22,41508
2012/08/23,41492
2012/08/24,39347
2012/08/25,36937
2012/08/26,40721
2012/08/27,38540
2012/08/28,39467
2012/08/29,31915
2012/08/30,26425
2012/08/31,23842
2012/09/01,24241
2012/09/02,24053
2012/09/03,24837
2012/09/04,27514
2012/09/05,27442
2012/09/06,26275
2012/09/07,26726
2012/09/08,26698
2012/09/09,23690
2012/09/10,23690
2012/09/11,23924
2012/09/12,24692
2012/09/13,24490
2012/09/14,21826
2012/09/15,22776
2012/09/16,23509
2012/09/17,27558
2012/09/18,24229
2012/09/19,24277
2012/09/20,23016
2012/09/21,23163
2012/09/22,24419
2012/09/23,24442
2012/09/24,24008
2012/09/25,20711
2012/09/26,22832
2012/09/27,21521
2012/09/28,20322
2012/09/29,21847
2012/09/30,23844
2012/10/01,23076
2012/10/02,25583
2012/10/03,26006
2012/10/04,31699
2012/10/05,35061
2012/10/06,34063
2012/10/07,38802
2012/10/08,38462
2012/10/09,37004
2012/10/10,36966
2012/10/11,35425
2012/10/12,35647
2012/10/13,31051
2012/10/14,22794
2012/10/15,24236
2012/10/16,24237
2012/10/17,24552
2012/10/18,23772
2012/10/19,22684
2012/10/20,23065
2012/10/21,18269
2012/10/22,21085
2012/10/23,22471
2012/10/24,22512
2012/10/25,22331
2012/10/26,28491
2012/10/27,39515
2012/10/28,44967
2012/10/29,46041
2012/10/30,45574
2012/10/31,44071
2012/11/01,44237
2012/11/02,44200
2012/11/03,44638
2012/11/04,42276
2012/11/05,38110
2012/11/06,34889
2012/11/07,36602
2012/11/08,37230
2012/11/09,36174
2012/11/10,29626
2012/11/11,24731
2012/11/12,23342
2012/11/13,22892
2012/11/14,22940
2012/11/15,27892
2012/11/16,32608
2012/11/17,33467
2012/11/18,31329
2012/11/19,32256
2012/11/20,32595
2012/11/21,34324
2012/11/22,34312
2012/11/23,31649
2012/11/24,31453
2012/11/25,26888
2012/11/26,23696
2012/11/27,23286
2012/11/28,22329
2012/11/29,21405
2012/11/30,19449
2012/12/01,19442
2012/12/02,26923
2012/12/03,30406
2012/12/04,35838
2012/12/05,38610
2012/12/06,41427
2012/12/07,41576
2012/12/08,40848
2012/12/09,40711
2012/12/10,41346
2012/12/11,40620
2012/12/12,41898
2012/12/13,46562
2012/12/14,54045
2012/12/15,52052
2012/12/16,44242
2012/12/17,31789
2012/12/18,41813
2012/12/19,41845
2012/12/20,43212
2012/12/21,41975
2012/12/22,37851
2012/12/23,35692
2012/12/24,33687
2012/12/25,38192
2012/12/26,39878
2012/12/27,39774
2012/12/28,36908
2012/12/29,36827
2012/12/30,38239
2012/12/31,45074
2013/01/01,40187
2013/01/02,39958
2013/01/03,36453
2013/01/04,33802
2013/01/05,31859
2013/01/06,31554
2013/01/07,29777
2013/01/08,34265
2013/01/09,38010
2013/01/10,44239
2013/01/11,55905
2013/01/12,59194
2013/01/13,61213
2013/01/14,56526
2013/01/15,51786
2013/01/16,53918
2013/01/17,57158
2013/01/18,59603
2013/01/19,56322
2013/01/20,48162
2013/01/21,39709
2013/01/22,40180
2013/01/23,39982
2013/01/24,40496
2013/01/25,38139
2013/01/26,38366
2013/01/27,38362
2013/01/28,33896
2013/01/29,33939
2013/01/30,36894
2013/01/31,33253
2013/02/01,31697
2013/02/02,31642
2013/02/03,30971
2013/02/04,29958
2013/02/05,30300
2013/02/06,30761
2013/02/07,33633
2013/02/08,36079
2013/02/09,38247
2013/02/10,38123
2013/02/11,37833
2013/02/12,42380
2013/02/13,38844
2013/02/14,33520
2013/02/15,33217
2013/02/16,37892
2013/02/17,41138
2013/02/18,41604
2013/02/19,40941
2013/02/20,38308
2013/02/21,37504
2013/02/22,35581
2013/02/23,33292
2013/02/24,33426
2013/02/25,32925
2013/02/26,27679
2013/02/27,27565
2013/02/28,29827
2013/03/01,37385
2013/03/02,35276
2013/03/03,30120
2013/03/04,28485
2013/03/05,32661
2013/03/06,34488
2013/03/07,35026
2013/03/08,35415
2013/03/09,36039
2013/03/10,35882
2013/03/11,33365
2013/03/12,33435
2013/03/13,29470
2013/03/14,31465
2013/03/15,29395
2013/03/16,47657
2013/03/17,65745
2013/03/18,71737
2013/03/19,70141
2013/03/20,71008
2013/03/21,65141
2013/03/22,64588
2013/03/23,64410
2013/03/24,59018
2013/03/25,58697
2013/03/26,55279
2013/03/27,60438
2013/03/28,63123
2013/03/29,64037
2013/03/30,65811
2013/03/31,56144
2013/04/01,51899
2013/04/02,52503
2013/04/03,47145
2013/04/04,53720
2013/04/05,51407
2013/04/06,45721
2013/04/07,42268
2013/04/08,42889
2013/04/09,41727
2013/04/10,41760
2013/04/11,45903
2013/04/12,46824
2013/04/13,50073
2013/04/14,47285
2013/04/15,42975
2013/04/16,42847
2013/04/17,43808
2013/04/18,41036
2013/04/19,44648
2013/04/20,44784
2013/04/21,49375
2013/04/22,48724
2013/04/23,48451
2013/04/24,53262
2013/04/25,46753
2013/04/26,46973
2013/04/27,46733
2013/04/28,51669
2013/04/29,52257
2013/04/30,52281
2013/05/01,52465
2013/05/02,54341
2013/05/03,49147
2013/05/04,49130
2013/05/05,44252
2013/05/06,43057
2013/05/07,42922
2013/05/08,35943
2013/05/09,37902
2013/05/10,40066
2013/05/11,40374
2013/05/12,30964
2013/05/13,27576
2013/05/14,30716
2013/05/15,37035
2013/05/16,37639
2013/05/17,37761
2013/05/18,36476
2013/05/19,39237
2013/05/20,38147
2013/05/21,37955
2013/05/22,37544
2013/05/23,38498
2013/05/24,39315
2013/05/25,41060
2013/05/26,45782
2013/05/27,47190
2013/05/28,43610
2013/05/29,33230
2013/05/30,25629
2013/05/31,25036
2013/06/01,29519
2013/06/02,33643
2013/06/03,32508
2013/06/04,30870
2013/06/05,30087
2013/06/06,28600
2013/06/07,28056
2013/06/08,29830
2013/06/09,29779
2013/06/10,31785
2013/06/11,28153
2013/06/12,28924
2013/06/13,28319
2013/06/14,26516
2013/06/15,31082
2013/06/16,32622
2013/06/17,33957
2013/06/18,36022
2013/06/19,38518
2013/06/20,40872
2013/06/21,38455
2013/06/22,38743
2013/06/23,39952
2013/06/24,40061
2013/06/25,40015
2013/06/26,38524
2013/06/27,36901
2013/06/28,37022
2013/06/29,34908
2013/06/30,38202
2013/07/01,38245
2013/07/02,36477
2013/07/03,36055
2013/07/04,30709
2013/07/05,31758
2013/07/06,34699
2013/07/07,38871
2013/07/08,36199
2013/07/09,33866
2013/07/10,32752
2013/07/11,30483
2013/07/12,36540
2013/07/13,37204
2013/07/14,36935
2013/07/15,36485
2013/07/16,35857
2013/07/17,34830
2013/07/18,35462
2013/07/19,34888
2013/07/20,35106
2013/07/21,33669
2013/07/22,33251
2013/07/23,34501
2013/07/24,34610
2013/07/25,37981
2013/07/26,30662
2013/07/27,31108
2013/07/28,30724
2013/07/29,30750
2013/07/30,30926
2013/07/31,32088
2013/08/01,34772
2013/08/02,34324
2013/08/03,31067
2013/08/04,25758
2013/08/05,25590
2013/08/06,25728
2013/08/07,27073
2013/08/08,24721
2013/08/09,24059
2013/08/10,20678
2013/08/11,27728
2013/08/12,28705
2013/08/13,28259
2013/08/14,30760
2013/08/15,36615
2013/08/16,46736
2013/08/17,46671
2013/08/18,45733
2013/08/19,51180
2013/08/20,51515
2013/08/21,51505
2013/08/22,51222
2013/08/23,49315
2013/08/24,47325
2013/08/25,33783
2013/08/26,33319
2013/08/27,36306
2013/08/28,36668
2013/08/29,36859
2013/08/30,31618
2013/08/31,39200
2013/09/01,45966
2013/09/02,43850
2013/09/03,42894
2013/09/04,43416
2013/09/05,43630
2013/09/06,44069
2013/09/07,45272
2013/09/08,45267
2013/09/09,45014
2013/09/10,38868
2013/09/11,37165
2013/09/12,37592
2013/09/13,38937
2013/09/14,40615
