Date,transactions30mom
2013/09/06,3245
2013/09/07,-5995
2013/09/08,-3168
2013/09/09,5988
2013/09/10,14886
2013/09/11,-1002
2013/09/12,-810
2013/09/13,-6862
2013/09/14,-14617
2013/09/15,-17460
2013/09/16,-4625
2013/09/17,11549
2013/09/18,-10751
2013/09/19,-3413
2013/09/20,-1541
2013/09/21,-14287
2013/09/22,-4299
2013/09/23,13484
2013/09/24,18084
2013/09/25,-1585
2013/09/26,-4635
2013/09/27,-17827
2013/09/28,-16400
2013/09/29,-21387
2013/09/30,-289
2013/10/01,10607
2013/10/02,10722
2013/10/03,7383
2013/10/04,-1056
2013/10/05,-15291
2013/10/06,-17993
2013/10/07,-7431
2013/10/08,-1325
2013/10/09,-6979
2013/10/10,3569
2013/10/11,2727
2013/10/12,-2827
2013/10/13,6453
2013/10/14,13860
2013/10/15,2075
2013/10/16,-1115
2013/10/17,-21049
2013/10/18,-917
2013/10/19,-4537
2013/10/20,-9575
2013/10/21,7931
2013/10/22,14103
2013/10/23,-10025
2013/10/24,1039
2013/10/25,2894
2013/10/26,-9818
2013/10/27,-3230
2013/10/28,8526
2013/10/29,8759
2013/10/30,1258
2013/10/31,986
2013/11/01,-16610
2013/11/02,-20373
2013/11/03,-16005
2013/11/04,68
2013/11/05,8751
2013/11/06,10454
2013/11/07,15421
2013/11/08,8595
2013/11/09,-1605
2013/11/10,5630
2013/11/11,7958
2013/11/12,7023
2013/11/13,7500
2013/11/14,13664
2013/11/15,10132
2013/11/16,278
2013/11/17,-8332
2013/11/18,23788
2013/11/19,43527
2013/11/20,17154
2013/11/21,6869
2013/11/22,21682
2013/11/23,8956
2013/11/24,3457
2013/11/25,24055
2013/11/26,39712
2013/11/27,44429
2013/11/28,48970
2013/11/29,41660
2013/11/30,17044
2013/12/01,26784
2013/12/02,36432
2013/12/03,41712
2013/12/04,34125
2013/12/05,31690
2013/12/06,17046
2013/12/07,7126
2013/12/08,-11807
2013/12/09,8393
2013/12/10,10064
2013/12/11,9922
2013/12/12,-50
2013/12/13,-4761
2013/12/14,-15371
2013/12/15,-8617
2013/12/16,22200
2013/12/17,16400
2013/12/18,2435
2013/12/19,-22694
2013/12/20,-12489
2013/12/21,-15750
2013/12/22,-24047
2013/12/23,-18279
2013/12/24,-4997
2013/12/25,-16354
2013/12/26,-32128
2013/12/27,-42868
2013/12/28,-50881
2013/12/29,-38754
2013/12/30,-19574
2013/12/31,-23284
2014/01/01,-32546
2014/01/02,-22831
2014/01/03,-18634
2014/01/04,-31202
2014/01/05,-13422
2014/01/06,-345
2014/01/07,15452
2014/01/08,-2203
2014/01/09,-8607
2014/01/10,-13161
2014/01/11,-2410
2014/01/12,-9611
2014/01/13,-567
2014/01/14,5085
2014/01/15,-7753
2014/01/16,-11019
2014/01/17,-22437
2014/01/18,-18653
2014/01/19,-17069
2014/01/20,6886
2014/01/21,19683
2014/01/22,11547
2014/01/23,7703
2014/01/24,10145
2014/01/25,2603
2014/01/26,940
2014/01/27,16341
2014/01/28,14451
2014/01/29,4090
2014/01/30,11960
2014/01/31,17220
2014/02/01,13
2014/02/02,-8522
2014/02/03,5508
2014/02/04,11158
2014/02/05,189
2014/02/06,7244
2014/02/07,9113
2014/02/08,6003
2014/02/09,2462
2014/02/10,11048
2014/02/11,16735
2014/02/12,8656
2014/02/13,9945
2014/02/14,13270
2014/02/15,5191
2014/02/16,-1538
2014/02/17,9299
2014/02/18,17409
2014/02/19,7134
2014/02/20,-1444
2014/02/21,3595
2014/02/22,-4906
2014/02/23,-5505
2014/02/24,19906
2014/02/25,26491
2014/02/26,8792
2014/02/27,5063
2014/02/28,10579
2014/03/01,2635
2014/03/02,-3590
2014/03/03,26467
2014/03/04,32154
2014/03/05,14817
2014/03/06,727
2014/03/07,4818
2014/03/08,-5556
2014/03/09,-8377
2014/03/10,5908
2014/03/11,19595
2014/03/12,9463
2014/03/13,5578
2014/03/14,8534
2014/03/15,-7018
2014/03/16,-15537
2014/03/17,4526
2014/03/18,-3340
2014/03/19,12946
2014/03/20,5580
2014/03/21,2963
2014/03/22,-4464
2014/03/23,-11641
2014/03/24,12302
2014/03/25,11820
2014/03/26,-5449
2014/03/27,-8375
2014/03/28,-6087
2014/03/29,-17576
2014/03/30,-13396
2014/03/31,1604
2014/04/01,7470
2014/04/02,-14400
2014/04/03,-17631
2014/04/04,-6739
2014/04/05,-14730
2014/04/06,-22320
2014/04/07,1237
2014/04/08,5725
2014/04/09,-5743
2014/04/10,-8164
2014/04/11,-10594
2014/04/12,-25064
2014/04/13,-19501
2014/04/14,9883
2014/04/15,13466
2014/04/16,2200
2014/04/17,11025
2014/04/18,-16808
2014/04/19,-17469
2014/04/20,-24040
2014/04/21,-8564
2014/04/22,20291
2014/04/23,2994
2014/04/24,817
2014/04/25,4312
2014/04/26,-19534
2014/04/27,-14453
2014/04/28,11299
2014/04/29,8173
