Date,price90wmaUSD
2012/07/18,6.296
2012/07/19,6.365
2012/07/20,6.427
2012/07/21,6.489
2012/07/22,6.548
2012/07/23,6.602
2012/07/24,6.657
2012/07/25,6.715
2012/07/26,6.775
2012/07/27,6.836
2012/07/28,6.895
2012/07/29,6.952
2012/07/30,7.01
2012/07/31,7.074
2012/08/01,7.142
2012/08/02,7.222
2012/08/03,7.317
2012/08/04,7.415
2012/08/05,7.51
2012/08/06,7.603
2012/08/07,7.697
2012/08/08,7.791
2012/08/09,7.884
2012/08/10,7.98
2012/08/11,8.079
2012/08/12,8.178
2012/08/13,8.281
2012/08/14,8.389
2012/08/15,8.508
2012/08/16,8.64
2012/08/17,8.751
2012/08/18,8.842
2012/08/19,8.889
2012/08/20,8.92
2012/08/21,8.969
2012/08/22,9.015
2012/08/23,9.061
2012/08/24,9.115
2012/08/25,9.173
2012/08/26,9.23
2012/08/27,9.29
2012/08/28,9.352
2012/08/29,9.412
2012/08/30,9.467
2012/08/31,9.515
2012/09/01,9.552
2012/09/02,9.589
2012/09/03,9.63
2012/09/04,9.672
2012/09/05,9.719
2012/09/06,9.772
2012/09/07,9.825
2012/09/08,9.875
2012/09/09,9.924
2012/09/10,9.972
2012/09/11,10.022
2012/09/12,10.074
2012/09/13,10.123
2012/09/14,10.176
2012/09/15,10.233
2012/09/16,10.289
2012/09/17,10.346
2012/09/18,10.405
2012/09/19,10.471
2012/09/20,10.535
2012/09/21,10.597
2012/09/22,10.655
2012/09/23,10.711
2012/09/24,10.763
2012/09/25,10.814
2012/09/26,10.865
2012/09/27,10.918
2012/09/28,10.969
2012/09/29,11.02
2012/09/30,11.07
2012/10/01,11.118
2012/10/02,11.17
2012/10/03,11.226
2012/10/04,11.28
2012/10/05,11.33
2012/10/06,11.376
2012/10/07,11.41
2012/10/08,11.436
2012/10/09,11.461
2012/10/10,11.488
2012/10/11,11.516
2012/10/12,11.542
2012/10/13,11.564
2012/10/14,11.583
2012/10/15,11.598
2012/10/16,11.616
2012/10/17,11.632
2012/10/18,11.649
2012/10/19,11.665
2012/10/20,11.677
2012/10/21,11.688
2012/10/22,11.697
2012/10/23,11.707
2012/10/24,11.714
2012/10/25,11.712
2012/10/26,11.694
2012/10/27,11.668
2012/10/28,11.648
2012/10/29,11.631
2012/10/30,11.615
2012/10/31,11.607
2012/11/01,11.594
2012/11/02,11.573
2012/11/03,11.553
2012/11/04,11.537
2012/11/05,11.522
2012/11/06,11.509
2012/11/07,11.497
2012/11/08,11.485
2012/11/09,11.473
2012/11/10,11.46
2012/11/11,11.448
2012/11/12,11.438
2012/11/13,11.428
2012/11/14,11.419
2012/11/15,11.414
2012/11/16,11.417
2012/11/17,11.426
2012/11/18,11.434
2012/11/19,11.442
2012/11/20,11.449
2012/11/21,11.455
2012/11/22,11.469
2012/11/23,11.489
2012/11/24,11.509
2012/11/25,11.53
2012/11/26,11.548
2012/11/27,11.563
2012/11/28,11.579
2012/11/29,11.597
2012/11/30,11.618
2012/12/01,11.639
2012/12/02,11.659
2012/12/03,11.679
2012/12/04,11.708
2012/12/05,11.745
2012/12/06,11.779
2012/12/07,11.815
2012/12/08,11.851
2012/12/09,11.886
2012/12/10,11.92
2012/12/11,11.957
2012/12/12,11.996
2012/12/13,12.035
2012/12/14,12.072
2012/12/15,12.107
2012/12/16,12.138
2012/12/17,12.166
2012/12/18,12.193
2012/12/19,12.225
2012/12/20,12.258
2012/12/21,12.291
2012/12/22,12.321
2012/12/23,12.35
2012/12/24,12.378
2012/12/25,12.406
2012/12/26,12.435
2012/12/27,12.463
2012/12/28,12.492
2012/12/29,12.52
2012/12/30,12.548
2012/12/31,12.576
2013/01/01,12.602
2013/01/02,12.625
2013/01/03,12.647
2013/01/04,12.669
2013/01/05,12.69
2013/01/06,12.71
2013/01/07,12.73
2013/01/08,12.756
2013/01/09,12.785
2013/01/10,12.817
2013/01/11,12.854
2013/01/12,12.891
2013/01/13,12.925
2013/01/14,12.961
2013/01/15,12.995
2013/01/16,13.034
2013/01/17,13.087
2013/01/18,13.149
2013/01/19,13.21
2013/01/20,13.271
2013/01/21,13.342
2013/01/22,13.43
2013/01/23,13.525
2013/01/24,13.616
2013/01/25,13.704
2013/01/26,13.797
2013/01/27,13.892
2013/01/28,13.994
