Date,sentbyaddress3std
2012/04/19,1029
2012/04/20,1091
2012/04/21,1680
2012/04/22,2554
2012/04/23,1082
2012/04/24,1520
2012/04/25,640.308
2012/04/26,1485
2012/04/27,1779
2012/04/28,2244
2012/04/29,378.22
2012/04/30,2673
2012/05/01,2741
2012/05/02,245.831
2012/05/03,1875
2012/05/04,1918
2012/05/05,1313
2012/05/06,2081
2012/05/07,4333
2012/05/08,4479
2012/05/09,639.467
2012/05/10,3512
2012/05/11,4225
2012/05/12,3957
2012/05/13,3370
2012/05/14,9356
2012/05/15,8812
2012/05/16,6260
2012/05/17,3408
2012/05/18,2885
2012/05/19,6943
2012/05/20,4043
2012/05/21,1814
2012/05/22,2554
2012/05/23,2391
2012/05/24,1360
2012/05/25,1039
2012/05/26,2933
2012/05/27,3019
2012/05/28,2790
2012/05/29,3693
2012/05/30,2686
2012/05/31,3235
2012/06/01,699.284
2012/06/02,6550
2012/06/03,8426
2012/06/04,14172
2012/06/05,7357
2012/06/06,14016
2012/06/07,12477
2012/06/08,6487
2012/06/09,4043
2012/06/10,5062
2012/06/11,2645
2012/06/12,8921
2012/06/13,16782
2012/06/14,19933
2012/06/15,1554
2012/06/16,6215
2012/06/17,5152
2012/06/18,895.381
2012/06/19,3844
2012/06/20,5017
2012/06/21,3797
2012/06/22,2036
2012/06/23,346.969
2012/06/24,514.352
2012/06/25,3787
2012/06/26,5354
2012/06/27,3251
2012/06/28,3713
2012/06/29,4174
2012/06/30,744.982
2012/07/01,2428
2012/07/02,4598
2012/07/03,4561
2012/07/04,3828
2012/07/05,3751
2012/07/06,1879
2012/07/07,3363
2012/07/08,3544
2012/07/09,3771
2012/07/10,7181
2012/07/11,4073
2012/07/12,3007
2012/07/13,3128
2012/07/14,2667
2012/07/15,327.049
2012/07/16,5642
2012/07/17,6856
2012/07/18,4234
2012/07/19,4915
2012/07/20,2528
2012/07/21,2299
2012/07/22,2429
2012/07/23,3304
2012/07/24,4255
2012/07/25,6596
2012/07/26,3036
2012/07/27,1045
2012/07/28,5329
2012/07/29,4146
2012/07/30,2870
2012/07/31,15762
2012/08/01,13958
2012/08/02,12105
2012/08/03,3166
2012/08/04,4172
2012/08/05,1650
2012/08/06,5396
2012/08/07,3629
2012/08/08,5684
2012/08/09,7537
2012/08/10,8249
2012/08/11,122.293
2012/08/12,1118
2012/08/13,7832
2012/08/14,6651
2012/08/15,5272
2012/08/16,11971
