Date,mining_profitability30var
2011/11/02,209228
2011/11/03,208047
2011/11/04,180985
2011/11/05,178730
2011/11/06,166228
2011/11/07,167831
2011/11/08,171363
2011/11/09,172991
2011/11/10,170568
2011/11/11,168133
2011/11/12,175093
2011/11/13,156769
2011/11/14,154809
2011/11/15,156326
2011/11/16,159207
2011/11/17,150283
2011/11/18,145721
2011/11/19,143271
2011/11/20,127897
2011/11/21,135523
2011/11/22,137113
2011/11/23,140796
2011/11/24,138588
2011/11/25,131828
2011/11/26,126078
2011/11/27,128788
2011/11/28,128840
2011/11/29,126656
2011/11/30,135464
2011/12/01,134619
2011/12/02,127762
2011/12/03,141453
2011/12/04,129951
2011/12/05,135839
2011/12/06,146738
2011/12/07,146440
2011/12/08,160941
2011/12/09,163314
2011/12/10,164352
2011/12/11,189667
2011/12/12,186167
2011/12/13,195621
2011/12/14,205417
2011/12/15,200564
2011/12/16,196134
2011/12/17,207324
2011/12/18,193981
2011/12/19,178092
2011/12/20,180877
2011/12/21,172546
2011/12/22,186895
2011/12/23,175674
2011/12/24,172797
2011/12/25,207937
2011/12/26,196770
2011/12/27,169744
2011/12/28,173997
2011/12/29,164529
2011/12/30,202914
2011/12/31,220571
2012/01/01,261935
2012/01/02,325578
2012/01/03,346105
2012/01/04,366989
2012/01/05,539846
2012/01/06,729736
2012/01/07,930873
2012/01/08,1038956
2012/01/09,1078485
2012/01/10,1091936
2012/01/11,1128368
2012/01/12,1134610
2012/01/13,1155051
2012/01/14,1088828
2012/01/15,1033574
2012/01/16,1115546
2012/01/17,1011140
2012/01/18,958303
2012/01/19,910298
2012/01/20,882882
2012/01/21,844538
2012/01/22,772096
2012/01/23,730798
2012/01/24,706991
2012/01/25,650145
2012/01/26,547195
2012/01/27,524143
2012/01/28,458026
2012/01/29,436493
2012/01/30,408469
2012/01/31,440773
2012/02/01,447052
2012/02/02,434389
2012/02/03,430989
2012/02/04,419544
2012/02/05,401737
2012/02/06,372180
2012/02/07,365173
2012/02/08,354824
2012/02/09,359649
2012/02/10,348751
2012/02/11,338922
2012/02/12,322551
2012/02/13,336030
2012/02/14,343017
2012/02/15,267576
2012/02/16,317378
2012/02/17,339352
2012/02/18,316586
2012/02/19,320425
2012/02/20,336096
2012/02/21,356576
2012/02/22,317282
2012/02/23,303618
2012/02/24,291891
2012/02/25,286105
2012/02/26,293188
2012/02/27,291489
2012/02/28,267690
2012/02/29,261455
2012/03/01,265571
2012/03/02,266367
2012/03/03,214531
2012/03/04,200282
2012/03/05,171460
2012/03/06,169847
2012/03/07,161702
2012/03/08,158192
2012/03/09,136489
2012/03/10,117390
2012/03/11,110104
2012/03/12,68970
2012/03/13,52753
2012/03/14,51918
2012/03/15,47659
2012/03/16,58953
2012/03/17,59168
2012/03/18,59091
2012/03/19,62422
2012/03/20,55402
2012/03/21,49873
2012/03/22,49676
2012/03/23,55778
2012/03/24,57065
2012/03/25,64727
2012/03/26,67220
2012/03/27,67461
2012/03/28,65697
2012/03/29,65416
2012/03/30,62883
2012/03/31,62913
2012/04/01,67660
2012/04/02,80766
2012/04/03,80052
2012/04/04,80122
2012/04/05,83089
2012/04/06,79717
2012/04/07,83015
2012/04/08,80361
2012/04/09,83518
2012/04/10,83759
2012/04/11,83976
2012/04/12,85975
2012/04/13,85412
2012/04/14,83850
2012/04/15,63759
2012/04/16,62009
2012/04/17,58469
2012/04/18,59289
2012/04/19,62671
2012/04/20,62955
2012/04/21,68413
2012/04/22,67863
2012/04/23,59423
2012/04/24,59092
2012/04/25,58896
2012/04/26,65779
2012/04/27,67299
2012/04/28,67654
2012/04/29,75191
2012/04/30,77379
2012/05/01,73862
2012/05/02,63015
2012/05/03,64925
2012/05/04,64334
2012/05/05,65523
2012/05/06,65070
2012/05/07,61862
2012/05/08,61658
2012/05/09,57135
2012/05/10,77573
2012/05/11,72968
2012/05/12,81622
2012/05/13,82277
2012/05/14,85044
2012/05/15,85136
2012/05/16,79865
2012/05/17,83798
2012/05/18,83773
2012/05/19,80200
2012/05/20,82944
2012/05/21,85710
2012/05/22,88243
2012/05/23,86845
2012/05/24,86002
2012/05/25,86384
2012/05/26,83020
2012/05/27,82694
2012/05/28,80655
2012/05/29,72230
2012/05/30,71503
2012/05/31,71232
2012/06/01,81075
2012/06/02,79894
2012/06/03,77815
2012/06/04,72337
2012/06/05,77451
2012/06/06,75948
2012/06/07,80190
2012/06/08,85107
2012/06/09,81909
2012/06/10,85278
2012/06/11,73718
2012/06/12,93845
2012/06/13,92080
2012/06/14,103354
2012/06/15,113037
2012/06/16,125606
2012/06/17,138459
2012/06/18,168559
2012/06/19,160153
2012/06/20,168636
2012/06/21,159400
2012/06/22,163460
2012/06/23,152603
2012/06/24,154412
2012/06/25,156644
2012/06/26,153982
2012/06/27,149332
2012/06/28,137362
2012/06/29,137427
2012/06/30,126199
2012/07/01,128549
2012/07/02,125424
