Date,activeaddresses
2013/03/13,63043
2013/03/14,61115
2013/03/15,63497
2013/03/16,50918
2013/03/17,51944
2013/03/18,58866
2013/03/19,68743
2013/03/20,62848
2013/03/21,69727
2013/03/22,74972
2013/03/23,66987
2013/03/24,69027
2013/03/25,66175
2013/03/26,73013
2013/03/27,72757
2013/03/28,94463
2013/03/29,83274
2013/03/30,78048
2013/03/31,64261
2013/04/01,75756
2013/04/02,91875
2013/04/03,107142
2013/04/04,108890
2013/04/05,100034
2013/04/06,83086
2013/04/07,87097
2013/04/08,113894
2013/04/09,112075
2013/04/10,133453
2013/04/11,124611
2013/04/12,102963
2013/04/13,82837
2013/04/14,71397
2013/04/15,100248
2013/04/16,100365
2013/04/17,105254
2013/04/18,82114
2013/04/19,105015
2013/04/20,74501
2013/04/21,69875
2013/04/22,91717
2013/04/23,93177
2013/04/24,102538
2013/04/25,90770
2013/04/26,86205
2013/04/27,78259
2013/04/28,118060
2013/04/29,86965
2013/04/30,76917
2013/05/01,83615
2013/05/02,81968
2013/05/03,82857
2013/05/04,69993
2013/05/05,72149
2013/05/06,85210
2013/05/07,109120
2013/05/08,102439
2013/05/09,81940
2013/05/10,84341
2013/05/11,80919
2013/05/12,69607
2013/05/13,82796
2013/05/14,83723
2013/05/15,84759
2013/05/16,84162
2013/05/17,78453
2013/05/18,68371
2013/05/19,64226
2013/05/20,71676
2013/05/21,82573
2013/05/22,74802
2013/05/23,83266
2013/05/24,84962
2013/05/25,69624
2013/05/26,69657
2013/05/27,73994
2013/05/28,76227
2013/05/29,80558
2013/05/30,78228
2013/05/31,75479
2013/06/01,67806
2013/06/02,65828
2013/06/03,79854
2013/06/04,78631
2013/06/05,78667
2013/06/06,73267
2013/06/07,73768
2013/06/08,58257
2013/06/09,56600
2013/06/10,60963
2013/06/11,66609
2013/06/12,63763
2013/06/13,66341
2013/06/14,75762
2013/06/15,53810
2013/06/16,48785
2013/06/17,56902
2013/06/18,63562
2013/06/19,69145
2013/06/20,67644
2013/06/21,69098
2013/06/22,58577
2013/06/23,52055
2013/06/24,64862
2013/06/25,61381
2013/06/26,64996
2013/06/27,61024
2013/06/28,68613
2013/06/29,60981
2013/06/30,50492
2013/07/01,68676
2013/07/02,64158
2013/07/03,66024
2013/07/04,60868
2013/07/05,60509
2013/07/06,56535
2013/07/07,48847
2013/07/08,63045
2013/07/09,67986
2013/07/10,64858
2013/07/11,73357
2013/07/12,78451
2013/07/13,63116
2013/07/14,48402
2013/07/15,62325
2013/07/16,66221
2013/07/17,63007
2013/07/18,63178
2013/07/19,58759
2013/07/20,52399
2013/07/21,51123
2013/07/22,60318
2013/07/23,64299
2013/07/24,65888
2013/07/25,66440
2013/07/26,62886
2013/07/27,51988
2013/07/28,49180
2013/07/29,67474
2013/07/30,69870
2013/07/31,80900
2013/08/01,114305
2013/08/02,74758
2013/08/03,60484
2013/08/04,60253
2013/08/05,73171
2013/08/06,71546
2013/08/07,75667
2013/08/08,72376
2013/08/09,64632
2013/08/10,59304
2013/08/11,54134
2013/08/12,103392
2013/08/13,74994
2013/08/14,78215
2013/08/15,75757
2013/08/16,82518
2013/08/17,61411
2013/08/18,57548
2013/08/19,78551
2013/08/20,79844
2013/08/21,82676
2013/08/22,83887
2013/08/23,81888
2013/08/24,64388
2013/08/25,68616
2013/08/26,75772
2013/08/27,95012
2013/08/28,83875
2013/08/29,74884
2013/08/30,89611
2013/08/31,88163
2013/09/01,56999
2013/09/02,62790
2013/09/03,72100
2013/09/04,76878
2013/09/05,70425
2013/09/06,73269
2013/09/07,62593
2013/09/08,56485
2013/09/09,73995
2013/09/10,70670
2013/09/11,74675
2013/09/12,77029
2013/09/13,66572
2013/09/14,54053
2013/09/15,54801
2013/09/16,69774
2013/09/17,73046
2013/09/18,79094
2013/09/19,79120
2013/09/20,77102
2013/09/21,66368
2013/09/22,63585
2013/09/23,80538
2013/09/24,78401
2013/09/25,78497
2013/09/26,78179
2013/09/27,78099
2013/09/28,68927
2013/09/29,71309
2013/09/30,80455
2013/10/01,89789
2013/10/02,105735
2013/10/03,90270
2013/10/04,77846
2013/10/05,65740
2013/10/06,61107
2013/10/07,76596
2013/10/08,76275
2013/10/09,79518
2013/10/10,80597
2013/10/11,79795
2013/10/12,66980
2013/10/13,87654
2013/10/14,82481
2013/10/15,85587
2013/10/16,93270
2013/10/17,81452
2013/10/18,86024
2013/10/19,92550
2013/10/20,73525
2013/10/21,96421
2013/10/22,109555
2013/10/23,108021
2013/10/24,112118
2013/10/25,101195
2013/10/26,73938
