Date,confirmationtime30roc
2013/05/07,-2.381
2013/05/08,-6.061
2013/05/09,7.317
2013/05/10,11.047
2013/05/11,-12.088
2013/05/12,2.976
2013/05/13,-4.023
2013/05/14,-0.649
2013/05/15,16.312
2013/05/16,19.595
2013/05/17,6.211
2013/05/18,-1.342
2013/05/19,-12.179
2013/05/20,19.38
2013/05/21,16.556
2013/05/22,-1.923
2013/05/23,-3.448
2013/05/24,-4.142
2013/05/25,4.242
2013/05/26,4.908
2013/05/27,-16.477
2013/05/28,12.025
2013/05/29,3.571
2013/05/30,-16.76
2013/05/31,-13.714
2013/06/01,-37.089
2013/06/02,-31.156
2013/06/03,-25.352
2013/06/04,-22.535
2013/06/05,-9.783
2013/06/06,-7.182
2013/06/07,2.484
2013/06/08,-9.392
2013/06/09,8.176
2013/06/10,4.598
2013/06/11,-6.667
2013/06/12,-14.286
2013/06/13,-17.204
2013/06/14,-21.667
2013/06/15,-14.451
2013/06/16,-12.973
2013/06/17,2.759
2013/06/18,11.429
2013/06/19,-5.147
2013/06/20,-1.948
2013/06/21,-7.143
2013/06/22,-1.136
2013/06/23,2.424
2013/06/24,10
2013/06/25,3.822
2013/06/26,1.149
2013/06/27,-5.389
2013/06/28,-0.592
2013/06/29,5.917
2013/06/30,14.379
2013/07/01,35.669
2013/07/02,30.065
2013/07/03,15.761
2013/07/04,29.091
2013/07/05,-1.075
2013/07/06,-3.209
2013/07/07,-13.441
2013/07/08,-5.729
2013/07/09,-14.054
2013/07/10,-10.769
2013/07/11,3.448
2013/07/12,31.818
2013/07/13,18.471
2013/07/14,4.651
2013/07/15,5.488
2013/07/16,12.805
2013/07/17,-21.196
2013/07/18,-13.043
2013/07/19,-20.468
2013/07/20,-17.204
2013/07/21,-15.578
2013/07/22,6.667
2013/07/23,17.021
2013/07/24,-5.66
2013/07/25,7.534
2013/07/26,6.098
2013/07/27,-7.735
2013/07/28,0.595
2013/07/29,-5.056
2013/07/30,-22.335
2013/07/31,-17.368
2013/08/01,-13.559
2013/08/02,-4.167
2013/08/03,-2.941
2013/08/04,3.911
2013/08/05,-1.058
2013/08/06,-2.105
2013/08/07,3.226
2013/08/08,-9.756
2013/08/09,0
2013/08/10,-17.143
2013/08/11,-28.704
2013/08/12,-27.315
2013/08/13,-6.011
2013/08/14,-2.381
2013/08/15,-3.529
2013/08/16,9.524
2013/08/17,-15.263
2013/08/18,-11.856
2013/08/19,5.085
2013/08/20,4.737
2013/08/21,-15.816
2013/08/22,-34.722
2013/08/23,-18.878
2013/08/24,-20.219
2013/08/25,8.609
2013/08/26,9.036
2013/08/27,-0.592
2013/08/28,0
2013/08/29,4.233
2013/08/30,-7.317
2013/08/31,-20.628
2013/09/01,-13.122
2013/09/02,-20.93
2013/09/03,-7.732
2013/09/04,15.951
2013/09/05,6.145
2013/09/06,0.541
2013/09/07,41.379
2013/09/08,24.204
2013/09/09,3.448
2013/09/10,13.089
2013/09/11,8
2013/09/12,-14.085
2013/09/13,-17.647
2013/09/14,-22.018
2013/09/15,-7.182
2013/09/16,23.377
2013/09/17,8.38
2013/09/18,7.273
2013/09/19,0
2013/09/20,-2
2013/09/21,14.286
2013/09/22,-3.448
2013/09/23,-12.857
2013/09/24,-28.774
2013/09/25,-19.417
2013/09/26,4.321
2013/09/27,0
2013/09/28,6.78
2013/09/29,20.588
2013/09/30,36.81
2013/10/01,18.182
2013/10/02,12.565
2013/10/03,-2.513
2013/10/04,-9.444
2013/10/05,-18.265
2013/10/06,0
2013/10/07,-7.051
2013/10/08,-2.484
2013/10/09,13.408
2013/10/10,-0.521
2013/10/11,8.108
2013/10/12,-0.467
2013/10/13,-7.692
2013/10/14,-12.8
2013/10/15,-30.385
2013/10/16,-26.667
2013/10/17,7.186
2013/10/18,-14.062
2013/10/19,-14.798
2013/10/20,0.503
2013/10/21,-10.427
2013/10/22,-17.143
2013/10/23,-4.977
2013/10/24,-1.395
2013/10/25,-12.34
2013/10/26,-10.989
2013/10/27,-0.559
2013/10/28,1.143
2013/10/29,6.25
2013/10/30,-16.41
2013/10/31,-11.374
2013/11/01,-8.173
2013/11/02,-1.485
2013/11/03,-6.25
2013/11/04,12.308
2013/11/05,6.322
2013/11/06,-4.294
2013/11/07,11.806
2013/11/08,33.582
2013/11/09,29.73
2013/11/10,8.187
2013/11/11,14.439
2013/11/12,9.95
2013/11/13,48.81
2013/11/14,42.077
2013/11/15,26.506
2013/11/16,-13.918
2013/11/17,3.226
