Date,mediantransactionvalue3rsiUSD
2012/04/27,58.972
2012/04/28,42.735
2012/04/29,28.171
2012/04/30,31.904
2012/05/01,24.082
2012/05/02,44.295
2012/05/03,24.039
2012/05/04,20.514
2012/05/05,22.014
2012/05/06,40.426
2012/05/07,28.808
2012/05/08,28.356
2012/05/09,44.956
2012/05/10,60.106
2012/05/11,24.623
2012/05/12,26.112
2012/05/13,40.371
2012/05/14,33.807
2012/05/15,42.083
2012/05/16,42.65
2012/05/17,24.824
2012/05/18,12.633
2012/05/19,11.079
2012/05/20,44.634
2012/05/21,31.183
2012/05/22,64.083
2012/05/23,56.534
2012/05/24,49.509
2012/05/25,58.512
2012/05/26,36.67
2012/05/27,59.19
2012/05/28,37.761
2012/05/29,77.102
2012/05/30,58.15
2012/05/31,82.66
2012/06/01,40.298
2012/06/02,75.895
2012/06/03,37.874
2012/06/04,33.151
2012/06/05,39.098
2012/06/06,79.431
2012/06/07,44.095
2012/06/08,42.459
2012/06/09,37.859
2012/06/10,33.454
2012/06/11,36.339
2012/06/12,58.505
2012/06/13,38.129
2012/06/14,28.877
2012/06/15,43.728
2012/06/16,58.945
2012/06/17,47.366
2012/06/18,55.781
2012/06/19,71.589
2012/06/20,59.138
2012/06/21,67.29
2012/06/22,78.181
2012/06/23,81.773
2012/06/24,51.34
2012/06/25,35.992
2012/06/26,49.813
2012/06/27,83.819
2012/06/28,82.194
2012/06/29,81.39
2012/06/30,49.63
2012/07/01,47.388
2012/07/02,83.803
2012/07/03,97.681
2012/07/04,70.677
2012/07/05,35.864
2012/07/06,40.168
2012/07/07,39.892
2012/07/08,31.993
2012/07/09,75.647
2012/07/10,40.781
2012/07/11,36.174
2012/07/12,68.909
2012/07/13,69.178
2012/07/14,86.935
2012/07/15,42.133
2012/07/16,52.476
2012/07/17,36.382
2012/07/18,31.598
2012/07/19,38.23
2012/07/20,29.896
2012/07/21,31.146
2012/07/22,26.79
2012/07/23,78.544
2012/07/24,51.405
2012/07/25,74.87
2012/07/26,46.771
2012/07/27,81.092
2012/07/28,44.354
2012/07/29,49.539
2012/07/30,57.474
2012/07/31,71.457
2012/08/01,57.517
2012/08/02,46.032
2012/08/03,91.788
2012/08/04,55.221
2012/08/05,44.301
2012/08/06,34.623
2012/08/07,64.884
2012/08/08,35.159
2012/08/09,40.227
2012/08/10,52.104
2012/08/11,35.825
2012/08/12,30.663
2012/08/13,24.884
2012/08/14,54.966
2012/08/15,39.873
2012/08/16,79.655
2012/08/17,82.884
2012/08/18,59.728
2012/08/19,36.86
2012/08/20,55.112
2012/08/21,64.888
2012/08/22,71.932
2012/08/23,87.1
2012/08/24,44.207
2012/08/25,28.42
2012/08/26,39.268
2012/08/27,32.189
2012/08/28,22.706
2012/08/29,35.813
2012/08/30,23.192
2012/08/31,34.543
2012/09/01,26.088
2012/09/02,57.863
2012/09/03,33.291
2012/09/04,42.642
2012/09/05,44.853
2012/09/06,44.148
2012/09/07,81.317
2012/09/08,93.082
2012/09/09,93.19
2012/09/10,28.035
2012/09/11,25.473
2012/09/12,32.594
2012/09/13,30.002
2012/09/14,37.79
2012/09/15,35.033
2012/09/16,29.266
2012/09/17,65.457
2012/09/18,72.357
2012/09/19,88.598
2012/09/20,88.758
2012/09/21,31.58
2012/09/22,53.426
2012/09/23,33.563
2012/09/24,33.501
2012/09/25,78.802
2012/09/26,39.674
2012/09/27,46.964
2012/09/28,38.93
2012/09/29,55.544
2012/09/30,56.213
2012/10/01,41.264
2012/10/02,75.24
2012/10/03,84.946
2012/10/04,43.845
2012/10/05,29.867
2012/10/06,23.834
2012/10/07,36.028
2012/10/08,31.074
2012/10/09,48.516
2012/10/10,49.877
2012/10/11,53.679
2012/10/12,74.564
2012/10/13,41.126
2012/10/14,53.948
2012/10/15,77.04
2012/10/16,37.008
2012/10/17,71.932
2012/10/18,74.215
2012/10/19,62.761
2012/10/20,30.99
2012/10/21,19.17
2012/10/22,28.068
2012/10/23,48.614
2012/10/24,73.818
2012/10/25,84.67
2012/10/26,94.874
2012/10/27,96.132
2012/10/28,43.385
2012/10/29,32.202
2012/10/30,24.791
2012/10/31,43.397
2012/11/01,56.446
2012/11/02,32.82
2012/11/03,47.452
2012/11/04,36.925
2012/11/05,28.955
2012/11/06,29.803
2012/11/07,40.727
2012/11/08,71.98
2012/11/09,84.089
2012/11/10,32.774
2012/11/11,55.503
2012/11/12,42.225
2012/11/13,36.646
2012/11/14,33.969
2012/11/15,37.521
2012/11/16,42.36
2012/11/17,55.443
2012/11/18,46.465
2012/11/19,34.03
2012/11/20,52.062
2012/11/21,26.251
2012/11/22,61.012
2012/11/23,42.836
2012/11/24,82.614
2012/11/25,43.17
2012/11/26,45.191
2012/11/27,80.168
2012/11/28,48.527
2012/11/29,34.764
2012/11/30,48.389
2012/12/01,43.509
2012/12/02,67.987
2012/12/03,81.726
2012/12/04,46.117
2012/12/05,48.632
2012/12/06,83.008
2012/12/07,40.439
2012/12/08,38.42
2012/12/09,32.375
2012/12/10,50.111
2012/12/11,47.969
2012/12/12,57.764
2012/12/13,38.501
2012/12/14,30.802
2012/12/15,32.848
2012/12/16,16.858
2012/12/17,38.476
2012/12/18,46.601
2012/12/19,48.813
2012/12/20,50.778
2012/12/21,32.558
2012/12/22,23.658
2012/12/23,17.891
2012/12/24,90.649
2012/12/25,53.487
2012/12/26,39.223
2012/12/27,31.384
2012/12/28,38.537
2012/12/29,44.028
2012/12/30,27.301
2012/12/31,60.875
2013/01/01,64.656
2013/01/02,64.612
2013/01/03,86.134
2013/01/04,35.021
2013/01/05,48.958
2013/01/06,65.074
2013/01/07,54.053
2013/01/08,67.126
2013/01/09,75.432
2013/01/10,30.726
2013/01/11,35.641
2013/01/12,38.661
2013/01/13,19.524
2013/01/14,27.134
2013/01/15,67.629
2013/01/16,59.999
2013/01/17,70.447
2013/01/18,83.958
2013/01/19,37.047
2013/01/20,65.327
2013/01/21,70.904
2013/01/22,88.668
2013/01/23,68.246
2013/01/24,50.989
2013/01/25,37.561
2013/01/26,27.347
2013/01/27,23.138
2013/01/28,61.359
2013/01/29,66.977
2013/01/30,85.902
2013/01/31,36.105
2013/02/01,29.752
2013/02/02,45.407
2013/02/03,33.52
2013/02/04,52.827
2013/02/05,77.445
2013/02/06,80.936
2013/02/07,32.128
2013/02/08,45.638
2013/02/09,49.959
2013/02/10,36.05
2013/02/11,49.3
2013/02/12,58.109
2013/02/13,33.187
2013/02/14,65.308
2013/02/15,46.33
2013/02/16,34.375
2013/02/17,38.853
2013/02/18,58.166
2013/02/19,42.2
2013/02/20,39.111
2013/02/21,42.653
2013/02/22,36.249
2013/02/23,44.251
2013/02/24,14.007
2013/02/25,12.122
2013/02/26,65.741
2013/02/27,57.085
2013/02/28,69.572
2013/03/01,74.447
2013/03/02,31.817
2013/03/03,21.831
2013/03/04,61.12
2013/03/05,86.283
2013/03/06,73.392
2013/03/07,63.916
2013/03/08,72.615
2013/03/09,52.939
2013/03/10,29.768
2013/03/11,59.159
2013/03/12,81.007
2013/03/13,62.236
2013/03/14,49.067
2013/03/15,36.82
2013/03/16,83.105
2013/03/17,67.084
2013/03/18,85.18
2013/03/19,88.551
2013/03/20,73.304
2013/03/21,45.459
2013/03/22,56.046
2013/03/23,28.653
2013/03/24,25.842
2013/03/25,56.636
2013/03/26,82.871
2013/03/27,66.862
2013/03/28,57.787
2013/03/29,68.465
2013/03/30,27.938
2013/03/31,41.063
2013/04/01,67.893
2013/04/02,87.003
2013/04/03,89.397
2013/04/04,93.967
2013/04/05,94.299
2013/04/06,37.06
2013/04/07,22.156
2013/04/08,69.43
2013/04/09,83.554
2013/04/10,93.719
2013/04/11,38.686
2013/04/12,36.327
2013/04/13,31.48
2013/04/14,27.132
2013/04/15,38.911
2013/04/16,33.288
2013/04/17,45.9
2013/04/18,61.214
2013/04/19,61.019
2013/04/20,33.07
2013/04/21,46.587
2013/04/22,60.064
2013/04/23,42.18
2013/04/24,51.357
2013/04/25,69.091
2013/04/26,69.136
2013/04/27,51.91
2013/04/28,27.209
2013/04/29,63.718
2013/04/30,39.141
2013/05/01,58.351
2013/05/02,35.458
2013/05/03,35.544
2013/05/04,15.544
2013/05/05,41.386
2013/05/06,50.121
2013/05/07,60.367
2013/05/08,70.133
2013/05/09,35.375
2013/05/10,35.371
2013/05/11,18.128
2013/05/12,39.563
2013/05/13,66.553
2013/05/14,45.109
2013/05/15,55.955
2013/05/16,66.876
2013/05/17,68.868
2013/05/18,85.328
2013/05/19,33.468
2013/05/20,61.829
2013/05/21,73.592
2013/05/22,76.295
2013/05/23,69.619
2013/05/24,81.401
2013/05/25,33.106
2013/05/26,49.547
2013/05/27,34.032
2013/05/28,61.838
2013/05/29,71.75
2013/05/30,53.457
2013/05/31,71.19
2013/06/01,29.908
2013/06/02,39.141
2013/06/03,53.883
2013/06/04,66.958
2013/06/05,40.534
2013/06/06,35.953
2013/06/07,68.452
2013/06/08,38.217
2013/06/09,31.82
2013/06/10,49.025
2013/06/11,52.782
2013/06/12,65.486
2013/06/13,84.951
2013/06/14,58.653
2013/06/15,46.563
2013/06/16,16.088
2013/06/17,33.175
2013/06/18,57.576
2013/06/19,46.639
2013/06/20,32.904
2013/06/21,71.636
2013/06/22,43.519
2013/06/23,36.858
2013/06/24,56.255
2013/06/25,51.772
2013/06/26,62.567
2013/06/27,54.597
2013/06/28,48.529
2013/06/29,37.189
2013/06/30,17.17
2013/07/01,78.72
2013/07/02,67.58
2013/07/03,84.209
2013/07/04,39.395
2013/07/05,32.906
2013/07/06,22.335
2013/07/07,28.082
2013/07/08,54.149
2013/07/09,70.865
2013/07/10,80.088
2013/07/11,90.747
2013/07/12,46.388
2013/07/13,39.135
2013/07/14,24.146
2013/07/15,45.074
2013/07/16,62.452
2013/07/17,49.491
2013/07/18,58.687
2013/07/19,40.412
2013/07/20,19.854
2013/07/21,37.706
2013/07/22,56.314
2013/07/23,64.705
2013/07/24,63.522
2013/07/25,60.693
2013/07/26,71.717
2013/07/27,18.501
2013/07/28,16.821
2013/07/29,68.625
2013/07/30,72.052
2013/07/31,48.761
2013/08/01,41.194
2013/08/02,37.916
2013/08/03,16.064
2013/08/04,13.796
2013/08/05,65.025
2013/08/06,38.783
2013/08/07,36.107
2013/08/08,25.961
2013/08/09,51.074
2013/08/10,43.559
2013/08/11,47.857
2013/08/12,62.91
2013/08/13,75.384
2013/08/14,89.271
2013/08/15,38.662
2013/08/16,22.4
2013/08/17,18.708
2013/08/18,32.205
2013/08/19,36.152
2013/08/20,61.377
2013/08/21,79.037
2013/08/22,54.685
2013/08/23,64.122
2013/08/24,36.274
2013/08/25,52.587
2013/08/26,69.079
2013/08/27,83.876
2013/08/28,43.3
2013/08/29,34.581
2013/08/30,62.75
2013/08/31,71.105
2013/09/01,35.516
2013/09/02,48.459
2013/09/03,63.05
2013/09/04,68.625
2013/09/05,25.636
2013/09/06,38.571
2013/09/07,28.637
2013/09/08,24.701
2013/09/09,27.162
2013/09/10,58.812
2013/09/11,84.966
2013/09/12,77.969
2013/09/13,89.522
2013/09/14,36.997
2013/09/15,25.738
2013/09/16,53.168
2013/09/17,38.458
2013/09/18,48.411
2013/09/19,58.62
2013/09/20,68.55
2013/09/21,41.759
2013/09/22,33.785
2013/09/23,60.951
2013/09/24,70
