Date,mining_profitability30mom
2013/01/29,799.152
2013/01/30,1125
2013/01/31,1475
2013/02/01,779.898
2013/02/02,985.564
2013/02/03,1715
2013/02/04,1056
2013/02/05,882.945
2013/02/06,534.419
2013/02/07,1617
2013/02/08,1299
2013/02/09,1210
2013/02/10,1802
2013/02/11,1251
2013/02/12,1297
2013/02/13,1860
2013/02/14,1652
2013/02/15,2026
2013/02/16,2202
2013/02/17,1584
2013/02/18,631.435
2013/02/19,1537
2013/02/20,2222
2013/02/21,993.612
2013/02/22,1680
2013/02/23,766.633
2013/02/24,1089
2013/02/25,1243
2013/02/26,1033
2013/02/27,1312
2013/02/28,821.937
2013/03/01,889.92
2013/03/02,59.228
2013/03/03,996.913
2013/03/04,753.89
2013/03/05,-210.943
2013/03/06,1527
2013/03/07,1826
2013/03/08,1820
2013/03/09,1736
2013/03/10,1860
2013/03/11,1341
2013/03/12,1480
2013/03/13,1502
2013/03/14,1356
2013/03/15,251.96
2013/03/16,1174
2013/03/17,538.967
2013/03/18,442.323
2013/03/19,799.534
2013/03/20,3530
2013/03/21,2824
2013/03/22,2435
2013/03/23,2874
2013/03/24,920.376
2013/03/25,922.13
2013/03/26,1653
2013/03/27,1288
2013/03/28,3493
2013/03/29,2224
2013/03/30,2473
2013/03/31,2855
2013/04/01,3441
2013/04/02,3981
2013/04/03,4836
2013/04/04,5014
2013/04/05,5294
2013/04/06,3902
2013/04/07,4607
2013/04/08,4951
2013/04/09,8083
2013/04/10,7475
2013/04/11,1863
2013/04/12,1324
2013/04/13,1652
2013/04/14,1297
2013/04/15,1115
2013/04/16,-2.142
2013/04/17,369.03
2013/04/18,16.481
2013/04/19,-665.535
2013/04/20,203.833
2013/04/21,-344.761
2013/04/22,-590.952
2013/04/23,1934
2013/04/24,2633
2013/04/25,3086
2013/04/26,1465
2013/04/27,-1002
2013/04/28,1307
2013/04/29,657.424
2013/04/30,-578.128
2013/05/01,-880.07
2013/05/02,-2638
2013/05/03,-3806
2013/05/04,-3120
2013/05/05,-3689
2013/05/06,-3467
2013/05/07,-3844
2013/05/08,-4769
2013/05/09,-7910
2013/05/10,-6535
2013/05/11,-1166
2013/05/12,-1161
2013/05/13,-1416
2013/05/14,-1109
2013/05/15,-1278
2013/05/16,45.44
2013/05/17,225.596
2013/05/18,327.474
2013/05/19,-1263
2013/05/20,-2194
2013/05/21,-984.932
2013/05/22,-850.379
2013/05/23,-1272
2013/05/24,-1881
2013/05/25,-2931
2013/05/26,-1937
2013/05/27,-981.265
2013/05/28,-2546
2013/05/29,-1921
2013/05/30,-826.169
2013/05/31,-1269
2013/06/01,512.778
2013/06/02,-144.477
2013/06/03,-448.752
2013/06/04,-1123
2013/06/05,-1431
2013/06/06,-1739
2013/06/07,-1622
2013/06/08,-1608
2013/06/09,-2637
2013/06/10,-2568
2013/06/11,-1509
2013/06/12,-1501
2013/06/13,-1433
2013/06/14,-1186
2013/06/15,-1809
2013/06/16,-2051
2013/06/17,-2876
2013/06/18,-2390
2013/06/19,-1724
2013/06/20,-2734
2013/06/21,-2246
2013/06/22,-3051
2013/06/23,-3077
2013/06/24,-3067
2013/06/25,-2725
2013/06/26,-2890
2013/06/27,-2580
2013/06/28,-2968
2013/06/29,-3276
2013/06/30,-3098
2013/07/01,-3832
2013/07/02,-2972
2013/07/03,-3102
2013/07/04,-3394
2013/07/05,-2196
2013/07/06,-2186
2013/07/07,-2161
2013/07/08,-2049
2013/07/09,-1479
2013/07/10,-1466
2013/07/11,-2204
2013/07/12,-2229
2013/07/13,-1408
2013/07/14,-1671
2013/07/15,-1476
2013/07/16,-1487
2013/07/17,-427.429
2013/07/18,-1002
2013/07/19,-1326
2013/07/20,-1253
2013/07/21,-1235
2013/07/22,-1396
2013/07/23,-1255
2013/07/24,-989.204
2013/07/25,-1224
2013/07/26,-1109
2013/07/27,-1097
2013/07/28,-1049
2013/07/29,-689.646
2013/07/30,-378.023
2013/07/31,-503.955
2013/08/01,-489.375
2013/08/02,-495.616
2013/08/03,-472.783
2013/08/04,-479.198
2013/08/05,-359.553
2013/08/06,-207.802
2013/08/07,-486.1
2013/08/08,-265.15
2013/08/09,-714.584
2013/08/10,-144.116
2013/08/11,-181.41
2013/08/12,-595.275
2013/08/13,-599.23
2013/08/14,-751.407
2013/08/15,-703.501
2013/08/16,-948.048
2013/08/17,-548.126
2013/08/18,-656.795
2013/08/19,-697.838
2013/08/20,-691.282
2013/08/21,-311.184
2013/08/22,-116.918
2013/08/23,-584.245
2013/08/24,-442.717
2013/08/25,-659.441
2013/08/26,-685.887
2013/08/27,-455.117
2013/08/28,-626.892
2013/08/29,-712.14
2013/08/30,-583.226
2013/08/31,-432.297
