Date,transactionvalue7smaUSD
2013/04/06,3805
2013/04/07,3710
2013/04/08,3917
2013/04/09,4156
2013/04/10,4677
2013/04/11,4646
2013/04/12,4423
2013/04/13,4271
2013/04/14,4121
2013/04/15,3782
2013/04/16,3198
2013/04/17,2376
2013/04/18,3496
2013/04/19,3576
2013/04/20,3606
2013/04/21,3768
2013/04/22,4095
2013/04/23,4266
2013/04/24,4578
2013/04/25,3408
2013/04/26,3343
2013/04/27,3298
2013/04/28,3180
2013/04/29,3295
2013/04/30,3245
2013/05/01,3029
2013/05/02,2763
2013/05/03,2579
2013/05/04,2402
2013/05/05,2363
2013/05/06,1941
2013/05/07,1811
2013/05/08,1632
2013/05/09,1535
2013/05/10,1517
2013/05/11,1518
2013/05/12,1450
2013/05/13,1488
2013/05/14,1401
2013/05/15,1320
2013/05/16,1338
2013/05/17,1357
2013/05/18,1437
2013/05/19,1444
2013/05/20,1328
2013/05/21,1347
2013/05/22,1410
2013/05/23,1431
2013/05/24,1443
2013/05/25,1473
2013/05/26,1503
2013/05/27,1553
2013/05/28,1570
2013/05/29,1597
2013/05/30,1594
2013/05/31,1574
2013/06/01,1476
2013/06/02,1454
2013/06/03,1464
2013/06/04,1436
2013/06/05,1376
2013/06/06,1414
2013/06/07,1402
2013/06/08,1370
2013/06/09,1446
2013/06/10,1367
2013/06/11,1354
2013/06/12,1340
2013/06/13,1318
2013/06/14,1318
2013/06/15,1354
2013/06/16,1297
2013/06/17,1317
2013/06/18,1341
2013/06/19,1335
2013/06/20,1336
2013/06/21,1354
2013/06/22,1334
2013/06/23,1289
2013/06/24,1301
2013/06/25,1317
2013/06/26,1325
2013/06/27,1278
2013/06/28,1223
2013/06/29,1263
2013/06/30,1306
2013/07/01,1384
2013/07/02,1382
2013/07/03,1455
2013/07/04,1560
2013/07/05,1686
2013/07/06,1697
2013/07/07,1737
2013/07/08,1687
2013/07/09,1761
2013/07/10,1796
2013/07/11,1809
2013/07/12,1764
2013/07/13,1857
2013/07/14,1855
2013/07/15,1877
2013/07/16,1893
2013/07/17,1927
2013/07/18,1942
2013/07/19,1951
2013/07/20,1837
2013/07/21,1794
2013/07/22,1822
2013/07/23,1834
2013/07/24,1761
2013/07/25,1701
2013/07/26,1702
2013/07/27,1685
2013/07/28,1727
2013/07/29,1689
2013/07/30,1684
2013/07/31,1659
2013/08/01,1726
2013/08/02,1699
2013/08/03,1742
2013/08/04,1693
2013/08/05,1687
2013/08/06,1564
2013/08/07,1522
2013/08/08,1385
2013/08/09,1312
2013/08/10,1244
2013/08/11,1232
2013/08/12,1230
2013/08/13,1369
2013/08/14,1529
2013/08/15,1553
2013/08/16,1595
2013/08/17,1708
2013/08/18,1753
2013/08/19,1746
2013/08/20,1636
2013/08/21,1595
2013/08/22,1589
2013/08/23,1605
2013/08/24,1525
2013/08/25,1524
2013/08/26,1502
2013/08/27,1514
2013/08/28,1398
2013/08/29,1949
