Date,transactionfees7rsiUSD
2012/11/11,42.576
2012/11/12,44.259
2012/11/13,47.052
2012/11/14,49.658
2012/11/15,63.449
2012/11/16,62.45
2012/11/17,61.883
2012/11/18,63.2
2012/11/19,50.534
2012/11/20,51.985
2012/11/21,59.248
2012/11/22,42.67
2012/11/23,67.602
2012/11/24,50.347
2012/11/25,60.292
2012/11/26,49.325
2012/11/27,93.375
2012/11/28,51.339
2012/11/29,46.312
2012/11/30,45.934
2012/12/01,46.596
2012/12/02,45.605
2012/12/03,48.334
2012/12/04,49.766
2012/12/05,48.518
2012/12/06,49.474
2012/12/07,46.549
2012/12/08,47.708
2012/12/09,46.623
2012/12/10,51.925
2012/12/11,52.75
2012/12/12,47.969
2012/12/13,63.948
2012/12/14,48.954
2012/12/15,45.075
2012/12/16,46.563
2012/12/17,47.831
2012/12/18,47.352
2012/12/19,46.469
2012/12/20,55.109
2012/12/21,50.848
2012/12/22,47.095
2012/12/23,53.137
2012/12/24,44.586
2012/12/25,48.851
2012/12/26,47.596
2012/12/27,53.689
2012/12/28,46.71
2012/12/29,45.544
2012/12/30,43.432
2012/12/31,51.511
2013/01/01,48.127
2013/01/02,48.795
2013/01/03,62.491
2013/01/04,44.838
2013/01/05,44.377
2013/01/06,72.32
2013/01/07,53.138
2013/01/08,49.504
2013/01/09,43.145
2013/01/10,90.225
2013/01/11,46.616
2013/01/12,46.571
2013/01/13,46.367
2013/01/14,46.273
2013/01/15,45.518
2013/01/16,46.457
2013/01/17,48.1
2013/01/18,48.137
2013/01/19,60.073
2013/01/20,48.316
2013/01/21,46.956
2013/01/22,49.625
2013/01/23,58.078
2013/01/24,57.914
2013/01/25,52.011
2013/01/26,55.971
2013/01/27,52.851
2013/01/28,51.88
2013/01/29,62.538
2013/01/30,54.809
2013/01/31,61.835
2013/02/01,59.499
2013/02/02,78.337
2013/02/03,49.383
2013/02/04,48.349
2013/02/05,47.008
2013/02/06,45.918
2013/02/07,49.999
2013/02/08,53.047
2013/02/09,53.169
2013/02/10,56.265
2013/02/11,61.513
2013/02/12,60.765
2013/02/13,70.807
2013/02/14,61.502
2013/02/15,75.286
2013/02/16,70.457
2013/02/17,64.433
2013/02/18,57.937
2013/02/19,57.051
2013/02/20,59.605
2013/02/21,69.27
2013/02/22,58.094
2013/02/23,53.326
2013/02/24,46.115
2013/02/25,66.922
2013/02/26,56.442
2013/02/27,58.247
2013/02/28,67.687
2013/03/01,76.283
2013/03/02,58.604
2013/03/03,48.622
2013/03/04,53.719
2013/03/05,63.113
2013/03/06,91.878
2013/03/07,49.508
2013/03/08,48.768
2013/03/09,51.39
2013/03/10,49.364
2013/03/11,50.074
2013/03/12,62.43
2013/03/13,49.313
2013/03/14,49.002
2013/03/15,52.806
2013/03/16,49.565
2013/03/17,48.636
2013/03/18,49.377
2013/03/19,62.962
2013/03/20,52.319
2013/03/21,60.599
2013/03/22,68.682
2013/03/23,59.135
