Date,hashrate14rsi
2012/08/07,51.357
2012/08/08,55.098
2012/08/09,56.797
2012/08/10,55.548
2012/08/11,56.146
2012/08/12,57.567
2012/08/13,56.663
2012/08/14,58.633
2012/08/15,59.462
2012/08/16,58.301
2012/08/17,49.824
2012/08/18,48.775
2012/08/19,54.979
2012/08/20,65.287
2012/08/21,63.354
2012/08/22,49.877
2012/08/23,53.973
2012/08/24,53.923
2012/08/25,49.625
2012/08/26,58.787
2012/08/27,56.604
2012/08/28,52.061
2012/08/29,57.228
2012/08/30,56.403
2012/08/31,50.411
2012/09/01,54.644
2012/09/02,52.984
2012/09/03,58.151
2012/09/04,47.827
2012/09/05,57.699
2012/09/06,59.316
2012/09/07,60.157
2012/09/08,54.709
2012/09/09,51.766
2012/09/10,53.715
2012/09/11,55.013
2012/09/12,49.636
2012/09/13,50.297
2012/09/14,54.803
2012/09/15,50.25
2012/09/16,52.728
2012/09/17,57.191
2012/09/18,59.423
2012/09/19,52.523
2012/09/20,50.747
2012/09/21,57.076
2012/09/22,60.442
2012/09/23,52.351
2012/09/24,52.992
2012/09/25,53.756
2012/09/26,46.98
2012/09/27,49.636
2012/09/28,56.813
2012/09/29,54.39
2012/09/30,54.983
2012/10/01,49.486
2012/10/02,46.918
2012/10/03,51.136
2012/10/04,47.662
2012/10/05,48.99
2012/10/06,50.629
2012/10/07,51.056
2012/10/08,56.576
2012/10/09,55.591
2012/10/10,53.804
2012/10/11,52.837
2012/10/12,52.749
2012/10/13,51.481
2012/10/14,48.44
2012/10/15,54.44
2012/10/16,57.271
2012/10/17,53.473
2012/10/18,52.244
2012/10/19,57.114
2012/10/20,48.662
2012/10/21,58.053
2012/10/22,53.945
2012/10/23,51.742
2012/10/24,50.641
2012/10/25,49.108
2012/10/26,53.197
2012/10/27,63.349
2012/10/28,54.712
2012/10/29,56.322
2012/10/30,54.742
2012/10/31,50.237
2012/11/01,48.23
2012/11/02,50.741
2012/11/03,51.328
2012/11/04,57.38
2012/11/05,55.334
2012/11/06,50.458
2012/11/07,51.688
2012/11/08,58.38
2012/11/09,51.471
2012/11/10,54.832
2012/11/11,48.602
2012/11/12,49.233
2012/11/13,45.137
2012/11/14,51.814
2012/11/15,48.999
2012/11/16,48.135
2012/11/17,51.474
2012/11/18,55.61
2012/11/19,45.507
2012/11/20,53.667
2012/11/21,51.945
2012/11/22,54.307
2012/11/23,50.024
2012/11/24,56.109
2012/11/25,51.353
2012/11/26,54.839
2012/11/27,52.882
2012/11/28,56.606
2012/11/29,59.581
2012/11/30,47.164
2012/12/01,51.068
2012/12/02,52.398
2012/12/03,50.139
2012/12/04,43.721
2012/12/05,40.402
2012/12/06,46.088
2012/12/07,45.306
2012/12/08,49.403
2012/12/09,46.263
2012/12/10,47.365
2012/12/11,49.107
2012/12/12,49.789
2012/12/13,45.288
2012/12/14,40.829
2012/12/15,37.921
2012/12/16,42.296
2012/12/17,43.168
2012/12/18,47.339
