Date,sentinusd30smaUSD
2013/04/22,176222857
2013/04/23,180436212
2013/04/24,185316902
2013/04/25,188885584
2013/04/26,187181726
2013/04/27,185642487
2013/04/28,183914196
2013/04/29,182551960
2013/04/30,180805356
2013/05/01,180157243
2013/05/02,174556292
2013/05/03,168494234
2013/05/04,162340968
2013/05/05,156677032
2013/05/06,154224600
2013/05/07,153162096
2013/05/08,148829775
2013/05/09,140084586
2013/05/10,128243023
2013/05/11,123974698
2013/05/12,121069370
2013/05/13,120255485
2013/05/14,120651304
2013/05/15,120273230
2013/05/16,118283792
2013/05/17,116614749
2013/05/18,100554297
2013/05/19,95626473
2013/05/20,93937776
2013/05/21,92803828
2013/05/22,89523843
2013/05/23,85916305
2013/05/24,80752192
2013/05/25,76182625
2013/05/26,72773825
2013/05/27,72110464
2013/05/28,72651049
2013/05/29,71796166
2013/05/30,71605563
2013/05/31,70507174
2013/06/01,69372632
2013/06/02,68597552
2013/06/03,69996719
2013/06/04,70418587
2013/06/05,70087383
2013/06/06,69678162
2013/06/07,69364462
2013/06/08,68611831
2013/06/09,68291758
2013/06/10,67743356
2013/06/11,67978535
2013/06/12,67348205
2013/06/13,66947081
2013/06/14,67107724
2013/06/15,66250154
2013/06/16,65320060
2013/06/17,64929696
2013/06/18,65548406
2013/06/19,65574422
2013/06/20,65655851
2013/06/21,65364326
2013/06/22,64248777
2013/06/23,62383242
2013/06/24,61522895
2013/06/25,62197404
2013/06/26,61555961
2013/06/27,60548963
2013/06/28,59606960
2013/06/29,58596307
2013/06/30,57215635
2013/07/01,57694579
2013/07/02,58041616
2013/07/03,57367717
2013/07/04,57189272
2013/07/05,56985103
2013/07/06,55684163
2013/07/07,54775608
2013/07/08,55432189
2013/07/09,55834486
2013/07/10,56842094
2013/07/11,57630309
2013/07/12,58557702
2013/07/13,58989565
2013/07/14,58208594
2013/07/15,58876441
2013/07/16,59964731
2013/07/17,61043946
2013/07/18,61667902
2013/07/19,61939158
2013/07/20,60836667
2013/07/21,59872547
2013/07/22,60888437
2013/07/23,62451332
2013/07/24,63000784
2013/07/25,63032994
2013/07/26,63319011
2013/07/27,62952663
2013/07/28,62770981
2013/07/29,63518832
2013/07/30,65375549
2013/07/31,65615083
