Date,hashrate7mom
2012/04/03,-1037955899947
2012/04/04,-196654353553
2012/04/05,-1735046578919
2012/04/06,-1851722514218
2012/04/07,-2387880327767
2012/04/08,-904694396720
2012/04/09,1497235966138
2012/04/10,1269294417027
2012/04/11,777841042345
2012/04/12,1316421091634
2012/04/13,-34264071203
2012/04/14,-638112807248
2012/04/15,-1662664389279
2012/04/16,-2193789052968
2012/04/17,-595224410695
2012/04/18,-1923735690669
2012/04/19,199967884577
2012/04/20,2699788841772
2012/04/21,1560562039375
2012/04/22,2086801661202
2012/04/23,1537730183969
2012/04/24,-709267346156
2012/04/25,450072186703
2012/04/26,-335629032291
2012/04/27,-2316298066432
2012/04/28,-349756936311
2012/04/29,577103249757
2012/04/30,1233527530898
2012/05/01,3004002309740
2012/05/02,1573795431712
2012/05/03,613647841848
2012/05/04,1840248202969
2012/05/05,483165058546
2012/05/06,439136304412
2012/05/07,-307079472704
2012/05/08,471006212266
2012/05/09,1369026534738
2012/05/10,1384977232666
2012/05/11,-1740443233129
2012/05/12,532047388961
2012/05/13,-1089617052360
2012/05/14,-682072504444
2012/05/15,-1913169705208
2012/05/16,-3426396260379
2012/05/17,-2618647896041
2012/05/18,1261542756500
2012/05/19,-9105619735
2012/05/20,647976149248
2012/05/21,-42676816030
2012/05/22,-1552622809822
2012/05/23,390935516898
2012/05/24,482612221113
2012/05/25,-2147050097347
2012/05/26,-1837397203165
2012/05/27,120093996682
2012/05/28,-337143060116
2012/05/29,371435907680
2012/05/30,-492993357328
2012/05/31,496718800039
2012/06/01,1355312191064
2012/06/02,1975988821473
2012/06/03,413480686889
2012/06/04,589307295221
2012/06/05,546482953283
2012/06/06,2577721915183
2012/06/07,-406759007033
2012/06/08,388963667983
2012/06/09,185687937850
2012/06/10,196395316351
2012/06/11,815336028886
2012/06/12,-194367074144
2012/06/13,61738135127
2012/06/14,534864061656
2012/06/15,1426211106587
2012/06/16,-476090187968
2012/06/17,-74968802839
2012/06/18,-534882138619
2012/06/19,3700463101940
2012/06/20,-1739893707180
2012/06/21,122128738742
2012/06/22,-1458575770068
2012/06/23,1577044532248
2012/06/24,295695438045
2012/06/25,87187123954
2012/06/26,-1946974119574
2012/06/27,2708117935958
2012/06/28,652307937135
2012/06/29,883271924229
2012/06/30,-1875437326325
2012/07/01,-1296050787793
2012/07/02,473634880627
2012/07/03,190820840943
2012/07/04,119512855629
2012/07/05,385565243222
2012/07/06,842269532152
2012/07/07,2264702235774
2012/07/08,2303416172351
2012/07/09,1108872751125
2012/07/10,283257953573
2012/07/11,-1099575361388
2012/07/12,-478759250592
2012/07/13,609404628107
2012/07/14,-109252593568
2012/07/15,-748927863647
2012/07/16,-1374883789799
2012/07/17,1391390327234
2012/07/18,2156012623672
2012/07/19,1708752847008
2012/07/20,-618568986608
2012/07/21,-684076239706
2012/07/22,229015226119
2012/07/23,1001634853259
2012/07/24,-272662189793
2012/07/25,-8444355234
2012/07/26,1917305791954
2012/07/27,2356845785466
2012/07/28,2868562751640
2012/07/29,-35396044399
2012/07/30,4259455828648
2012/07/31,479297513616
2012/08/01,-1259591249641
2012/08/02,-529343546550
2012/08/03,1695268754894
2012/08/04,-358636046798
2012/08/05,1570700065636
2012/08/06,-3582741901848
2012/08/07,257689516283
2012/08/08,2814508446770
2012/08/09,1605339136024
2012/08/10,-433912838747
2012/08/11,910322761971
2012/08/12,2052162122226
2012/08/13,2629503917743
2012/08/14,2553737521933
2012/08/15,1517416725433
2012/08/16,690847717685
2012/08/17,-760903697817
2012/08/18,-1198681501870
2012/08/19,-152640753023
2012/08/20,3445065395958
2012/08/21,2452262318067
2012/08/22,-1346224729413
2012/08/23,257183390202
2012/08/24,2028511188822
2012/08/25,1009098996412
2012/08/26,2793929814803
2012/08/27,-1245271286850
2012/08/28,-2232725084099
2012/08/29,3293480612199
2012/08/30,1663086398326
2012/08/31,-219819018587
2012/09/01,2592784094552
2012/09/02,-1210488404510
2012/09/03,1425303026234
2012/09/04,-798673475506
2012/09/05,1667357270561
2012/09/06,2779652281948
2012/09/07,5120379346854
2012/09/08,1589477113288
2012/09/09,960886576276
2012/09/10,-189371520407
2012/09/11,3998829688333
2012/09/12,-2432308049400
2012/09/13,-3044400177413
2012/09/14,-1706545283857
2012/09/15,-1376140698707
2012/09/16,748206181670
2012/09/17,1789433371880
2012/09/18,2251246479536
2012/09/19,1867117688660
2012/09/20,947862780617
2012/09/21,1866347646402
2012/09/22,5179051236203
2012/09/23,1172775625150
2012/09/24,-421780883140
2012/09/25,-1112627243379
2012/09/26,-1430437176217
2012/09/27,285197181244
2012/09/28,817371787643
2012/09/29,-1780819148445
2012/09/30,1526145608669
2012/10/01,-895275043918
2012/10/02,-2308177498645
2012/10/03,2067872914697
2012/10/04,-408469366661
2012/10/05,-3132102641823
2012/10/06,-1576786170555
2012/10/07,-1690140151309
2012/10/08,2567429658135
2012/10/09,3342878704729
2012/10/10,1118386195598
2012/10/11,2255621962870
2012/10/12,1722743986874
2012/10/13,761943066970
2012/10/14,-226262714654
2012/10/15,-625755656149
2012/10/16,595339883553
2012/10/17,176677817986
2012/10/18,148301479112
2012/10/19,1634938955675
2012/10/20,-333460085857
2012/10/21,3747057285552
2012/10/22,767714571542
2012/10/23,-845059138005
2012/10/24,-224697820453
2012/10/25,-378513642814
2012/10/26,-574270513208
2012/10/27,5790313538754
2012/10/28,-196369934776
2012/10/29,1746617685531
2012/10/30,1929855345397
2012/10/31,737988947552
2012/11/01,487982098458
2012/11/02,78161931705
2012/11/03,-3777027999650
2012/11/04,1148545864493
2012/11/05,-142786290476
