Date,top100cap
2013/02/14,19.419
2013/02/15,19.383
2013/02/16,19.383
2013/02/17,19.191
2013/02/18,19.188
2013/02/19,19.201
2013/02/20,19.348
2013/02/21,19.347
2013/02/22,19.406
2013/02/23,19.36
2013/02/24,19.246
2013/02/25,19.218
2013/02/26,19.248
2013/02/27,19.235
2013/02/28,19.247
2013/03/01,19.233
2013/03/02,19.268
2013/03/03,19.347
2013/03/04,19.395
2013/03/05,19.331
2013/03/06,19.39
2013/03/07,19.389
2013/03/08,19.505
2013/03/09,19.515
2013/03/10,19.413
2013/03/11,19.442
2013/03/12,19.46
2013/03/13,19.481
2013/03/14,19.491
2013/03/15,19.408
2013/03/16,19.405
2013/03/17,19.393
2013/03/18,19.355
2013/03/19,19.342
2013/03/20,19.412
2013/03/21,19.382
2013/03/22,19.361
2013/03/23,19.344
2013/03/24,19.382
2013/03/25,19.445
2013/03/26,19.592
2013/03/27,19.67
2013/03/28,19.709
2013/03/29,19.861
2013/03/30,19.957
2013/03/31,19.846
2013/04/01,19.962
2013/04/02,20.024
2013/04/03,19.987
2013/04/04,19.99
2013/04/05,19.833
2013/04/06,19.833
2013/04/07,19.767
2013/04/08,19.689
2013/04/09,19.714
2013/04/10,19.762
2013/04/11,20.19
2013/04/12,20.136
2013/04/13,20.138
2013/04/14,20.149
2013/04/15,20.385
2013/04/16,20.518
2013/04/17,20.389
2013/04/18,20.427
2013/04/19,20.424
2013/04/20,20.546
2013/04/21,20.52
2013/04/22,20.518
2013/04/23,20.52
2013/04/24,20.311
2013/04/25,20.382
2013/04/26,20.42
2013/04/27,20.167
2013/04/28,20.183
2013/04/29,20.057
2013/04/30,20.088
2013/05/01,20.156
2013/05/02,20.215
2013/05/03,20.229
2013/05/04,20.203
2013/05/05,20.175
2013/05/06,20.096
2013/05/07,20.097
2013/05/08,20.126
2013/05/09,20.137
2013/05/10,20.063
2013/05/11,20.028
2013/05/12,20.009
2013/05/13,20.001
2013/05/14,20.022
2013/05/15,20.046
2013/05/16,20.142
2013/05/17,20.111
2013/05/18,20.113
2013/05/19,20.098
2013/05/20,20.11
2013/05/21,20.084
2013/05/22,20.132
2013/05/23,20.112
2013/05/24,20.143
2013/05/25,19.901
2013/05/26,19.908
2013/05/27,19.976
2013/05/28,19.977
2013/05/29,19.927
2013/05/30,19.946
2013/05/31,19.878
2013/06/01,19.881
2013/06/02,19.884
2013/06/03,19.797
2013/06/04,19.784
2013/06/05,19.869
2013/06/06,19.817
2013/06/07,19.816
2013/06/08,19.852
2013/06/09,19.914
2013/06/10,19.909
2013/06/11,19.881
2013/06/12,19.976
2013/06/13,19.971
