Date,price14emaUSD
2012/10/06,12.472
2012/10/07,12.429
2012/10/08,12.35
2012/10/09,12.279
2012/10/10,12.243
2012/10/11,12.221
2012/10/12,12.2
2012/10/13,12.164
2012/10/14,12.115
2012/10/15,12.061
2012/10/16,12.032
2012/10/17,12.003
2012/10/18,11.986
2012/10/19,11.966
2012/10/20,11.936
2012/10/21,11.903
2012/10/22,11.872
2012/10/23,11.849
2012/10/24,11.822
2012/10/25,11.747
2012/10/26,11.582
2012/10/27,11.4
2012/10/28,11.277
2012/10/29,11.194
2012/10/30,11.133
2012/10/31,11.121
2012/11/01,11.088
2012/11/02,11.012
2012/11/03,10.951
2012/11/04,10.921
2012/11/05,10.901
2012/11/06,10.89
2012/11/07,10.892
2012/11/08,10.896
2012/11/09,10.893
2012/11/10,10.888
2012/11/11,10.887
2012/11/12,10.892
2012/11/13,10.903
2012/11/14,10.913
2012/11/15,10.937
2012/11/16,11.009
2012/11/17,11.11
2012/11/18,11.191
2012/11/19,11.264
2012/11/20,11.323
2012/11/21,11.378
2012/11/22,11.473
2012/11/23,11.591
2012/11/24,11.698
2012/11/25,11.798
2012/11/26,11.874
2012/11/27,11.92
2012/11/28,11.967
2012/11/29,12.025
2012/11/30,12.095
2012/12/01,12.158
2012/12/02,12.208
2012/12/03,12.259
2012/12/04,12.362
2012/12/05,12.499
2012/12/06,12.606
2012/12/07,12.711
2012/12/08,12.811
2012/12/09,12.89
2012/12/10,12.96
2012/12/11,13.036
2012/12/12,13.122
2012/12/13,13.199
2012/12/14,13.26
2012/12/15,13.298
2012/12/16,13.311
2012/12/17,13.306
2012/12/18,13.302
2012/12/19,13.321
2012/12/20,13.356
2012/12/21,13.38
2012/12/22,13.388
2012/12/23,13.388
2012/12/24,13.387
2012/12/25,13.386
2012/12/26,13.389
2012/12/27,13.396
2012/12/28,13.401
2012/12/29,13.408
2012/12/30,13.411
2012/12/31,13.416
2013/01/01,13.415
2013/01/02,13.386
2013/01/03,13.363
2013/01/04,13.344
2013/01/05,13.321
2013/01/06,13.294
2013/01/07,13.277
2013/01/08,13.294
2013/01/09,13.335
2013/01/10,13.39
2013/01/11,13.47
2013/01/12,13.538
2013/01/13,13.589
2013/01/14,13.642
2013/01/15,13.685
2013/01/16,13.753
2013/01/17,13.9
2013/01/18,14.087
