Date,transactions7var
2012/12/31,45636011
2013/01/01,38122758
2013/01/02,37155833
2013/01/03,35566984
2013/01/04,39228331
2013/01/05,38953564
2013/01/06,37167964
2013/01/07,27222864
2013/01/08,18495578
2013/01/09,19342606
2013/01/10,36560060
2013/01/11,46288786
2013/01/12,45153561
2013/01/13,27937395
2013/01/14,23066487
2013/01/15,13342125
2013/01/16,13550459
2013/01/17,11600199
2013/01/18,8752957
2013/01/19,15408260
2013/01/20,23369237
2013/01/21,29807177
2013/01/22,30996948
2013/01/23,24768513
2013/01/24,24343034
2013/01/25,23859771
2013/01/26,14767470
2013/01/27,21858662
2013/01/28,14659169
2013/01/29,9787795
2013/01/30,19334555
2013/01/31,17584937
2013/02/01,26127890
2013/02/02,26898766
2013/02/03,36018469
2013/02/04,36252966
2013/02/05,35731642
2013/02/06,31147134
2013/02/07,36083169
2013/02/08,38159429
2013/02/09,38485297
2013/02/10,34303557
2013/02/11,34877837
2013/02/12,34753389
2013/02/13,2673449
2013/02/14,8497390
2013/02/15,6488690
2013/02/16,9278021
2013/02/17,13481686
2013/02/18,13871674
2013/02/19,10192127
2013/02/20,11332072
2013/02/21,11182980
2013/02/22,19675347
2013/02/23,18507191
2013/02/24,12265200
2013/02/25,15728713
2013/02/26,13520720
2013/02/27,13434934
2013/02/28,9974242
2013/03/01,11004918
2013/03/02,13922561
2013/03/03,18343290
2013/03/04,14430761
2013/03/05,14920017
2013/03/06,15846404
2013/03/07,20573936
2013/03/08,20413334
2013/03/09,20742714
2013/03/10,38915482
2013/03/11,39246121
2013/03/12,59030104
2013/03/13,59378315
2013/03/14,50566488
2013/03/15,51685140
2013/03/16,130164453
2013/03/17,117763514
2013/03/18,109536436
2013/03/19,110187111
2013/03/20,97832308
2013/03/21,90288050
2013/03/22,80274767
2013/03/23,60437399
2013/03/24,31140668
2013/03/25,23180313
2013/03/26,19551562
2013/03/27,13862636
2013/03/28,21311190
2013/03/29,24971447
2013/03/30,27627850
2013/03/31,41944827
2013/04/01,38380777
2013/04/02,41064926
2013/04/03,45047715
2013/04/04,54314709
2013/04/05,53572936
2013/04/06,59507406
2013/04/07,29681200
2013/04/08,19648358
2013/04/09,22905042
2013/04/10,22870439
2013/04/11,25136402
2013/04/12,26898472
2013/04/13,21957166
2013/04/14,27235647
2013/04/15,32624231
2013/04/16,34259827
2013/04/17,33295216
2013/04/18,34598331
2013/04/19,35315261
2013/04/20,42783634
2013/04/21,58607634
2013/04/22,63992559
2013/04/23,42632758
2013/04/24,62199198
2013/04/25,63267441
2013/04/26,60555315
2013/04/27,69821797
2013/04/28,77277385
2013/04/29,70977061
2013/04/30,66976539
2013/05/01,44187932
2013/05/02,27433712
2013/05/03,23747082
2013/05/04,19060362
2013/05/05,6866271
2013/05/06,7178297
2013/05/07,6010577
2013/05/08,6056595
2013/05/09,31067826
2013/05/10,51229996
2013/05/11,75258562
2013/05/12,62153526
2013/05/13,50398754
2013/05/14,44331295
2013/05/15,12312380
2013/05/16,15626437
2013/05/17,20036658
2013/05/18,20167899
2013/05/19,37436398
2013/05/20,47888735
2013/05/21,33426705
2013/05/22,20584068
2013/05/23,17779378
2013/05/24,13999400
2013/05/25,14282176
2013/05/26,30409076
2013/05/27,29087429
2013/05/28,31784483
2013/05/29,32304093
2013/05/30,28506208
2013/05/31,27860860
2013/06/01,27772709
2013/06/02,5651223
2013/06/03,5357273
2013/06/04,5705092
2013/06/05,6036417
2013/06/06,5165368
2013/06/07,5966524
2013/06/08,10734428
2013/06/09,20006025
2013/06/10,24940152
2013/06/11,18262578
2013/06/12,12557196
2013/06/13,8817018
2013/06/14,6268035
2013/06/15,19538629
2013/06/16,20000178
2013/06/17,20208543
2013/06/18,16801977
2013/06/19,17516042
2013/06/20,24811399
2013/06/21,22101929
2013/06/22,7663649
2013/06/23,14700642
2013/06/24,15053267
2013/06/25,15163545
2013/06/26,14781150
2013/06/27,6597771
2013/06/28,9274756
2013/06/29,17587230
2013/06/30,35538421
2013/07/01,36217508
2013/07/02,35209715
2013/07/03,34627279
2013/07/04,28927269
2013/07/05,7145118
2013/07/06,8175355
2013/07/07,9102818
2013/07/08,9579222
2013/07/09,11002171
2013/07/10,12171767
2013/07/11,17426017
2013/07/12,30807523
2013/07/13,25580905
2013/07/14,15553224
2013/07/15,17360081
2013/07/16,17357070
2013/07/17,17284709
2013/07/18,15828450
2013/07/19,4441144
2013/07/20,7010224
2013/07/21,6659258
2013/07/22,7074431
2013/07/23,6848250
2013/07/24,8520676
2013/07/25,9896294
2013/07/26,9640974
2013/07/27,6449104
2013/07/28,4959915
2013/07/29,5733452
2013/07/30,6240330
2013/07/31,17185767
2013/08/01,29232038
2013/08/02,34255100
2013/08/03,25066980
2013/08/04,15641937
2013/08/05,13959553
2013/08/06,12780227
2013/08/07,20936196
2013/08/08,27704686
2013/08/09,28177282
2013/08/10,23046099
2013/08/11,37614678
2013/08/12,37813796
2013/08/13,36933402
2013/08/14,30435346
2013/08/15,30747010
2013/08/16,82661141
2013/08/17,83059967
2013/08/18,41600755
2013/08/19,56766781
2013/08/20,50022809
2013/08/21,35526425
2013/08/22,33991154
2013/08/23,31266292
2013/08/24,40582702
2013/08/25,72776314
2013/08/26,47761140
2013/08/27,46038340
2013/08/28,52819998
2013/08/29,39220736
2013/08/30,43733824
2013/08/31,52839807
2013/09/01,46131512
2013/09/02,50214018
2013/09/03,45504933
2013/09/04,29062726
2013/09/05,32356743
2013/09/06,28173281
2013/09/07,23333641
2013/09/08,23503859
2013/09/09,23884985
2013/09/10,23223149
2013/09/11,27016721
2013/09/12,20260376
2013/09/13,16264062
2013/09/14,22181025
2013/09/15,22099960
2013/09/16,14609579
2013/09/17,55442765
2013/09/18,62479634
2013/09/19,66726759
2013/09/20,51663778
2013/09/21,27937462
2013/09/22,32269094
2013/09/23,32805121
2013/09/24,23274973
2013/09/25,24444796
2013/09/26,23769359
2013/09/27,36374275
2013/09/28,57613143
2013/09/29,78665956
2013/09/30,54939222
