Date,difficulty30std
2012/07/25,111833
2012/07/26,114733
2012/07/27,116820
2012/07/28,118137
2012/07/29,118709
2012/07/30,128300
2012/07/31,150216
2012/08/01,166775
2012/08/02,179466
2012/08/03,190103
2012/08/04,199047
2012/08/05,205858
2012/08/06,210742
2012/08/07,213832
2012/08/08,215203
2012/08/09,214890
2012/08/10,212885
2012/08/11,209139
2012/08/12,210800
2012/08/13,219552
2012/08/14,224172
2012/08/15,224915
2012/08/16,227400
2012/08/17,233850
2012/08/18,238171
2012/08/19,240477
2012/08/20,240825
2012/08/21,239225
2012/08/22,235637
2012/08/23,229967
2012/08/24,222057
2012/08/25,240885
2012/08/26,256317
2012/08/27,265406
2012/08/28,268795
2012/08/29,277449
2012/08/30,289668
2012/08/31,298975
2012/09/01,305637
2012/09/02,309825
2012/09/03,311639
2012/09/04,311119
2012/09/05,308254
2012/09/06,307155
2012/09/07,328500
2012/09/08,342985
2012/09/09,351460
2012/09/10,354356
2012/09/11,360805
2012/09/12,370002
2012/09/13,375995
2012/09/14,378935
2012/09/15,378894
2012/09/16,375872
2012/09/17,369794
2012/09/18,360506
2012/09/19,348854
2012/09/20,348234
2012/09/21,341769
2012/09/22,329114
2012/09/23,309509
2012/09/24,314548
2012/09/25,318490
2012/09/26,319901
2012/09/27,318816
2012/09/28,315209
2012/09/29,308990
2012/09/30,299999
2012/10/01,287974
2012/10/02,272516
2012/10/03,270443
2012/10/04,264734
2012/10/05,252344
2012/10/06,242144
2012/10/07,252361
2012/10/08,259967
2012/10/09,265187
2012/10/10,268160
2012/10/11,268960
2012/10/12,267607
2012/10/13,264067
2012/10/14,258252
2012/10/15,250002
2012/10/16,239118
2012/10/17,226305
2012/10/18,209710
2012/10/19,191329
2012/10/20,190085
2012/10/21,187810
2012/10/22,184466
2012/10/23,179994
2012/10/24,174306
2012/10/25,167278
2012/10/26,158733
2012/10/27,148408
2012/10/28,135900
2012/10/29,120529
2012/10/30,136174
2012/10/31,144350
2012/11/01,146314
2012/11/02,164568
2012/11/03,179975
2012/11/04,192730
2012/11/05,203334
2012/11/06,212108
2012/11/07,219273
2012/11/08,224983
2012/11/09,229346
2012/11/10,232438
2012/11/11,234309
2012/11/12,236282
2012/11/13,241026
2012/11/14,243886
2012/11/15,244998
2012/11/16,245768
2012/11/17,244947
2012/11/18,242518
2012/11/19,238432
2012/11/20,232602
2012/11/21,224891
2012/11/22,215099
2012/11/23,202923
2012/11/24,187901
2012/11/25,169277
2012/11/26,147669
2012/11/27,121873
2012/11/28,81887
2012/11/29,87052
2012/11/30,91048
2012/12/01,94024
2012/12/02,96074
2012/12/03,97258
2012/12/04,97607
2012/12/05,97129
2012/12/06,95813
2012/12/07,93624
2012/12/08,90496
2012/12/09,86330
2012/12/10,80096
2012/12/11,72965
2012/12/12,67837
2012/12/13,67746
2012/12/14,67655
2012/12/15,67563
2012/12/16,67472
2012/12/17,67379
2012/12/18,67287
2012/12/19,67195
2012/12/20,67102
2012/12/21,67009
2012/12/22,66915
2012/12/23,66822
2012/12/24,66728
2012/12/25,66634
2012/12/26,103412
2012/12/27,180441
2012/12/28,229235
2012/12/29,265826
2012/12/30,294793
2012/12/31,318226
2013/01/01,337280
2013/01/02,352666
2013/01/03,364847
2013/01/04,374137
2013/01/05,380747
2013/01/06,384816
2013/01/07,386424
2013/01/08,378372
2013/01/09,369869
2013/01/10,364763
2013/01/11,359404
2013/01/12,353782
2013/01/13,347883
2013/01/14,341693
2013/01/15,335195
2013/01/16,328373
2013/01/17,321204
2013/01/18,313666
2013/01/19,305730
2013/01/20,297366
2013/01/21,288535
2013/01/22,279194
2013/01/23,266793
2013/01/24,258794
2013/01/25,263628
2013/01/26,264407
2013/01/27,265182
2013/01/28,265952
2013/01/29,266718
2013/01/30,267480
2013/01/31,268238
2013/02/01,268992
2013/02/02,269742
2013/02/03,270488
2013/02/04,271229
2013/02/05,266685
2013/02/06,267470
2013/02/07,272672
2013/02/08,274310
2013/02/09,275927
2013/02/10,277525
2013/02/11,279102
2013/02/12,280660
2013/02/13,282199
2013/02/14,283719
2013/02/15,285220
2013/02/16,286703
2013/02/17,288168
2013/02/18,337493
2013/02/19,380654
2013/02/20,417686
2013/02/21,450103
2013/02/22,479012
2013/02/23,495599
2013/02/24,507589
2013/02/25,515304
2013/02/26,518934
2013/02/27,518564
2013/02/28,514187
2013/03/01,524498
2013/03/02,612964
2013/03/03,677459
2013/03/04,724415
2013/03/05,757102
2013/03/06,777323
2013/03/07,801108
2013/03/08,828501
2013/03/09,848792
2013/03/10,862480
2013/03/11,869879
2013/03/12,871149
2013/03/13,866315
2013/03/14,882960
2013/03/15,911077
2013/03/16,926571
2013/03/17,930072
2013/03/18,921717
2013/03/19,901178
2013/03/20,909416
2013/03/21,911527
2013/03/22,906640
2013/03/23,894640
2013/03/24,963034
2013/03/25,1230089
2013/03/26,1419999
2013/03/27,1561175
2013/03/28,1666051
2013/03/29,1741201
2013/03/30,1790371
2013/03/31,1834894
2013/04/01,1899346
2013/04/02,1949365
2013/04/03,1986041
2013/04/04,2010105
2013/04/05,2049389
2013/04/06,2146374
2013/04/07,2217375
2013/04/08,2264835
2013/04/09,2290219
2013/04/10,2294259
2013/04/11,2277070
2013/04/12,2238163
2013/04/13,2210075
2013/04/14,2182310
2013/04/15,2137654
2013/04/16,2075018
2013/04/17,2019357
2013/04/18,2040554
2013/04/19,2024487
2013/04/20,1970245
2013/04/21,1874516
2013/04/22,1730429
2013/04/23,1669036
2013/04/24,1710781
2013/04/25,1738309
2013/04/26,1752289
2013/04/27,1753046
2013/04/28,1740597
2013/04/29,1714654
2013/04/30,1763549
2013/05/01,1814905
2013/05/02,1837410
2013/05/03,1832129
2013/05/04,1798816
2013/05/05,1778878
2013/05/06,1806696
2013/05/07,1820042
2013/05/08,1819235
2013/05/09,1804255
2013/05/10,1774744
2013/05/11,1729958
2013/05/12,1685565
2013/05/13,1719782
2013/05/14,1721741
2013/05/15,1691555
2013/05/16,1627436
2013/05/17,1586810
2013/05/18,1627774
2013/05/19,1654629
2013/05/20,1668057
2013/05/21,1668384
2013/05/22,1655615
2013/05/23,1629444
2013/05/24,1589209
