Date,confirmationtime3trx
2012/03/29,1.381
2012/03/30,0.664
2012/03/31,-1.145
2012/04/01,0.15
2012/04/02,4.187
2012/04/03,3.763
2012/04/04,2.166
2012/04/05,3.146
2012/04/06,1.465
2012/04/07,0.822
2012/04/08,-1.255
2012/04/09,-2.041
2012/04/10,-2.126
2012/04/11,-1.327
2012/04/12,0.735
2012/04/13,2.267
2012/04/14,1.036
2012/04/15,3.603
2012/04/16,0.385
2012/04/17,-0.701
2012/04/18,-0.448
2012/04/19,-2.261
2012/04/20,-3.007
2012/04/21,-2.922
2012/04/22,-1.27
2012/04/23,0.429
2012/04/24,0.933
2012/04/25,2.026
2012/04/26,-0.127
2012/04/27,0.098
2012/04/28,-0.953
2012/04/29,-3.28
2012/04/30,-4.329
2012/05/01,-3.695
2012/05/02,-1.143
2012/05/03,-0.011
2012/05/04,0.049
2012/05/05,-0.508
2012/05/06,-0.585
2012/05/07,-0.925
2012/05/08,-1.429
2012/05/09,-0.832
2012/05/10,3.322
2012/05/11,3.723
2012/05/12,4.556
2012/05/13,3.086
2012/05/14,1.829
2012/05/15,1.891
2012/05/16,2.818
2012/05/17,3.574
2012/05/18,0.593
2012/05/19,-1.661
2012/05/20,-1.663
2012/05/21,-0.013
2012/05/22,2.309
2012/05/23,1.541
2012/05/24,1.105
2012/05/25,1.212
2012/05/26,-0.76
2012/05/27,-3.116
2012/05/28,-2.839
2012/05/29,-0.489
2012/05/30,0.534
2012/05/31,0.144
2012/06/01,-1.37
2012/06/02,-2.689
2012/06/03,-2.552
2012/06/04,-2.137
2012/06/05,-0.984
2012/06/06,-0.67
2012/06/07,0.695
2012/06/08,1.223
2012/06/09,-1.071
2012/06/10,-2.126
2012/06/11,-0.147
2012/06/12,-0.121
2012/06/13,0.144
2012/06/14,-0.199
2012/06/15,-0.653
2012/06/16,-0.586
2012/06/17,-1.016
2012/06/18,-1.925
2012/06/19,-0.07
2012/06/20,1.423
2012/06/21,2.81
2012/06/22,2.864
2012/06/23,0.219
2012/06/24,1.418
2012/06/25,0.198
2012/06/26,-0.327
2012/06/27,-1.519
2012/06/28,0.122
2012/06/29,0.463
2012/06/30,1.748
2012/07/01,1.285
2012/07/02,-0.142
2012/07/03,-1.544
2012/07/04,-1.324
2012/07/05,-0.326
2012/07/06,-0.593
2012/07/07,-1.613
2012/07/08,-1.078
2012/07/09,-1.235
2012/07/10,-0.228
2012/07/11,2.005
2012/07/12,1.447
2012/07/13,-0.339
2012/07/14,-1.197
2012/07/15,0.398
2012/07/16,0.552
2012/07/17,-1.231
2012/07/18,-1.018
2012/07/19,1.317
2012/07/20,1.316
2012/07/21,1.492
2012/07/22,0.216
2012/07/23,0.567
2012/07/24,-0.752
2012/07/25,-1.464
2012/07/26,-2.206
2012/07/27,-2.918
2012/07/28,-1.143
2012/07/29,-0.773
2012/07/30,-1.369
2012/07/31,2.478
2012/08/01,4.089
2012/08/02,1.296
2012/08/03,-0.49
2012/08/04,-0.764
2012/08/05,0.884
2012/08/06,1.727
2012/08/07,-0.147
2012/08/08,-1.526
2012/08/09,-2.266
2012/08/10,-1.281
2012/08/11,-1.288
2012/08/12,-0.596
2012/08/13,-0.159
2012/08/14,0.287
2012/08/15,-0.291
2012/08/16,0.344
2012/08/17,2.277
2012/08/18,1.83
2012/08/19,-1.074
2012/08/20,-2.224
2012/08/21,-2.28
2012/08/22,-0.614
2012/08/23,-0.174
2012/08/24,1.337
2012/08/25,3.023
2012/08/26,0.157
2012/08/27,0.769
2012/08/28,0.858
2012/08/29,-0.567
2012/08/30,-0.35
2012/08/31,1.275
2012/09/01,0.285
2012/09/02,-0.777
2012/09/03,-0.705
2012/09/04,-0.113
2012/09/05,-1.648
2012/09/06,-1.937
2012/09/07,-1.485
2012/09/08,0.964
2012/09/09,1.069
2012/09/10,1.452
2012/09/11,1.938
2012/09/12,1.06
2012/09/13,2.725
2012/09/14,0.595
2012/09/15,0.473
2012/09/16,-0.766
2012/09/17,-1.923
2012/09/18,-2.223
2012/09/19,0.145
2012/09/20,0.67
2012/09/21,-0.669
2012/09/22,-0.616
2012/09/23,-0.415
