Date,activeaddresses3ema
2012/03/01,15817
2012/03/02,16715
2012/03/03,14654
2012/03/04,14809
2012/03/05,15476
2012/03/06,15390
2012/03/07,15302
2012/03/08,15503
2012/03/09,15650
2012/03/10,14269
2012/03/11,13458
2012/03/12,13910
2012/03/13,15366
2012/03/14,15776
2012/03/15,15461
2012/03/16,15853
2012/03/17,15969
2012/03/18,14928
2012/03/19,15223
2012/03/20,15602
2012/03/21,15909
2012/03/22,15811
2012/03/23,15035
2012/03/24,14490
2012/03/25,14421
2012/03/26,15101
2012/03/27,15310
2012/03/28,15777
2012/03/29,16403
2012/03/30,15717
2012/03/31,14881
2012/04/01,13819
2012/04/02,14356
2012/04/03,16579
2012/04/04,16631
2012/04/05,16513
2012/04/06,16420
2012/04/07,15347
2012/04/08,14636
2012/04/09,14925
2012/04/10,16174
2012/04/11,17316
2012/04/12,18073
2012/04/13,16926
2012/04/14,17142
2012/04/15,16691
2012/04/16,17899
2012/04/17,18223
2012/04/18,18797
2012/04/19,18290
2012/04/20,18818
2012/04/21,17566
2012/04/22,16132
2012/04/23,16433
2012/04/24,16882
2012/04/25,17168
2012/04/26,18168
2012/04/27,17685
2012/04/28,16827
2012/04/29,16409
2012/04/30,17755
2012/05/01,18893
2012/05/02,19546
2012/05/03,20703
2012/05/04,21690
2012/05/05,20854
2012/05/06,21526
2012/05/07,23589
2012/05/08,23687
2012/05/09,24256
2012/05/10,22337
2012/05/11,24237
2012/05/12,23493
2012/05/13,22098
2012/05/14,27256
2012/05/15,27210
2012/05/16,26375
2012/05/17,24472
2012/05/18,25317
2012/05/19,28460
2012/05/20,29000
2012/05/21,29678
2012/05/22,28597
2012/05/23,29106
2012/05/24,28587
2012/05/25,29349
2012/05/26,27500
2012/05/27,26897
2012/05/28,28246
2012/05/29,31257
2012/05/30,29902
2012/05/31,29157
2012/06/01,29108
2012/06/02,24837
2012/06/03,27615
2012/06/04,34594
2012/06/05,37780
2012/06/06,30971
2012/06/07,33178
2012/06/08,30722
2012/06/09,31130
2012/06/10,32482
2012/06/11,32545
2012/06/12,28019
2012/06/13,37376
2012/06/14,43511
2012/06/15,46299
2012/06/16,42823
2012/06/17,41090
2012/06/18,39347
2012/06/19,37447
2012/06/20,34857
2012/06/21,32284
2012/06/22,30757
2012/06/23,30508
2012/06/24,29505
2012/06/25,31741
2012/06/26,33870
2012/06/27,36485
2012/06/28,34607
2012/06/29,33861
2012/06/30,32895
2012/07/01,32297
2012/07/02,34443
2012/07/03,34571
2012/07/04,33103
2012/07/05,30513
2012/07/06,29931
2012/07/07,30435
2012/07/08,29174
2012/07/09,30728
2012/07/10,33880
2012/07/11,34616
2012/07/12,34424
2012/07/13,32894
2012/07/14,31396
2012/07/15,30890
2012/07/16,33845
2012/07/17,37056
2012/07/18,35671
2012/07/19,35990
2012/07/20,36054
2012/07/21,35816
2012/07/22,37385
2012/07/23,39712
2012/07/24,39063
2012/07/25,35311
2012/07/26,33076
2012/07/27,32685
2012/07/28,35656
2012/07/29,35817
2012/07/30,36003
2012/07/31,47389
2012/08/01,44056
2012/08/02,43091
2012/08/03,39726
2012/08/04,37805
2012/08/05,37822
2012/08/06,40086
2012/08/07,39628
2012/08/08,45794
2012/08/09,43088
2012/08/10,40848
2012/08/11,39628
2012/08/12,39346
2012/08/13,43968
2012/08/14,43421
2012/08/15,46913
2012/08/16,54310
2012/08/17,55535
2012/08/18,53572
2012/08/19,55849
2012/08/20,51630
2012/08/21,53012
2012/08/22,51267
2012/08/23,47507
2012/08/24,46268
2012/08/25,41439
2012/08/26,38070
2012/08/27,38258
2012/08/28,39086
2012/08/29,39229
2012/08/30,36668
