Date,size
2012/08/02,87035
2012/08/03,72927
2012/08/04,81488
2012/08/05,98312
2012/08/06,102186
2012/08/07,71157
2012/08/08,99287
2012/08/09,76925
2012/08/10,73710
2012/08/11,77927
2012/08/12,88395
2012/08/13,127474
2012/08/14,94840
2012/08/15,144034
2012/08/16,127816
2012/08/17,126018
2012/08/18,100598
2012/08/19,100094
2012/08/20,91600
2012/08/21,98937
2012/08/22,100290
2012/08/23,77018
2012/08/24,87551
2012/08/25,98778
2012/08/26,68226
2012/08/27,95069
2012/08/28,83525
2012/08/29,81746
2012/08/30,91435
2012/08/31,118322
2012/09/01,104020
2012/09/02,86506
2012/09/03,103671
2012/09/04,116016
2012/09/05,99142
2012/09/06,104105
2012/09/07,83362
2012/09/08,92079
2012/09/09,81102
2012/09/10,95123
2012/09/11,111317
2012/09/12,78051
2012/09/13,100008
2012/09/14,99836
2012/09/15,81304
2012/09/16,81151
2012/09/17,64516
2012/09/18,85334
2012/09/19,99567
2012/09/20,85026
2012/09/21,81374
2012/09/22,72416
2012/09/23,80771
2012/09/24,85627
2012/09/25,70887
2012/09/26,103166
2012/09/27,77634
2012/09/28,93239
2012/09/29,67459
2012/09/30,63506
2012/10/01,95028
2012/10/02,104349
2012/10/03,101900
2012/10/04,119605
2012/10/05,117049
2012/10/06,99580
2012/10/07,130085
2012/10/08,96948
2012/10/09,115034
2012/10/10,95327
2012/10/11,91182
2012/10/12,89658
2012/10/13,102843
2012/10/14,102180
2012/10/15,86187
2012/10/16,104552
2012/10/17,111723
2012/10/18,92073
2012/10/19,93830
2012/10/20,92685
2012/10/21,114788
2012/10/22,119971
2012/10/23,121230
2012/10/24,94807
2012/10/25,92690
2012/10/26,65681
2012/10/27,46146
2012/10/28,52842
2012/10/29,72324
2012/10/30,97035
2012/10/31,92366
2012/11/01,80890
2012/11/02,92651
2012/11/03,74946
2012/11/04,73932
2012/11/05,96486
2012/11/06,108766
2012/11/07,106326
2012/11/08,98842
2012/11/09,77210
2012/11/10,88750
2012/11/11,71260
2012/11/12,83471
2012/11/13,87361
2012/11/14,93186
2012/11/15,120487
2012/11/16,123691
2012/11/17,119093
2012/11/18,105856
2012/11/19,113879
2012/11/20,112396
2012/11/21,121577
2012/11/22,99509
2012/11/23,100111
2012/11/24,90369
2012/11/25,118339
2012/11/26,107870
2012/11/27,89049
2012/11/28,99478
2012/11/29,104785
2012/11/30,106558
2012/12/01,91680
2012/12/02,68086
2012/12/03,70341
2012/12/04,137240
2012/12/05,134781
2012/12/06,130655
2012/12/07,111535
2012/12/08,105632
2012/12/09,116731
2012/12/10,119403
2012/12/11,118156
2012/12/12,130936
2012/12/13,150811
2012/12/14,168135
2012/12/15,124158
2012/12/16,143156
2012/12/17,131780
2012/12/18,182955
2012/12/19,136866
2012/12/20,155045
2012/12/21,153397
2012/12/22,139437
2012/12/23,134116
2012/12/24,135453
2012/12/25,100978
2012/12/26,117559
2012/12/27,131259
2012/12/28,126606
2012/12/29,125023
2012/12/30,115023
2012/12/31,88469
2013/01/01,89033
2013/01/02,114077
2013/01/03,108023
2013/01/04,141811
2013/01/05,118240
2013/01/06,100608
2013/01/07,105401
2013/01/08,149304
2013/01/09,148337
2013/01/10,163683
2013/01/11,187176
2013/01/12,163098
2013/01/13,162367
2013/01/14,127110
2013/01/15,158297
2013/01/16,180738
2013/01/17,199981
2013/01/18,185202
2013/01/19,159641
2013/01/20,140579
2013/01/21,139503
2013/01/22,144785
2013/01/23,174300
2013/01/24,150792
2013/01/25,164142
2013/01/26,152095
2013/01/27,162121
2013/01/28,168341
2013/01/29,157297
2013/01/30,127368
2013/01/31,124484
2013/02/01,179045
2013/02/02,158622
2013/02/03,149217
2013/02/04,153462
2013/02/05,141625
2013/02/06,129281
2013/02/07,177722
2013/02/08,180315
2013/02/09,179295
2013/02/10,153941
2013/02/11,164838
2013/02/12,192455
2013/02/13,158338
2013/02/14,157823
2013/02/15,145857
2013/02/16,124879
2013/02/17,126013
2013/02/18,143939
2013/02/19,160437
2013/02/20,149348
2013/02/21,142209
2013/02/22,166975
2013/02/23,163090
2013/02/24,159389
2013/02/25,149724
2013/02/26,174688
2013/02/27,145754
2013/02/28,173582
2013/03/01,196538
2013/03/02,180356
2013/03/03,157083
2013/03/04,164681
2013/03/05,194496
2013/03/06,194518
2013/03/07,201829
2013/03/08,161434
2013/03/09,156831
2013/03/10,185355
2013/03/11,170464
2013/03/12,179911
2013/03/13,167512
2013/03/14,155957
2013/03/15,172576
2013/03/16,100949
2013/03/17,80898
2013/03/18,107548
2013/03/19,132453
2013/03/20,104037
2013/03/21,127024
2013/03/22,130647
2013/03/23,125187
2013/03/24,129939
2013/03/25,168571
2013/03/26,161379
2013/03/27,190689
2013/03/28,175259
2013/03/29,177820
2013/03/30,187744
2013/03/31,147829
2013/04/01,139256
2013/04/02,175443
2013/04/03,184209
2013/04/04,221568
2013/04/05,190067
2013/04/06,158566
2013/04/07,205411
2013/04/08,195118
2013/04/09,179129
2013/04/10,168442
2013/04/11,216494
2013/04/12,163776
2013/04/13,145189
2013/04/14,175169
2013/04/15,161887
2013/04/16,181191
2013/04/17,163802
2013/04/18,144419
2013/04/19,211591
2013/04/20,157408
2013/04/21,123053
2013/04/22,147050
2013/04/23,174451
2013/04/24,209559
2013/04/25,175633
2013/04/26,157591
2013/04/27,147139
2013/04/28,121938
2013/04/29,147484
2013/04/30,181411
2013/05/01,170298
2013/05/02,196845
2013/05/03,182394
2013/05/04,157886
