Date,sentbyaddress3rsi
2012/05/22,38.544
2012/05/23,53.579
2012/05/24,45.467
2012/05/25,59.661
2012/05/26,28.384
2012/05/27,39.765
2012/05/28,64.219
2012/05/29,76.438
2012/05/30,42.455
2012/05/31,39.669
2012/06/01,51.54
2012/06/02,14.545
2012/06/03,65.283
2012/06/04,79.04
2012/06/05,80.409
2012/06/06,29.394
2012/06/07,52.612
2012/06/08,40.248
2012/06/09,51.076
2012/06/10,61.658
2012/06/11,49.742
2012/06/12,24.652
2012/06/13,74.083
2012/06/14,75.719
2012/06/15,67.414
2012/06/16,45.033
2012/06/17,45.306
2012/06/18,40.02
2012/06/19,24.585
2012/06/20,17.151
2012/06/21,12.721
2012/06/22,12.102
2012/06/23,11.611
2012/06/24,9.852
2012/06/25,71.143
2012/06/26,81.245
2012/06/27,86.697
2012/06/28,40.718
2012/06/29,42.434
2012/06/30,34.746
2012/07/01,21.161
2012/07/02,69.731
2012/07/03,50.05
2012/07/04,35.377
2012/07/05,24.721
2012/07/06,35.367
2012/07/07,63.849
2012/07/08,33.617
2012/07/09,59.545
2012/07/10,77.182
2012/07/11,57.513
2012/07/12,50.497
2012/07/13,33.024
2012/07/14,32
2012/07/15,38.728
2012/07/16,80.538
2012/07/17,86.331
2012/07/18,43.884
2012/07/19,43.476
2012/07/20,64.094
2012/07/21,56.088
2012/07/22,74.99
2012/07/23,79.807
2012/07/24,33.895
2012/07/25,22.104
2012/07/26,21.021
2012/07/27,39.195
2012/07/28,74.535
2012/07/29,46.085
2012/07/30,56.333
2012/07/31,89.54
2012/08/01,45.909
2012/08/02,48.627
2012/08/03,37.622
2012/08/04,34.05
2012/08/05,47.179
2012/08/06,68.159
2012/08/07,52.821
2012/08/08,77.117
2012/08/09,38.6
2012/08/10,39.144
2012/08/11,38.438
2012/08/12,50.088
2012/08/13,81.685
2012/08/14,45.666
2012/08/15,62.535
2012/08/16,81.995
2012/08/17,64.03
2012/08/18,47.148
2012/08/19,30.999
2012/08/20,28.581
2012/08/21,64.562
2012/08/22,49.281
2012/08/23,35.32
2012/08/24,36.324
2012/08/25,17.749
2012/08/26,14.413
2012/08/27,44.194
2012/08/28,44.108
2012/08/29,58.588
2012/08/30,29.754
2012/08/31,77.5
2012/09/01,62.297
2012/09/02,32.446
2012/09/03,29.471
2012/09/04,58.112
2012/09/05,64.493
2012/09/06,74.934
2012/09/07,44.591
2012/09/08,25.64
2012/09/09,49.584
2012/09/10,42.558
2012/09/11,69.237
2012/09/12,35.461
2012/09/13,33.03
2012/09/14,52.95
2012/09/15,29.309
2012/09/16,31.586
