Date,sentinusd90wmaUSD
2012/06/05,9935088
2012/06/06,10066874
2012/06/07,10483682
2012/06/08,10980698
2012/06/09,10967589
2012/06/10,11180488
2012/06/11,11360743
2012/06/12,11487659
2012/06/13,11603498
2012/06/14,12036290
2012/06/15,12303543
2012/06/16,12644631
2012/06/17,12624196
2012/06/18,12751823
2012/06/19,12829052
2012/06/20,12850730
2012/06/21,12777038
2012/06/22,12880778
2012/06/23,13082218
2012/06/24,13115933
2012/06/25,13134041
2012/06/26,13137978
2012/06/27,13183666
2012/06/28,13448463
2012/06/29,13570744
2012/06/30,13525935
2012/07/01,13473288
2012/07/02,13391874
2012/07/03,13347662
2012/07/04,13418780
2012/07/05,13454845
2012/07/06,13397526
2012/07/07,13747257
2012/07/08,13603616
2012/07/09,13661187
2012/07/10,13731673
2012/07/11,13643883
2012/07/12,13594005
2012/07/13,13731205
2012/07/14,13864764
2012/07/15,13808885
2012/07/16,13902931
2012/07/17,14097482
2012/07/18,14121900
2012/07/19,14065519
2012/07/20,14087657
2012/07/21,14250943
2012/07/22,14276396
2012/07/23,14379776
2012/07/24,14404696
2012/07/25,14294961
2012/07/26,14435037
2012/07/27,14552379
2012/07/28,14580915
2012/07/29,14481570
2012/07/30,14353261
2012/07/31,14641773
2012/08/01,14787478
2012/08/02,14851952
2012/08/03,14857804
2012/08/04,14856740
2012/08/05,14990784
2012/08/06,15123692
2012/08/07,15255930
2012/08/08,15313656
2012/08/09,15317387
2012/08/10,15384157
2012/08/11,15427376
2012/08/12,15480658
2012/08/13,15610976
2012/08/14,15657892
2012/08/15,15794061
2012/08/16,16039994
2012/08/17,16430731
2012/08/18,16621943
2012/08/19,17533119
2012/08/20,19065786
2012/08/21,19873278
2012/08/22,21147052
2012/08/23,22387605
2012/08/24,24469388
2012/08/25,25032896
2012/08/26,25337737
2012/08/27,26355379
2012/08/28,27502785
2012/08/29,30527932
2012/08/30,32735351
2012/08/31,34241814
2012/09/01,35591696
2012/09/02,36316060
2012/09/03,36553014
2012/09/04,37426765
2012/09/05,38971422
2012/09/06,43655797
2012/09/07,47450662
2012/09/08,48551729
2012/09/09,48738363
2012/09/10,52576996
2012/09/11,56760658
2012/09/12,58601162
2012/09/13,63322777
2012/09/14,66961811
2012/09/15,67762761
2012/09/16,70388820
2012/09/17,72754167
2012/09/18,75119180
2012/09/19,82540986
2012/09/20,85679497
2012/09/21,91467293
2012/09/22,94137321
2012/09/23,94861020
2012/09/24,95630961
2012/09/25,94692226
2012/09/26,93742546
2012/09/27,92704485
2012/09/28,91998197
2012/09/29,90938712
2012/09/30,89911285
2012/10/01,88933891
2012/10/02,88064799
2012/10/03,86998639
2012/10/04,85914182
2012/10/05,85229774
2012/10/06,84352430
2012/10/07,83399643
2012/10/08,82421850
2012/10/09,81340673
2012/10/10,80135337
2012/10/11,79029995
2012/10/12,78290668
2012/10/13,77567586
2012/10/14,76485268
2012/10/15,75262335
2012/10/16,74537500
2012/10/17,73959647
2012/10/18,73391525
2012/10/19,72633346
2012/10/20,71868161
2012/10/21,71004739
2012/10/22,70118883
2012/10/23,69312927
2012/10/24,68326204
2012/10/25,67211091
2012/10/26,65980159
2012/10/27,64888277
2012/10/28,63632862
2012/10/29,62397148
2012/10/30,61908189
2012/10/31,61348478
2012/11/01,60493445
2012/11/02,59213317
2012/11/03,58178247
2012/11/04,57226914
2012/11/05,56288587
2012/11/06,55255094
2012/11/07,54213791
2012/11/08,53048660
2012/11/09,51776225
2012/11/10,50400697
2012/11/11,49025246
2012/11/12,47672725
2012/11/13,46405792
2012/11/14,45251555
2012/11/15,44432373
2012/11/16,43897409
2012/11/17,43113950
2012/11/18,42185549
2012/11/19,41093985
2012/11/20,40059981
2012/11/21,38878273
2012/11/22,37854576
2012/11/23,36780563
2012/11/24,35723189
2012/11/25,34566429
2012/11/26,33514671
2012/11/27,32553018
2012/11/28,31743731
2012/11/29,30788776
2012/11/30,29748417
2012/12/01,28679867
2012/12/02,27734997
2012/12/03,26987464
2012/12/04,26487692
2012/12/05,26124209
2012/12/06,25927213
2012/12/07,25434355
2012/12/08,24647142
2012/12/09,23980802
2012/12/10,23246076
2012/12/11,22730506
2012/12/12,22833893
2012/12/13,23076769
2012/12/14,23079721
2012/12/15,22712406
2012/12/16,22414918
2012/12/17,22136813
2012/12/18,22059453
2012/12/19,21712522
2012/12/20,21354534
2012/12/21,21292179
2012/12/22,21180013
2012/12/23,20941479
2012/12/24,20771816
2012/12/25,20476647
2012/12/26,20189912
2012/12/27,19952531
2012/12/28,19797426
2012/12/29,19628234
2012/12/30,19395707
2012/12/31,19294474
2013/01/01,19267278
2013/01/02,19349391
2013/01/03,19364820
2013/01/04,19572300
2013/01/05,19719637
2013/01/06,19573138
2013/01/07,19535841
2013/01/08,19698061
2013/01/09,19734108
2013/01/10,19663073
2013/01/11,19600224
2013/01/12,19422302
2013/01/13,19231945
2013/01/14,19114077
2013/01/15,19281860
2013/01/16,19522434
2013/01/17,19654828
2013/01/18,19752111
2013/01/19,19802474
2013/01/20,19736175
2013/01/21,19676233
2013/01/22,19737956
2013/01/23,20171223
2013/01/24,20263648
2013/01/25,20364890
2013/01/26,20397044
2013/01/27,20487418
2013/01/28,20654526
2013/01/29,21140958
2013/01/30,21409303
2013/01/31,21609522
2013/02/01,21927191
2013/02/02,22001983
2013/02/03,22094751
2013/02/04,22301852
2013/02/05,22692355
2013/02/06,23031588
2013/02/07,23329531
2013/02/08,23853872
2013/02/09,24168628
2013/02/10,24338784
2013/02/11,24489280
2013/02/12,24591337
2013/02/13,24644679
2013/02/14,24919759
2013/02/15,25119416
2013/02/16,25324952
2013/02/17,25417446
2013/02/18,25571913
2013/02/19,25844239
2013/02/20,26013063
2013/02/21,26118699
2013/02/22,26550773
2013/02/23,26689508
2013/02/24,27165193
2013/02/25,27745042
2013/02/26,28054026
2013/02/27,28442711
2013/02/28,28845426
2013/03/01,29316083
2013/03/02,29745151
2013/03/03,29728600
2013/03/04,29795900
2013/03/05,30690353
2013/03/06,31861370
2013/03/07,32498045
2013/03/08,32912892
2013/03/09,33159655
2013/03/10,33655936
2013/03/11,33930494
2013/03/12,34651842
2013/03/13,35325290
2013/03/14,35635788
2013/03/15,39997651
2013/03/16,41463268
2013/03/17,41525669
2013/03/18,44553356
2013/03/19,45858795
2013/03/20,47336286
2013/03/21,49130568
2013/03/22,50183671
2013/03/23,51038260
2013/03/24,51421002
2013/03/25,52657913
2013/03/26,54231924
2013/03/27,57698070
2013/03/28,59859205
2013/03/29,61406030
2013/03/30,63724311
2013/03/31,65561789
2013/04/01,67298533
2013/04/02,71854377
2013/04/03,76240859
2013/04/04,80005491
2013/04/05,83741950
2013/04/06,85896295
2013/04/07,87347514
2013/04/08,90590471
2013/04/09,96300581
2013/04/10,104318360
2013/04/11,106957011
2013/04/12,108366064
2013/04/13,108876552
2013/04/14,108527101
2013/04/15,108519599
2013/04/16,109538802
2013/04/17,110560936
2013/04/18,120863373
2013/04/19,123184021
2013/04/20,123596287
2013/04/21,123920859
2013/04/22,125802803
2013/04/23,127806723
2013/04/24,131080266
2013/04/25,133794102
2013/04/26,134901614
2013/04/27,134827952
2013/04/28,134029244
2013/04/29,134259700
2013/04/30,133773814
2013/05/01,133928326
2013/05/02,133643592
2013/05/03,132929153
2013/05/04,131577847
2013/05/05,130564891
2013/05/06,130129525
2013/05/07,129931486
2013/05/08,129381378
2013/05/09,128422290
2013/05/10,127799024
2013/05/11,126881325
2013/05/12,125667004
2013/05/13,124958572
2013/05/14,124197630
2013/05/15,123268023
2013/05/16,122307325
2013/05/17,121575620
2013/05/18,120649134
2013/05/19,119199418
2013/05/20,118015070
2013/05/21,117125785
2013/05/22,116390698
2013/05/23,115587153
2013/05/24,115054390
2013/05/25,114393351
2013/05/26,112930060
2013/05/27,112127998
2013/05/28,111403212
2013/05/29,110787236
2013/05/30,109899590
2013/05/31,109058893
2013/06/01,107767244
2013/06/02,106289073
2013/06/03,105614749
2013/06/04,104634603
2013/06/05,103744760
2013/06/06,103047665
2013/06/07,102067049
2013/06/08,100391536
2013/06/09,99343995
2013/06/10,97855110
2013/06/11,96598098
2013/06/12,95282074
2013/06/13,94073242
2013/06/14,93118569
2013/06/15,91475692
2013/06/16,90021153
2013/06/17,88768307
2013/06/18,87676683
2013/06/19,86472786
2013/06/20,85620395
2013/06/21,84688907
2013/06/22,83159631
2013/06/23,81417928
2013/06/24,80240275
2013/06/25,79294749
2013/06/26,78173991
2013/06/27,76919252
2013/06/28,75841216
2013/06/29,74479422
2013/06/30,72948483
2013/07/01,72222843
2013/07/02,71276696
2013/07/03,70513010
2013/07/04,69813945
2013/07/05,69225429
2013/07/06,68132708
2013/07/07,67044374
2013/07/08,66341396
2013/07/09,66160640
2013/07/10,66030239
2013/07/11,66011550
2013/07/12,66039025
2013/07/13,65853729
2013/07/14,65078964
2013/07/15,64571737
2013/07/16,64546852
2013/07/17,64698690
2013/07/18,64814802
2013/07/19,64603256
2013/07/20,63832688
2013/07/21,63086805
2013/07/22,63079729
2013/07/23,63244314
2013/07/24,63329052
2013/07/25,63326996
2013/07/26,63304335
2013/07/27,62704191
2013/07/28,62392529
2013/07/29,62401341
2013/07/30,62953852
2013/07/31,63227038
2013/08/01,64146959
2013/08/02,64510867
2013/08/03,64388095
2013/08/04,63950111
2013/08/05,64188993
2013/08/06,64287008
2013/08/07,64474775
2013/08/08,64475730
2013/08/09,64264471
2013/08/10,63840627
2013/08/11,63248029
2013/08/12,63479857
2013/08/13,64672660
2013/08/14,65975374
2013/08/15,66158150
2013/08/16,66920208
2013/08/17,67437816
2013/08/18,67593272
2013/08/19,68352474
2013/08/20,68910031
2013/08/21,70269360
2013/08/22,70615315
2013/08/23,70973270
2013/08/24,70717189
2013/08/25,70447035
2013/08/26,70527330
2013/08/27,71121446
2013/08/28,71434800
2013/08/29,71611775
2013/08/30,72177199
2013/08/31,72392689
2013/09/01,72394263
2013/09/02,72617990
2013/09/03,73348515
2013/09/04,73958292
2013/09/05,74302559
2013/09/06,74443794
2013/09/07,74426219
2013/09/08,73844946
2013/09/09,73741741
2013/09/10,73681389
2013/09/11,73777922
2013/09/12,73936372
2013/09/13,74027207
2013/09/14,73827924
2013/09/15,73283358
2013/09/16,73445495
2013/09/17,73489455
2013/09/18,73825445
2013/09/19,74391294
2013/09/20,74658146
2013/09/21,74227496
2013/09/22,73863477
2013/09/23,74761216
2013/09/24,75499294
2013/09/25,75873567
2013/09/26,76099022
2013/09/27,76219335
2013/09/28,75966992
2013/09/29,75701897
2013/09/30,76173637
2013/10/01,77342150
2013/10/02,78411678
2013/10/03,78750874
2013/10/04,78976456
2013/10/05,78358281
2013/10/06,77706634
2013/10/07,77768168
2013/10/08,77805909
2013/10/09,78283291
2013/10/10,78404122
2013/10/11,78664472
2013/10/12,78655684
2013/10/13,78710964
2013/10/14,79366794
2013/10/15,80124972
2013/10/16,81268166
2013/10/17,81932692
2013/10/18,82963885
2013/10/19,84413606
2013/10/20,84982350
2013/10/21,86751258
2013/10/22,89280164
2013/10/23,91707877
2013/10/24,93734358
2013/10/25,102074317
2013/10/26,102472665
2013/10/27,102246813
2013/10/28,102623511
2013/10/29,107540784
2013/10/30,108274458
2013/10/31,108755127
2013/11/01,108997686
