Date,mining_profitability7roc
2012/10/08,15.86
2012/10/09,-22.182
2012/10/10,-0.559
2012/10/11,-12.532
2012/10/12,-4.492
2012/10/13,-13.051
2012/10/14,-0.445
2012/10/15,-3.591
2012/10/16,6.63
2012/10/17,-6.353
2012/10/18,10.978
2012/10/19,-17.157
2012/10/20,6.608
2012/10/21,6.705
2012/10/22,-10.338
2012/10/23,-14.121
2012/10/24,12.825
2012/10/25,-12.176
2012/10/26,11.187
2012/10/27,-24.006
2012/10/28,-6.939
2012/10/29,-14.563
2012/10/30,-6.834
2012/10/31,-18.374
2012/11/01,-9.378
2012/11/02,-13.427
2012/11/03,0.064
2012/11/04,-7.42
2012/11/05,3.129
2012/11/06,-0.304
2012/11/07,4.207
2012/11/08,-3.944
2012/11/09,5.617
2012/11/10,-6.469
2012/11/11,4.659
2012/11/12,-10.867
2012/11/13,12.755
2012/11/14,-9.866
2012/11/15,1.7
2012/11/16,6.199
2012/11/17,11.349
2012/11/18,-2.901
2012/11/19,27.408
2012/11/20,-2.684
2012/11/21,12.457
2012/11/22,4.606
2012/11/23,15.901
2012/11/24,2.571
2012/11/25,10.11
2012/11/26,-5.943
2012/11/27,4.495
2012/11/28,-11.675
2012/11/29,-47.294
2012/11/30,-60.102
2012/12/01,-40.901
2012/12/02,-53.145
2012/12/03,-49.652
2012/12/04,-52.558
2012/12/05,-35.281
2012/12/06,14.747
2012/12/07,18.157
2012/12/08,-5.32
2012/12/09,11.044
2012/12/10,14.792
2012/12/11,23.798
2012/12/12,-9.079
2012/12/13,1.564
2012/12/14,-5.761
2012/12/15,12.146
2012/12/16,0.307
2012/12/17,6.148
2012/12/18,-6.354
2012/12/19,10.693
2012/12/20,-10.485
2012/12/21,13.98
2012/12/22,6.599
2012/12/23,-14.732
2012/12/24,-5.197
2012/12/25,-1.067
2012/12/26,19.043
2012/12/27,19.717
2012/12/28,10.486
2012/12/29,-7.188
2012/12/30,54.583
2012/12/31,-1.13
2013/01/01,16.655
2013/01/02,-9.616
2013/01/03,2.507
2013/01/04,-3.38
2013/01/05,-4.14
2013/01/06,-7.908
2013/01/07,16.555
2013/01/08,-18.916
2013/01/09,-5.502
2013/01/10,0.107
2013/01/11,-13.791
2013/01/12,10.07
2013/01/13,-0.941
2013/01/14,-3.247
2013/01/15,5.687
2013/01/16,12.505
2013/01/17,-12.553
2013/01/18,27.277
2013/01/19,18.377
2013/01/20,1.388
2013/01/21,-2.791
2013/01/22,44.7
2013/01/23,6.212
2013/01/24,57.948
2013/01/25,9.383
2013/01/26,20.342
2013/01/27,25.161
2013/01/28,27.165
2013/01/29,18.881
2013/01/30,27.981
2013/01/31,18.198
2013/02/01,11.121
2013/02/02,0.317
2013/02/03,36.717
2013/02/04,6.8
2013/02/05,-3.468
2013/02/06,-7.51
2013/02/07,-7.596
2013/02/08,13.136
2013/02/09,6.942
2013/02/10,-5.662
2013/02/11,12.919
2013/02/12,12.274
2013/02/13,41.768
2013/02/14,4.023
2013/02/15,29.09
2013/02/16,20.238
2013/02/17,8.345
2013/02/18,-5.668
2013/02/19,7.578
2013/02/20,6.982
2013/02/21,5.656
2013/02/22,-4.508
2013/02/23,-6.681
2013/02/24,-6.451
2013/02/25,34.844
2013/02/26,2.096
2013/02/27,-6.285
2013/02/28,9.372
2013/03/01,-2.023
2013/03/02,-3.44
2013/03/03,5.509
2013/03/04,-10.659
2013/03/05,-4.494
2013/03/06,9.781
2013/03/07,21.517
2013/03/08,16.701
2013/03/09,36.889
2013/03/10,31.407
2013/03/11,20.264
2013/03/12,38.939
2013/03/13,8.149
2013/03/14,-1.548
2013/03/15,-6.688
2013/03/16,-8.195
2013/03/17,-6.263
2013/03/18,-3.994
2013/03/19,-7.02
2013/03/20,36.279
2013/03/21,35.19
2013/03/22,55.278
2013/03/23,40.062
2013/03/24,3.707
2013/03/25,4.305
2013/03/26,12.16
2013/03/27,-15.744
2013/03/28,11.226
2013/03/29,-7.114
2013/03/30,-0.705
2013/03/31,36.109
2013/04/01,49.29
2013/04/02,46.529
2013/04/03,53.077
2013/04/04,18.074
2013/04/05,53.899
2013/04/06,35.089
2013/04/07,35
2013/04/08,40.228
2013/04/09,67.105
2013/04/10,39.008
2013/04/11,-19.197
2013/04/12,-36.086
2013/04/13,-26.09
2013/04/14,-38.592
2013/04/15,-42.069
2013/04/16,-63.026
2013/04/17,-59.319
2013/04/18,-31.217
2013/04/19,-2.55
2013/04/20,4.425
2013/04/21,14.475
2013/04/22,3.348
2013/04/23,42.921
2013/04/24,49.216
2013/04/25,75.035
2013/04/26,16.943
2013/04/27,-6.619
2013/04/28,17.483
2013/04/29,19.822
2013/04/30,-9.387
2013/05/01,-15.12
2013/05/02,-37.322
2013/05/03,-30.382
2013/05/04,-12.031
2013/05/05,-19.439
2013/05/06,-24.869
2013/05/07,-12.91
2013/05/08,-15.529
2013/05/09,1.683
2013/05/10,14.35
2013/05/11,4.748
2013/05/12,-16.972
2013/05/13,-5.094
2013/05/14,-16.12
2013/05/15,-14.34
2013/05/16,-8.448
2013/05/17,-9.332
2013/05/18,-12.156
2013/05/19,-5.088
2013/05/20,-9.375
2013/05/21,20.568
2013/05/22,13.597
2013/05/23,16.088
2013/05/24,6.826
2013/05/25,7.725
2013/05/26,7.621
2013/05/27,16.122
2013/05/28,-7.187
2013/05/29,2.512
2013/05/30,-3.744
2013/05/31,-9.259
2013/06/01,4.578
2013/06/02,-7.708
2013/06/03,-4.427
2013/06/04,-1.675
2013/06/05,-24.648
2013/06/06,-31.229
2013/06/07,-26.374
2013/06/08,-34.619
2013/06/09,-36.085
2013/06/10,-35.529
2013/06/11,-28.2
2013/06/12,-8.62
2013/06/13,-15.434
2013/06/14,-8.896
2013/06/15,-17.236
2013/06/16,1.521
2013/06/17,-30.63
2013/06/18,-31.032
2013/06/19,-19.277
2013/06/20,-10.53
2013/06/21,-12.808
2013/06/22,-13.898
2013/06/23,-21.032
2013/06/24,9.065
2013/06/25,1.599
2013/06/26,-13.794
2013/06/27,-8.643
2013/06/28,-19.945
2013/06/29,-16.131
2013/06/30,-21.446
2013/07/01,-19.982
2013/07/02,-25.392
2013/07/03,-17.688
2013/07/04,-34.077
2013/07/05,-22.928
2013/07/06,-28.342
2013/07/07,-20.282
2013/07/08,-12.198
2013/07/09,-14.272
2013/07/10,-10.186
2013/07/11,-14.852
2013/07/12,-20.802
2013/07/13,11.42
2013/07/14,10.052
2013/07/15,-4.904
2013/07/16,2.387
2013/07/17,0.517
2013/07/18,3.874
2013/07/19,13.372
2013/07/20,-10.151
2013/07/21,0.015
2013/07/22,-21.256
2013/07/23,-25.797
2013/07/24,-18.432
2013/07/25,-11.771
2013/07/26,-11.679
2013/07/27,-5.781
2013/07/28,-23.418
2013/07/29,19.848
2013/07/30,26.938
2013/07/31,-1.446
2013/08/01,5.739
2013/08/02,11.044
2013/08/03,-17.891
2013/08/04,1.884
2013/08/05,-19.937
