Date,transactions3wma
2012/08/21,39137
2012/08/22,38884
2012/08/23,35440
2012/08/24,32901
2012/08/25,32635
2012/08/26,31125
2012/08/27,31806
2012/08/28,30717
2012/08/29,32408
2012/08/30,33175
2012/08/31,37169
2012/09/01,39428
2012/09/02,36997
2012/09/03,36951
2012/09/04,38161
2012/09/05,40089
2012/09/06,41593
2012/09/07,37690
2012/09/08,33722
2012/09/09,31548
2012/09/10,32347
2012/09/11,35418
2012/09/12,32244
2012/09/13,30108
2012/09/14,32267
2012/09/15,30353
2012/09/16,29154
2012/09/17,26074
2012/09/18,29129
2012/09/19,30976
2012/09/20,31704
2012/09/21,30814
2012/09/22,26176
2012/09/23,26236
2012/09/24,27442
2012/09/25,26338
2012/09/26,28989
2012/09/27,28857
2012/09/28,31079
2012/09/29,27480
2012/09/30,23631
2012/10/01,23105
2012/10/02,27983
2012/10/03,28278
2012/10/04,30543
2012/10/05,33368
2012/10/06,33751
2012/10/07,34179
2012/10/08,35970
2012/10/09,36099
2012/10/10,33647
2012/10/11,30017
2012/10/12,28634
2012/10/13,30577
2012/10/14,29382
2012/10/15,30001
2012/10/16,32013
2012/10/17,32433
2012/10/18,30337
2012/10/19,27254
2012/10/20,28231
2012/10/21,34634
2012/10/22,40103
2012/10/23,37062
2012/10/24,33816
2012/10/25,29422
2012/10/26,25171
2012/10/27,19799
2012/10/28,17906
2012/10/29,19294
2012/10/30,25383
2012/10/31,27564
2012/11/01,26055
2012/11/02,26859
2012/11/03,25409
2012/11/04,24799
2012/11/05,28020
2012/11/06,30625
2012/11/07,34116
2012/11/08,33547
2012/11/09,29310
2012/11/10,27194
2012/11/11,24860
2012/11/12,24182
2012/11/13,25321
2012/11/14,27838
2012/11/15,33152
2012/11/16,37100
2012/11/17,35544
2012/11/18,34345
2012/11/19,35118
2012/11/20,36280
2012/11/21,37824
2012/11/22,34468
2012/11/23,32830
2012/11/24,30638
2012/11/25,33515
2012/11/26,34995
2012/11/27,31754
2012/11/28,33660
2012/11/29,35571
2012/11/30,33416
2012/12/01,32750
2012/12/02,26279
2012/12/03,23131
2012/12/04,26703
2012/12/05,31144
2012/12/06,35094
2012/12/07,33954
2012/12/08,33361
2012/12/09,32315
2012/12/10,34189
2012/12/11,35666
2012/12/12,36528
2012/12/13,39500
2012/12/14,39683
2012/12/15,36158
2012/12/16,34917
2012/12/17,37616
2012/12/18,44373
2012/12/19,45692
2012/12/20,41064
2012/12/21,41603
2012/12/22,46340
2012/12/23,42752
2012/12/24,38712
2012/12/25,32405
2012/12/26,33752
2012/12/27,38729
2012/12/28,44084
2012/12/29,41900
2012/12/30,43119
2012/12/31,36374
2013/01/01,33383
2013/01/02,35202
2013/01/03,39456
2013/01/04,44814
2013/01/05,42897
2013/01/06,37665
2013/01/07,37596
2013/01/08,38099
2013/01/09,41047
2013/01/10,46965
2013/01/11,50957
2013/01/12,49051
2013/01/13,48609
2013/01/14,46229
2013/01/15,45470
2013/01/16,49117
2013/01/17,49311
2013/01/18,49422
2013/01/19,52346
2013/01/20,47462
2013/01/21,43238
2013/01/22,42114
2013/01/23,44530
2013/01/24,45818
2013/01/25,47301
2013/01/26,49907
2013/01/27,53097
2013/01/28,53139
2013/01/29,52327
2013/01/30,46387
2013/01/31,48000
2013/02/01,53609
2013/02/02,55474
2013/02/03,58466
2013/02/04,56799
2013/02/05,55070
2013/02/06,48096
2013/02/07,53553
2013/02/08,57814
2013/02/09,59241
2013/02/10,57472
2013/02/11,57079
2013/02/12,57731
2013/02/13,58503
2013/02/14,54764
2013/02/15,54480
2013/02/16,52574
2013/02/17,51050
2013/02/18,50130
2013/02/19,52159
