Date,transactions30ema
2013/10/21,52773
2013/10/22,53549
2013/10/23,53649
2013/10/24,54279
2013/10/25,54470
2013/10/26,54025
2013/10/27,53346
2013/10/28,53190
2013/10/29,52970
2013/10/30,52665
2013/10/31,53008
2013/11/01,52501
2013/11/02,51629
2013/11/03,50605
2013/11/04,50264
2013/11/05,50339
2013/11/06,50630
2013/11/07,51260
2013/11/08,51765
2013/11/09,51977
2013/11/10,52325
2013/11/11,52641
2013/11/12,52993
2013/11/13,53749
2013/11/14,54747
2013/11/15,55134
2013/11/16,54608
2013/11/17,54384
2013/11/18,55965
2013/11/19,58338
2013/11/20,59567
2013/11/21,60348
2013/11/22,61408
2013/11/23,62115
2013/11/24,62024
2013/11/25,62643
2013/11/26,63971
2013/11/27,65996
2013/11/28,68108
2013/11/29,69515
2013/11/30,69870
2013/12/01,70004
2013/12/02,70352
2013/12/03,70811
2013/12/04,71369
2013/12/05,72127
2013/12/06,72111
2013/12/07,71815
2013/12/08,70232
2013/12/09,69795
2013/12/10,69642
2013/12/11,69481
2013/12/12,68744
2013/12/13,68176
2013/12/14,67252
2013/12/15,66276
2013/12/16,66464
2013/12/17,66533
2013/12/18,67487
2013/12/19,67652
2013/12/20,67475
2013/12/21,66729
2013/12/22,65826
2013/12/23,65069
2013/12/24,64465
2013/12/25,63871
2013/12/26,63047
2013/12/27,62366
2013/12/28,61430
2013/12/29,60767
2013/12/30,60423
2013/12/31,59665
2014/01/01,58581
2014/01/02,58326
2014/01/03,58487
2014/01/04,58063
2014/01/05,58089
2014/01/06,58675
2014/01/07,58937
2014/01/08,59086
2014/01/09,59069
2014/01/10,58741
2014/01/11,58541
2014/01/12,58011
2014/01/13,57707
2014/01/14,57675
2014/01/15,57917
2014/01/16,57827
2014/01/17,57895
2014/01/18,57475
2014/01/19,56854
2014/01/20,57238
2014/01/21,58217
2014/01/22,58696
2014/01/23,58999
2014/01/24,59413
2014/01/25,59044
2014/01/26,58682
2014/01/27,59038
2014/01/28,59462
2014/01/29,59466
2014/01/30,59541
2014/01/31,59576
2014/02/01,59258
2014/02/02,58809
2014/02/03,58719
2014/02/04,59423
2014/02/05,59935
2014/02/06,60583
2014/02/07,61214
2014/02/08,61447
2014/02/09,61124
2014/02/10,61483
2014/02/11,61843
2014/02/12,61850
2014/02/13,62193
2014/02/14,63000
2014/02/15,62916
2014/02/16,62556
2014/02/17,62436
2014/02/18,62618
2014/02/19,63090
2014/02/20,63598
2014/02/21,63962
2014/02/22,63609
2014/02/23,63370
2014/02/24,64031
2014/02/25,65056
2014/02/26,65568
2014/02/27,65897
2014/02/28,66169
2014/03/01,65981
2014/03/02,65369
2014/03/03,66385
2014/03/04,67551
2014/03/05,67853
2014/03/06,68014
2014/03/07,68283
2014/03/08,68034
2014/03/09,67643
2014/03/10,67843
2014/03/11,68371
2014/03/12,68874
2014/03/13,69117
2014/03/14,69205
2014/03/15,68620
2014/03/16,68010
2014/03/17,67896
2014/03/18,66999
2014/03/19,67428
2014/03/20,67647
2014/03/21,67986
2014/03/22,67890
2014/03/23,67226
2014/03/24,67456
2014/03/25,67732
2014/03/26,67759
2014/03/27,68004
2014/03/28,67933
2014/03/29,66975
2014/03/30,66313
2014/03/31,66220
2014/04/01,66074
2014/04/02,66116
2014/04/03,66161
2014/04/04,66118
2014/04/05,65441
2014/04/06,64436
2014/04/07,64515
2014/04/08,64721
2014/04/09,64738
2014/04/10,64940
2014/04/11,64981
2014/04/12,63858
2014/04/13,63027
2014/04/14,63479
2014/04/15,64069
2014/04/16,64351
2014/04/17,64394
2014/04/18,63906
2014/04/19,63226
2014/04/20,62299
2014/04/21,62018
2014/04/22,63042
2014/04/23,63735
