Date,fee_to_reward3rocUSD
2012/02/17,-78.572
2012/02/18,-56.48
2012/02/19,-76.668
2012/02/20,23.566
2012/02/21,34.964
2012/02/22,27.337
2012/02/23,2.456
2012/02/24,11.623
2012/02/25,-11.477
2012/02/26,-23.901
2012/02/27,24.269
2012/02/28,26.735
2012/02/29,-16.71
2012/03/01,20.914
2012/03/02,38.905
2012/03/03,14.142
2012/03/04,-20.912
2012/03/05,6.768
2012/03/06,62.131
2012/03/07,-25.696
2012/03/08,-26.798
2012/03/09,-30.069
2012/03/10,2.502
2012/03/11,-16.81
2012/03/12,-7.771
2012/03/13,163.619
2012/03/14,73.313
2012/03/15,30.687
2012/03/16,-18.41
2012/03/17,-44.301
2012/03/18,-31.965
2012/03/19,-48.77
2012/03/20,43.606
2012/03/21,5.553
2012/03/22,-27.309
2012/03/23,11.044
2012/03/24,280.892
2012/03/25,105.51
2012/03/26,-31.183
2012/03/27,-66.369
2012/03/28,-25.432
2012/03/29,36.919
2012/03/30,4.2
2012/03/31,-18.765
2012/04/01,-14.485
2012/04/02,25.885
2012/04/03,42.148
2012/04/04,33.011
2012/04/05,15.304
2012/04/06,-6.95
2012/04/07,-19.979
2012/04/08,-37.193
2012/04/09,-25.433
2012/04/10,64.706
2012/04/11,42.266
2012/04/12,86.007
2012/04/13,-29.786
2012/04/14,17.6
2012/04/15,-30.048
2012/04/16,19.388
2012/04/17,13.709
2012/04/18,38.381
2012/04/19,-6.289
2012/04/20,-5.697
2012/04/21,-32.564
2012/04/22,-6.49
2012/04/23,-32.329
2012/04/24,47.81
2012/04/25,24.54
2012/04/26,151.292
2012/04/27,7.436
2012/04/28,4.167
2012/04/29,-71.394
2012/04/30,-43.729
2012/05/01,-12.694
2012/05/02,101.941
2012/05/03,148.66
2012/05/04,63.094
2012/05/05,1.719
2012/05/06,-37.346
2012/05/07,21.92
2012/05/08,48.674
2012/05/09,88.481
2012/05/10,-13.596
2012/05/11,21.891
2012/05/12,0.072
2012/05/13,22.972
2012/05/14,131.704
2012/05/15,83.257
2012/05/16,27.063
2012/05/17,-49.323
2012/05/18,-24.635
2012/05/19,97.904
2012/05/20,43.054
2012/05/21,31.07
2012/05/22,-47.911
2012/05/23,1.365
2012/05/24,0.137
2012/05/25,43.246
2012/05/26,-25.097
2012/05/27,-28.748
2012/05/28,-13.751
2012/05/29,22.395
2012/05/30,30.177
2012/05/31,-33.683
2012/06/01,-19.67
2012/06/02,-68.746
2012/06/03,38.364
2012/06/04,71.136
2012/06/05,354.071
2012/06/06,-41.14
2012/06/07,-16.865
2012/06/08,-42.696
2012/06/09,79.236
2012/06/10,-0.921
