Date,sentinusd14varUSD
2019/12/02,758328200388431872
2019/12/03,750582796633300992
2019/12/04,5728578218691780608
2019/12/05,5883806579608649728
2019/12/06,1.0166363120205E+19
2019/12/07,1.075262010515E+19
2019/12/08,1.1397771589071E+19
2019/12/09,1.1489050249715E+19
2019/12/10,1.1504726038894E+19
2019/12/11,1.1611302165362E+19
2019/12/12,1.1516001132903E+19
2019/12/13,1.1735445879167E+19
2019/12/14,1.2220470518237E+19
2019/12/15,1.255879585707E+19
2019/12/16,1.2716297698152E+19
2019/12/17,1.3188887616392E+19
2019/12/18,7850213504715292672
2019/12/19,7800528667401334784
2019/12/20,1944836676046612480
2019/12/21,1890512955131619328
2019/12/22,1730751707022815232
2019/12/23,1733088905803532288
2019/12/24,1719554972720365568
2019/12/25,1796471556358309888
2019/12/26,1802221047800381440
2019/12/27,1790059262111975424
2019/12/28,1660683113727068160
2019/12/29,1628733506754004992
2019/12/30,1632065873673191424
2019/12/31,596106950614323200
2020/01/01,635926017260810240
2020/01/02,532081146784614400
2020/01/03,783205013133451264
2020/01/04,773392122026741760
2020/01/05,817297616682221568
2020/01/06,784115643751979008
2020/01/07,823526387472500736
2020/01/08,863937888398442496
2020/01/09,1848188179934996480
2020/01/10,1961442378917449728
2020/01/11,1948242238130583552
2020/01/12,1872164079659530240
2020/01/13,1847177263621865472
2020/01/14,2644948963760402432
2020/01/15,6006200021318500352
2020/01/16,5838743120861065216
2020/01/17,6002839367178100736
2020/01/18,6040364104635453440
2020/01/19,5799672313350823936
2020/01/20,5681544778279325696
2020/01/21,5678446928221433856
2020/01/22,5647790735820017664
2020/01/23,5315812036668649472
2020/01/24,5365713808952885248
2020/01/25,5487065422210818048
2020/01/26,5373028379444568064
2020/01/27,5290720512971087872
2020/01/28,4895966525486116864
2020/01/29,1299821252390187008
2020/01/30,1708180797017231360
2020/01/31,2318452723199324160
2020/02/01,2191653290513006592
2020/02/02,1939125913178550272
2020/02/03,2847333845058125824
2020/02/04,2737404236971991040
2020/02/05,2727653984625684480
2020/02/06,4080909423352332288
2020/02/07,3918044551128219648
2020/02/08,3170864207176613888
2020/02/09,2842673750013837312
2020/02/10,2608178849535008768
2020/02/11,2567754147066773504
2020/02/12,2524806156430893056
2020/02/13,2514837095170916352
2020/02/14,2280963715287662592
2020/02/15,2348184584065785856
2020/02/16,2128559259705155584
2020/02/17,2288785415112974336
2020/02/18,2322006281491144704
2020/02/19,2264199430441730048
2020/02/20,1376173037432619008
2020/02/21,1444884378963828736
2020/02/22,1879951624343633920
2020/02/23,1672406489065553920
2020/02/24,1712249860108042240
2020/02/25,1702187859924131840
2020/02/26,1719941160716460032
2020/02/27,1683930743664328704
2020/02/28,1670457953707843584
2020/02/29,2084646315574751232
2020/03/01,2646019612872142848
2020/03/02,1646349753111281664
2020/03/03,1675313144518344704
2020/03/04,1182202679657607168
2020/03/05,1070550680913174528
2020/03/06,1210280613726642176
2020/03/07,1155257252417978368
2020/03/08,1337024698782695424
2020/03/09,1477423719663779840
2020/03/10,1416245440811143168
2020/03/11,1457419807587627008
2020/03/12,3789342081955483648
2020/03/13,4286836606110756864
2020/03/14,4169707968357945344
2020/03/15,4270299879250964480
2020/03/16,4233284325103214592
2020/03/17,4171428101950160896
2020/03/18,4420660401997713408
2020/03/19,4527662022552133632
2020/03/20,4459554397556039680
2020/03/21,4883539344038690816
2020/03/22,4940690499569737728
2020/03/23,5014666780433502208
2020/03/24,5073826348046098432
2020/03/25,5158847774217760768
2020/03/26,2303677772803284992
2020/03/27,1172014244722192384
2020/03/28,1353839816944939008
2020/03/29,1421876809831094272
2020/03/30,1269873482475251712
2020/03/31,1190875913913757696
2020/04/01,1189180496551766016
2020/04/02,1181123399866034176
2020/04/03,930807768943624192
2020/04/04,833051212012990464
2020/04/05,961027325783683072
2020/04/06,1084863941384290304
2020/04/07,1181672237361827840
2020/04/08,1183635051855519744
2020/04/09,1440661877293594624
2020/04/10,1437704740171991040
2020/04/11,1426786623581917184
2020/04/12,1493348470682109952
2020/04/13,1511635876386834432
2020/04/14,1530943788560386048
2020/04/15,1531486334705577984
2020/04/16,1617687651623294976
2020/04/17,1613389946981269504
2020/04/18,1755238511683653632
2020/04/19,1771759430120597504
2020/04/20,1635435066351702016
2020/04/21,1071787485157455872
2020/04/22,1074349535847124992
2020/04/23,712203421633370112
2020/04/24,1325074370342678528
2020/04/25,1278976901762996224
2020/04/26,1200065551789742080
2020/04/27,1228341524539236352
2020/04/28,1212165962910160896
2020/04/29,2588673930299928576
2020/04/30,3868795488792735744
2020/05/01,3948565157914497024
2020/05/02,3771000659427037184
2020/05/03,3470099134742540288
2020/05/04,3389470763671764992
2020/05/05,3283403267243401216
2020/05/06,3233673116380950528
2020/05/07,3506805077872672768
2020/05/08,4183554667112583168
2020/05/09,3750107508458053632
2020/05/10,3197288484317188096
2020/05/11,3073092908681019392
2020/05/12,3001452877859291136
2020/05/13,2684047813301886976
2020/05/14,2132570510652469248
2020/05/15,2133312592240046080
2020/05/16,2096565458368909312
2020/05/17,2351809615360966656
2020/05/18,2332416887251542016
2020/05/19,2240253377736282112
2020/05/20,2266369653411119104
2020/05/21,2168113947858894848
2020/05/22,1585452755361841152
2020/05/23,1928487669134336000
2020/05/24,2017080872032292864
2020/05/25,2247981584026472448
2020/05/26,2014881024598061056
2020/05/27,1680883324407095296
2020/05/28,1648726074182516736
2020/05/29,1773120563637596160
2020/05/30,1803590613865566208
2020/05/31,1469890571673669632
2020/06/01,1684515052013981696
2020/06/02,2285940067965464576
2020/06/03,2228591569262743552
2020/06/04,2144659165097492480
2020/06/05,2182376077399773184
2020/06/06,2251654453622165504
2020/06/07,2566591275188654080
2020/06/08,2265094997713448960
2020/06/09,2234886905887682560
2020/06/10,2267904696786763776
2020/06/11,2393916137059282944
2020/06/12,2314594239476736000
2020/06/13,2481927233043648512
2020/06/14,2964445893302251520
2020/06/15,2733867897335885824
2020/06/16,1931016602075496448
2020/06/17,2026859919169503232
2020/06/18,1949727860208480256
2020/06/19,3629473508531458048
2020/06/20,3608723983765487616
2020/06/21,3694964550295781376
2020/06/22,3676032296714153984
2020/06/23,3917632236892610560
2020/06/24,3910282317869404160
2020/06/25,3964897369073844224
2020/06/26,4123751804547006464
2020/06/27,4085018579495895040
2020/06/28,3931017255900815360
2020/06/29,3936745166787047424
2020/06/30,3908181818550165504
2020/07/01,3886490818934317056
2020/07/02,3886996291885543424
2020/07/03,2206213695293202432
2020/07/04,2140631281135468544
2020/07/05,2083548131861680128
2020/07/06,2091939983836864512
2020/07/07,1807002460201222144
2020/07/08,1842354825366814720
2020/07/09,1547086855026581504
2020/07/10,1183702014156214272
2020/07/11,1164544806023073792
2020/07/12,984464996846632960
2020/07/13,1624297012849078272
2020/07/14,1631669141416742912
2020/07/15,1595854515617660928
2020/07/16,1588045010227019776
2020/07/17,1587565526859268096
2020/07/18,1552763929230192640
2020/07/19,1455522892128333824
2020/07/20,1445210222025138176
2020/07/21,1453801296726188032
2020/07/22,1442648156399337472
2020/07/23,1480580461045440512
2020/07/24,1484597920667054080
2020/07/25,1300002997173489664
2020/07/26,1277284404948135936
2020/07/27,1308944447376490496
2020/07/28,2019883692644564992
2020/07/29,2195164720656007168
2020/07/30,2424381922767482880
2020/07/31,2527548543552933888
2020/08/01,2162003224655040512
2020/08/02,1703784037291712512
2020/08/03,1836946649343238144
2020/08/04,1793018903352467456
2020/08/05,1793769373741809664
2020/08/06,2185376379438612480
2020/08/07,2172570745416622080
2020/08/08,1882432497165574144
2020/08/09,1713142046392025088
2020/08/10,1652101230455988224
2020/08/11,1502840117648261120
2020/08/12,1597590761949716480
2020/08/13,1587200725627084800
2020/08/14,1877266331431862272
2020/08/15,1857855302886498304
2020/08/16,1671807154653937664
2020/08/17,1830083352523317248
2020/08/18,2034537235553525760
2020/08/19,1922572974288437248
2020/08/20,1748387653086175232
2020/08/21,1750321882750459904
2020/08/22,1883615492636999680
2020/08/23,2267973891550748672
2020/08/24,2275421936911409152
2020/08/25,2241032806284640256
2020/08/26,2151923578057867264
2020/08/27,2142035690369327104
2020/08/28,1801807699496321024
2020/08/29,1970232905978855424
2020/08/30,2151029697728307200
2020/08/31,1965060668120555520
2020/09/01,1639199288077680640
2020/09/02,1778366692701134848
2020/09/03,1935007959405715456
2020/09/04,2325546661395742720
2020/09/05,2181949842881732608
2020/09/06,2139211610955300864
2020/09/07,2155294624991084544
2020/09/08,2202014009424125952
2020/09/09,2256596399937519616
2020/09/10,2265039112758157312
2020/09/11,2252528731174903808
2020/09/12,2521728840321081344
2020/09/13,2744512671616475136
2020/09/14,2466721905775316992
2020/09/15,2273754806965489664
2020/09/16,1949458343786045440
2020/09/17,1586493652798631936
2020/09/18,880683913519144960
2020/09/19,999752935808835584
2020/09/20,1038101996418232320
2020/09/21,1028633547880701952
2020/09/22,1160702991582429184
2020/09/23,1360083533844135936
2020/09/24,1590922743566028800
2020/09/25,1672944328538574848
2020/09/26,1727043763802177536
2020/09/27,1749208887596040192
2020/09/28,1748810969824522240
2020/09/29,1794111097458909184
2020/09/30,1852928491253628928
2020/10/01,1885032553031819264
2020/10/02,2399764137104646144
2020/10/03,2309977136726786048
2020/10/04,2301386971610189824
2020/10/05,2299663935696084992
2020/10/06,2253601140894212096
2020/10/07,2220053016869597184
2020/10/08,2101997605078196224
2020/10/09,2220022510381785088
2020/10/10,1819474043527184384
2020/10/11,1557177377480404992
2020/10/12,1575438360839372800
2020/10/13,1573680220010430464
2020/10/14,1549803196710588416
2020/10/15,1554603221446545408
