Date,sentinusdUSD
2013/03/12,61924251
2013/03/13,59903815
2013/03/14,43481222
2013/03/15,227868030
2013/03/16,98379554
2013/03/17,35367518
2013/03/18,170428621
2013/03/19,93622497
2013/03/20,102334024
2013/03/21,117756088
2013/03/22,85100400
2013/03/23,76818014
2013/03/24,56080244
2013/03/25,95421661
2013/03/26,111737889
2013/03/27,198986778
2013/03/28,141711056
2013/03/29,115186870
2013/03/30,151427698
2013/03/31,131125946
2013/04/01,127826531
2013/04/02,257306533
2013/04/03,252194497
2013/04/04,226470029
2013/04/05,227376421
2013/04/06,157618282
2013/04/07,127226834
2013/04/08,209959555
2013/04/09,324241653
2013/04/10,432598611
2013/04/11,192463385
2013/04/12,138461138
2013/04/13,98980843
2013/04/14,60826050
2013/04/15,76896248
2013/04/16,124159123
2013/04/17,125329936
2013/04/18,548689876
2013/04/19,191347126
2013/04/20,106398333
2013/04/21,103406588
2013/04/22,175229971
2013/04/23,182480908
2013/04/24,241842361
2013/04/25,218798349
2013/04/26,147871019
2013/04/27,95533900
2013/04/28,63338129
2013/04/29,110560621
2013/04/30,78727820
2013/05/01,108383140
2013/05/02,89278015
2013/05/03,70332745
2013/05/04,41872045
2013/05/05,57458342
2013/05/06,84045320
2013/05/07,95351737
2013/05/08,79989908
2013/05/09,61885986
2013/05/10,77351721
2013/05/11,64413654
2013/05/12,51301271
2013/05/13,74564292
2013/05/14,72700627
2013/05/15,65554034
2013/05/16,64475996
2013/05/17,75258648
2013/05/18,66876301
2013/05/19,43512417
2013/05/20,55737414
2013/05/21,69388155
2013/05/22,76830429
2013/05/23,74254762
2013/05/24,86918977
2013/05/25,81711332
2013/05/26,45607015
2013/05/27,75633075
2013/05/28,79555669
2013/05/29,84914132
2013/05/30,73009718
2013/05/31,75431480
2013/06/01,55241753
2013/06/02,47080357
2013/06/03,83847047
2013/06/04,70114385
2013/06/05,74109198
2013/06/06,83075105
2013/06/07,70578908
2013/06/08,39307053
2013/06/09,67749541
2013/06/10,47961592
2013/06/11,58356626
2013/06/12,55654391
2013/06/13,60666906
2013/06/14,70373331
2013/06/15,38748897
2013/06/16,47355820
2013/06/17,55165386
2013/06/18,62073715
2013/06/19,56517915
2013/06/20,71831011
