Date,sentbyaddress90roc
2013/11/03,-10.521
2013/11/04,18.267
2013/11/05,36.835
2013/11/06,40.95
2013/11/07,82.116
2013/11/08,81.69
2013/11/09,109.079
2013/11/10,-13.487
2013/11/11,23.449
2013/11/12,30.867
2013/11/13,42.372
2013/11/14,39.868
2013/11/15,74.71
2013/11/16,61.53
2013/11/17,10.815
2013/11/18,92.13
2013/11/19,127.823
2013/11/20,71.185
2013/11/21,84.61
2013/11/22,137.21
2013/11/23,150.758
2013/11/24,47.334
2013/11/25,55.221
2013/11/26,96.741
2013/11/27,149.597
2013/11/28,108.961
2013/11/29,109.163
2013/11/30,187.231
2013/12/01,158.517
2013/12/02,136.149
2013/12/03,127.925
2013/12/04,144.45
2013/12/05,160.962
2013/12/06,158.732
2013/12/07,176.236
