Date,confirmationtime90mom
2013/02/06,0.512
2013/02/07,-0.123
2013/02/08,-0.464
2013/02/09,0.274
2013/02/10,-1.965
2013/02/11,-1.229
2013/02/12,0.29
2013/02/13,-2.167
2013/02/14,-0.395
2013/02/15,-2.241
2013/02/16,-2.244
2013/02/17,-2.203
2013/02/18,-0.852
2013/02/19,-0.417
2013/02/20,-2.539
2013/02/21,-0.653
2013/02/22,-1.066
2013/02/23,-1.083
2013/02/24,0.059
2013/02/25,-2.671
2013/02/26,0.303
2013/02/27,-1.214
2013/02/28,-2.949
2013/03/01,0.851
2013/03/02,-0.139
2013/03/03,-0.852
2013/03/04,-4.812
2013/03/05,-1.444
2013/03/06,-1.221
2013/03/07,-2.163
2013/03/08,-1.435
2013/03/09,-2.908
2013/03/10,-2.201
2013/03/11,-1.22
2013/03/12,-0.41
2013/03/13,-1.82
2013/03/14,-5.54
2013/03/15,-4.042
2013/03/16,-4.744
2013/03/17,-3.856
2013/03/18,-3.941
2013/03/19,-1.67
2013/03/20,-6.76
2013/03/21,-4.823
2013/03/22,-3.124
2013/03/23,-5.167
2013/03/24,-3.29
2013/03/25,-1.613
2013/03/26,0.186
2013/03/27,1.762
2013/03/28,-0.652
2013/03/29,-1.724
2013/03/30,-0.351
2013/03/31,-0.593
2013/04/01,-1.616
2013/04/02,-1.456
2013/04/03,-0.66
2013/04/04,-0.061
2013/04/05,-1.099
2013/04/06,-1.097
2013/04/07,0.209
2013/04/08,-1.537
2013/04/09,-2.895
2013/04/10,-2.257
2013/04/11,-3.308
2013/04/12,-3.48
2013/04/13,-2.204
2013/04/14,0.24
2013/04/15,-3.12
2013/04/16,-2.857
2013/04/17,-4.552
2013/04/18,-2.105
2013/04/19,1.16
2013/04/20,-1.726
2013/04/21,-2.727
2013/04/22,-0.588
2013/04/23,-2.857
2013/04/24,-0.342
2013/04/25,-2.139
2013/04/26,-0.81
2013/04/27,0.259
2013/04/28,-1.66
2013/04/29,-0.838
2013/04/30,0.253
2013/05/01,2.075
2013/05/02,0.95
2013/05/03,1.099
2013/05/04,1.315
2013/05/05,-0.053
2013/05/06,0.052
2013/05/07,-1.292
2013/05/08,-0.623
2013/05/09,-0.756
2013/05/10,-1.698
2013/05/11,-1.032
2013/05/12,-0.485
2013/05/13,-2.084
2013/05/14,0.93
2013/05/15,0.676
2013/05/16,1.685
2013/05/17,1.325
2013/05/18,2.005
2013/05/19,0.287
2013/05/20,2.106
2013/05/21,2.075
2013/05/22,1.049
2013/05/23,-0.195
2013/05/24,-0.26
2013/05/25,-0.503
2013/05/26,1.776
2013/05/27,-0.493
2013/05/28,1.653
2013/05/29,0
2013/05/30,-1.429
2013/05/31,-1.702
2013/06/01,-2.184
2013/06/02,-0.809
2013/06/03,-3.599
2013/06/04,-2.53
2013/06/05,-1.174
2013/06/06,-1.044
2013/06/07,0.423
2013/06/08,0.087
2013/06/09,0.276
2013/06/10,-2.391
2013/06/11,-1.172
2013/06/12,-0.951
2013/06/13,-0.63
2013/06/14,-0.229
2013/06/15,1.434
2013/06/16,0.205
2013/06/17,1.46
2013/06/18,3.461
2013/06/19,3.983
2013/06/20,3.062
2013/06/21,1.935
2013/06/22,0.563
2013/06/23,-1.273
2013/06/24,0.064
2013/06/25,-1.82
2013/06/26,0.407
2013/06/27,0.347
2013/06/28,0.197
2013/06/29,0
2013/06/30,2.139
2013/07/01,1.216
2013/07/02,1.183
2013/07/03,-1.525
2013/07/04,-0.387
2013/07/05,-1.092
2013/07/06,-1.08
2013/07/07,-1.548
2013/07/08,-0.682
2013/07/09,0.245
2013/07/10,-1.615
2013/07/11,-0.048
2013/07/12,0.728
2013/07/13,-0.24
2013/07/14,-0.408
2013/07/15,0.645
2013/07/16,0.359
2013/07/17,-1.97
2013/07/18,-1.567
2013/07/19,-0.93
2013/07/20,-0.44
2013/07/21,-2.176
2013/07/22,0.156
2013/07/23,1.324
2013/07/24,0.685
2013/07/25,1.442
2013/07/26,-1.015
2013/07/27,-0.18
2013/07/28,0.296
2013/07/29,-1.575
2013/07/30,-2.227
2013/07/31,-3.167
2013/08/01,-2.375
2013/08/02,-1.557
2013/08/03,-0.257
2013/08/04,-0.63
2013/08/05,-0.952
2013/08/06,-1.148
2013/08/07,-1.039
2013/08/08,-1.348
2013/08/09,-0.527
2013/08/10,-1.714
2013/08/11,-1.609
2013/08/12,-2.684
2013/08/13,-2.344
2013/08/14,-1.158
2013/08/15,-0.474
2013/08/16,-1.093
2013/08/17,-1.652
2013/08/18,-3.74
2013/08/19,-1.401
2013/08/20,-1.652
2013/08/21,-0.929
2013/08/22,-1.854
2013/08/23,-1.38
2013/08/24,-0.966
2013/08/25,1.355
2013/08/26,-0.439
2013/08/27,-0.051
2013/08/28,0.045
2013/08/29,-0.61
2013/08/30,0.264
2013/08/31,-0.779
2013/09/01,-0.245
2013/09/02,-0.063
2013/09/03,-0.403
2013/09/04,0.879
2013/09/05,-0.899
2013/09/06,-0.172
2013/09/07,0.874
2013/09/08,0.896
2013/09/09,-0.906
2013/09/10,0.446
2013/09/11,-0.542
2013/09/12,-1.239
2013/09/13,-1.265
2013/09/14,-1.178
2013/09/15,-1.975
2013/09/16,-0.935
2013/09/17,-2.544
2013/09/18,-0.623
2013/09/19,-0.992
2013/09/20,-0.982
2013/09/21,-1.108
2013/09/22,-2.506
2013/09/23,-2.315
2013/09/24,-1.483
2013/09/25,-1.632
2013/09/26,0.368
2013/09/27,-0.431
2013/09/28,-1.276
2013/09/29,-0.701
2013/09/30,-0.577
2013/10/01,-0.126
2013/10/02,-1.188
2013/10/03,-0.506
2013/10/04,0.299
2013/10/05,-1.167
2013/10/06,0.284
2013/10/07,1.447
2013/10/08,1.559
2013/10/09,-0.231
2013/10/10,-1.851
2013/10/11,-1.388
2013/10/12,-1.643
2013/10/13,-2.265
2013/10/14,-3.02
2013/10/15,-2.288
2013/10/16,-2.087
2013/10/17,0.202
2013/10/18,-0.242
2013/10/19,-0.779
2013/10/20,-1.491
2013/10/21,-3.388
2013/10/22,-3.179
2013/10/23,-3.347
2013/10/24,-2.083
2013/10/25,-1.828
2013/10/26,-0.659
2013/10/27,-0.045
2013/10/28,0.919
2013/10/29,1.421
2013/10/30,-0.751
2013/10/31,-0.675
2013/11/01,-1.548
2013/11/02,-0.916
2013/11/03,-0.119
2013/11/04,-0.194
2013/11/05,0.534
2013/11/06,1.81
2013/11/07,2.615
2013/11/08,3.889
2013/11/09,3.063
