Date,confirmationtime3var
2013/01/17,0.655
2013/01/18,0.655
2013/01/19,2.308
2013/01/20,1.129
2013/01/21,0.604
2013/01/22,0.224
2013/01/23,0.349
2013/01/24,0.829
2013/01/25,0.812
2013/01/26,0.364
2013/01/27,0.298
2013/01/28,0.053
2013/01/29,0.079
2013/01/30,0.078
2013/01/31,0.736
2013/02/01,1.045
2013/02/02,1.045
2013/02/03,0.795
2013/02/04,0.474
2013/02/05,0.209
2013/02/06,0.304
2013/02/07,0.259
2013/02/08,0.045
2013/02/09,0.093
2013/02/10,0.211
2013/02/11,0.256
2013/02/12,0.413
2013/02/13,0.651
2013/02/14,0.631
2013/02/15,0.401
2013/02/16,0.676
2013/02/17,0.037
2013/02/18,0.379
2013/02/19,0.402
2013/02/20,0.529
2013/02/21,0.426
2013/02/22,0.18
2013/02/23,0.06
2013/02/24,0.097
2013/02/25,0.876
2013/02/26,0.849
2013/02/27,0.472
2013/02/28,0.302
2013/03/01,0.677
2013/03/02,0.319
2013/03/03,0.163
2013/03/04,0.593
2013/03/05,0.908
2013/03/06,0.895
2013/03/07,0.342
2013/03/08,0.019
2013/03/09,0.051
2013/03/10,0.215
2013/03/11,0.147
2013/03/12,1.357
2013/03/13,0.661
2013/03/14,1.153
2013/03/15,0.224
2013/03/16,0.018
2013/03/17,0.445
2013/03/18,0.299
2013/03/19,0.419
2013/03/20,0.453
2013/03/21,0.693
2013/03/22,0.048
2013/03/23,0.025
2013/03/24,0.318
2013/03/25,1.995
2013/03/26,1.062
2013/03/27,0.369
2013/03/28,1.629
2013/03/29,1.922
2013/03/30,0.042
2013/03/31,0.011
2013/04/01,0.3
2013/04/02,0.26
2013/04/03,0.162
2013/04/04,0.364
2013/04/05,0.233
2013/04/06,0.045
2013/04/07,0.021
2013/04/08,0.052
2013/04/09,0.205
2013/04/10,0.523
2013/04/11,0.357
2013/04/12,0.356
2013/04/13,0.077
2013/04/14,0.211
2013/04/15,0.116
2013/04/16,0.271
2013/04/17,0.07
2013/04/18,0.525
2013/04/19,0.752
2013/04/20,0.228
2013/04/21,0.904
2013/04/22,0.32
2013/04/23,0.263
2013/04/24,0.12
2013/04/25,0.045
2013/04/26,0.054
2013/04/27,0.436
2013/04/28,0.525
2013/04/29,0.565
2013/04/30,0.476
2013/05/01,0.393
2013/05/02,0.294
2013/05/03,0.274
2013/05/04,0.558
2013/05/05,0.601
2013/05/06,0.029
2013/05/07,0.004
2013/05/08,0.004
2013/05/09,0.008
2013/05/10,0.033
2013/05/11,0.126
2013/05/12,0.076
2013/05/13,0.073
2013/05/14,0.206
2013/05/15,0.628
2013/05/16,0.124
2013/05/17,0.273
2013/05/18,0.127
2013/05/19,0.088
2013/05/20,0.685
2013/05/21,0.719
2013/05/22,0.719
2013/05/23,0.288
2013/05/24,0.164
2013/05/25,0.034
2013/05/26,0.017
2013/05/27,0.082
2013/05/28,0.153
2013/05/29,0.146
2013/05/30,0.191
2013/05/31,0.048
2013/06/01,0.426
2013/06/02,0.374
2013/06/03,0.05
2013/06/04,0.05
2013/06/05,0.252
2013/06/06,0.287
2013/06/07,0.249
2013/06/08,0.217
2013/06/09,0.245
2013/06/10,0.214
2013/06/11,0.2
2013/06/12,0.255
2013/06/13,0.145
2013/06/14,0.145
2013/06/15,0.057
2013/06/16,0.049
2013/06/17,0.832
2013/06/18,1.222
2013/06/19,0.072
2013/06/20,0.277
2013/06/21,0.69
2013/06/22,0.236
2013/06/23,0.053
2013/06/24,0.341
2013/06/25,0.127
2013/06/26,0.304
2013/06/27,0.136
