Date,sentbyaddress14var
2012/11/18,17069273
2012/11/19,17574621
2012/11/20,18750692
2012/11/21,18963267
2012/11/22,18767390
2012/11/23,19858377
2012/11/24,17936276
2012/11/25,15024497
2012/11/26,11866252
2012/11/27,10240224
2012/11/28,9855424
2012/11/29,8781049
2012/11/30,7479147
2012/12/01,8060152
2012/12/02,12368403
2012/12/03,13398858
2012/12/04,11182532
2012/12/05,10420517
2012/12/06,10207030
2012/12/07,10091967
2012/12/08,10196494
2012/12/09,10025779
2012/12/10,10006204
2012/12/11,10043759
2012/12/12,9709283
2012/12/13,12412429
2012/12/14,13172953
2012/12/15,12573725
2012/12/16,7474867
2012/12/17,4869708
2012/12/18,9489466
2012/12/19,10017075
2012/12/20,10179113
2012/12/21,11143443
2012/12/22,20268720
2012/12/23,20009941
2012/12/24,18284699
2012/12/25,22107209
2012/12/26,25872081
2012/12/27,26124300
2012/12/28,26311051
2012/12/29,25882400
2012/12/30,26994004
2012/12/31,28176007
2013/01/01,24564578
2013/01/02,24551014
2013/01/03,30243946
2013/01/04,31485736
2013/01/05,26644235
2013/01/06,26299344
2013/01/07,28700129
2013/01/08,25665230
2013/01/09,22711786
2013/01/10,25073126
2013/01/11,33489837
2013/01/12,28792781
2013/01/13,29583059
2013/01/14,22984391
2013/01/15,17688479
2013/01/16,17924439
2013/01/17,18406112
2013/01/18,18017219
2013/01/19,18729630
2013/01/20,15832258
2013/01/21,19217334
2013/01/22,19235195
2013/01/23,20057459
2013/01/24,18556646
2013/01/25,13880027
2013/01/26,13757734
2013/01/27,13779869
2013/01/28,11420532
2013/01/29,9823259
2013/01/30,8475240
2013/01/31,7332631
2013/02/01,13504530
2013/02/02,14173356
2013/02/03,13610176
2013/02/04,10771612
2013/02/05,13585662
2013/02/06,12310638
2013/02/07,12858774
2013/02/08,13043326
2013/02/09,13050697
2013/02/10,13274660
2013/02/11,13402766
2013/02/12,13412059
2013/02/13,9137501
2013/02/14,8449901
2013/02/15,6324698
2013/02/16,9501778
2013/02/17,11304300
2013/02/18,11824101
2013/02/19,8425461
2013/02/20,8404526
2013/02/21,6804059
2013/02/22,5650616
2013/02/23,5649406
2013/02/24,4385874
2013/02/25,5318432
2013/02/26,6993188
2013/02/27,7069881
2013/02/28,7463554
2013/03/01,10166829
2013/03/02,9718600
2013/03/03,11774150
2013/03/04,11397730
2013/03/05,11306487
2013/03/06,14918056
2013/03/07,16532021
2013/03/08,16492428
2013/03/09,18047189
2013/03/10,18042208
2013/03/11,18929834
2013/03/12,18193979
2013/03/13,20095677
2013/03/14,20293003
2013/03/15,20996066
2013/03/16,20799892
2013/03/17,17797828
2013/03/18,17184764
2013/03/19,19879024
2013/03/20,17442181
2013/03/21,17695139
2013/03/22,24911697
2013/03/23,22246472
2013/03/24,25798661
2013/03/25,22806388
2013/03/26,23657501
2013/03/27,26980018
2013/03/28,36008558
2013/03/29,46107169
2013/03/30,35475254
2013/03/31,27489372
2013/04/01,23846595
2013/04/02,36372129
2013/04/03,57535955
2013/04/04,81043871
2013/04/05,97410265
2013/04/06,87879471
2013/04/07,86427867
2013/04/08,86261370
2013/04/09,100595818
2013/04/10,135317838
2013/04/11,148227450
2013/04/12,146707853
2013/04/13,142308067
2013/04/14,125779003
2013/04/15,111009372
2013/04/16,111085937
2013/04/17,110199149
2013/04/18,111340840
2013/04/19,109811776
2013/04/20,114538059
2013/04/21,125330013
2013/04/22,127841012
2013/04/23,114845441
2013/04/24,74684163
2013/04/25,53397716
2013/04/26,49264879
2013/04/27,57617995
2013/04/28,56978228
2013/04/29,57057050
2013/04/30,57521300
2013/05/01,54440879
2013/05/02,54760858
2013/05/03,42991511
2013/05/04,51148775
2013/05/05,53329560
2013/05/06,53443935
2013/05/07,46597653
2013/05/08,37712602
2013/05/09,30399524
2013/05/10,28257411
2013/05/11,27437757
2013/05/12,26650965
2013/05/13,25956339
2013/05/14,23711535
2013/05/15,24606086
2013/05/16,25265602
2013/05/17,24764829
2013/05/18,20683377
2013/05/19,23703439
2013/05/20,25589217
2013/05/21,23644986
2013/05/22,22786690
2013/05/23,23194955
2013/05/24,22560119
2013/05/25,26272057
2013/05/26,32120884
2013/05/27,33014121
2013/05/28,30272703
2013/05/29,28579743
2013/05/30,26532481
2013/05/31,26689199
2013/06/01,26431956
2013/06/02,26899417
2013/06/03,26485388
2013/06/04,24905655
2013/06/05,24883879
2013/06/06,19923008
2013/06/07,17425902
2013/06/08,21877055
2013/06/09,26305720
2013/06/10,28235945
2013/06/11,27730555
2013/06/12,24832558
2013/06/13,22539780
2013/06/14,27353477
2013/06/15,32663506
2013/06/16,40809927
2013/06/17,39963048
2013/06/18,35591058
2013/06/19,35451684
2013/06/20,32945713
2013/06/21,30862075
2013/06/22,30182928
2013/06/23,33280618
2013/06/24,33209503
2013/06/25,32988004
2013/06/26,33144870
2013/06/27,32661017
2013/06/28,24495519
2013/06/29,23354376
2013/06/30,23019215
2013/07/01,24201408
2013/07/02,24219816
2013/07/03,23075795
2013/07/04,22282702
2013/07/05,19628777
2013/07/06,23289011
2013/07/07,28196390
2013/07/08,28398286
2013/07/09,30281313
2013/07/10,30893474
2013/07/11,41067361
2013/07/12,57837419
2013/07/13,55945968
2013/07/14,59680484
2013/07/15,58877287
2013/07/16,60187819
2013/07/17,59888554
2013/07/18,59679144
2013/07/19,59535819
2013/07/20,62462306
2013/07/21,54676547
2013/07/22,54715965
2013/07/23,54115532
2013/07/24,54078041
2013/07/25,46157234
2013/07/26,25325414
2013/07/27,28227344
2013/07/28,24776978
2013/07/29,27060929
2013/07/30,30605659
2013/07/31,48350402
2013/08/01,72101923
2013/08/02,83445632
2013/08/03,70588342
2013/08/04,64202616
2013/08/05,66521505
2013/08/06,68592478
2013/08/07,71114438
2013/08/08,71760642
2013/08/09,70079758
2013/08/10,56506781
2013/08/11,50465322
2013/08/12,105478953
2013/08/13,105497498
2013/08/14,103161091
2013/08/15,96214857
2013/08/16,99485494
2013/08/17,98651013
2013/08/18,99124440
2013/08/19,103601482
2013/08/20,104990352
2013/08/21,106370693
2013/08/22,111165946
2013/08/23,108117067
2013/08/24,110358508
2013/08/25,105290059
2013/08/26,54748629
2013/08/27,58032649
2013/08/28,61244304
2013/08/29,61197706
2013/08/30,63496377
2013/08/31,58371106
2013/09/01,71388106
2013/09/02,81172295
2013/09/03,83040349
2013/09/04,79949813
2013/09/05,71105252
2013/09/06,71062306
2013/09/07,75122635
2013/09/08,84674643
2013/09/09,84840240
2013/09/10,75826964
2013/09/11,62746044
2013/09/12,59735425
2013/09/13,36571247
2013/09/14,28008326
2013/09/15,30282883
2013/09/16,29718124
2013/09/17,31322630
2013/09/18,32944111
2013/09/19,36906627
2013/09/20,38252931
2013/09/21,37806128
2013/09/22,34735444
2013/09/23,37280479
2013/09/24,39532325
2013/09/25,39039099
2013/09/26,39808849
2013/09/27,40787858
2013/09/28,32546232
2013/09/29,22356908
2013/09/30,23279123
2013/10/01,29693719
2013/10/02,38774265
2013/10/03,37774274
2013/10/04,38084776
2013/10/05,43508293
2013/10/06,45156270
2013/10/07,44681853
2013/10/08,43608304
2013/10/09,44512884
2013/10/10,44777236
2013/10/11,44718218
2013/10/12,44876291
2013/10/13,44049907
2013/10/14,43812612
2013/10/15,39581016
2013/10/16,34220960
2013/10/17,33974198
2013/10/18,35968253
2013/10/19,29149819
2013/10/20,21419956
2013/10/21,22025740
2013/10/22,26333596
2013/10/23,32630411
2013/10/24,55519540
2013/10/25,60981952
2013/10/26,57278181
2013/10/27,59765109
2013/10/28,59355748
2013/10/29,59356785
2013/10/30,60883595
2013/10/31,61019716
2013/11/01,60852669
2013/11/02,62950705
2013/11/03,52139273
2013/11/04,58655789
2013/11/05,88266234
2013/11/06,112478308
2013/11/07,162903313
2013/11/08,200359292
2013/11/09,198249547
2013/11/10,160149906
2013/11/11,147826830
2013/11/12,137963772
2013/11/13,138594317
2013/11/14,150596053
2013/11/15,134327298
2013/11/16,96077162
2013/11/17,55255424
2013/11/18,131896385
2013/11/19,332603513
2013/11/20,366954690
2013/11/21,379989730
2013/11/22,403293564
2013/11/23,408682243
2013/11/24,391797992
2013/11/25,344516620
2013/11/26,366090827
2013/11/27,442848590
2013/11/28,506085051
2013/11/29,488022388
2013/11/30,373604451
2013/12/01,259061232
2013/12/02,259879837
2013/12/03,216635925
2013/12/04,221431036
2013/12/05,223651813
2013/12/06,224022453
2013/12/07,233213801
2013/12/08,282149708
2013/12/09,280008363
2013/12/10,285705629
2013/12/11,239025322
2013/12/12,203645753
2013/12/13,175633946
2013/12/14,189612169
2013/12/15,210126248
2013/12/16,204696668
2013/12/17,185795966
2013/12/18,185487784
2013/12/19,132666386
2013/12/20,124085179
2013/12/21,135221483
2013/12/22,124540146
2013/12/23,133736141
2013/12/24,134042585
2013/12/25,132355423
2013/12/26,136995939
2013/12/27,141108847
2013/12/28,160551724
2013/12/29,181990467
2013/12/30,164391339
2013/12/31,151754472
2014/01/01,87421533
2014/01/02,58934313
2014/01/03,64560663
2014/01/04,65564956
2014/01/05,66090559
2014/01/06,94655189
2014/01/07,95619681
2014/01/08,94458176
2014/01/09,95238134
2014/01/10,95355521
2014/01/11,87498683
2014/01/12,82510761
2014/01/13,81463434
2014/01/14,78537091
2014/01/15,48831817
2014/01/16,51249887
2014/01/17,44739411
2014/01/18,54116938
2014/01/19,60588462
2014/01/20,52872314
2014/01/21,90290760
2014/01/22,105146326
2014/01/23,107491116
2014/01/24,110824786
2014/01/25,112981803
2014/01/26,102648380
2014/01/27,109154861
2014/01/28,121902747
2014/01/29,121974600
2014/01/30,119286235
2014/01/31,118272947
2014/02/01,84798385
2014/02/02,54522236
2014/02/03,55203988
2014/02/04,72367369
2014/02/05,76837365
2014/02/06,89666225
2014/02/07,107425355
2014/02/08,79410678
2014/02/09,78323600
2014/02/10,77974113
2014/02/11,77366636
2014/02/12,74860387
2014/02/13,74735518
2014/02/14,82210939
2014/02/15,76695014
