Date,transactionvalue14rocUSD
2013/04/24,-43.809
2013/04/25,-8.83
2013/04/26,3.749
2013/04/27,-4.36
2013/04/28,22.285
2013/04/29,184.983
2013/04/30,42.354
2013/05/01,28.617
2013/05/02,-84.735
2013/05/03,-51.986
2013/05/04,-59.77
2013/05/05,-43.284
2013/05/06,-54.294
2013/05/07,-39.865
2013/05/08,-60.596
2013/05/09,-69.09
2013/05/10,-48.622
2013/05/11,-53.992
2013/05/12,-43.716
2013/05/13,-56.46
2013/05/14,-53.855
2013/05/15,-59.802
2013/05/16,-30.467
2013/05/17,0.637
2013/05/18,54.623
2013/05/19,-30.122
2013/05/20,-30.21
2013/05/21,-24.681
2013/05/22,-7.2
2013/05/23,23.827
2013/05/24,14.798
2013/05/25,72.892
2013/05/26,26.85
2013/05/27,-22.323
2013/05/28,19.661
2013/05/29,51.214
2013/05/30,10.003
2013/05/31,-3.18
2013/06/01,-29.841
2013/06/02,6.241
2013/06/03,32.701
2013/06/04,-5.198
2013/06/05,-13.83
2013/06/06,17.325
2013/06/07,-12.945
2013/06/08,-50.067
2013/06/09,31.478
2013/06/10,-30.215
2013/06/11,-18.288
2013/06/12,-28.084
2013/06/13,8.179
2013/06/14,-5.089
2013/06/15,1.724
2013/06/16,13.165
2013/06/17,-24.669
2013/06/18,5.662
2013/06/19,-10.024
2013/06/20,-8.696
2013/06/21,8.821
2013/06/22,11.08
2013/06/23,-44.376
2013/06/24,20.028
2013/06/25,22
2013/06/26,0.96
2013/06/27,-21.401
2013/06/28,-17.519
2013/06/29,12.13
2013/06/30,-1.168
2013/07/01,49.892
2013/07/02,6.899
2013/07/03,43.91
2013/07/04,26.726
2013/07/05,30.468
2013/07/06,36.187
2013/07/07,65.154
2013/07/08,14.546
2013/07/09,32.066
2013/07/10,56.478
2013/07/11,70.037
2013/07/12,45.977
2013/07/13,56.416
2013/07/14,22.438
2013/07/15,-10.305
2013/07/16,40.372
2013/07/17,26.21
2013/07/18,10.298
2013/07/19,-11.858
2013/07/20,-11.184
2013/07/21,-20.779
2013/07/22,22.373
2013/07/23,9.351
2013/07/24,-12.595
2013/07/25,-16.134
2013/07/26,4.421
2013/07/27,-45.657
2013/07/28,-0.178
2013/07/29,-4.236
2013/07/30,2.351
2013/07/31,-29.172
2013/08/01,2.28
2013/08/02,-9.69
2013/08/03,14.698
2013/08/04,-4.225
2013/08/05,-16.195
2013/08/06,-39.979
2013/08/07,-25.359
2013/08/08,-29.094
2013/08/09,-37.51
2013/08/10,-16.016
2013/08/11,-29.457
2013/08/12,-3.08
2013/08/13,4.811
2013/08/14,49.74
2013/08/15,-36.675
2013/08/16,-12.932
2013/08/17,22.279
2013/08/18,20.729
2013/08/19,-3.723
2013/08/20,14.815
2013/08/21,60.349
2013/08/22,10.736
2013/08/23,35.042
2013/08/24,24.418
2013/08/25,30.152
2013/08/26,-12.548
2013/08/27,-29.734
2013/08/28,-44.034
2013/08/29,279.327
2013/08/30,7.605
2013/08/31,30.867
2013/09/01,62.849
2013/09/02,30.042
2013/09/03,46.213
2013/09/04,-4.829
2013/09/05,29.337
2013/09/06,-16.567
2013/09/07,21.456
2013/09/08,-25.521
2013/09/09,52.139
2013/09/10,-10.329
2013/09/11,46.799
2013/09/12,-67.922
2013/09/13,14.864
2013/09/14,-26.661
2013/09/15,-57.772
2013/09/16,-16.522
2013/09/17,-48.393
2013/09/18,-17.551
2013/09/19,-0.298
2013/09/20,15.067
2013/09/21,-26.131
2013/09/22,17.588
2013/09/23,-11.48
